0,1,2,3,4,5,6,7,8,9
2025-05-29,3.72,3.75,3.68,3.69,-0.01,-0.27,"4,703,684",,
2025-05-28,3.70,3.78,3.69,3.70,0.02,0.54,"8,629,966",,
2025-05-27,3.80,3.81,3.67,3.68,-0.12,-3.16,"6,892,973",,
2025-05-26,3.83,3.86,3.73,3.80,-0.02,-0.52,"7,551,855",,
2025-05-25,3.83,3.92,3.82,3.82,0.01,0.26,"9,500,279",,
2025-05-22,3.86,3.87,3.80,3.81,-0.05,-1.30,"6,779,167",,
2025-05-21,3.87,3.99,3.85,3.86,-0.01,-0.26,"15,011,388",,
2025-05-20,4.00,4.00,3.86,3.87,-0.09,-2.27,"12,920,319",,
2025-05-19,3.72,4.05,3.69,3.96,0.25,6.74,"51,042,279",,
2025-05-18,3.78,3.81,3.69,3.71,-0.07,-1.85,"8,694,137",,
2025-05-15,3.83,3.90,3.75,3.78,-0.05,-1.31,"10,356,588",,
2025-05-14,3.85,3.87,3.82,3.83,-0.01,-0.26,"6,654,836",,
2025-05-13,3.94,3.95,3.84,3.84,-0.08,-2.04,"7,095,598",,
2025-05-12,3.91,4.01,3.91,3.92,0.04,1.03,"15,428,607",,
2025-05-11,3.90,3.98,3.88,3.88,0.02,0.52,"8,964,077",,
2025-05-08,3.90,3.98,3.83,3.86,-0.03,-0.77,"10,266,249",,
2025-05-07,3.98,4.00,3.86,3.89,-0.09,-2.26,"12,863,411",,
2025-05-06,4.05,4.14,3.98,3.98,-0.07,-1.73,"22,543,985",,
2025-05-05,4.03,4.14,3.79,4.05,0.06,1.50,"38,991,575",,
2025-05-04,4.11,4.27,3.96,3.99,-0.09,-2.21,"24,645,665",,
2025-05-01,4.19,4.22,4.07,4.08,-0.07,-1.69,"22,007,733",,
2025-04-30,4.28,4.34,4.10,4.15,-0.10,-2.35,"40,048,757",,
2025-04-29,4.08,4.33,3.97,4.25,0.20,4.94,"65,088,764",,
2025-04-28,3.99,4.25,3.95,4.05,0.18,4.65,"74,981,987",,
2025-04-27,3.54,3.87,3.48,3.87,0.35,9.94,"39,953,514",,
2025-04-24,3.41,3.64,3.34,3.52,0.21,6.34,"44,108,996",,
2025-04-23,3.02,3.31,3.01,3.31,0.30,9.97,"19,146,066",,
2025-04-22,3.05,3.06,3.00,3.01,-0.07,-2.27,"9,784,961",,
2025-04-21,3.13,3.14,3.08,3.08,-0.05,-1.60,"5,141,096",,
2025-04-20,3.13,3.19,3.12,3.13,0.01,0.32,"7,056,356",,
2025-04-17,3.31,3.31,3.11,3.12,-0.19,-5.74,"11,443,535",,
2025-04-16,3.38,3.39,3.31,3.31,-0.07,-2.07,"6,323,979",,
2025-04-15,3.40,3.43,3.37,3.38,-0.02,-0.59,"8,995,720",,
2025-04-14,3.43,3.44,3.35,3.40,-0.03,-0.87,"13,272,877",,
2025-04-13,3.65,3.70,3.42,3.43,-0.07,-2.00,"22,312,081",,
2025-04-10,-,-,-,3.50,0.00,0.00,-,,
2025-04-09,-,-,-,3.50,0.00,0.00,-,,
2025-04-08,3.60,3.70,3.50,3.50,0.00,0.00,"7,672,058",,
2025-04-07,3.40,3.60,3.30,3.50,0.00,0.00,"9,520,718",,
2025-04-06,3.70,3.80,3.50,3.50,-0.30,-7.89,"10,857,981",,
2025-04-03,3.80,4.00,3.70,3.80,0.10,2.70,"5,605,895",,
2025-03-27,3.80,3.90,3.70,3.70,0.00,0.00,"1,751,049",,
2025-03-26,3.50,3.80,3.50,3.70,0.20,5.71,"5,817,998",,
2025-03-25,3.60,3.70,3.50,3.50,-0.10,-2.78,"3,389,511",,
2025-03-24,3.60,3.70,3.60,3.60,0.00,0.00,"1,902,317",,
2025-03-23,3.70,3.80,3.60,3.60,-0.10,-2.70,"3,006,002",,
2025-03-20,3.70,3.80,3.70,3.70,0.00,0.00,"1,560,570",,
2025-03-19,3.60,3.70,3.60,3.70,0.10,2.78,"1,374,091",,
2025-03-18,3.80,3.80,3.60,3.60,-0.10,-2.70,"3,243,902",,
2025-03-17,3.80,3.90,3.70,3.70,-0.10,-2.63,"2,243,390",,
2025-03-16,3.90,4.00,3.70,3.80,-0.10,-2.56,"3,455,030",,
