0,1,2,3,4,5,6,7,8,9
2025-05-29,10.58,10.68,10.48,10.64,0.08,0.76,"177,686",,
2025-05-28,10.54,10.70,10.46,10.56,-0.02,-0.19,"170,754",,
2025-05-27,10.84,10.84,10.46,10.58,-0.28,-2.58,"436,770",,
2025-05-26,10.94,10.96,10.72,10.86,-0.08,-0.73,"162,576",,
2025-05-25,11.10,11.22,10.88,10.94,-0.24,-2.15,"163,649",,
2025-05-22,11.40,11.46,11.12,11.18,-0.32,-2.78,"104,593",,
2025-05-21,11.60,11.66,11.42,11.50,-0.14,-1.20,"159,458",,
2025-05-20,11.72,11.72,11.46,11.64,0.08,0.69,"270,544",,
2025-05-19,11.68,11.76,11.50,11.56,-0.18,-1.53,"178,884",,
2025-05-18,11.62,11.78,11.62,11.74,0.08,0.69,"87,202",,
2025-05-15,12.00,12.00,11.52,11.66,-0.34,-2.83,"156,330",,
2025-05-14,12.20,12.20,11.80,12.00,-0.14,-1.15,"187,151",,
2025-05-13,12.02,12.14,12.00,12.14,0.12,1.00,"79,322",,
2025-05-12,11.88,12.04,11.80,12.02,0.14,1.18,"98,780",,
2025-05-11,11.88,12.10,11.88,11.88,-0.12,-1.00,"159,332",,
2025-05-08,12.22,12.22,11.90,12.00,-0.04,-0.33,"17,825",,
2025-05-07,11.90,12.12,11.88,12.04,0.14,1.18,"68,323",,
2025-05-06,11.94,12.04,11.86,11.90,-0.04,-0.34,"24,616",,
2025-05-05,12.00,12.18,11.78,11.94,-0.06,-0.50,"138,004",,
2025-05-04,12.22,12.22,11.96,12.00,-0.30,-2.44,"107,051",,
2025-05-01,12.34,12.36,12.22,12.30,-0.02,-0.16,"84,488",,
2025-04-30,12.48,12.48,12.26,12.32,-0.14,-1.12,"46,373",,
2025-04-29,12.60,12.60,12.40,12.46,-0.14,-1.11,"112,750",,
2025-04-28,12.52,12.60,12.36,12.60,0.02,0.16,"87,530",,
2025-04-27,12.76,12.76,12.52,12.58,-0.14,-1.10,"96,437",,
2025-04-24,12.60,12.74,12.60,12.72,0.12,0.95,"32,242",,
2025-04-23,12.70,12.74,12.56,12.60,0.04,0.32,"45,508",,
2025-04-22,12.50,12.82,12.34,12.56,-0.14,-1.10,"82,774",,
2025-04-21,12.94,12.94,12.66,12.70,-0.26,-2.01,"63,318",,
2025-04-20,12.78,13.04,12.70,12.96,0.26,2.05,"194,037",,
2025-04-17,12.74,12.74,12.52,12.70,0.04,0.32,"84,790",,
2025-04-16,12.40,12.78,12.22,12.66,0.36,2.93,"224,721",,
2025-04-15,12.50,12.60,12.28,12.30,-0.20,-1.60,"84,639",,
2025-04-14,12.38,12.50,12.02,12.50,0.16,1.30,"68,151",,
2025-04-13,12.10,12.36,12.10,12.34,0.24,1.98,"80,607",,
2025-04-10,12.02,12.22,11.80,12.10,0.38,3.24,"120,189",,
2025-04-09,11.78,11.92,11.46,11.72,-0.04,-0.34,"110,467",,
2025-04-08,11.58,11.80,11.52,11.76,0.32,2.80,"162,353",,
2025-04-07,11.00,11.46,10.76,11.44,-0.16,-1.38,"412,400",,
2025-04-06,12.26,12.26,11.36,11.60,-1.00,-7.94,"416,178",,
2025-04-03,12.40,12.66,12.26,12.60,0.20,1.61,"105,764",,
2025-03-27,12.36,12.42,12.34,12.40,0.08,0.65,"55,562",,
2025-03-26,12.24,12.36,12.20,12.32,0.08,0.65,"69,801",,
2025-03-25,12.38,12.38,12.12,12.24,0.10,0.82,"68,251",,
2025-03-24,12.26,12.26,12.14,12.14,-0.12,-0.98,"32,140",,
2025-03-23,12.30,12.44,12.16,12.26,0.00,0.00,"197,549",,
2025-03-20,12.06,12.26,12.04,12.26,0.10,0.82,"59,349",,
2025-03-19,12.30,12.30,12.06,12.16,-0.08,-0.65,"47,980",,
2025-03-18,12.40,12.44,12.16,12.24,0.04,0.33,"42,013",,
2025-03-17,12.46,12.46,12.16,12.20,-0.22,-1.77,"95,341",,
2025-03-16,12.54,12.54,12.10,12.42,0.34,2.81,"238,694",,
2025-03-13,12.30,12.40,12.08,12.08,-0.18,-1.47,"94,233",,
2025-03-12,12.32,12.74,12.20,12.26,0.06,0.49,"265,068",,
2025-03-11,12.14,12.24,11.80,12.20,-0.12,-0.97,"300,675",,
2025-03-10,12.78,12.80,12.32,12.32,-0.38,-2.99,"78,429",,
2025-03-09,12.72,12.88,12.60,12.70,-0.02,-0.16,"97,760",,
2025-03-06,12.98,12.98,12.62,12.72,-0.14,-1.09,"48,930",,
2025-03-05,12.86,12.94,12.72,12.86,0.00,0.00,"58,434",,
2025-03-04,12.90,12.90,12.60,12.86,0.04,0.31,"64,142",,
2025-03-03,12.70,12.90,12.70,12.82,-0.12,-0.93,"48,169",,
2025-03-02,12.98,13.00,12.72,12.94,-0.06,-0.46,"110,579",,
2025-02-27,13.12,13.12,12.90,13.00,-0.12,-0.91,"78,834",,
2025-02-26,13.10,13.18,13.00,13.12,-0.06,-0.46,"96,256",,
2025-02-25,13.26,13.26,13.04,13.18,-0.02,-0.15,"108,168",,
2025-02-24,13.24,13.38,13.08,13.20,0.00,0.00,"112,753",,
2025-02-20,13.16,13.20,13.08,13.20,0.04,0.30,"33,391",,
2025-02-19,13.24,13.40,13.14,13.16,-0.04,-0.30,"223,169",,
2025-02-18,13.16,13.30,13.10,13.20,0.04,0.30,"55,260",,
2025-02-17,13.32,13.32,12.90,13.16,-0.16,-1.20,"84,464",,
2025-02-16,13.32,13.42,13.20,13.32,0.00,0.00,"42,069",,
2025-02-13,13.30,13.42,13.26,13.32,0.02,0.15,"48,964",,
2025-02-12,13.58,13.58,13.24,13.30,-0.30,-2.21,"108,401",,
2025-02-11,13.42,13.60,13.32,13.60,0.14,1.04,"162,225",,
2025-02-10,13.70,13.76,13.42,13.46,-0.24,-1.75,"150,027",,
2025-02-09,13.74,13.78,13.66,13.70,-0.04,-0.29,"79,254",,
2025-02-06,13.74,13.84,13.68,13.74,-0.06,-0.43,"109,865",,
2025-02-05,13.66,13.84,13.60,13.80,0.14,1.02,"127,624",,
2025-02-04,13.82,13.94,13.66,13.66,-0.16,-1.16,"116,473",,
