0,1,2,3,4,5,6,7,8,9
2025-05-29,25.90,26.25,25.60,26.25,0.50,1.94,"530,981",,
2025-05-28,25.90,26.15,25.65,25.75,0.20,0.78,"750,188",,
2025-05-27,26.20,26.30,25.40,25.55,-0.65,-2.48,"673,445",,
2025-05-26,25.60,26.65,25.60,26.20,0.60,2.34,"1,465,059",,
2025-05-25,26.25,26.25,25.50,25.60,-0.60,-2.29,"1,653,875",,
2025-05-22,26.95,27.00,26.00,26.20,-0.80,-2.96,"1,672,838",,
2025-05-21,27.35,27.85,26.85,27.00,-0.40,-1.46,"1,043,475",,
2025-05-20,27.50,27.55,26.90,27.40,-0.15,-0.54,"1,019,812",,
2025-05-19,27.95,28.10,27.40,27.55,-0.40,-1.43,"1,394,983",,
2025-05-18,28.70,28.75,27.95,27.95,-0.75,-2.61,"969,493",,
2025-05-15,28.85,28.85,28.40,28.70,0.10,0.35,"794,779",,
2025-05-14,28.60,28.90,28.20,28.60,-0.25,-0.87,"1,462,847",,
2025-05-13,29.30,29.30,28.75,28.85,-0.35,-1.20,"570,824",,
2025-05-12,28.70,29.40,28.65,29.20,0.60,2.10,"699,253",,
2025-05-11,28.95,29.15,28.40,28.60,-0.25,-0.87,"413,202",,
2025-05-08,29.00,29.20,28.75,28.85,-0.15,-0.52,"681,409",,
2025-05-07,29.45,29.50,28.85,29.00,-0.40,-1.36,"697,068",,
2025-05-06,29.50,30.60,29.20,29.40,-0.10,-0.34,"1,473,970",,
2025-05-05,29.00,29.50,28.75,29.50,0.50,1.72,"863,346",,
2025-05-04,29.10,29.15,28.60,29.00,-0.10,-0.34,"818,473",,
2025-05-01,29.40,29.40,28.85,29.10,-0.35,-1.19,"1,078,251",,
2025-04-30,30.25,30.35,29.25,29.45,-0.70,-2.32,"1,635,253",,
2025-04-29,30.65,31.00,30.10,30.15,-0.40,-1.31,"1,825,654",,
2025-04-28,30.10,30.65,29.80,30.55,0.50,1.66,"1,958,696",,
2025-04-27,31.00,31.05,29.90,30.05,-0.90,-2.91,"2,759,297",,
2025-04-24,29.45,31.45,29.35,30.95,2.35,8.22,"7,926,709",,
2025-04-23,28.65,29.10,28.25,28.60,0.15,0.53,"2,387,759",,
2025-04-22,28.55,28.85,28.40,28.45,-0.40,-1.39,"1,539,146",,
2025-04-21,29.05,29.10,28.70,28.85,-0.15,-0.52,"897,722",,
2025-04-20,29.20,29.55,28.90,29.00,0.00,0.00,"790,910",,
2025-04-17,29.50,29.65,28.95,29.00,-0.80,-2.68,"973,139",,
2025-04-16,29.80,30.05,29.25,29.80,-0.05,-0.17,"1,366,356",,
2025-04-15,30.25,30.55,29.85,29.85,-0.30,-1.00,"2,122,664",,
2025-04-14,30.20,31.35,29.50,30.15,0.25,0.84,"5,092,596",,
2025-04-13,28.75,30.00,28.70,29.90,1.50,5.28,"3,060,759",,
2025-04-10,30.90,30.90,28.35,28.40,0.15,0.53,"6,500,092",,
2025-04-09,29.85,29.85,28.25,28.25,-1.75,-5.83,"2,472,819",,
2025-04-08,31.25,31.50,29.60,30.00,-0.55,-1.80,"3,125,478",,
2025-04-07,30.00,30.90,28.50,30.55,-0.70,-2.24,"3,180,696",,
2025-04-06,31.55,32.30,31.25,31.25,-3.45,-9.94,"2,156,164",,
2025-04-03,36.60,36.60,34.60,34.70,-2.10,-5.71,"1,753,021",,
2025-03-27,37.20,37.20,36.65,36.80,-0.40,-1.08,"1,201,640",,
2025-03-26,35.75,37.35,35.75,37.20,1.55,4.35,"1,892,512",,
2025-03-25,36.30,36.45,35.45,35.65,-0.65,-1.79,"1,302,988",,
2025-03-24,35.90,36.55,35.90,36.30,0.40,1.11,"1,269,231",,
2025-03-23,37.10,37.40,35.90,35.90,-1.15,-3.10,"1,297,151",,
2025-03-20,36.90,38.10,36.80,37.05,0.20,0.54,"1,123,510",,
2025-03-19,38.70,38.75,36.80,36.85,-1.85,-4.78,"2,224,383",,
2025-03-18,40.10,40.35,37.60,38.70,-1.30,-3.25,"3,265,211",,
2025-03-17,40.35,40.85,39.80,40.00,-0.20,-0.50,"1,958,369",,
2025-03-16,39.50,41.00,39.40,40.20,0.90,2.29,"3,527,820",,
2025-03-13,38.90,40.00,38.40,39.30,0.50,1.29,"3,099,082",,
2025-03-12,40.05,41.45,38.75,38.80,-1.20,-3.00,"5,798,644",,
2025-03-11,42.80,43.90,36.80,40.00,1.00,2.56,"28,856,286",,
2025-03-10,33.00,39.00,33.00,39.00,9.00,30.00,"4,267,296",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
