0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,8.67,8.87,8.56,8.80,0.14,1.62,"722,852",,,,,
2025-05-28,8.30,8.80,8.30,8.66,0.43,5.22,"776,613",,,,,
2025-05-27,8.30,8.30,8.16,8.23,-0.04,-0.48,"276,754",,,,,
2025-05-26,8.37,8.39,8.10,8.27,0.00,0.00,"1,420,660",,,,,
2025-05-25,8.53,8.63,8.22,8.27,-0.28,-3.27,"898,622",,,,,
2025-05-22,8.79,8.80,8.51,8.55,-0.21,-2.40,"676,516",,,,,
2025-05-21,8.80,8.90,8.71,8.76,-0.04,-0.45,"283,560",,,,,
2025-05-20,8.80,8.80,8.70,8.80,0.05,0.57,"156,423",,,,,
2025-05-19,8.79,8.79,8.70,8.75,-0.04,-0.46,"753,846",,,,,
2025-05-18,8.80,8.85,8.71,8.79,-0.05,-0.57,"294,635",,,,,
2025-05-15,9.00,9.10,8.84,8.84,0.09,1.03,"1,046,064",,,,,
2025-05-14,8.82,8.85,8.75,8.75,-0.07,-0.79,"224,938",,,,,
2025-05-13,8.97,8.98,8.72,8.82,-0.10,-1.12,"245,686",,,,,
2025-05-12,8.70,8.98,8.67,8.92,0.32,3.72,"629,347",,,,,
2025-05-11,8.70,8.72,8.54,8.60,-0.02,-0.23,"208,538",,,,,
2025-05-08,8.75,8.75,8.54,8.62,-0.09,-1.03,"606,986",,,,,
2025-05-07,8.88,8.88,8.61,8.71,-0.13,-1.47,"529,765",,,,,
2025-05-06,8.80,9.14,8.80,8.84,0.25,2.91,"1,837,174",,,,,
2025-05-05,8.76,8.76,8.53,8.59,-0.02,-0.23,"103,441",,,,,
2025-05-04,8.76,8.76,8.58,8.61,-0.15,-1.71,"152,593",,,,,
2025-05-01,8.90,8.90,8.45,8.76,-0.06,-0.68,"306,274",,,,,
2025-04-30,8.97,8.97,8.76,8.82,-0.08,-0.90,"216,454",,,,,
2025-04-29,8.98,8.98,8.88,8.90,0.00,0.00,"492,900",,,,,
2025-04-28,9.08,9.08,8.89,8.90,-0.18,-1.98,"557,514",,,,,
2025-04-27,9.12,9.13,9.00,9.08,-0.01,-0.11,"195,873",,,,,
2025-04-24,8.93,9.35,8.83,9.09,0.21,2.36,"940,750",,,,,
2025-04-23,9.01,9.05,8.77,8.88,-0.03,-0.34,"540,725",,,,,
2025-04-22,8.90,9.03,8.82,8.91,-0.01,-0.11,"481,986",,,,,
2025-04-21,9.20,9.22,8.88,8.92,-0.14,-1.55,"944,707",,,,,
2025-04-20,8.47,9.20,8.47,9.06,0.63,7.47,"1,167,672",,,,,
2025-04-17,8.45,8.54,8.40,8.43,-0.05,-0.59,"280,158",,,,,
2025-04-16,8.50,8.61,8.48,8.48,-0.07,-0.82,"451,242",,,,,
2025-04-15,8.63,8.71,8.55,8.55,-0.06,-0.70,"363,211",,,,,
2025-04-14,8.69,8.69,8.57,8.61,0.06,0.70,"330,469",,,,,
2025-04-13,8.33,8.63,8.33,8.55,0.28,3.39,"522,557",,,,,
2025-04-10,8.32,8.42,8.20,8.27,0.41,5.22,"516,717",,,,,
2025-04-09,8.20,8.43,7.86,7.86,-0.49,-5.87,"933,611",,,,,
2025-04-08,8.31,8.68,8.31,8.35,-0.04,-0.48,"900,358",,,,,
2025-04-07,7.90,8.40,7.50,8.39,0.45,5.67,"1,155,801",,,,,
2025-04-06,8.00,8.23,7.84,7.94,-0.63,-7.35,"737,020",,,,,
2025-04-03,8.30,8.75,8.30,8.57,0.35,4.26,"1,068,807",,,,,
2025-03-27,8.10,8.22,8.05,8.22,0.12,1.48,"285,533",,,,,
2025-03-26,7.94,8.14,7.93,8.10,0.16,2.02,"259,991",,,,,
2025-03-25,7.97,8.00,7.85,7.94,-0.03,-0.38,"228,450",,,,,
2025-03-24,7.88,8.05,7.80,7.97,0.09,1.14,"215,772",,,,,
2025-03-23,7.88,7.96,7.87,7.88,0.00,0.00,"118,408",,,,,
2025-03-20,7.78,7.89,7.77,7.88,0.07,0.90,"663,081",,,,,
2025-03-19,8.00,8.00,7.81,7.81,-0.18,-2.25,"322,110",,,,,
2025-03-18,8.06,8.07,7.82,7.99,-0.07,-0.87,"17,325,340",,,,,
2025-03-17,7.88,8.09,7.87,8.06,0.13,1.64,"451,672",,,,,
2025-03-16,7.62,7.97,7.62,7.93,0.39,5.17,"762,828",,,,,
2025-03-13,7.72,7.72,7.50,7.54,-0.12,-1.57,"1,133,746",,,,,
2025-03-12,7.95,7.95,7.60,7.66,-0.23,-2.92,"1,429,276",,,,,
2025-03-11,7.70,7.91,7.34,7.89,0.18,2.33,"653,113",,,,,
2025-03-10,7.70,7.82,7.42,7.71,0.01,0.13,"939,062",,,,,
2025-03-09,8.86,8.86,7.70,7.70,-0.85,-9.94,"2,121,958",,,,,
2025-03-06,9.00,9.00,8.55,8.55,-0.35,-3.93,"383,125",,,,,
2025-03-05,8.99,9.04,8.90,8.90,-0.10,-1.11,"204,398",,,,,
2025-03-04,9.05,9.11,8.96,9.00,-0.05,-0.55,"337,953",,,,,
2025-03-03,9.08,9.10,8.95,9.05,-0.06,-0.66,"154,820",,,,,
2025-03-02,9.08,9.25,8.91,9.11,0.03,0.33,"181,576",,,,,
2025-02-27,9.14,9.17,9.02,9.08,-0.07,-0.77,"312,065",,,,,
2025-02-26,9.31,9.31,9.10,9.15,-0.16,-1.72,"347,062",,,,,
2025-02-25,9.32,9.35,9.25,9.31,-0.01,-0.11,"181,645",,,,,
2025-02-24,9.40,9.45,9.30,9.32,-0.12,-1.27,"148,241",,,,,
2025-02-20,9.50,9.65,9.41,9.44,-0.07,-0.74,"235,261",,,,,
2025-02-19,9.45,9.58,9.35,9.51,0.07,0.74,"309,450",,,,,
2025-02-18,9.65,9.65,9.20,9.44,-0.25,-2.58,"855,388",,,,,
2025-02-17,9.93,9.93,9.67,9.69,-0.24,-2.42,"399,395",,,,,
2025-02-16,10.00,10.10,9.89,9.93,-0.11,-1.10,"363,039",,,,,
2025-02-13,10.08,10.20,9.98,10.04,-0.04,-0.40,"228,815",,,,,
2025-02-12,9.99,10.08,9.96,10.08,0.02,0.20,"248,904",,,,,
2025-02-11,10.14,10.18,9.98,10.06,-0.08,-0.79,"853,439",,,,,
2025-02-10,10.28,10.28,10.10,10.14,-0.14,-1.36,"349,058",,,,,
2025-02-09,10.30,10.38,10.10,10.28,-0.02,-0.19,"300,496",,,,,
2025-02-06,10.56,10.76,10.26,10.30,-0.16,-1.53,"820,244",,,,,
2025-02-05,10.62,10.80,10.44,10.46,-0.32,-2.97,"841,511",,,,,
2025-02-04,9.84,10.88,9.84,10.78,0.88,8.89,"2,902,912",,,,,
2025-02-03,9.94,10.10,9.84,9.90,-0.07,-0.70,"397,468",,,,,
2025-02-02,9.98,10.06,9.90,9.97,-0.03,-0.30,"170,976",,,,,
2025-01-30,10.02,10.10,9.95,10.00,-0.02,-0.20,"267,047",,,,,
2025-01-29,10.26,10.28,10.00,10.02,-0.24,-2.34,"289,381",,,,,
2025-01-28,10.50,10.60,10.24,10.26,-0.24,-2.29,"600,993",,,,,
2025-01-27,10.26,10.84,10.02,10.50,0.30,2.94,"1,863,177",,,,,
2025-01-26,9.38,10.20,9.31,10.20,0.91,9.80,"1,771,221",,,,,
2025-01-23,9.52,9.54,9.25,9.29,-0.23,-2.42,"612,375",,,,,
2025-01-22,9.24,9.82,9.20,9.52,0.29,3.14,"1,229,521",,,,,
2025-01-21,9.28,9.48,9.17,9.23,0.02,0.22,"579,703",,,,,
2025-01-20,9.43,9.44,9.16,9.21,-0.13,-1.39,"254,022",,,,,
2025-01-19,9.21,9.43,9.19,9.34,0.06,0.65,"262,035",,,,,
2025-01-16,9.42,9.47,9.16,9.28,-0.14,-1.49,"388,437",,,,,
2025-01-15,9.10,9.71,9.10,9.42,0.28,3.06,"1,120,014",,,,,
2025-01-14,9.07,9.36,9.00,9.14,0.17,1.90,"846,136",,,,,
2025-01-13,8.97,9.04,8.92,8.97,0.00,0.00,"298,503",,,,,
2025-01-12,8.77,9.07,8.71,8.97,0.25,2.87,"670,271",,,,,
2025-01-09,8.74,8.78,8.71,8.72,-0.06,-0.68,"183,815",,,,,
2025-01-08,8.71,8.79,8.70,8.78,0.06,0.69,"104,005",,,,,
2025-01-07,8.74,8.80,8.71,8.72,-0.03,-0.34,"328,712",,,,,
2025-01-06,8.82,8.85,8.75,8.75,-0.10,-1.13,"287,740",,,,,
2025-01-05,8.81,8.92,8.81,8.85,0.01,0.11,"149,700",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2025-01-05,11.74,11.98,11.74,11.94,0.20,1.70,"463,903",,,,,
2025-01-02,11.56,11.80,11.56,11.74,0.18,1.56,"437,874",,,,,
2025-01-01,11.46,11.64,11.46,11.56,0.10,0.87,"357,360",,,,,
2024-12-31,11.48,11.62,11.42,11.46,-0.02,-0.17,"858,004",,,,,
2024-12-30,11.40,11.50,11.38,11.48,0.08,0.70,"174,489",,,,,
2024-12-29,11.44,11.48,11.32,11.40,-0.08,-0.70,"109,132",,,,,
2024-12-26,11.44,11.54,11.40,11.48,0.04,0.35,"48,165",,,,,
2024-12-25,11.50,11.52,11.36,11.44,0.00,0.00,"221,826",,,,,
2024-12-24,11.34,11.48,11.34,11.44,0.04,0.35,"135,542",,,,,
2024-12-23,11.50,11.54,11.34,11.40,0.00,0.00,"865,302",,,,,
2024-12-22,11.14,11.44,11.14,11.40,0.24,2.15,"171,580",,,,,
2024-12-19,11.50,11.58,11.16,11.16,-0.34,-2.96,"330,970",,,,,
2024-12-18,11.30,11.60,11.30,11.50,0.08,0.70,"224,417",,,,,
2024-12-17,11.32,11.44,11.28,11.42,0.00,0.00,"223,330",,,,,
2024-12-16,11.34,11.44,11.30,11.42,0.08,0.71,"131,758",,,,,
2024-12-15,11.22,11.36,11.20,11.34,0.12,1.07,"191,093",,,,,
2024-12-12,11.28,11.28,11.14,11.22,-0.06,-0.53,"106,441",,,,,
2024-12-11,11.18,11.32,11.18,11.28,0.12,1.08,"137,946",,,,,
2024-12-10,11.10,11.18,11.08,11.16,0.06,0.54,"70,825",,,,,
2024-12-09,11.10,11.18,11.06,11.10,0.00,0.00,"224,142",,,,,
2024-12-08,11.02,11.20,11.02,11.10,0.02,0.18,"93,755",,,,,
2024-12-05,11.06,11.16,11.04,11.08,0.02,0.18,"69,749",,,,,
2024-12-04,11.04,11.14,11.02,11.06,-0.04,-0.36,"961,743",,,,,
2024-12-03,11.28,11.40,11.00,11.10,-0.04,-0.36,"357,892",,,,,
2024-12-02,11.14,11.20,11.14,11.14,-0.06,-0.54,"29,404",,,,,
2024-12-01,11.20,11.28,11.18,11.20,0.00,0.00,"12,002",,,,,
2024-11-28,11.18,11.28,11.10,11.20,0.02,0.18,"43,333",,,,,
2024-11-27,11.20,11.28,11.12,11.18,-0.06,-0.53,"73,452",,,,,
2024-11-26,11.34,11.40,11.20,11.24,-0.10,-0.88,"32,870",,,,,
2024-11-25,11.50,11.50,11.34,11.34,-0.16,-1.39,"49,654",,,,,
2024-11-24,11.22,11.50,11.00,11.50,0.16,1.41,"254,816",,,,,
2024-11-21,11.32,11.40,11.20,11.34,0.02,0.18,"151,089",,,,,
2024-11-20,11.52,11.52,11.32,11.32,-0.08,-0.70,"25,413",,,,,
2024-11-19,11.50,11.60,11.40,11.40,0.06,0.53,"160,142",,,,,
2024-11-18,11.50,11.54,11.34,11.34,-0.16,-1.39,"106,263",,,,,
2024-11-17,11.38,11.52,11.32,11.50,0.10,0.88,"133,541",,,,,
2024-11-14,11.32,11.42,11.28,11.40,0.08,0.71,"82,528",,,,,
2024-11-13,11.48,11.54,11.30,11.32,-0.16,-1.39,"59,027",,,,,
2024-11-12,11.50,11.58,11.48,11.48,-0.02,-0.17,"116,283",,,,,
2024-11-11,11.50,11.56,11.44,11.50,0.00,0.00,"187,345",,,,,
2024-11-10,11.48,11.60,11.46,11.50,-0.04,-0.35,"141,978",,,,,
2024-11-07,11.70,11.70,11.40,11.54,-0.08,-0.69,"123,424",,,,,
2024-11-06,11.50,11.66,11.50,11.62,0.12,1.04,"63,249",,,,,
2024-11-05,11.44,11.60,11.44,11.50,-0.02,-0.17,"146,162",,,,,
2024-11-04,11.42,11.64,11.36,11.52,0.10,0.88,"358,293",,,,,
2024-11-03,11.50,11.54,11.40,11.42,-0.08,-0.70,"95,138",,,,,
2024-10-31,11.40,11.50,11.24,11.50,0.10,0.88,"396,461",,,,,
2024-10-30,11.32,11.44,11.30,11.40,0.06,0.53,"76,356",,,,,
2024-10-29,11.36,11.40,11.30,11.34,-0.02,-0.18,"126,013",,,,,
2024-10-28,11.28,11.36,11.24,11.36,0.08,0.71,"313,716",,,,,
2024-10-27,11.04,11.38,11.04,11.28,0.26,2.36,"420,917",,,,,
2024-10-24,11.08,11.08,11.00,11.02,-0.06,-0.54,"107,884",,,,,
2024-10-23,10.94,11.10,10.94,11.08,0.04,0.36,"370,704",,,,,
2024-10-22,11.00,11.04,10.96,11.04,0.00,0.00,"75,080",,,,,
2024-10-21,11.02,11.04,10.94,11.04,0.04,0.36,"58,510",,,,,
2024-10-20,11.04,11.06,10.94,11.00,-0.04,-0.36,"163,157",,,,,
2024-10-17,10.90,11.04,10.90,11.04,0.10,0.91,"184,164",,,,,
2024-10-16,10.90,10.98,10.90,10.94,0.00,0.00,"77,414",,,,,
2024-10-15,10.90,10.98,10.88,10.94,0.04,0.37,"118,458",,,,,
2024-10-14,10.96,10.98,10.86,10.90,-0.06,-0.55,"285,790",,,,,
2024-10-13,10.92,11.06,10.92,10.96,0.02,0.18,"78,870",,,,,
2024-10-10,10.84,10.96,10.84,10.94,0.10,0.92,"109,918",,,,,
2024-10-09,10.90,10.96,10.80,10.84,-0.06,-0.55,"59,724",,,,,
2024-10-08,10.80,11.00,10.68,10.90,0.10,0.93,"502,386",,,,,
2024-10-07,10.50,10.80,10.50,10.80,0.20,1.89,"205,413",,,,,
2024-10-06,10.78,10.82,10.54,10.60,-0.20,-1.85,"243,839",,,,,
2024-10-03,10.94,11.04,10.80,10.80,-0.20,-1.82,"489,524",,,,,
2024-10-02,11.02,11.12,10.92,11.00,-0.22,-1.96,"324,933",,,,,
2024-10-01,11.22,11.32,11.18,11.22,0.00,0.00,"185,043",,,,,
2024-09-30,11.34,11.58,11.16,11.22,-0.26,-2.26,"467,129",,,,,
2024-09-29,11.46,11.48,11.32,11.48,0.04,0.35,"332,479",,,,,
2024-09-26,11.38,11.44,11.30,11.44,0.08,0.70,"300,338",,,,,
2024-09-25,11.34,11.44,11.30,11.36,-0.04,-0.35,"354,151",,,,,
2024-09-24,11.30,11.42,11.18,11.40,0.12,1.06,"489,041",,,,,
2024-09-22,11.60,11.60,11.28,11.28,-0.22,-1.91,"531,125",,,,,
2024-09-19,11.74,11.76,11.28,11.50,-0.14,-1.20,"789,273",,,,,
2024-09-18,11.80,11.80,11.52,11.64,-0.06,-0.51,"683,280",,,,,
2024-09-17,11.52,11.80,11.50,11.70,0.18,1.56,"1,267,692",,,,,
2024-09-16,11.36,11.70,11.28,11.52,0.18,1.59,"1,816,137",,,,,
2024-09-15,10.98,11.42,10.88,11.34,0.44,4.04,"1,307,501",,,,,
2024-09-12,10.96,11.18,10.88,10.90,-0.06,-0.55,"2,091,685",,,,,
2024-09-11,10.88,11.04,10.82,10.96,0.08,0.74,"439,142",,,,,
2024-09-10,10.94,11.04,10.84,10.88,-0.06,-0.55,"402,896",,,,,
2024-09-09,11.08,11.08,10.86,10.94,-0.06,-0.55,"290,279",,,,,
2024-09-08,10.78,11.12,10.74,11.00,0.28,2.61,"862,825",,,,,
2024-09-05,10.74,10.76,10.70,10.72,0.02,0.19,"108,304",,,,,
2024-09-04,10.84,10.84,10.66,10.70,-0.16,-1.47,"215,980",,,,,
2024-09-03,10.88,10.92,10.82,10.86,-0.02,-0.18,"122,858",,,,,
2024-09-02,10.80,10.98,10.80,10.88,0.08,0.74,"245,732",,,,,
2024-09-01,10.78,10.82,10.70,10.80,0.10,0.93,"207,985",,,,,
2024-08-29,10.64,10.74,10.60,10.70,0.06,0.56,"108,725",,,,,
2024-08-28,10.90,10.90,10.64,10.64,-0.22,-2.03,"217,840",,,,,
2024-08-27,10.80,10.92,10.80,10.86,0.00,0.00,"152,983",,,,,
2024-08-26,10.94,10.98,10.78,10.86,-0.04,-0.37,"206,480",,,,,
2024-08-25,10.94,11.14,10.86,10.90,0.20,1.87,"900,503",,,,,
2024-08-22,10.70,10.74,10.64,10.70,0.02,0.19,"137,274",,,,,
2024-08-21,10.64,10.70,10.60,10.68,0.04,0.38,"234,280",,,,,
2024-08-20,10.64,10.66,10.54,10.64,-0.02,-0.19,"472,827",,,,,
2024-08-19,10.66,10.68,10.56,10.66,0.02,0.19,"302,518",,,,,
2024-08-18,10.74,10.76,10.60,10.64,-0.06,-0.56,"358,224",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
