0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,10.80,10.92,10.74,10.80,0.00,0.00,"17,531",,,,,
2025-05-28,10.88,10.98,10.78,10.80,-0.08,-0.74,"110,071",,,,,
2025-05-27,10.96,10.96,10.78,10.88,-0.10,-0.91,"73,320",,,,,
2025-05-26,10.96,11.02,10.86,10.98,0.02,0.18,"43,171",,,,,
2025-05-25,11.04,11.10,10.92,10.96,-0.14,-1.26,"91,412",,,,,
2025-05-22,10.98,11.16,10.96,11.10,0.12,1.09,"66,641",,,,,
2025-05-21,11.08,11.14,10.98,10.98,-0.10,-0.90,"182,600",,,,,
2025-05-20,11.16,11.16,11.00,11.08,0.06,0.54,"21,234",,,,,
2025-05-19,10.90,11.28,10.88,11.02,-0.04,-0.36,"191,490",,,,,
2025-05-18,-,-,-,11.06,0.00,0.00,-,,,,,
2025-05-15,11.04,11.06,10.90,11.06,0.02,0.18,"49,650",,,,,
2025-05-14,11.02,11.08,10.98,11.04,0.02,0.18,"15,972",,,,,
2025-05-13,11.08,11.08,10.90,11.02,-0.04,-0.36,"49,104",,,,,
2025-05-12,10.98,11.08,10.74,11.06,0.08,0.73,"56,608",,,,,
2025-05-11,10.82,11.10,10.78,10.98,0.16,1.48,"62,991",,,,,
2025-05-08,10.88,10.96,10.80,10.82,-0.06,-0.55,"22,674",,,,,
2025-05-07,10.80,10.96,10.80,10.88,0.08,0.74,"9,533",,,,,
2025-05-06,10.96,11.02,10.78,10.80,-0.14,-1.28,"74,810",,,,,
2025-05-05,10.96,11.06,10.94,10.94,-0.06,-0.55,"65,187",,,,,
2025-05-04,11.04,11.10,10.94,11.00,-0.06,-0.54,"42,490",,,,,
2025-05-01,11.12,11.16,11.02,11.06,-0.10,-0.90,"25,309",,,,,
2025-04-30,11.32,11.40,11.10,11.16,-0.10,-0.89,"34,159",,,,,
2025-04-29,11.30,11.48,11.26,11.26,-0.04,-0.35,"103,271",,,,,
2025-04-28,11.24,11.34,11.24,11.30,0.08,0.71,"25,108",,,,,
2025-04-27,11.28,11.28,11.20,11.22,-0.06,-0.53,"36,731",,,,,
2025-04-24,11.18,11.30,11.04,11.28,0.12,1.08,"111,122",,,,,
2025-04-23,11.12,11.20,11.08,11.16,0.04,0.36,"24,846",,,,,
2025-04-22,11.04,11.12,11.02,11.12,0.08,0.72,"33,410",,,,,
2025-04-21,11.14,11.20,11.04,11.04,-0.16,-1.43,"18,044",,,,,
2025-04-20,11.20,11.26,11.12,11.20,0.00,0.00,"54,622",,,,,
2025-04-17,11.34,11.34,11.12,11.20,-0.14,-1.23,"44,821",,,,,
2025-04-16,11.00,11.40,11.00,11.34,0.34,3.09,"73,395",,,,,
2025-04-15,11.04,11.14,10.96,11.00,-0.02,-0.18,"64,613",,,,,
