0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,12.48,12.64,12.42,12.64,0.16,1.28,"142,398",,,,,
2025-05-28,12.46,12.66,12.44,12.48,-0.02,-0.16,"209,514",,,,,
2025-05-27,12.46,12.58,12.38,12.50,0.04,0.32,"173,502",,,,,
2025-05-26,12.50,12.62,12.38,12.46,-0.06,-0.48,"149,536",,,,,
2025-05-25,12.38,12.76,12.34,12.52,0.14,1.13,"210,923",,,,,
2025-05-22,12.40,12.52,12.36,12.38,-0.12,-0.96,"110,998",,,,,
2025-05-21,12.54,12.56,12.36,12.50,-0.04,-0.32,"174,375",,,,,
2025-05-20,12.56,12.60,12.42,12.54,-0.02,-0.16,"182,358",,,,,
2025-05-19,12.88,12.88,12.54,12.56,-0.32,-2.48,"163,967",,,,,
2025-05-18,12.82,12.88,12.74,12.88,0.06,0.47,"48,235",,,,,
2025-05-15,13.18,13.18,12.76,12.82,-0.36,-2.73,"283,810",,,,,
2025-05-14,12.70,13.18,12.70,13.18,0.48,3.78,"449,351",,,,,
2025-05-13,12.76,12.76,12.60,12.70,0.02,0.16,"135,652",,,,,
2025-05-12,12.60,12.74,12.48,12.68,0.00,0.00,"294,223",,,,,
2025-05-11,12.32,12.80,12.32,12.68,0.38,3.09,"356,826",,,,,
2025-05-08,12.50,12.54,12.28,12.30,-0.20,-1.60,"163,402",,,,,
2025-05-07,12.48,12.66,12.44,12.50,0.02,0.16,"167,994",,,,,
2025-05-06,12.70,12.70,12.42,12.48,-0.18,-1.42,"278,237",,,,,
2025-05-05,12.50,12.66,12.44,12.66,0.18,1.44,"197,826",,,,,
2025-05-04,12.70,12.70,12.44,12.48,-0.22,-1.73,"218,028",,,,,
2025-05-01,12.74,12.76,12.68,12.70,-0.06,-0.47,"153,087",,,,,
2025-04-30,12.82,12.88,12.74,12.76,-0.08,-0.62,"173,421",,,,,
2025-04-29,13.00,13.00,12.84,12.84,-0.16,-1.23,"173,069",,,,,
2025-04-28,12.98,13.00,12.84,13.00,0.08,0.62,"278,912",,,,,
2025-04-27,13.10,13.12,12.92,12.92,-0.10,-0.77,"234,290",,,,,
2025-04-24,12.80,13.16,12.74,13.02,0.30,2.36,"522,381",,,,,
2025-04-23,12.90,12.96,12.72,12.72,-0.12,-0.93,"271,710",,,,,
2025-04-22,12.84,12.96,12.80,12.84,-0.02,-0.16,"126,467",,,,,
2025-04-21,13.00,13.00,12.84,12.86,-0.16,-1.23,"153,911",,,,,
2025-04-20,12.90,13.06,12.86,13.02,0.20,1.56,"206,207",,,,,
2025-04-17,12.96,13.02,12.82,12.82,-0.22,-1.69,"216,079",,,,,
2025-04-16,12.72,13.06,12.60,13.04,0.32,2.52,"579,921",,,,,
2025-04-15,12.70,12.84,12.66,12.72,0.02,0.16,"327,477",,,,,
2025-04-14,12.72,12.74,12.56,12.70,0.04,0.32,"291,329",,,,,
2025-04-13,12.74,12.74,12.52,12.66,0.24,1.93,"225,103",,,,,
2025-04-10,12.90,12.90,12.36,12.42,0.26,2.14,"402,248",,,,,
2025-04-09,11.90,12.22,11.90,12.16,-0.04,-0.33,"624,595",,,,,
2025-04-08,12.14,12.54,12.08,12.20,0.30,2.52,"555,604",,,,,
2025-04-07,11.90,12.02,11.54,11.90,0.00,0.00,"583,744",,,,,
2025-04-06,12.50,12.50,11.90,11.90,-1.00,-7.75,"492,391",,,,,
2025-04-03,13.12,13.12,12.88,12.90,-0.18,-1.38,"472,267",,,,,
2025-03-27,13.14,13.28,13.08,13.08,-0.06,-0.46,"280,389",,,,,
2025-03-26,13.10,13.24,13.06,13.14,0.10,0.77,"244,849",,,,,
2025-03-25,13.16,13.22,12.98,13.04,-0.06,-0.46,"242,820",,,,,
2025-03-24,13.40,13.48,12.98,13.10,-0.28,-2.09,"314,914",,,,,
2025-03-23,13.36,13.54,13.34,13.38,0.00,0.00,"86,287",,,,,
2025-03-20,13.38,13.48,13.20,13.38,-0.06,-0.45,"213,361",,,,,
2025-03-19,13.52,13.58,13.44,13.44,-0.08,-0.59,"113,210",,,,,
2025-03-18,13.94,13.94,13.50,13.52,-0.42,-3.01,"330,153",,,,,
2025-03-17,14.18,14.22,13.90,13.94,-0.20,-1.41,"332,680",,,,,
2025-03-16,14.10,14.18,14.02,14.14,0.02,0.14,"103,888",,,,,
2025-03-13,14.08,14.20,14.04,14.12,-0.02,-0.14,"123,854",,,,,
2025-03-12,14.00,14.26,13.92,14.14,0.14,1.00,"286,556",,,,,
2025-03-11,13.66,14.04,13.22,14.00,0.28,2.04,"334,993",,,,,
2025-03-10,13.80,13.88,13.68,13.72,-0.08,-0.58,"137,612",,,,,
2025-03-09,13.74,13.96,13.60,13.80,0.06,0.44,"188,779",,,,,
2025-03-06,13.86,13.88,13.64,13.74,-0.12,-0.87,"253,275",,,,,
2025-03-05,13.90,13.94,13.70,13.86,-0.12,-0.86,"98,513",,,,,
2025-03-04,14.00,14.00,13.80,13.98,0.04,0.29,"112,443",,,,,
2025-03-03,13.90,14.04,13.76,13.94,0.04,0.29,"155,437",,,,,
2025-03-02,14.10,14.18,13.84,13.90,-0.20,-1.42,"233,863",,,,,
2025-02-27,14.40,14.44,14.10,14.10,-0.30,-2.08,"318,375",,,,,
2025-02-26,14.60,14.62,14.34,14.40,-0.20,-1.37,"171,803",,,,,
2025-02-25,14.50,14.66,14.38,14.60,0.10,0.69,"224,114",,,,,
2025-02-24,14.56,14.64,14.44,14.50,-0.06,-0.41,"235,805",,,,,
2025-02-20,14.74,14.98,14.46,14.56,0.12,0.83,"1,304,732",,,,,
2025-02-19,14.58,14.58,14.32,14.44,-0.06,-0.41,"166,614",,,,,
2025-02-18,14.46,14.58,14.44,14.50,0.08,0.55,"103,094",,,,,
2025-02-17,14.70,14.72,14.38,14.42,-0.28,-1.90,"199,393",,,,,
2025-02-16,14.58,14.76,14.58,14.70,0.14,0.96,"76,500",,,,,
2025-02-13,14.60,14.74,14.54,14.56,0.00,0.00,"173,639",,,,,
2025-02-12,14.66,14.72,14.54,14.56,-0.10,-0.68,"167,066",,,,,
2025-02-11,14.90,14.90,14.64,14.66,-0.26,-1.74,"316,395",,,,,
2025-02-10,14.98,15.02,14.88,14.92,-0.04,-0.27,"222,220",,,,,
2025-02-09,14.98,15.04,14.86,14.96,-0.02,-0.13,"175,576",,,,,
2025-02-06,15.12,15.12,14.90,14.98,-0.16,-1.06,"390,564",,,,,
2025-02-05,15.14,15.16,14.96,15.14,-0.04,-0.26,"255,997",,,,,
2025-02-04,15.22,15.22,15.08,15.18,-0.04,-0.26,"100,663",,,,,
2025-02-03,15.08,15.28,14.96,15.22,0.18,1.20,"522,755",,,,,
2025-02-02,15.00,15.04,14.90,15.04,0.08,0.53,"140,934",,,,,
2025-01-30,14.96,15.00,14.86,14.96,0.00,0.00,"165,549",,,,,
2025-01-29,15.00,15.08,14.86,14.96,-0.06,-0.40,"254,028",,,,,
2025-01-28,15.06,15.22,15.02,15.02,-0.06,-0.40,"325,149",,,,,
2025-01-27,15.22,15.26,15.04,15.08,-0.14,-0.92,"340,836",,,,,
2025-01-26,15.22,15.28,15.14,15.22,0.00,0.00,"106,339",,,,,
2025-01-23,15.22,15.38,15.16,15.22,0.00,0.00,"422,063",,,,,
2025-01-22,15.00,15.36,14.96,15.22,0.26,1.74,"778,496",,,,,
2025-01-21,14.96,15.08,14.92,14.96,0.00,0.00,"200,170",,,,,
2025-01-20,15.00,15.00,14.86,14.96,-0.02,-0.13,"213,085",,,,,
2025-01-19,14.98,15.06,14.94,14.98,0.00,0.00,"244,850",,,,,
2025-01-16,15.16,15.16,14.92,14.98,-0.18,-1.19,"369,352",,,,,
2025-01-15,15.08,15.34,15.04,15.16,0.08,0.53,"787,234",,,,,
2025-01-14,15.12,15.18,15.02,15.08,-0.04,-0.26,"286,924",,,,,
2025-01-13,15.12,15.22,15.06,15.12,0.06,0.40,"298,428",,,,,
2025-01-12,15.18,15.24,15.06,15.06,-0.14,-0.92,"202,351",,,,,
2025-01-09,14.94,15.28,14.94,15.20,0.24,1.60,"773,457",,,,,
2025-01-08,14.48,15.00,14.40,14.96,0.48,3.31,"1,012,905",,,,,
2025-01-07,14.44,14.64,14.34,14.48,0.04,0.28,"677,747",,,,,
2025-01-06,14.80,14.82,14.36,14.44,-0.36,-2.43,"1,150,392",,,,,
2025-01-05,15.08,15.16,14.70,14.80,-0.28,-1.86,"633,087",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
