0,1,2,3,4,5,6,7,8,9
2025-05-29,25.00,25.35,24.94,25.10,0.26,1.05,"337,214",,
2025-05-28,24.60,25.15,24.60,24.84,0.26,1.06,"337,350",,
2025-05-27,25.30,25.35,24.54,24.58,-0.72,-2.85,"412,783",,
2025-05-26,25.85,26.00,24.98,25.30,-0.55,-2.13,"525,831",,
2025-05-25,26.10,26.30,25.65,25.85,-0.25,-0.96,"289,646",,
2025-05-22,26.40,26.65,26.10,26.10,-0.35,-1.32,"257,859",,
2025-05-21,26.90,27.00,26.45,26.45,-0.50,-1.86,"280,297",,
2025-05-20,27.00,27.05,26.70,26.95,0.00,0.00,"250,266",,
2025-05-19,26.95,27.10,26.60,26.95,0.00,0.00,"369,717",,
2025-05-18,27.15,27.30,26.40,26.95,-1.45,-5.11,"945,928",,
2025-05-15,27.95,28.40,27.50,28.40,0.35,1.25,"471,700",,
2025-05-14,27.90,28.10,27.80,28.05,0.15,0.54,"293,546",,
2025-05-13,28.15,28.20,27.80,27.90,-0.05,-0.18,"263,100",,
2025-05-12,27.40,28.15,27.35,27.95,0.55,2.01,"529,243",,
2025-05-11,28.15,28.35,27.30,27.40,-0.70,-2.49,"708,498",,
2025-05-08,28.05,28.30,27.95,28.10,0.05,0.18,"210,878",,
2025-05-07,28.30,28.40,28.00,28.05,-0.30,-1.06,"303,524",,
2025-05-06,28.65,29.00,28.30,28.35,-0.30,-1.05,"206,147",,
2025-05-05,28.25,28.75,28.05,28.65,0.30,1.06,"331,603",,
2025-05-04,28.75,28.80,28.30,28.35,-0.45,-1.56,"275,974",,
2025-05-01,28.80,29.05,28.60,28.80,-0.25,-0.86,"269,532",,
2025-04-30,29.15,29.70,29.05,29.05,0.20,0.69,"1,243,430",,
2025-04-29,28.75,29.20,28.70,28.85,0.10,0.35,"485,041",,
2025-04-28,29.10,29.10,28.55,28.75,-0.20,-0.69,"430,675",,
2025-04-27,28.90,29.15,28.70,28.95,0.35,1.22,"609,984",,
2025-04-24,27.75,28.75,27.60,28.60,0.85,3.06,"875,937",,
2025-04-23,28.00,28.10,27.70,27.75,0.10,0.36,"360,904",,
2025-04-22,27.55,27.80,27.40,27.65,-0.10,-0.36,"395,597",,
2025-04-21,28.50,28.50,27.75,27.75,-0.70,-2.46,"446,204",,
2025-04-20,28.05,28.60,28.05,28.45,0.55,1.97,"393,332",,
2025-04-17,28.45,28.45,27.80,27.90,-0.65,-2.28,"617,629",,
2025-04-16,28.45,28.70,28.30,28.55,0.10,0.35,"457,370",,
2025-04-15,29.10,29.20,28.45,28.45,-0.60,-2.07,"882,768",,
2025-04-14,29.00,29.30,28.80,29.05,0.15,0.52,"682,913",,
2025-04-13,28.15,29.20,28.00,28.90,1.05,3.77,"890,342",,
2025-04-10,27.90,28.05,27.50,27.85,1.55,5.89,"998,049",,
2025-04-09,26.95,27.65,26.20,26.30,-1.10,-4.01,"1,113,212",,
2025-04-08,28.00,28.35,27.30,27.40,-0.05,-0.18,"1,058,985",,
2025-04-07,25.80,27.45,25.55,27.45,-0.30,-1.08,"1,324,145",,
2025-04-06,28.50,29.50,27.75,27.75,-3.05,-9.90,"1,508,828",,
2025-04-03,31.40,31.55,30.80,30.80,-0.90,-2.84,"589,872",,
2025-03-27,32.05,32.05,31.50,31.70,-0.45,-1.40,"848,545",,
2025-03-26,32.05,32.50,31.45,32.15,0.10,0.31,"1,537,500",,
2025-03-25,32.75,32.90,31.90,32.05,-0.75,-2.29,"271,458",,
2025-03-24,33.00,33.15,32.65,32.80,-0.50,-1.50,"225,343",,
2025-03-23,31.80,33.35,31.80,33.30,1.40,4.39,"634,182",,
2025-03-20,31.60,32.20,31.45,31.90,0.30,0.95,"305,420",,
2025-03-19,32.05,32.05,31.40,31.60,-0.45,-1.40,"248,211",,
2025-03-18,32.70,32.70,31.90,32.05,-0.65,-1.99,"289,425",,
2025-03-17,32.95,33.10,32.45,32.70,-0.25,-0.76,"369,934",,
2025-03-16,32.45,32.95,32.10,32.95,0.95,2.97,"357,604",,
2025-03-13,31.65,32.35,31.65,32.00,0.30,0.95,"410,999",,
2025-03-12,31.85,32.20,31.50,31.70,-0.20,-0.63,"409,865",,
2025-03-11,31.50,31.90,30.40,31.90,-0.05,-0.16,"630,545",,
2025-03-10,32.00,32.25,31.70,31.95,-0.15,-0.47,"338,362",,
2025-03-09,32.15,32.40,31.90,32.10,0.05,0.16,"252,980",,
2025-03-06,32.90,33.05,31.90,32.05,-0.95,-2.88,"802,700",,
2025-03-05,34.10,34.10,32.90,33.00,-1.10,-3.23,"597,521",,
2025-03-04,34.85,34.85,33.85,34.10,-0.80,-2.29,"570,381",,
2025-03-03,34.60,34.90,34.30,34.90,0.30,0.87,"360,794",,
2025-03-02,35.30,35.30,34.45,34.60,-0.75,-2.12,"301,648",,
2025-02-27,35.00,35.35,34.90,35.35,0.40,1.14,"327,574",,
2025-02-26,34.95,35.20,34.85,34.95,0.00,0.00,"438,178",,
2025-02-25,35.30,35.30,34.75,34.95,-0.35,-0.99,"504,025",,
2025-02-24,35.40,35.45,35.15,35.30,-0.15,-0.42,"362,974",,
2025-02-20,35.80,35.85,35.35,35.45,-0.35,-0.98,"439,665",,
2025-02-19,35.25,36.10,35.25,35.80,0.60,1.70,"1,287,887",,
2025-02-18,35.20,35.35,35.05,35.20,0.05,0.14,"255,944",,
2025-02-17,35.35,35.40,35.05,35.15,-0.15,-0.42,"377,328",,
2025-02-16,35.65,35.70,35.25,35.30,-0.25,-0.70,"301,274",,
2025-02-13,35.45,35.65,35.25,35.55,0.25,0.71,"484,129",,
2025-02-12,35.75,35.75,35.20,35.30,-0.35,-0.98,"692,697",,
2025-02-11,36.00,36.10,35.65,35.65,-0.45,-1.25,"742,620",,
2025-02-10,36.35,36.50,36.00,36.10,-0.30,-0.82,"761,131",,
2025-02-09,36.35,36.70,36.15,36.40,0.05,0.14,"879,293",,
2025-02-06,36.50,36.65,36.25,36.35,-0.05,-0.14,"703,409",,
2025-02-05,36.15,36.70,36.00,36.40,0.30,0.83,"1,104,570",,
2025-02-04,35.90,36.50,35.90,36.10,0.20,0.56,"684,592",,
2025-02-03,36.30,36.30,35.85,35.90,-0.40,-1.10,"575,504",,
2025-02-02,36.15,36.30,35.75,36.30,0.20,0.55,"701,561",,
2025-01-30,35.85,36.35,35.80,36.10,0.25,0.70,"547,153",,
2025-01-29,36.20,36.30,35.80,35.85,-0.35,-0.97,"786,352",,
2025-01-28,36.60,36.60,36.10,36.20,-0.35,-0.96,"837,727",,
2025-01-27,36.60,37.05,36.10,36.55,0.05,0.14,"2,075,995",,
2025-01-26,35.60,36.50,35.55,36.50,0.95,2.67,"1,501,582",,
2025-01-23,35.55,35.70,35.35,35.55,-0.05,-0.14,"418,710",,
2025-01-22,36.10,36.10,35.55,35.60,-0.35,-0.97,"599,222",,
2025-01-21,35.55,36.25,35.50,35.95,0.40,1.13,"968,318",,
2025-01-20,35.55,35.80,35.30,35.55,0.05,0.14,"759,388",,
2025-01-19,35.70,35.85,35.50,35.50,-0.10,-0.28,"685,149",,
2025-01-16,36.10,36.20,35.60,35.60,-0.40,-1.11,"739,845",,
2025-01-15,36.00,36.20,35.70,36.00,0.05,0.14,"850,261",,
2025-01-14,35.80,36.30,35.70,35.95,0.15,0.42,"1,087,013",,
2025-01-13,35.35,35.95,35.30,35.80,0.45,1.27,"965,712",,
2025-01-12,35.05,35.45,34.90,35.35,0.30,0.86,"648,214",,
2025-01-09,35.40,35.65,34.95,35.05,-0.35,-0.99,"907,133",,
2025-01-08,35.60,35.65,35.05,35.40,-0.20,-0.56,"664,572",,
2025-01-07,35.55,35.70,35.25,35.60,0.05,0.14,"455,856",,
2025-01-06,35.10,35.90,34.90,35.55,0.60,1.72,"1,419,403",,
2025-01-05,35.00,35.10,34.80,34.95,0.00,0.00,"448,121",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
