0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,174.40,175.00,171.20,174.80,2.40,1.39,"189,976",,,,,
2025-05-28,170.20,174.00,170.20,172.40,1.60,0.94,"81,649",,,,,
2025-05-27,174.60,174.60,170.80,170.80,-3.00,-1.73,"58,993",,,,,
2025-05-26,171.20,173.80,169.80,173.80,2.80,1.64,"65,823",,,,,
2025-05-25,173.00,174.20,170.80,171.00,-2.00,-1.16,"30,977",,,,,
2025-05-22,174.60,174.60,171.00,173.00,-0.40,-0.23,"68,554",,,,,
2025-05-21,175.60,176.00,173.40,173.40,-2.60,-1.48,"60,680",,,,,
2025-05-20,179.40,179.40,173.80,176.00,-3.60,-2.00,"181,968",,,,,
2025-05-19,183.00,183.00,178.20,179.60,-1.60,-0.88,"73,297",,,,,
2025-05-18,179.80,183.00,179.80,181.20,2.20,1.23,"42,858",,,,,
2025-05-15,181.00,181.00,179.00,179.00,-2.20,-1.21,"76,947",,,,,
2025-05-14,181.00,182.60,179.80,181.20,1.20,0.67,"81,982",,,,,
2025-05-13,183.00,184.80,179.60,180.00,-2.40,-1.32,"87,831",,,,,
2025-05-12,178.00,185.60,178.00,182.40,5.00,2.82,"186,640",,,,,
2025-05-11,179.20,179.60,177.20,177.40,-1.20,-0.67,"40,676",,,,,
2025-05-08,183.60,185.00,177.20,178.60,-5.00,-2.72,"232,867",,,,,
2025-05-07,184.00,185.00,182.80,183.60,0.60,0.33,"58,981",,,,,
2025-05-06,184.80,186.20,182.60,183.00,-1.80,-0.97,"53,118",,,,,
2025-05-05,185.00,187.40,184.80,184.80,-0.40,-0.22,"70,854",,,,,
2025-05-04,187.00,188.00,184.00,185.20,-0.40,-0.22,"25,229",,,,,
2025-05-01,183.20,187.00,183.00,185.60,2.40,1.31,"80,517",,,,,
2025-04-30,185.20,186.40,183.20,183.20,-1.80,-0.97,"289,487",,,,,
2025-04-29,191.00,193.00,185.00,185.00,-5.60,-2.94,"278,494",,,,,
2025-04-28,192.80,193.00,190.00,190.60,-2.00,-1.04,"90,483",,,,,
2025-04-27,194.00,194.00,191.80,192.60,-3.20,-1.63,"49,277",,,,,
2025-04-24,196.20,196.20,194.40,195.80,1.40,0.72,"67,348",,,,,
2025-04-23,195.00,197.20,194.40,194.40,-0.40,-0.21,"62,330",,,,,
2025-04-22,194.20,195.00,193.00,194.80,-1.40,-0.71,"32,964",,,,,
2025-04-21,195.40,197.40,194.20,196.20,1.00,0.51,"34,893",,,,,
2025-04-20,194.80,196.60,194.80,195.20,0.40,0.21,"11,550",,,,,
2025-04-17,195.00,196.00,193.60,194.80,-1.40,-0.71,"45,788",,,,,
2025-04-16,196.20,198.20,195.20,196.20,-1.00,-0.51,"86,108",,,,,
2025-04-15,196.20,198.00,195.80,197.20,1.00,0.51,"79,559",,,,,
2025-04-14,197.40,197.60,195.00,196.20,-1.00,-0.51,"59,533",,,,,
2025-04-13,197.80,199.40,195.60,197.20,-0.20,-0.10,"82,171",,,,,
2025-04-10,198.00,198.00,192.00,197.40,12.60,6.82,"199,097",,,,,
2025-04-09,188.60,192.40,184.80,184.80,-4.80,-2.53,"235,032",,,,,
2025-04-08,196.60,196.80,189.60,189.60,-3.20,-1.66,"219,774",,,,,
2025-04-07,181.00,194.00,177.40,192.80,8.60,4.67,"370,413",,,,,
2025-04-06,183.80,189.80,181.00,184.20,-13.80,-6.97,"409,145",,,,,
2025-04-03,203.00,203.20,197.40,198.00,-6.00,-2.94,"222,504",,,,,
2025-03-27,203.20,205.00,202.80,204.00,0.80,0.39,"99,508",,,,,
2025-03-26,202.00,205.60,199.00,203.20,2.20,1.09,"216,220",,,,,
2025-03-25,204.20,204.60,200.00,201.00,-3.20,-1.57,"155,894",,,,,
2025-03-24,209.20,209.20,203.00,204.20,-5.40,-2.58,"158,733",,,,,
2025-03-23,212.00,212.00,209.20,209.60,-2.40,-1.13,"29,664",,,,,
2025-03-20,209.00,212.00,208.00,212.00,2.80,1.34,"138,350",,,,,
2025-03-19,209.00,210.20,208.20,209.20,0.60,0.29,"84,513",,,,,
2025-03-18,211.20,211.20,207.60,208.60,-2.80,-1.32,"69,482",,,,,
2025-03-17,210.20,211.80,209.00,211.40,1.20,0.57,"46,093",,,,,
2025-03-16,206.80,210.60,206.80,210.20,3.40,1.64,"37,822",,,,,
2025-03-13,205.80,209.00,205.60,206.80,-0.80,-0.39,"116,313",,,,,
