0,1,2,3,4,5,6,7,8,9
2025-05-29,46.90,47.15,45.85,45.85,-1.05,-2.24,"529,706",,
2025-05-28,47.10,47.30,46.60,46.90,-0.10,-0.21,"124,781",,
2025-05-27,47.95,47.95,46.50,47.00,-0.95,-1.98,"57,617",,
2025-05-26,47.90,47.95,46.90,47.95,-0.10,-0.21,"116,408",,
2025-05-25,47.80,48.40,47.70,48.05,-0.05,-0.10,"48,966",,
2025-05-22,48.30,48.30,47.75,48.10,-0.40,-0.82,"83,055",,
2025-05-21,48.25,48.50,47.25,48.50,0.00,0.00,"114,957",,
2025-05-20,48.95,49.20,48.20,48.50,-0.35,-0.72,"52,743",,
2025-05-19,49.00,49.25,48.30,48.85,-0.15,-0.31,"113,608",,
2025-05-18,49.15,49.25,48.70,49.00,-0.15,-0.31,"83,059",,
2025-05-15,49.45,49.60,48.75,49.15,-0.30,-0.61,"105,376",,
2025-05-14,49.00,49.70,48.65,49.45,0.30,0.61,"245,493",,
2025-05-13,50.40,50.90,48.60,49.15,0.85,1.76,"522,210",,
2025-05-12,46.85,48.30,46.85,48.30,1.10,2.33,"162,646",,
2025-05-11,47.55,47.55,46.75,47.20,0.10,0.21,"41,275",,
2025-05-08,47.00,47.55,46.80,47.10,0.10,0.21,"72,044",,
2025-05-07,47.10,47.20,46.35,47.00,-0.10,-0.21,"93,551",,
2025-05-06,47.05,47.30,46.40,47.10,-0.05,-0.11,"247,748",,
2025-05-05,47.35,47.45,46.80,47.15,-0.25,-0.53,"98,222",,
2025-05-04,47.55,47.55,46.85,47.40,-0.15,-0.32,"77,634",,
2025-05-01,47.25,47.55,46.65,47.55,0.15,0.32,"205,996",,
2025-04-30,48.00,48.00,46.95,47.40,-0.60,-1.25,"142,604",,
2025-04-29,48.00,48.20,47.65,48.00,-0.15,-0.31,"134,468",,
2025-04-28,48.45,48.65,47.95,48.15,-0.25,-0.52,"101,922",,
2025-04-27,47.40,48.65,47.35,48.40,1.30,2.76,"232,155",,
2025-04-24,47.30,47.30,46.85,47.10,-0.25,-0.53,"130,110",,
2025-04-23,47.50,47.60,46.60,47.35,0.15,0.32,"80,403",,
2025-04-22,46.70,47.20,46.05,47.20,0.40,0.85,"57,931",,
2025-04-21,47.80,47.80,46.25,46.80,-0.60,-1.27,"88,005",,
2025-04-20,46.65,47.40,46.60,47.40,0.90,1.94,"67,056",,
2025-04-17,46.45,47.00,46.20,46.50,-0.60,-1.27,"105,909",,
2025-04-16,47.25,47.25,46.40,47.10,-0.35,-0.74,"189,975",,
2025-04-15,47.90,48.10,47.25,47.45,-0.55,-1.15,"174,667",,
2025-04-14,47.90,48.60,47.05,48.00,0.75,1.59,"232,822",,
2025-04-13,46.55,47.70,46.35,47.25,1.00,2.16,"173,910",,
2025-04-10,47.90,47.90,46.10,46.25,-0.10,-0.22,"387,557",,
2025-04-09,45.70,46.35,45.35,46.35,0.40,0.87,"72,066",,
2025-04-08,45.75,47.20,45.25,45.95,0.25,0.55,"181,525",,
2025-04-07,44.45,45.85,43.00,45.70,0.50,1.11,"267,521",,
2025-04-06,45.50,48.00,44.65,45.20,-3.10,-6.42,"146,222",,
2025-04-03,50.20,50.20,48.10,48.30,-2.20,-4.36,"225,879",,
2025-03-27,50.50,50.90,49.85,50.50,0.00,0.00,"152,450",,
2025-03-26,49.50,50.60,49.50,50.50,1.00,2.02,"126,278",,
2025-03-25,50.20,50.20,49.30,49.50,-0.60,-1.20,"84,333",,
2025-03-24,49.50,50.20,49.20,50.10,0.60,1.21,"159,705",,
2025-03-23,49.90,49.90,49.30,49.50,-0.50,-1.00,"110,723",,
2025-03-20,49.65,50.80,49.55,50.00,0.15,0.30,"168,597",,
2025-03-19,49.75,50.40,49.20,49.85,0.05,0.10,"133,792",,
2025-03-18,51.20,51.20,49.50,49.80,-1.30,-2.54,"176,080",,
2025-03-17,51.60,51.80,50.80,51.10,-0.50,-0.97,"173,716",,
2025-03-16,52.00,52.40,51.30,51.60,-0.40,-0.77,"242,153",,
2025-03-13,52.20,52.70,51.80,52.00,-0.30,-0.57,"171,666",,
2025-03-12,53.30,53.50,51.60,52.30,-1.00,-1.88,"108,758",,
2025-03-11,52.20,53.60,51.30,53.30,-0.10,-0.19,"162,737",,
2025-03-10,53.50,54.00,52.40,53.40,0.00,0.00,"88,606",,
2025-03-09,53.50,54.00,52.50,53.40,-0.10,-0.19,"45,105",,
2025-03-06,53.40,53.70,52.30,53.50,0.20,0.38,"96,228",,
2025-03-05,53.70,53.70,52.10,53.30,-0.40,-0.74,"72,155",,
2025-03-04,53.00,54.50,52.90,53.70,0.50,0.94,"73,980",,
2025-03-03,54.00,54.30,52.40,53.20,-0.80,-1.48,"103,168",,
2025-03-02,54.40,54.40,53.20,54.00,-0.40,-0.74,"28,016",,
2025-02-27,54.40,54.80,53.50,54.40,-0.10,-0.18,"93,003",,
2025-02-26,53.80,55.10,53.00,54.50,0.70,1.30,"224,306",,
2025-02-25,54.00,54.40,53.20,53.80,-0.20,-0.37,"63,057",,
2025-02-24,55.10,55.10,53.80,54.00,-1.10,-2.00,"58,850",,
2025-02-20,54.20,55.20,53.60,55.10,0.90,1.66,"81,692",,
2025-02-19,55.00,55.00,54.10,54.20,-0.80,-1.45,"82,342",,
2025-02-18,55.70,56.20,54.60,55.00,-0.70,-1.26,"115,682",,
2025-02-17,55.80,55.80,55.00,55.70,-0.10,-0.18,"60,636",,
2025-02-16,55.60,56.60,55.60,55.80,0.10,0.18,"93,466",,
2025-02-13,56.20,56.50,55.60,55.70,-0.50,-0.89,"57,844",,
2025-02-12,56.70,56.70,56.00,56.20,-0.40,-0.71,"79,629",,
2025-02-11,57.00,57.30,56.30,56.60,-0.40,-0.70,"116,195",,
2025-02-10,57.50,57.60,56.80,57.00,-0.70,-1.21,"86,191",,
2025-02-09,58.00,58.20,57.60,57.70,-0.30,-0.52,"71,623",,
2025-02-06,57.90,58.00,57.50,58.00,0.10,0.17,"54,636",,
2025-02-05,57.90,58.10,57.20,57.90,0.00,0.00,"114,045",,
2025-02-04,56.90,58.20,56.90,57.90,0.80,1.40,"190,519",,
2025-02-03,56.80,57.70,56.70,57.10,0.30,0.53,"230,434",,
2025-02-02,57.40,57.50,56.70,56.80,-0.60,-1.05,"117,784",,
2025-01-30,57.50,57.70,57.00,57.40,0.00,0.00,"86,314",,
2025-01-29,58.10,58.40,56.90,57.40,-0.40,-0.69,"174,911",,
2025-01-28,57.00,58.00,56.60,57.80,0.80,1.40,"253,492",,
2025-01-27,56.90,57.50,56.60,57.00,0.10,0.18,"134,440",,
2025-01-26,57.30,57.30,56.60,56.90,0.10,0.18,"72,504",,
2025-01-23,56.90,57.20,56.50,56.80,-0.10,-0.18,"51,171",,
2025-01-22,57.20,57.50,56.90,56.90,-0.30,-0.52,"82,915",,
2025-01-21,56.00,57.50,56.00,57.20,1.20,2.14,"208,577",,
2025-01-20,56.60,57.00,55.90,56.00,-0.80,-1.41,"357,676",,
2025-01-19,57.30,57.50,56.40,56.80,-0.50,-0.87,"158,965",,
2025-01-16,57.50,57.70,57.20,57.30,-0.10,-0.17,"73,289",,
2025-01-15,58.00,58.20,57.30,57.40,-0.60,-1.03,"189,851",,
2025-01-14,57.40,58.50,57.40,58.00,0.70,1.22,"357,170",,
2025-01-13,57.60,58.00,57.30,57.30,-0.30,-0.52,"108,103",,
2025-01-12,57.60,57.70,57.30,57.60,0.10,0.17,"44,310",,
2025-01-09,57.30,57.70,57.20,57.50,0.00,0.00,"43,276",,
2025-01-08,57.40,57.70,57.20,57.50,0.10,0.17,"122,319",,
2025-01-07,57.70,57.90,57.20,57.40,-0.30,-0.52,"123,069",,
