0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,37.85,38.10,37.45,37.95,0.50,1.34,"56,720",,,,,
2025-05-28,37.45,38.45,37.35,37.45,-0.35,-0.93,"101,585",,,,,
2025-05-27,39.00,39.00,37.40,37.80,-0.85,-2.20,"71,822",,,,,
2025-05-26,38.60,39.30,38.10,38.65,0.05,0.13,"63,399",,,,,
2025-05-25,39.50,39.50,38.50,38.60,-0.60,-1.53,"39,627",,,,,
2025-05-22,39.40,39.75,38.95,39.20,-0.35,-0.88,"54,269",,,,,
2025-05-21,40.65,40.70,39.30,39.55,-1.05,-2.59,"106,431",,,,,
2025-05-20,39.70,40.75,39.70,40.60,0.60,1.50,"108,332",,,,,
2025-05-19,39.10,40.45,39.10,40.00,-0.10,-0.25,"78,108",,,,,
2025-05-18,41.00,41.50,39.85,40.10,-0.85,-2.08,"96,046",,,,,
2025-05-15,42.30,42.30,39.80,40.95,-1.35,-3.19,"219,944",,,,,
2025-05-14,42.55,43.00,42.30,42.30,-0.20,-0.47,"59,187",,,,,
2025-05-13,43.30,43.40,42.25,42.50,-0.15,-0.35,"75,580",,,,,
2025-05-12,42.25,43.20,41.65,42.65,1.40,3.39,"157,455",,,,,
2025-05-11,42.15,42.90,40.70,41.25,-0.90,-2.14,"108,356",,,,,
2025-05-08,43.35,43.35,42.00,42.15,-0.75,-1.75,"63,718",,,,,
2025-05-07,43.55,44.20,42.90,42.90,-1.40,-3.16,"60,043",,,,,
2025-05-06,45.05,45.05,43.85,44.30,-0.35,-0.78,"72,158",,,,,
2025-05-05,43.00,44.70,43.00,44.65,1.05,2.41,"95,987",,,,,
2025-05-04,45.50,45.85,43.40,43.60,-1.30,-2.90,"90,570",,,,,
2025-05-01,44.90,45.20,44.35,44.90,-0.15,-0.33,"46,973",,,,,
2025-04-30,45.50,45.50,44.50,45.05,-0.25,-0.55,"117,330",,,,,
2025-04-29,46.45,46.45,45.15,45.30,-0.75,-1.63,"149,832",,,,,
2025-04-28,45.60,47.15,45.20,46.05,0.75,1.66,"454,316",,,,,
2025-04-27,46.00,46.00,45.00,45.30,0.45,1.00,"162,672",,,,,
2025-04-24,46.05,46.20,44.75,44.85,-0.45,-0.99,"265,067",,,,,
2025-04-23,45.90,46.40,44.60,45.30,-0.15,-0.33,"465,362",,,,,
2025-04-22,43.00,46.00,42.70,45.45,2.45,5.70,"975,298",,,,,
2025-04-21,42.30,44.30,42.30,43.00,0.70,1.65,"565,965",,,,,
2025-04-20,42.45,43.10,41.90,42.30,0.50,1.20,"234,415",,,,,
2025-04-17,41.65,44.20,41.40,41.80,0.20,0.48,"663,079",,,,,
2025-04-16,41.90,42.50,41.35,41.60,0.10,0.24,"72,634",,,,,
2025-04-15,41.70,42.90,41.45,41.50,0.25,0.61,"186,956",,,,,
2025-04-14,40.20,41.90,40.20,41.25,1.05,2.61,"257,465",,,,,
