0,1,2,3,4,5,6,7,8,9
2025-05-29,51.50,51.90,51.20,51.30,-0.20,-0.39,"1,782,934",,
2025-05-28,51.40,52.20,51.00,51.50,0.10,0.19,"1,124,362",,
2025-05-27,51.60,51.60,50.70,51.40,-0.40,-0.77,"506,875",,
2025-05-26,50.90,51.80,50.80,51.80,0.80,1.57,"632,511",,
2025-05-25,51.40,51.40,50.80,51.00,-0.50,-0.97,"400,943",,
2025-05-22,51.20,51.50,50.90,51.50,0.30,0.59,"517,983",,
2025-05-21,52.10,52.30,51.00,51.20,-1.00,-1.92,"699,723",,
2025-05-20,51.60,52.40,51.20,52.20,0.80,1.56,"1,269,824",,
2025-05-19,52.00,52.00,51.10,51.40,-0.50,-0.96,"794,194",,
2025-05-18,52.60,52.60,51.50,51.90,-0.70,-1.33,"1,259,195",,
2025-05-15,52.90,53.20,52.40,52.60,-0.10,-0.19,"1,179,262",,
2025-05-14,52.70,53.00,52.50,52.70,-0.10,-0.19,"810,307",,
2025-05-13,52.60,52.90,52.10,52.80,0.20,0.38,"786,379",,
2025-05-12,52.10,52.80,52.10,52.60,0.60,1.15,"886,430",,
2025-05-11,51.90,52.10,51.60,52.00,0.50,0.97,"341,447",,
2025-05-08,52.20,52.30,51.50,51.50,-0.70,-1.34,"1,196,470",,
2025-05-07,51.50,52.30,51.50,52.20,0.40,0.77,"846,094",,
2025-05-06,51.30,51.90,51.10,51.80,0.50,0.97,"4,803,574",,
2025-05-05,51.00,51.90,50.50,51.30,0.30,0.59,"1,021,108",,
2025-05-04,52.00,52.10,51.00,51.00,-1.00,-1.92,"647,302",,
2025-05-01,52.80,52.90,51.80,52.00,-0.80,-1.52,"1,345,171",,
2025-04-30,53.10,53.20,52.60,52.80,-0.40,-0.75,"1,725,686",,
2025-04-29,53.40,53.80,53.00,53.20,-0.20,-0.37,"1,261,031",,
2025-04-28,53.40,53.40,52.30,53.40,0.10,0.19,"1,320,546",,
2025-04-27,53.60,53.80,53.00,53.30,-0.50,-0.93,"433,902",,
2025-04-24,53.40,54.00,53.30,53.80,0.40,0.75,"1,005,582",,
2025-04-23,52.80,53.40,52.50,53.40,0.60,1.14,"654,444",,
2025-04-22,53.00,53.10,52.30,52.80,0.00,0.00,"725,725",,
2025-04-21,53.60,53.60,52.70,52.80,-0.70,-1.31,"481,623",,
2025-04-20,53.30,53.60,53.00,53.50,1.00,1.90,"991,452",,
2025-04-17,53.00,53.00,52.50,52.50,-0.80,-1.50,"632,145",,
2025-04-16,53.40,53.50,52.60,53.30,-0.20,-0.37,"1,304,675",,
2025-04-15,53.70,53.70,53.00,53.50,0.00,0.00,"1,268,364",,
2025-04-14,53.80,54.00,53.20,53.50,-0.70,-1.29,"959,962",,
2025-04-13,54.30,54.40,53.80,54.20,0.20,0.37,"1,245,432",,
2025-04-10,55.00,55.20,53.70,54.00,0.00,0.00,"1,269,468",,
2025-04-09,54.10,54.80,53.30,54.00,-0.10,-0.18,"1,005,737",,
2025-04-08,54.10,55.00,53.20,54.10,0.20,0.37,"884,950",,
2025-04-07,52.00,54.00,50.60,53.90,1.90,3.65,"1,162,855",,
2025-04-06,53.60,54.00,52.00,52.00,-2.90,-5.28,"821,584",,
