0,1,2,3,4,5,6,7,8,9
2025-05-29,46.60,47.00,45.90,46.15,-0.25,-0.54,"187,468",,
2025-05-28,46.45,46.85,46.20,46.40,0.30,0.65,"124,399",,
2025-05-27,46.95,46.95,45.85,46.10,-0.55,-1.18,"219,191",,
2025-05-26,47.30,47.60,45.80,46.65,-0.55,-1.17,"320,554",,
2025-05-25,48.10,48.50,46.95,47.20,-0.90,-1.87,"379,407",,
2025-05-22,48.80,49.45,48.05,48.10,-0.80,-1.64,"294,677",,
2025-05-21,50.00,50.00,48.80,48.90,-1.20,-2.40,"213,894",,
2025-05-20,49.95,50.60,49.80,50.10,0.50,1.01,"218,244",,
2025-05-19,51.20,51.20,49.60,49.60,-1.40,-2.75,"308,918",,
2025-05-18,50.70,51.90,50.50,51.00,0.30,0.59,"695,867",,
2025-05-15,49.85,51.90,49.10,50.70,0.80,1.60,"1,381,001",,
2025-05-14,48.65,50.80,48.20,49.90,1.85,3.85,"1,147,986",,
2025-05-13,48.85,48.85,47.85,48.05,-0.40,-0.83,"158,015",,
2025-05-12,48.10,48.80,48.00,48.45,0.50,1.04,"241,143",,
2025-05-11,49.40,49.65,47.50,47.95,-1.25,-2.54,"288,144",,
2025-05-08,49.75,49.80,48.85,49.20,-0.20,-0.40,"186,228",,
2025-05-07,49.75,49.85,48.95,49.40,-0.35,-0.70,"288,690",,
2025-05-06,50.40,51.20,49.70,49.75,-0.65,-1.29,"301,988",,
2025-05-05,49.80,51.10,49.40,50.40,0.65,1.31,"395,131",,
2025-05-04,51.40,51.70,49.75,49.75,-1.65,-3.21,"323,395",,
2025-05-01,51.50,51.60,50.20,51.40,-0.20,-0.39,"614,986",,
2025-04-30,52.90,53.10,50.90,51.60,-1.30,-2.46,"623,033",,
2025-04-29,52.80,55.00,52.50,52.90,0.20,0.38,"1,081,899",,
2025-04-28,53.30,54.00,52.40,52.70,-1.00,-1.86,"859,245",,
2025-04-27,50.30,54.70,50.30,53.70,3.90,7.83,"2,417,526",,
2025-04-24,49.35,50.40,48.90,49.80,0.65,1.32,"681,487",,
2025-04-23,50.00,50.50,48.85,49.15,-0.40,-0.81,"384,740",,
2025-04-22,49.00,50.00,48.85,49.55,0.15,0.30,"347,423",,
2025-04-21,50.50,50.50,49.30,49.40,-0.90,-1.79,"297,234",,
2025-04-20,49.95,50.90,49.95,50.30,0.55,1.11,"302,222",,
2025-04-17,51.20,52.20,49.65,49.75,-1.35,-2.64,"714,622",,
2025-04-16,52.10,52.90,50.60,51.10,-0.70,-1.35,"463,295",,
2025-04-15,51.50,54.30,51.20,51.80,0.40,0.78,"1,038,471",,
2025-04-14,52.00,52.40,51.20,51.40,-0.50,-0.96,"708,157",,
2025-04-13,49.00,53.10,48.70,51.90,3.50,7.23,"1,272,189",,
2025-04-10,48.00,49.75,47.40,48.40,2.95,6.49,"1,035,670",,
2025-04-09,46.00,47.10,45.00,45.45,-1.15,-2.47,"557,480",,
2025-04-08,47.55,48.65,46.50,46.60,-0.15,-0.32,"648,684",,
2025-04-07,45.60,48.40,43.75,46.75,-1.50,-3.11,"1,216,601",,
2025-04-06,48.50,50.00,48.25,48.25,-5.35,-9.98,"822,328",,
2025-04-03,54.10,55.40,53.10,53.60,-4.40,-7.59,"1,470,048",,
2025-03-27,58.60,59.20,57.50,58.00,-0.60,-1.02,"724,691",,
2025-03-26,56.50,58.60,56.40,58.60,2.20,3.90,"655,769",,
2025-03-25,59.00,59.20,56.40,56.40,-2.70,-4.57,"1,032,464",,
2025-03-24,58.20,59.40,57.90,59.10,0.80,1.37,"824,604",,
2025-03-23,60.10,60.60,58.30,58.30,-1.70,-2.83,"1,266,274",,
2025-03-20,63.20,63.30,59.50,60.00,-3.00,-4.76,"2,033,632",,
2025-03-19,62.70,64.00,61.60,63.00,0.70,1.12,"2,553,719",,
2025-03-18,71.50,72.80,60.70,62.30,-2.70,-4.15,"13,665,378",,
2025-03-17,55.00,65.00,55.00,65.00,15.00,30.00,"345,363",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
