0,1,2,3,4,5,6,7,8,9
2025-05-29,41.80,42.35,41.75,42.35,0.70,1.68,"79,253",,
2025-05-28,41.95,42.50,41.65,41.65,-0.25,-0.60,"185,040",,
2025-05-27,42.50,42.50,41.70,41.90,-0.40,-0.95,"90,178",,
2025-05-26,42.90,43.15,41.55,42.30,-0.50,-1.17,"86,866",,
2025-05-25,43.20,43.30,42.65,42.80,-0.30,-0.70,"65,924",,
2025-05-22,43.50,43.65,43.10,43.10,-0.55,-1.26,"92,644",,
2025-05-21,44.20,44.25,43.55,43.65,-0.45,-1.02,"89,710",,
2025-05-20,44.20,44.50,44.00,44.10,-0.20,-0.45,"76,864",,
2025-05-19,44.35,44.65,44.20,44.30,-0.10,-0.23,"94,120",,
2025-05-18,44.95,45.05,44.25,44.40,-0.55,-1.22,"128,879",,
2025-05-15,44.95,45.00,44.60,44.95,0.00,0.00,"88,076",,
2025-05-14,45.15,45.20,44.80,44.95,-0.20,-0.44,"134,006",,
2025-05-13,45.10,45.55,44.95,45.15,0.05,0.11,"192,769",,
2025-05-12,44.55,45.30,44.40,45.10,0.55,1.23,"144,608",,
2025-05-11,44.10,45.00,44.10,44.55,0.95,2.18,"130,410",,
2025-05-08,44.00,44.10,43.00,43.60,-0.40,-0.91,"265,383",,
2025-05-07,44.45,44.50,43.80,44.00,-0.35,-0.79,"103,961",,
2025-05-06,44.70,44.80,44.35,44.35,-0.35,-0.78,"27,814",,
2025-05-05,44.30,44.90,44.20,44.70,0.30,0.68,"75,685",,
2025-05-04,44.90,45.05,44.30,44.40,-0.50,-1.11,"74,103",,
2025-05-01,45.05,45.10,44.60,44.90,-0.15,-0.33,"72,522",,
2025-04-30,45.80,45.80,44.95,45.05,-0.75,-1.64,"132,976",,
2025-04-29,45.90,46.15,45.65,45.80,-0.25,-0.54,"55,119",,
2025-04-28,46.10,46.30,45.70,46.05,-0.15,-0.32,"95,425",,
2025-04-27,45.75,46.30,45.75,46.20,0.50,1.09,"129,431",,
2025-04-24,45.50,45.70,45.40,45.70,0.15,0.33,"83,018",,
2025-04-23,45.50,45.80,45.35,45.55,0.15,0.33,"88,628",,
2025-04-22,45.10,45.65,45.00,45.40,0.00,0.00,"101,182",,
2025-04-21,45.75,45.85,45.40,45.40,-0.35,-0.77,"72,295",,
2025-04-20,45.90,45.95,45.65,45.75,0.20,0.44,"60,260",,
2025-04-17,45.70,46.00,45.45,45.55,-0.25,-0.55,"61,190",,
2025-04-16,46.00,46.10,45.65,45.80,0.00,0.00,"74,050",,
2025-04-15,46.40,46.55,45.80,45.80,-0.50,-1.08,"125,284",,
2025-04-14,46.05,46.50,45.80,46.30,0.30,0.65,"87,163",,
2025-04-13,46.00,46.35,45.85,46.00,0.20,0.44,"102,867",,
2025-04-10,46.25,46.30,45.40,45.80,1.65,3.74,"205,369",,
2025-04-09,45.00,45.25,44.10,44.15,-1.10,-2.43,"199,387",,
2025-04-08,45.30,46.30,45.10,45.25,0.10,0.22,"173,921",,
2025-04-07,44.00,45.40,42.55,45.15,0.85,1.92,"375,251",,
2025-04-06,45.85,46.00,44.25,44.30,-3.70,-7.71,"405,952",,
2025-04-03,48.35,48.90,47.85,48.00,-1.00,-2.04,"131,650",,
2025-03-27,48.30,49.00,48.00,49.00,0.70,1.45,"146,890",,
2025-03-26,47.40,48.40,47.40,48.30,1.10,2.33,"227,504",,
2025-03-25,47.60,47.95,47.15,47.20,-0.40,-0.84,"133,919",,
2025-03-24,46.55,47.70,46.45,47.60,0.85,1.82,"155,780",,
2025-03-23,46.90,46.95,46.05,46.75,-0.15,-0.32,"213,388",,
2025-03-20,46.60,47.15,46.50,46.90,-0.75,-1.57,"187,185",,
2025-03-19,48.00,48.00,47.20,47.65,-0.35,-0.73,"179,160",,
2025-03-18,48.00,48.25,47.70,48.00,0.10,0.21,"168,402",,
2025-03-17,48.80,49.00,47.80,47.90,-0.50,-1.03,"411,555",,
2025-03-16,47.90,48.40,47.55,48.40,0.75,1.57,"87,692",,
2025-03-13,47.20,47.70,47.05,47.65,0.45,0.95,"109,805",,
2025-03-12,47.45,47.60,47.10,47.20,-0.20,-0.42,"127,911",,
2025-03-11,47.20,47.45,46.25,47.40,0.00,0.00,"198,844",,
2025-03-10,47.70,47.70,47.00,47.40,-0.35,-0.73,"108,725",,
2025-03-09,47.80,47.95,47.10,47.75,0.15,0.32,"109,488",,
2025-03-06,48.45,48.45,47.35,47.60,-0.80,-1.65,"301,526",,
2025-03-05,48.55,48.80,48.00,48.40,-0.05,-0.10,"171,889",,
2025-03-04,49.30,49.30,48.15,48.45,-0.85,-1.72,"202,337",,
2025-03-03,48.90,49.50,48.70,49.30,0.25,0.51,"85,294",,
2025-03-02,49.70,49.80,48.65,49.05,-0.65,-1.31,"86,745",,
2025-02-27,50.30,50.30,49.60,49.70,-0.40,-0.80,"84,459",,
2025-02-26,49.90,50.30,49.45,50.10,0.20,0.40,"120,936",,
2025-02-25,49.45,50.20,49.10,49.90,0.25,0.50,"197,259",,
2025-02-24,50.10,50.20,49.40,49.65,-0.35,-0.70,"169,154",,
2025-02-20,49.50,50.00,49.30,50.00,0.55,1.11,"176,272",,
2025-02-19,49.90,49.90,49.40,49.45,-0.55,-1.10,"166,270",,
2025-02-18,49.80,50.30,49.80,50.00,0.40,0.81,"149,673",,
2025-02-17,50.10,50.10,49.50,49.60,-0.50,-1.00,"194,678",,
2025-02-16,50.20,50.40,49.95,50.10,-0.10,-0.20,"103,026",,
2025-02-13,50.10,50.30,49.85,50.20,0.10,0.20,"150,699",,
2025-02-12,50.70,50.80,50.10,50.10,-0.70,-1.38,"163,534",,
2025-02-11,51.00,51.00,50.50,50.80,-0.20,-0.39,"175,428",,
2025-02-10,50.70,51.50,50.60,51.00,0.30,0.59,"310,125",,
2025-02-09,50.50,51.10,50.50,50.70,0.20,0.40,"149,501",,
2025-02-06,50.90,51.00,50.40,50.50,-0.50,-0.98,"185,836",,
2025-02-05,50.30,51.00,50.00,51.00,0.60,1.19,"492,566",,
2025-02-04,50.80,50.90,50.20,50.40,-0.20,-0.40,"319,872",,
2025-02-03,51.10,51.10,50.50,50.60,-0.60,-1.17,"380,076",,
2025-02-02,51.80,51.80,51.10,51.20,-0.50,-0.97,"352,193",,
2025-01-30,51.50,52.40,51.20,51.70,0.20,0.39,"480,500",,
2025-01-29,51.70,51.70,51.00,51.50,0.00,0.00,"285,067",,
2025-01-28,51.50,52.10,51.30,51.50,0.00,0.00,"321,961",,
2025-01-27,51.80,51.90,51.30,51.50,-0.20,-0.39,"261,130",,
2025-01-26,51.20,51.70,51.00,51.70,0.60,1.17,"169,346",,
2025-01-23,50.90,51.20,50.50,51.10,0.10,0.20,"234,667",,
2025-01-22,51.70,51.80,50.70,51.00,-0.20,-0.39,"216,310",,
2025-01-21,51.50,52.10,51.10,51.20,-0.30,-0.58,"390,201",,
2025-01-20,51.70,51.90,51.30,51.50,-0.20,-0.39,"190,222",,
2025-01-19,51.80,52.40,50.80,51.70,0.20,0.39,"537,653",,
2025-01-16,50.00,51.80,49.90,51.50,1.55,3.10,"460,333",,
2025-01-15,49.80,50.50,49.70,49.95,0.15,0.30,"176,072",,
2025-01-14,49.65,50.60,49.65,49.80,-0.10,-0.20,"220,695",,
2025-01-13,49.65,49.90,49.45,49.90,0.20,0.40,"133,976",,
2025-01-12,49.05,49.95,49.05,49.70,0.40,0.81,"167,188",,
2025-01-09,49.70,49.70,48.95,49.30,-0.40,-0.80,"170,614",,
2025-01-08,49.00,50.30,48.85,49.70,0.70,1.43,"427,805",,
2025-01-07,48.15,49.25,47.70,49.00,0.60,1.24,"717,901",,
2025-01-06,48.35,48.40,47.90,48.40,0.40,0.83,"126,247",,
2025-01-05,48.60,48.60,48.00,48.00,-0.60,-1.23,"132,341",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,48.60,48.60,48.00,48.00,-0.60,-1.23,"132,341",,
2025-01-02,48.90,49.00,48.30,48.60,-0.35,-0.72,"224,041",,
2025-01-01,48.90,49.10,48.80,48.95,-0.10,-0.20,"115,426",,
2024-12-31,49.30,49.30,49.00,49.05,-0.25,-0.51,"119,075",,
2024-12-30,48.75,49.40,48.60,49.30,0.55,1.13,"231,479",,
2024-12-29,48.85,49.15,48.65,48.75,-0.10,-0.20,"118,576",,
2024-12-26,49.00,49.00,48.65,48.85,-0.05,-0.10,"99,515",,
2024-12-25,49.00,49.00,48.70,48.90,-0.10,-0.20,"112,233",,
2024-12-24,49.40,49.50,48.90,49.00,-0.40,-0.81,"131,317",,
2024-12-23,49.30,49.50,48.95,49.40,0.10,0.20,"279,488",,
2024-12-22,49.80,49.90,49.20,49.30,-0.35,-0.70,"124,519",,
2024-12-19,49.80,50.00,49.60,49.65,-0.35,-0.70,"155,695",,
2024-12-18,49.95,50.10,49.75,50.00,0.10,0.20,"172,359",,
2024-12-17,50.80,50.80,49.80,49.90,-0.90,-1.77,"417,992",,
2024-12-16,50.90,51.00,50.60,50.80,-0.10,-0.20,"215,706",,
2024-12-15,51.40,51.40,50.80,50.90,-0.50,-0.97,"203,640",,
2024-12-12,51.30,51.80,51.20,51.40,0.20,0.39,"174,175",,
2024-12-11,51.40,51.50,51.00,51.20,-0.20,-0.39,"174,382",,
