0,1,2,3,4,5,6,7,8,9
2025-05-29,16.60,16.90,16.56,16.60,0.06,0.36,"106,447",,
2025-05-28,16.70,16.70,16.52,16.54,0.04,0.24,"79,387",,
2025-05-27,16.90,16.90,16.40,16.50,-0.28,-1.67,"128,797",,
2025-05-26,16.72,17.00,16.52,16.78,-0.08,-0.47,"156,270",,
2025-05-25,17.04,17.04,16.76,16.86,-0.18,-1.06,"83,918",,
2025-05-22,16.92,17.40,16.86,17.04,0.04,0.24,"83,824",,
2025-05-21,17.32,17.32,16.94,17.00,-0.30,-1.73,"157,358",,
2025-05-20,17.10,17.38,17.04,17.30,0.18,1.05,"242,280",,
2025-05-19,17.22,17.38,17.10,17.12,-0.18,-1.04,"95,135",,
2025-05-18,17.42,17.58,17.18,17.30,-0.12,-0.69,"220,248",,
2025-05-15,17.56,17.64,17.40,17.42,-0.24,-1.36,"116,908",,
2025-05-14,18.00,18.00,17.50,17.66,-0.28,-1.56,"242,642",,
2025-05-13,17.82,18.34,17.74,17.94,0.22,1.24,"451,948",,
2025-05-12,17.32,17.72,17.32,17.72,0.40,2.31,"101,982",,
2025-05-11,17.52,17.76,17.30,17.32,-0.20,-1.14,"143,197",,
2025-05-08,17.48,17.76,17.00,17.52,0.24,1.39,"180,567",,
2025-05-07,18.00,18.08,17.28,17.28,-0.76,-4.21,"299,426",,
2025-05-06,18.20,18.34,17.92,18.04,-0.12,-0.66,"94,937",,
2025-05-05,18.04,18.28,18.00,18.16,0.12,0.67,"86,120",,
2025-05-04,18.10,18.46,18.04,18.04,-0.18,-0.99,"141,669",,
2025-05-01,18.50,18.60,18.10,18.22,-0.26,-1.41,"154,814",,
2025-04-30,18.80,18.98,18.36,18.48,-0.34,-1.81,"373,678",,
2025-04-29,19.10,19.18,18.68,18.82,-0.24,-1.26,"314,552",,
2025-04-28,18.98,19.40,18.68,19.06,0.10,0.53,"1,095,597",,
2025-04-27,18.60,19.16,18.52,18.96,0.44,2.38,"578,476",,
2025-04-24,18.74,18.80,18.48,18.52,-0.22,-1.17,"221,708",,
2025-04-23,18.66,18.84,18.46,18.74,0.42,2.29,"379,573",,
2025-04-22,18.00,18.68,17.90,18.32,0.32,1.78,"437,919",,
2025-04-21,18.50,18.50,18.00,18.00,-0.28,-1.53,"106,440",,
2025-04-20,18.00,18.32,18.00,18.28,0.28,1.56,"82,502",,
2025-04-17,18.22,18.22,17.90,18.00,-0.22,-1.21,"138,368",,
2025-04-16,18.14,18.40,18.02,18.22,-0.10,-0.55,"179,643",,
2025-04-15,18.32,18.62,18.18,18.32,0.04,0.22,"197,895",,
2025-04-14,17.88,18.40,17.80,18.28,0.40,2.24,"194,218",,
2025-04-13,17.88,18.08,17.60,17.88,0.38,2.17,"167,039",,
2025-04-10,17.82,17.88,17.14,17.50,0.78,4.67,"322,085",,
