0,1,2,3,4,5,6,7,8,9
2025-05-29,54.00,54.30,53.80,53.80,-0.20,-0.37,"25,234",,
2025-05-28,53.40,54.00,53.30,54.00,0.60,1.12,"17,358",,
2025-05-27,53.90,53.90,52.10,53.40,-0.40,-0.74,"43,626",,
2025-05-26,54.50,54.50,53.50,53.80,-0.70,-1.28,"46,118",,
2025-05-25,55.00,55.00,53.80,54.50,-0.40,-0.73,"57,577",,
2025-05-22,55.50,55.50,54.80,54.90,-0.30,-0.54,"44,923",,
2025-05-21,56.00,56.20,55.20,55.20,-0.90,-1.60,"67,644",,
2025-05-20,56.50,56.70,55.90,56.10,-0.40,-0.71,"54,048",,
2025-05-19,56.20,57.10,56.10,56.50,0.30,0.53,"54,311",,
2025-05-18,57.30,57.60,56.00,56.20,-1.10,-1.92,"61,380",,
2025-05-15,57.80,57.80,57.00,57.30,-0.60,-1.04,"25,321",,
2025-05-14,57.70,59.90,56.90,57.90,0.90,1.58,"81,167",,
2025-05-13,57.20,57.70,57.00,57.00,0.00,0.00,"56,760",,
2025-05-12,56.30,57.20,56.30,57.00,0.90,1.60,"37,621",,
2025-05-11,55.80,56.30,55.80,56.10,0.20,0.36,"25,915",,
2025-05-08,56.90,56.90,55.70,55.90,-0.60,-1.06,"58,938",,
2025-05-07,57.10,57.20,56.40,56.50,-0.60,-1.05,"59,660",,
2025-05-06,58.40,58.40,57.10,57.10,-0.90,-1.55,"77,097",,
2025-05-05,57.70,58.30,57.50,58.00,0.10,0.17,"54,931",,
2025-05-04,58.20,58.50,57.90,57.90,-0.20,-0.34,"47,673",,
2025-05-01,58.70,58.70,57.70,58.10,-0.60,-1.02,"70,945",,
2025-04-30,59.10,59.10,58.20,58.70,-0.40,-0.68,"75,290",,
2025-04-29,60.30,60.30,59.00,59.10,-0.90,-1.50,"71,250",,
2025-04-28,60.60,60.80,59.80,60.00,-0.60,-0.99,"80,313",,
2025-04-27,59.40,61.00,59.40,60.60,1.20,2.02,"187,074",,
2025-04-24,60.00,60.00,59.30,59.40,0.20,0.34,"113,080",,
2025-04-23,60.00,60.00,59.20,59.20,0.10,0.17,"36,815",,
2025-04-22,58.50,59.50,58.50,59.10,0.00,0.00,"48,113",,
2025-04-21,59.50,59.50,59.00,59.10,-0.20,-0.34,"25,633",,
2025-04-20,59.60,60.20,59.10,59.30,-0.20,-0.34,"63,635",,
2025-04-17,60.20,60.20,59.20,59.50,-0.70,-1.16,"53,372",,
2025-04-16,59.20,60.70,59.20,60.20,0.70,1.18,"160,605",,
2025-04-15,59.40,60.20,59.40,59.50,0.10,0.17,"104,797",,
2025-04-14,59.50,60.20,58.80,59.40,-0.10,-0.17,"135,307",,
2025-04-13,58.90,59.50,58.60,59.50,0.70,1.19,"90,547",,
2025-04-10,59.70,59.70,58.20,58.80,1.60,2.80,"95,993",,
2025-04-09,57.80,58.40,56.30,57.20,-0.80,-1.38,"127,413",,
2025-04-08,59.10,59.80,58.00,58.00,-1.00,-1.69,"177,994",,
2025-04-07,56.20,59.30,55.20,59.00,1.50,2.61,"193,645",,
2025-04-06,59.90,60.00,57.10,57.50,-4.30,-6.96,"252,620",,
2025-04-03,62.50,62.50,61.50,61.80,-0.90,-1.44,"103,562",,
2025-03-27,61.40,62.80,61.10,62.70,1.40,2.28,"159,746",,
2025-03-26,60.80,61.60,60.70,61.30,0.80,1.32,"119,507",,
2025-03-25,61.00,61.10,60.20,60.50,-0.60,-0.98,"64,891",,
2025-03-24,60.80,61.10,60.20,61.10,0.30,0.49,"69,846",,
2025-03-23,60.50,61.10,60.50,60.80,0.10,0.16,"59,062",,
2025-03-20,60.40,61.00,59.40,60.70,0.40,0.66,"94,775",,
2025-03-19,60.80,61.00,59.90,60.30,-0.50,-0.82,"73,605",,
2025-03-18,61.10,61.50,60.60,60.80,-0.20,-0.33,"74,328",,
2025-03-17,61.00,61.80,60.70,61.00,0.00,0.00,"149,606",,
2025-03-16,61.00,61.30,60.90,61.00,0.10,0.16,"88,069",,
2025-03-13,61.90,62.00,60.70,60.90,0.00,0.00,"98,662",,
2025-03-12,60.40,61.10,60.00,60.90,0.50,0.83,"57,268",,
2025-03-11,59.80,60.60,59.10,60.40,0.10,0.17,"92,299",,
2025-03-10,60.00,60.80,59.60,60.30,0.30,0.50,"67,601",,
2025-03-09,60.10,60.30,59.70,60.00,-0.30,-0.50,"64,292",,
2025-03-06,60.80,60.80,60.00,60.30,-0.50,-0.82,"98,658",,
2025-03-05,61.70,61.70,60.30,60.80,-0.70,-1.14,"93,652",,
2025-03-04,61.80,62.20,61.30,61.50,-0.20,-0.32,"125,631",,
2025-03-03,62.40,63.00,61.60,61.70,-1.10,-1.75,"151,174",,
2025-03-02,63.50,63.90,62.60,62.80,-0.70,-1.10,"84,097",,
2025-02-27,63.80,64.30,62.60,63.50,0.00,0.00,"184,625",,
2025-02-26,63.50,64.40,63.30,63.50,0.20,0.32,"256,181",,
2025-02-25,61.50,63.40,61.50,63.30,1.40,2.26,"233,782",,
2025-02-24,62.00,62.10,61.30,61.90,0.10,0.16,"77,859",,
2025-02-20,62.30,62.40,61.70,61.80,-0.30,-0.48,"83,710",,
2025-02-19,62.90,62.90,61.60,62.10,-0.30,-0.48,"129,677",,
2025-02-18,63.00,63.60,62.40,62.40,0.90,1.46,"289,243",,
2025-02-17,62.00,62.00,61.20,61.50,-0.10,-0.16,"50,438",,
2025-02-16,62.00,62.50,61.50,61.60,-0.30,-0.48,"81,554",,
2025-02-13,62.50,62.60,61.80,61.90,-0.60,-0.96,"84,374",,
2025-02-12,62.60,63.00,62.10,62.50,-0.10,-0.16,"74,300",,
2025-02-11,63.20,63.50,62.50,62.60,-0.50,-0.79,"90,054",,
2025-02-10,62.50,64.10,62.40,63.10,0.70,1.12,"310,779",,
2025-02-09,61.70,62.60,61.50,62.40,0.60,0.97,"126,252",,
2025-02-06,62.50,62.50,61.60,61.80,-0.40,-0.64,"115,115",,
2025-02-05,61.80,62.70,61.50,62.20,0.70,1.14,"198,055",,
2025-02-04,61.20,61.60,61.20,61.50,0.30,0.49,"48,433",,
2025-02-03,61.60,61.60,61.00,61.20,-0.20,-0.33,"61,724",,
2025-02-02,61.80,62.20,61.40,61.40,-0.40,-0.65,"77,032",,
2025-01-30,61.10,61.80,60.90,61.80,0.60,0.98,"132,463",,
2025-01-29,61.40,61.50,61.00,61.20,-0.10,-0.16,"64,956",,
2025-01-28,61.20,61.80,61.10,61.30,0.10,0.16,"88,203",,
2025-01-27,61.70,61.90,61.10,61.20,-0.40,-0.65,"81,889",,
2025-01-26,61.80,61.80,61.30,61.60,0.00,0.00,"77,420",,
2025-01-23,61.50,61.80,61.20,61.60,0.10,0.16,"84,586",,
2025-01-22,62.20,62.20,61.50,61.50,-0.70,-1.13,"83,883",,
2025-01-21,61.50,62.20,61.20,62.20,0.50,0.81,"99,324",,
2025-01-20,62.00,62.20,61.40,61.70,-0.30,-0.48,"100,979",,
2025-01-19,62.20,62.40,61.80,62.00,0.40,0.65,"137,873",,
2025-01-16,60.40,62.10,60.40,61.60,1.20,1.99,"214,004",,
2025-01-15,60.40,60.80,60.40,60.40,0.00,0.00,"71,150",,
2025-01-14,60.00,61.00,60.00,60.40,0.20,0.33,"96,573",,
2025-01-13,60.10,60.30,59.90,60.20,0.10,0.17,"45,420",,
2025-01-12,59.90,60.40,59.90,60.10,0.10,0.17,"89,882",,
2025-01-09,60.40,60.40,59.80,60.00,-0.30,-0.50,"108,105",,
2025-01-08,59.50,60.60,59.50,60.30,0.70,1.17,"139,960",,
2025-01-07,59.50,60.20,59.30,59.60,0.10,0.17,"106,853",,
2025-01-06,59.50,60.00,59.20,59.50,0.00,0.00,"47,191",,
2025-01-05,60.00,60.20,59.10,59.50,-0.50,-0.83,"56,361",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,60.00,60.20,59.10,59.50,-0.50,-0.83,"56,361",,
2025-01-02,60.00,60.10,59.50,60.00,0.10,0.17,"63,986",,
2025-01-01,60.20,60.50,59.80,59.90,-0.60,-0.99,"50,474",,
2024-12-31,59.80,60.70,59.80,60.50,0.70,1.17,"62,492",,
2024-12-30,59.70,60.00,59.40,59.80,0.20,0.34,"57,198",,
2024-12-29,59.50,60.00,59.30,59.60,0.00,0.00,"46,667",,
2024-12-26,59.70,59.90,59.20,59.60,0.20,0.34,"47,749",,
2024-12-25,59.90,59.90,59.30,59.40,-0.50,-0.83,"48,332",,
2024-12-24,59.80,60.60,59.60,59.90,0.80,1.35,"139,810",,
2024-12-23,59.90,59.90,58.90,59.10,-0.60,-1.01,"92,721",,
2024-12-22,60.20,60.80,59.60,59.70,-0.40,-0.67,"115,258",,
2024-12-19,60.10,60.70,59.80,60.10,-0.30,-0.50,"130,904",,
2024-12-18,60.80,61.00,60.00,60.40,-0.40,-0.66,"92,514",,
2024-12-17,61.20,61.80,60.80,60.80,-0.40,-0.65,"85,801",,
2024-12-16,62.00,62.00,61.20,61.20,-0.50,-0.81,"46,906",,
2024-12-15,62.50,62.70,61.70,61.70,-0.90,-1.44,"64,782",,
2024-12-12,63.20,63.20,62.30,62.60,-0.60,-0.95,"68,892",,
2024-12-11,62.30,63.30,62.10,63.20,1.20,1.94,"133,308",,
2024-12-10,62.50,62.50,61.90,62.00,0.00,0.00,"96,092",,
2024-12-09,62.50,62.60,61.70,62.00,-0.50,-0.80,"113,528",,
2024-12-08,61.70,62.90,61.60,62.50,0.90,1.46,"185,259",,
2024-12-05,60.50,61.80,60.50,61.60,1.20,1.99,"223,435",,
2024-12-04,60.00,60.70,59.60,60.40,0.40,0.67,"168,352",,
2024-12-03,59.90,60.20,59.60,60.00,0.20,0.33,"107,934",,
2024-12-02,60.10,60.20,59.60,59.80,-0.20,-0.33,"66,112",,
2024-12-01,60.10,60.40,60.00,60.00,-0.10,-0.17,"67,976",,
2024-11-28,60.80,60.80,59.80,60.10,-0.30,-0.50,"97,854",,
