0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,44.70,45.15,44.00,45.15,0.95,2.15,"37,317",,,,,
2025-05-28,44.65,44.65,44.10,44.20,0.10,0.23,"17,442",,,,,
2025-05-27,45.35,45.45,43.00,44.10,-1.25,-2.76,"49,328",,,,,
2025-05-26,46.55,46.75,45.00,45.35,-1.40,-2.99,"31,304",,,,,
2025-05-25,47.50,47.50,46.10,46.75,-0.05,-0.11,"59,212",,,,,
2025-05-22,45.25,46.80,45.25,46.80,0.80,1.74,"88,300",,,,,
2025-05-21,46.65,46.65,45.45,46.00,-0.50,-1.08,"32,522",,,,,
2025-05-20,45.70,46.80,45.35,46.50,0.80,1.75,"60,662",,,,,
2025-05-19,46.45,46.45,45.30,45.70,-0.65,-1.40,"26,110",,,,,
2025-05-18,47.05,47.15,46.25,46.35,-0.60,-1.28,"25,451",,,,,
2025-05-15,47.40,47.40,46.60,46.95,-0.45,-0.95,"42,990",,,,,
2025-05-14,46.95,48.20,46.85,47.40,0.55,1.17,"147,955",,,,,
2025-05-13,47.00,47.00,46.60,46.85,-0.10,-0.21,"25,196",,,,,
2025-05-12,46.60,46.95,46.50,46.95,0.50,1.08,"59,827",,,,,
2025-05-11,47.40,47.50,46.20,46.45,-0.90,-1.90,"54,872",,,,,
2025-05-08,47.25,47.65,47.25,47.35,-0.45,-0.94,"13,544",,,,,
2025-05-07,48.00,48.00,47.10,47.80,-0.20,-0.42,"29,244",,,,,
2025-05-06,47.60,48.30,47.55,48.00,0.20,0.42,"48,963",,,,,
2025-05-05,47.45,47.80,47.00,47.80,0.70,1.49,"54,085",,,,,
2025-05-04,47.55,47.60,46.85,47.10,-0.45,-0.95,"22,127",,,,,
2025-05-01,47.95,48.20,47.05,47.55,-0.25,-0.52,"64,095",,,,,
2025-04-30,49.35,49.35,47.70,47.80,-1.50,-3.04,"63,270",,,,,
2025-04-29,49.05,49.80,48.95,49.30,0.25,0.51,"37,561",,,,,
2025-04-28,49.70,49.70,48.80,49.05,-0.55,-1.11,"76,338",,,,,
2025-04-27,49.20,50.40,49.20,49.60,0.55,1.12,"107,728",,,,,
2025-04-24,48.50,49.55,48.40,49.05,0.75,1.55,"149,171",,,,,
2025-04-23,48.25,48.65,47.80,48.30,0.35,0.73,"76,528",,,,,
2025-04-22,48.30,48.50,47.60,47.95,-1.00,-2.04,"81,302",,,,,
2025-04-21,49.05,49.20,48.40,48.95,-0.10,-0.20,"41,511",,,,,
2025-04-20,49.95,50.10,49.05,49.05,0.05,0.10,"24,937",,,,,
2025-04-17,49.60,49.85,48.90,49.00,-0.55,-1.11,"27,169",,,,,
2025-04-16,49.60,50.70,49.15,49.55,0.25,0.51,"143,540",,,,,
