0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,10.36,10.48,10.20,10.36,0.02,0.19,"149,697",,,,,
2025-05-28,10.36,10.60,10.32,10.34,-0.06,-0.58,"103,130",,,,,
2025-05-27,10.74,10.78,10.24,10.40,-0.34,-3.17,"235,501",,,,,
2025-05-26,11.00,11.00,10.40,10.74,-0.20,-1.83,"110,968",,,,,
2025-05-25,11.14,11.20,10.94,10.94,-0.30,-2.67,"75,408",,,,,
2025-05-22,11.26,11.36,11.18,11.24,-0.04,-0.35,"71,610",,,,,
2025-05-21,11.50,11.50,11.26,11.28,-0.24,-2.08,"59,818",,,,,
2025-05-20,11.44,11.56,11.28,11.52,0.08,0.70,"164,082",,,,,
2025-05-19,11.56,11.64,11.40,11.44,-0.18,-1.55,"158,622",,,,,
2025-05-18,11.64,11.74,11.54,11.62,-0.06,-0.51,"72,293",,,,,
2025-05-15,11.80,11.80,11.56,11.68,-0.12,-1.02,"173,685",,,,,
2025-05-14,11.58,11.84,11.58,11.80,0.14,1.20,"199,122",,,,,
2025-05-13,12.20,12.30,11.66,11.66,0.08,0.69,"1,049,900",,,,,
2025-05-12,11.34,11.62,11.34,11.58,0.14,1.22,"108,849",,,,,
2025-05-11,11.46,11.54,11.40,11.44,-0.02,-0.17,"94,160",,,,,
2025-05-08,11.28,11.60,11.24,11.46,0.20,1.78,"111,669",,,,,
2025-05-07,11.30,11.44,11.22,11.26,-0.18,-1.57,"61,616",,,,,
2025-05-06,11.30,11.44,11.28,11.44,0.14,1.24,"71,901",,,,,
2025-05-05,11.26,11.40,11.12,11.30,0.02,0.18,"81,313",,,,,
2025-05-04,11.34,11.62,11.28,11.28,-0.26,-2.25,"54,062",,,,,
2025-05-01,11.74,11.78,11.30,11.54,-0.12,-1.03,"100,030",,,,,
2025-04-30,11.80,11.80,11.56,11.66,-0.12,-1.02,"92,239",,,,,
2025-04-29,11.86,11.86,11.74,11.78,-0.08,-0.67,"79,703",,,,,
2025-04-28,12.10,12.14,11.74,11.86,-0.24,-1.98,"219,180",,,,,
2025-04-27,11.92,12.20,11.82,12.10,0.20,1.68,"492,253",,,,,
2025-04-24,12.00,12.00,11.78,11.90,-0.04,-0.34,"220,147",,,,,
2025-04-23,12.28,12.58,11.82,11.94,-0.08,-0.67,"971,655",,,,,
2025-04-22,11.32,12.60,11.32,12.02,0.42,3.62,"1,101,512",,,,,
2025-04-21,11.42,11.70,11.42,11.60,0.12,1.05,"71,324",,,,,
2025-04-20,11.30,11.48,11.30,11.48,0.24,2.14,"50,861",,,,,
2025-04-17,11.36,11.36,11.20,11.24,-0.08,-0.71,"29,872",,,,,
2025-04-16,11.26,11.48,11.26,11.32,0.08,0.71,"64,864",,,,,
2025-04-15,11.18,11.34,11.18,11.24,0.10,0.90,"84,280",,,,,
2025-04-14,11.00,11.26,10.96,11.14,0.18,1.64,"71,435",,,,,
2025-04-13,11.00,11.14,10.94,10.96,0.06,0.55,"58,934",,,,,
2025-04-10,10.92,10.98,10.80,10.90,0.58,5.62,"77,598",,,,,
2025-04-09,10.80,10.88,10.32,10.32,-0.42,-3.91,"81,691",,,,,
2025-04-08,10.50,10.90,10.50,10.74,0.16,1.51,"177,200",,,,,
2025-04-07,10.52,10.64,9.92,10.58,-0.06,-0.56,"467,801",,,,,
2025-04-06,10.60,10.88,10.56,10.64,-0.76,-6.67,"327,227",,,,,
2025-04-03,12.26,12.26,11.26,11.40,-0.90,-7.32,"537,919",,,,,
2025-03-27,12.50,12.50,12.10,12.30,-0.20,-1.60,"472,443",,,,,
2025-03-26,12.42,12.62,12.42,12.50,0.08,0.64,"71,338",,,,,
2025-03-25,12.62,12.66,12.38,12.42,-0.24,-1.90,"120,558",,,,,
2025-03-24,12.84,12.84,12.50,12.66,-0.16,-1.25,"72,487",,,,,
2025-03-23,12.80,12.86,12.74,12.82,0.02,0.16,"57,575",,,,,
2025-03-20,12.96,12.98,12.72,12.80,-0.16,-1.23,"72,470",,,,,
2025-03-19,13.00,13.04,12.78,12.96,-0.04,-0.31,"108,138",,,,,
2025-03-18,12.98,13.06,12.88,13.00,-0.06,-0.46,"50,918",,,,,
2025-03-17,13.10,13.10,13.04,13.06,-0.04,-0.31,"87,390",,,,,
2025-03-16,12.98,13.10,12.92,13.10,0.10,0.77,"318,001",,,,,
2025-03-13,12.90,13.10,12.90,13.00,0.08,0.62,"70,182",,,,,
2025-03-12,12.90,13.20,12.88,12.92,-0.02,-0.15,"56,308",,,,,
2025-03-11,12.74,13.00,12.50,12.94,0.14,1.09,"161,447",,,,,
2025-03-10,12.72,12.88,12.72,12.80,-0.02,-0.16,"36,904",,,,,
2025-03-09,13.10,13.10,12.80,12.82,-0.26,-1.99,"78,104",,,,,
2025-03-06,13.00,13.08,12.82,13.08,0.02,0.15,"75,954",,,,,
2025-03-05,13.00,13.10,12.70,13.06,0.20,1.56,"138,338",,,,,
2025-03-04,12.80,13.00,12.40,12.86,0.04,0.31,"144,644",,,,,
2025-03-03,13.00,13.00,12.74,12.82,0.08,0.63,"39,492",,,,,
2025-03-02,12.98,12.98,12.72,12.74,-0.26,-2.00,"34,649",,,,,
2025-02-27,13.00,13.00,12.88,13.00,0.04,0.31,"49,507",,,,,
2025-02-26,13.10,13.10,12.92,12.96,-0.06,-0.46,"24,538",,,,,
2025-02-25,12.98,13.08,12.88,13.02,0.08,0.62,"59,622",,,,,
2025-02-24,12.98,13.00,12.88,12.94,0.00,0.00,"57,406",,,,,
2025-02-20,13.10,13.10,12.94,12.94,-0.12,-0.92,"49,212",,,,,
2025-02-19,13.14,13.22,12.98,13.06,-0.08,-0.61,"78,892",,,,,
2025-02-18,13.02,13.32,12.96,13.14,0.14,1.08,"182,302",,,,,
2025-02-17,13.20,13.20,12.96,13.00,-0.12,-0.91,"73,450",,,,,
2025-02-16,12.82,13.24,12.82,13.12,0.20,1.55,"210,274",,,,,
2025-02-13,13.00,13.00,12.86,12.92,-0.08,-0.62,"80,287",,,,,
2025-02-12,13.04,13.10,12.94,13.00,-0.04,-0.31,"199,211",,,,,
2025-02-11,13.10,13.12,13.02,13.04,-0.10,-0.76,"104,745",,,,,
2025-02-10,13.12,13.20,13.10,13.14,-0.08,-0.61,"73,440",,,,,
2025-02-09,13.30,13.36,12.96,13.22,-0.12,-0.90,"251,680",,,,,
2025-02-06,13.54,13.54,13.26,13.34,-0.06,-0.45,"159,758",,,,,
2025-02-05,13.40,13.58,13.32,13.40,0.00,0.00,"361,270",,,,,
2025-02-04,13.20,13.42,13.14,13.40,0.22,1.67,"253,503",,,,,
2025-02-03,13.20,13.28,13.12,13.18,-0.04,-0.30,"69,847",,,,,
2025-02-02,13.34,13.34,13.18,13.22,-0.06,-0.45,"126,844",,,,,
2025-01-30,13.28,13.30,13.16,13.28,0.04,0.30,"108,675",,,,,
2025-01-29,13.40,13.44,13.24,13.24,-0.14,-1.05,"175,742",,,,,
2025-01-28,13.28,13.38,13.20,13.38,0.08,0.60,"240,115",,,,,
2025-01-27,13.36,13.38,13.10,13.30,-0.14,-1.04,"708,330",,,,,
2025-01-26,13.42,13.48,13.36,13.44,0.08,0.60,"204,215",,,,,
2025-01-23,13.20,13.36,13.10,13.36,0.10,0.75,"97,726",,,,,
2025-01-22,13.24,13.34,13.22,13.26,0.00,0.00,"76,826",,,,,
2025-01-21,13.30,13.42,13.24,13.26,-0.10,-0.75,"148,683",,,,,
2025-01-20,13.36,13.44,13.34,13.36,0.02,0.15,"71,746",,,,,
2025-01-19,13.36,13.40,13.34,13.34,-0.02,-0.15,"57,229",,,,,
2025-01-16,13.48,13.48,13.28,13.36,-0.04,-0.30,"91,131",,,,,
2025-01-15,13.42,13.62,13.32,13.40,-0.02,-0.15,"204,976",,,,,
2025-01-14,13.50,13.60,13.42,13.42,-0.04,-0.30,"83,166",,,,,
2025-01-13,13.66,13.70,13.44,13.46,-0.20,-1.46,"130,110",,,,,
2025-01-12,13.78,14.00,13.60,13.66,0.02,0.15,"171,411",,,,,
2025-01-09,13.66,13.80,13.44,13.64,-0.06,-0.44,"188,597",,,,,
2025-01-08,13.58,13.82,13.58,13.70,0.12,0.88,"201,169",,,,,
2025-01-07,13.60,13.80,13.40,13.58,-0.02,-0.15,"210,988",,,,,
2025-01-06,13.40,13.76,13.40,13.60,0.06,0.44,"243,716",,,,,
2025-01-05,13.38,13.64,13.12,13.54,0.18,1.35,"281,300",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
