0,1,2,3,4,5,6,7,8,9
2025-05-29,53.00,53.50,52.50,53.50,0.50,0.94,"16,905",,
2025-05-28,52.80,53.40,52.50,53.00,0.40,0.76,"14,227",,
2025-05-27,53.70,53.70,52.40,52.60,-1.00,-1.87,"8,668",,
2025-05-26,54.50,54.50,52.70,53.60,-0.20,-0.37,"18,763",,
2025-05-25,53.30,54.50,53.30,53.80,-0.20,-0.37,"19,405",,
2025-05-22,54.20,54.70,54.00,54.00,-1.00,-1.82,"17,016",,
2025-05-21,55.40,55.50,54.20,55.00,-0.20,-0.36,"15,656",,
2025-05-20,55.00,55.70,54.50,55.20,0.20,0.36,"16,229",,
2025-05-19,54.60,55.20,54.50,55.00,0.40,0.73,"19,447",,
2025-05-18,53.60,54.80,53.60,54.60,-0.60,-1.09,"46,055",,
2025-05-15,55.50,56.50,54.70,55.20,-0.20,-0.36,"70,769",,
2025-05-14,54.80,55.60,54.50,55.40,0.80,1.47,"50,468",,
2025-05-13,54.50,54.90,54.00,54.60,-0.20,-0.36,"25,007",,
2025-05-12,54.90,54.90,54.30,54.80,0.30,0.55,"43,983",,
2025-05-11,53.60,54.50,53.50,54.50,0.90,1.68,"27,792",,
2025-05-08,54.30,54.50,53.10,53.60,-0.70,-1.29,"14,593",,
2025-05-07,54.20,54.30,53.40,54.30,0.10,0.18,"20,503",,
2025-05-06,54.40,54.90,54.10,54.20,-0.90,-1.63,"27,041",,
2025-05-05,55.00,55.10,54.20,55.10,0.60,1.10,"28,142",,
2025-05-04,55.40,55.90,52.50,54.50,-0.90,-1.62,"22,106",,
2025-05-01,55.50,56.10,54.00,55.40,-0.80,-1.42,"31,982",,
2025-04-30,57.60,57.60,56.00,56.20,-1.10,-1.92,"38,677",,
2025-04-29,56.90,57.80,56.40,57.30,0.10,0.17,"77,427",,
2025-04-28,56.60,57.60,56.40,57.20,0.70,1.24,"65,468",,
2025-04-27,55.60,56.50,55.40,56.50,0.80,1.44,"39,662",,
2025-04-24,55.60,56.00,55.20,55.70,0.40,0.72,"36,713",,
2025-04-23,55.10,55.80,55.00,55.30,0.20,0.36,"33,134",,
2025-04-22,54.50,55.30,54.10,55.10,0.20,0.36,"54,529",,
2025-04-21,55.50,55.50,54.60,54.90,-0.50,-0.90,"60,620",,
2025-04-20,56.00,56.60,55.00,55.40,-0.40,-0.72,"73,388",,
2025-04-17,56.90,56.90,55.80,55.80,-1.20,-2.11,"13,412",,
2025-04-16,57.00,58.00,56.70,57.00,0.00,0.00,"17,308",,
2025-04-15,57.70,58.20,56.70,57.00,-1.00,-1.72,"33,768",,
2025-04-14,56.70,58.20,56.60,58.00,1.10,1.93,"51,628",,
2025-04-13,56.50,57.00,56.20,56.90,0.70,1.25,"25,047",,
2025-04-10,57.00,57.00,54.70,56.20,2.80,5.24,"46,427",,
2025-04-09,55.40,55.40,53.40,53.40,-2.20,-3.96,"26,400",,
2025-04-08,55.70,57.70,55.00,55.60,0.60,1.09,"44,556",,
2025-04-07,52.50,55.40,51.50,55.00,0.30,0.55,"61,331",,
2025-04-06,56.00,56.00,53.20,54.70,-4.40,-7.45,"54,861",,
2025-04-03,59.60,59.70,57.90,59.10,-0.70,-1.17,"17,525",,
2025-03-27,57.90,59.90,57.90,59.80,1.40,2.40,"20,750",,
2025-03-26,57.00,58.50,57.00,58.40,1.40,2.46,"12,173",,
2025-03-25,57.60,58.10,57.00,57.00,-0.60,-1.04,"14,639",,
2025-03-24,57.80,58.40,57.40,57.60,-0.30,-0.52,"10,763",,
2025-03-23,58.00,58.40,57.80,57.90,-0.10,-0.17,"14,345",,
2025-03-20,57.80,58.40,57.80,58.00,0.20,0.35,"6,911",,
2025-03-19,59.40,59.40,57.40,57.80,-0.20,-0.34,"23,580",,
2025-03-18,59.60,59.60,57.70,58.00,0.60,1.05,"23,461",,
2025-03-17,60.00,60.10,57.00,57.40,-2.60,-4.33,"41,012",,
2025-03-16,58.90,60.00,58.50,60.00,1.10,1.87,"36,626",,
2025-03-13,59.00,59.00,58.00,58.90,0.60,1.03,"11,669",,
2025-03-12,58.10,59.00,58.00,58.30,0.40,0.69,"31,409",,
2025-03-11,56.00,58.20,55.30,57.90,0.90,1.58,"47,962",,
2025-03-10,58.70,58.70,56.70,57.00,-1.70,-2.90,"31,070",,
2025-03-09,59.00,59.00,57.80,58.70,-0.30,-0.51,"26,860",,
2025-03-06,60.00,60.50,54.90,59.00,-1.60,-2.64,"41,596",,
2025-03-05,61.30,61.40,60.60,60.60,-0.80,-1.30,"21,403",,
2025-03-04,62.50,62.50,61.00,61.40,-1.00,-1.60,"17,858",,
2025-03-03,61.70,62.40,61.40,62.40,0.40,0.65,"18,751",,
2025-03-02,63.40,63.40,61.80,62.00,-0.90,-1.43,"25,302",,
2025-02-27,62.20,62.90,62.00,62.90,0.30,0.48,"25,042",,
2025-02-26,63.70,63.70,62.20,62.60,0.10,0.16,"17,775",,
2025-02-25,62.00,62.80,61.50,62.50,0.50,0.81,"24,413",,
2025-02-24,63.60,63.70,62.00,62.00,-1.60,-2.52,"37,657",,
2025-02-20,64.30,64.30,63.50,63.60,-0.80,-1.24,"26,554",,
2025-02-19,65.10,65.10,64.10,64.40,-0.60,-0.92,"31,776",,
2025-02-18,64.50,65.00,64.10,65.00,0.50,0.78,"35,009",,
2025-02-17,64.10,65.40,63.60,64.50,0.40,0.62,"74,768",,
2025-02-16,65.40,65.80,63.90,64.10,-1.30,-1.99,"68,625",,
2025-02-13,64.80,65.40,64.80,65.40,0.20,0.31,"36,080",,
2025-02-12,65.50,65.60,64.90,65.20,-0.70,-1.06,"56,679",,
2025-02-11,66.70,66.70,65.50,65.90,-0.70,-1.05,"80,195",,
2025-02-10,67.00,67.20,66.50,66.60,-0.40,-0.60,"24,997",,
2025-02-09,66.50,67.30,66.50,67.00,0.20,0.30,"41,605",,
2025-02-06,66.90,66.90,66.40,66.80,0.20,0.30,"35,827",,
2025-02-05,66.70,67.00,66.40,66.60,-0.30,-0.45,"44,796",,
2025-02-04,66.30,67.40,66.20,66.90,0.60,0.90,"71,527",,
2025-02-03,67.00,67.00,66.00,66.30,-0.30,-0.45,"55,827",,
2025-02-02,67.40,67.40,66.50,66.60,-0.80,-1.19,"75,233",,
2025-01-30,68.20,68.30,67.30,67.40,-1.10,-1.61,"86,346",,
2025-01-29,68.20,70.00,68.00,68.50,0.50,0.74,"567,441",,
2025-01-28,66.50,68.00,66.50,68.00,1.70,2.56,"146,176",,
2025-01-27,66.50,67.50,66.20,66.30,-0.20,-0.30,"73,740",,
2025-01-26,66.50,67.00,66.10,66.50,0.00,0.00,"82,611",,
2025-01-23,66.30,67.70,66.20,66.50,0.20,0.30,"80,952",,
2025-01-22,67.30,67.60,66.30,66.30,-1.00,-1.49,"115,052",,
2025-01-21,67.90,68.20,67.00,67.30,-0.50,-0.74,"197,897",,
2025-01-20,65.80,67.90,65.30,67.80,2.30,3.51,"335,600",,
2025-01-19,65.00,66.10,65.00,65.50,0.50,0.77,"66,646",,
2025-01-16,65.30,65.40,64.70,65.00,-0.30,-0.46,"68,695",,
2025-01-15,64.80,65.30,64.60,65.30,0.50,0.77,"77,452",,
2025-01-14,65.40,65.40,64.80,64.80,-0.80,-1.22,"46,167",,
2025-01-13,64.90,65.90,64.80,65.60,0.70,1.08,"74,080",,
2025-01-12,65.40,65.40,64.90,64.90,-0.50,-0.76,"57,399",,
2025-01-09,65.20,66.10,64.70,65.40,0.20,0.31,"156,777",,
2025-01-08,64.50,65.40,64.50,65.20,0.50,0.77,"71,235",,
2025-01-07,64.80,65.40,64.50,64.70,-0.60,-0.92,"29,125",,
2025-01-06,65.00,65.80,64.20,65.30,0.30,0.46,"76,716",,
2025-01-05,65.00,65.20,64.20,65.00,0.00,0.00,"44,915",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
