0,1,2,3,4,5,6,7,8,9
2025-05-29,20.40,21.32,20.38,21.30,0.96,4.72,"2,553,220",,
2025-05-28,20.42,20.64,20.34,20.34,0.00,0.00,"869,264",,
2025-05-27,20.76,20.76,20.30,20.34,-0.38,-1.83,"569,781",,
2025-05-26,20.74,20.80,20.24,20.72,0.04,0.19,"1,202,150",,
2025-05-25,21.02,21.08,20.66,20.68,-0.38,-1.80,"982,540",,
2025-05-22,21.02,21.22,21.00,21.06,-0.04,-0.19,"590,174",,
2025-05-21,21.30,21.40,21.04,21.10,-0.20,-0.94,"520,619",,
2025-05-20,21.24,21.42,21.14,21.30,0.06,0.28,"515,975",,
2025-05-19,21.40,21.66,21.22,21.24,-0.20,-0.93,"688,231",,
2025-05-18,21.60,21.64,21.30,21.44,-0.14,-0.65,"584,115",,
2025-05-15,21.96,21.96,21.54,21.58,-0.26,-1.19,"1,038,764",,
2025-05-14,21.84,21.90,21.70,21.84,0.04,0.18,"1,471,469",,
2025-05-13,21.60,21.90,21.36,21.80,0.30,1.40,"1,449,922",,
2025-05-12,20.92,21.60,20.92,21.50,0.64,3.07,"3,854,522",,
2025-05-11,21.18,21.30,20.82,20.86,-0.34,-1.60,"1,340,547",,
2025-05-08,21.58,21.58,21.18,21.20,-0.28,-1.30,"1,090,570",,
2025-05-07,21.38,21.64,21.24,21.48,0.12,0.56,"1,284,339",,
2025-05-06,21.64,21.66,21.22,21.36,-0.24,-1.11,"2,187,916",,
2025-05-05,21.70,21.90,21.60,21.60,-0.08,-0.37,"2,136,932",,
2025-05-04,22.20,22.28,21.66,21.68,-0.34,-1.54,"1,510,981",,
2025-05-01,22.30,22.32,21.94,22.02,-0.24,-1.08,"2,645,399",,
2025-04-30,22.80,22.80,22.18,22.26,-0.46,-2.02,"2,131,125",,
2025-04-29,23.14,23.22,22.72,22.72,-0.34,-1.47,"3,773,180",,
2025-04-28,23.44,23.44,23.04,23.06,-0.32,-1.37,"1,868,828",,
2025-04-27,23.30,23.44,23.14,23.38,0.18,0.78,"1,549,428",,
2025-04-24,23.10,23.30,23.06,23.20,0.10,0.43,"1,109,555",,
2025-04-23,23.14,23.22,23.04,23.10,0.10,0.43,"1,213,588",,
2025-04-22,23.12,23.18,22.96,23.00,-0.16,-0.69,"862,299",,
2025-04-21,23.40,23.54,23.10,23.16,-0.18,-0.77,"814,252",,
2025-04-20,23.14,23.44,23.14,23.34,0.34,1.48,"1,017,583",,
