0,1,2,3,4,5,6,7,8,9
2025-05-29,98.60,101.40,98.40,101.00,2.50,2.54,"58,530",,
2025-05-28,98.30,99.70,98.30,98.50,0.30,0.31,"26,191",,
2025-05-27,101.20,101.60,98.00,98.20,-2.60,-2.58,"38,393",,
2025-05-26,100.80,103.00,98.20,100.80,0.00,0.00,"50,391",,
2025-05-25,103.20,103.20,100.80,100.80,-2.20,-2.14,"32,819",,
2025-05-22,102.40,104.00,101.60,103.00,0.40,0.39,"65,194",,
2025-05-21,103.40,104.40,101.80,102.60,-1.80,-1.72,"56,536",,
2025-05-20,104.60,105.40,103.00,104.40,-0.20,-0.19,"46,439",,
2025-05-19,106.00,107.40,103.80,104.60,-1.40,-1.32,"61,122",,
2025-05-18,108.00,108.20,105.60,106.00,-1.80,-1.67,"54,151",,
2025-05-15,108.00,109.20,107.40,107.80,-0.80,-0.74,"36,155",,
2025-05-14,107.60,110.60,107.60,108.60,1.00,0.93,"128,439",,
2025-05-13,110.00,110.60,107.40,107.60,-1.00,-0.92,"92,285",,
2025-05-12,109.00,111.60,107.80,108.60,-1.00,-0.91,"110,192",,
2025-05-11,110.00,112.60,108.00,109.60,3.00,2.81,"217,578",,
2025-05-08,103.80,109.40,103.00,106.60,3.60,3.50,"196,715",,
2025-05-07,104.40,105.00,102.00,103.00,-2.00,-1.90,"50,633",,
2025-05-06,107.80,108.40,104.40,105.00,-2.00,-1.87,"71,819",,
2025-05-05,105.40,108.20,105.00,107.00,0.00,0.00,"52,687",,
2025-05-04,111.20,112.20,106.40,107.00,-4.00,-3.60,"58,613",,
2025-05-01,113.60,113.60,109.60,111.00,-0.80,-0.72,"53,543",,
2025-04-30,112.80,117.00,111.40,111.80,-1.20,-1.06,"198,055",,
2025-04-29,114.40,115.20,112.80,113.00,-1.40,-1.22,"77,141",,
2025-04-28,116.00,116.00,113.00,114.40,-0.60,-0.52,"123,666",,
2025-04-27,113.00,117.40,111.40,115.00,3.80,3.42,"297,616",,
2025-04-24,113.60,115.80,111.00,111.20,-1.20,-1.07,"314,451",,
2025-04-23,116.80,120.00,111.20,112.40,0.20,0.18,"719,720",,
2025-04-22,101.80,112.20,100.60,112.20,10.20,10.00,"490,908",,
2025-04-21,101.60,102.20,100.00,102.00,1.40,1.39,"37,786",,
2025-04-20,98.80,102.20,98.80,100.60,1.90,1.93,"50,879",,
2025-04-17,100.60,100.60,98.00,98.70,-2.10,-2.08,"28,544",,
2025-04-16,100.20,102.20,99.60,100.80,0.60,0.60,"71,456",,
2025-04-15,103.00,103.00,100.20,100.20,0.20,0.20,"73,369",,
2025-04-14,97.40,104.00,96.70,100.00,2.50,2.56,"156,968",,
2025-04-13,96.70,98.70,96.50,97.50,1.00,1.04,"73,678",,
2025-04-10,96.00,98.00,93.30,96.50,6.30,6.98,"147,959",,
2025-04-09,93.30,94.60,90.00,90.20,-3.50,-3.74,"59,689",,
2025-04-08,90.60,95.50,90.00,93.70,4.20,4.69,"74,751",,
2025-04-07,89.00,90.90,83.20,89.50,-0.50,-0.56,"108,113",,
2025-04-06,95.30,95.30,90.00,90.00,-10.00,-10.00,"62,393",,
2025-04-03,102.20,102.60,99.50,100.00,-3.00,-2.91,"38,059",,
2025-03-27,102.60,104.00,102.20,103.00,1.00,0.98,"35,801",,
2025-03-26,100.00,104.20,99.70,102.00,2.40,2.41,"63,181",,
2025-03-25,101.40,101.40,98.00,99.60,-1.80,-1.78,"59,567",,
2025-03-24,101.20,101.40,100.00,101.40,1.20,1.20,"31,786",,
2025-03-23,101.20,102.60,100.20,100.20,-1.00,-0.99,"20,703",,
2025-03-20,102.00,103.00,100.60,101.20,-0.60,-0.59,"48,414",,
2025-03-19,103.40,103.60,101.20,101.80,-0.20,-0.20,"52,073",,
2025-03-18,107.60,108.00,102.00,102.00,-5.00,-4.67,"80,026",,
2025-03-17,106.40,109.20,106.00,107.00,0.80,0.75,"55,334",,
2025-03-16,104.20,107.60,103.60,106.20,2.00,1.92,"49,031",,
2025-03-13,108.00,109.00,103.60,104.20,-3.80,-3.52,"54,807",,
2025-03-12,105.00,108.80,105.00,108.00,3.80,3.65,"67,092",,
2025-03-11,103.20,105.40,100.00,104.20,1.00,0.97,"82,718",,
2025-03-10,108.80,109.00,103.20,103.20,-5.60,-5.15,"73,481",,
2025-03-09,112.00,112.60,107.00,108.80,-3.80,-3.37,"42,929",,
2025-03-06,116.00,116.60,111.00,112.60,-2.80,-2.43,"63,967",,
2025-03-05,117.00,119.00,114.40,115.40,-1.60,-1.37,"60,719",,
2025-03-04,118.00,118.00,114.00,117.00,-0.60,-0.51,"79,535",,
2025-03-03,117.40,119.60,117.00,117.60,0.40,0.34,"44,934",,
2025-03-02,122.00,123.80,117.00,117.20,-3.80,-3.14,"63,292",,
2025-02-27,121.60,125.00,120.60,121.00,0.00,0.00,"97,605",,
2025-02-26,121.80,123.00,120.40,121.00,-0.60,-0.49,"46,537",,
2025-02-25,122.40,123.20,120.20,121.60,-1.00,-0.82,"40,027",,
2025-02-24,122.00,123.80,121.20,122.60,-0.60,-0.49,"40,260",,
2025-02-20,124.00,126.00,121.40,123.20,-0.80,-0.65,"116,481",,
2025-02-19,130.00,130.20,124.00,124.00,-6.00,-4.62,"113,532",,
2025-02-18,131.20,132.40,129.80,130.00,-0.80,-0.61,"66,609",,
2025-02-17,132.60,135.00,130.00,130.80,-2.00,-1.51,"109,718",,
2025-02-16,132.20,136.20,131.80,132.80,1.20,0.91,"212,042",,
2025-02-13,131.40,132.40,129.60,131.60,0.20,0.15,"106,478",,
2025-02-12,134.60,135.20,131.20,131.40,-3.20,-2.38,"133,625",,
2025-02-11,135.00,137.60,134.40,134.60,-1.80,-1.32,"178,625",,
2025-02-10,142.00,143.00,136.00,136.40,-7.60,-5.28,"288,668",,
2025-02-09,143.80,145.60,143.00,144.00,0.20,0.14,"90,594",,
2025-02-06,144.20,144.60,143.00,143.80,-0.40,-0.28,"94,208",,
2025-02-05,145.40,146.40,144.20,144.20,-0.80,-0.55,"155,612",,
2025-02-04,143.40,147.00,143.00,145.00,2.00,1.40,"192,932",,
2025-02-03,144.60,145.00,142.60,143.00,-1.40,-0.97,"147,920",,
2025-02-02,145.60,148.20,144.00,144.40,-1.20,-0.82,"225,542",,
2025-01-30,150.00,151.80,144.80,145.60,-2.80,-1.89,"324,612",,
2025-01-29,149.00,157.00,147.40,148.40,2.20,1.50,"932,978",,
2025-01-28,-,-,-,146.20,0.00,0.00,-,,
2025-01-27,-,-,-,146.20,0.00,0.00,-,,
2025-01-26,136.80,147.19,136.20,146.24,10.64,7.85,"752,630",,
2025-01-23,136.32,138.35,135.24,135.60,-0.72,-0.53,"130,075",,
2025-01-22,138.23,139.31,136.32,136.32,-1.91,-1.38,"165,677",,
2025-01-21,136.44,139.19,135.72,138.23,2.03,1.49,"250,820",,
2025-01-20,135.13,138.71,134.41,136.20,1.19,0.88,"239,513",,
2025-01-19,133.33,136.08,133.33,135.01,1.20,0.90,"84,176",,
2025-01-16,134.29,135.01,133.09,133.81,-0.48,-0.36,"51,491",,
2025-01-15,136.08,136.20,134.05,134.29,-1.07,-0.79,"59,869",,
2025-01-14,135.84,137.16,134.65,135.36,-0.24,-0.18,"97,754",,
