0,1,2,3,4,5,6,7,8,9
2025-05-29,286.20,287.00,283.80,283.80,-2.20,-0.77,"23,749",,
2025-05-28,284.40,287.60,284.00,286.00,2.00,0.70,"22,966",,
2025-05-27,286.80,286.80,281.40,284.00,-3.00,-1.05,"18,869",,
2025-05-26,284.60,287.00,282.00,287.00,2.40,0.84,"24,171",,
2025-05-25,287.80,287.80,284.20,284.60,-3.40,-1.18,"14,512",,
2025-05-22,287.80,288.00,284.40,288.00,0.00,0.00,"30,915",,
2025-05-21,286.80,288.00,284.40,288.00,3.00,1.05,"61,147",,
2025-05-20,291.80,291.80,285.00,285.00,-7.80,-2.66,"26,833",,
2025-05-19,298.20,298.40,286.20,292.80,-5.20,-1.74,"41,904",,
2025-05-18,296.00,299.00,295.20,298.00,2.00,0.68,"16,529",,
2025-05-15,295.80,297.00,294.20,296.00,-1.80,-0.60,"19,424",,
2025-05-14,300.00,300.00,295.40,297.80,-2.20,-0.73,"16,511",,
2025-05-13,299.80,300.40,297.60,300.00,1.20,0.40,"57,665",,
2025-05-12,298.00,298.80,293.80,298.80,0.40,0.13,"57,055",,
2025-05-11,295.00,299.00,292.00,298.40,3.40,1.15,"17,449",,
2025-05-08,297.00,297.60,293.00,295.00,-2.00,-0.67,"20,474",,
2025-05-07,301.20,301.20,296.20,297.00,-2.00,-0.67,"36,501",,
2025-05-06,299.00,300.40,296.80,299.00,0.00,0.00,"16,533",,
2025-05-05,300.00,300.00,296.60,299.00,-1.00,-0.33,"18,070",,
2025-05-04,299.40,300.40,298.20,300.00,-0.40,-0.13,"10,494",,
2025-05-01,306.00,306.00,299.00,300.40,-5.00,-1.64,"23,031",,
2025-04-30,309.60,309.60,304.40,305.40,-4.60,-1.48,"17,893",,
2025-04-29,308.00,310.00,307.40,310.00,2.00,0.65,"7,256",,
2025-04-28,311.00,312.20,307.00,308.00,-3.00,-0.96,"24,648",,
2025-04-27,309.60,311.00,309.00,311.00,1.40,0.45,"12,790",,
2025-04-24,307.80,309.60,306.20,309.60,1.80,0.58,"12,335",,
2025-04-23,306.80,308.00,305.00,307.80,0.80,0.26,"36,129",,
2025-04-22,314.40,314.40,306.20,307.00,-6.00,-1.92,"43,816",,
2025-04-21,314.00,314.00,310.60,313.00,-1.20,-0.38,"19,983",,
2025-04-20,315.00,315.80,310.20,314.20,1.00,0.32,"16,494",,
2025-04-17,312.40,314.80,307.20,313.20,0.20,0.06,"31,750",,
2025-04-16,313.60,315.00,311.80,313.00,-0.60,-0.19,"20,520",,
2025-04-15,315.00,315.00,311.20,313.60,-1.40,-0.44,"18,939",,
2025-04-14,310.00,315.00,308.80,315.00,5.00,1.61,"36,347",,
2025-04-13,305.00,312.20,305.00,310.00,5.40,1.77,"33,144",,
2025-04-10,305.40,310.40,301.60,304.60,3.00,0.99,"49,021",,
2025-04-09,297.00,302.80,296.40,301.60,4.60,1.55,"33,191",,
2025-04-08,296.40,303.00,296.20,297.00,1.80,0.61,"21,948",,
2025-04-07,293.20,298.40,284.40,295.20,2.00,0.68,"37,880",,
2025-04-06,294.00,298.60,288.00,293.20,-11.00,-3.62,"49,234",,
2025-04-03,300.00,306.80,298.40,304.20,3.20,1.06,"28,533",,
2025-03-27,301.20,304.80,300.60,301.00,0.40,0.13,"32,998",,
2025-03-26,296.00,304.20,296.00,300.60,5.60,1.90,"39,790",,
2025-03-25,297.00,301.00,295.00,295.00,0.00,0.00,"21,971",,
2025-03-24,298.40,300.40,294.20,295.00,-3.40,-1.14,"55,002",,
2025-03-23,301.20,301.20,298.20,298.40,-2.40,-0.80,"18,805",,
2025-03-20,301.20,304.00,299.20,300.80,-14.00,-4.45,"82,582",,
2025-03-19,313.60,315.20,306.00,314.80,1.20,0.38,"79,646",,
2025-03-18,313.20,317.40,307.60,313.60,11.20,3.70,"75,095",,
2025-03-17,302.20,309.00,302.20,302.40,-4.60,-1.50,"23,351",,
2025-03-16,301.20,309.00,301.20,307.00,4.80,1.59,"10,555",,
2025-03-13,303.20,303.20,298.80,302.20,1.40,0.47,"24,406",,
2025-03-12,300.20,305.00,300.20,300.80,0.60,0.20,"10,600",,
2025-03-11,302.80,304.00,294.00,300.20,-2.80,-0.92,"21,139",,
2025-03-10,312.40,312.40,302.60,303.00,-10.20,-3.26,"25,442",,
2025-03-09,306.00,313.20,303.60,313.20,7.20,2.35,"11,404",,
2025-03-06,306.20,308.40,303.00,306.00,-2.00,-0.65,"22,880",,
2025-03-05,311.00,311.00,304.40,308.00,-2.40,-0.77,"21,155",,
2025-03-04,314.80,315.20,307.00,310.40,-4.60,-1.46,"33,624",,
2025-03-03,305.40,316.00,303.40,315.00,9.60,3.14,"39,225",,
2025-03-02,310.00,312.60,300.20,305.40,-4.60,-1.48,"17,730",,
2025-02-27,308.80,312.20,304.40,310.00,3.20,1.04,"64,900",,
2025-02-26,316.60,318.00,305.20,306.80,-9.60,-3.03,"59,077",,
2025-02-25,321.60,321.60,314.00,316.40,-5.40,-1.68,"23,419",,
2025-02-24,321.60,323.00,319.00,321.80,0.20,0.06,"16,551",,
2025-02-20,323.00,323.00,319.60,321.60,-2.20,-0.68,"20,945",,
2025-02-19,323.00,324.60,319.60,323.80,-0.60,-0.18,"33,582",,
2025-02-18,325.60,327.00,323.00,324.40,-3.00,-0.92,"28,103",,
2025-02-17,329.80,329.80,325.60,327.40,-2.40,-0.73,"32,010",,
2025-02-16,330.40,330.40,328.00,329.80,-0.60,-0.18,"9,559",,
2025-02-13,328.00,330.40,327.80,330.40,2.40,0.73,"16,260",,
2025-02-12,328.40,329.80,327.60,328.00,-0.40,-0.12,"16,548",,
2025-02-11,328.40,330.60,327.80,328.40,0.00,0.00,"11,516",,
2025-02-10,331.80,331.80,328.40,328.40,-2.60,-0.79,"16,136",,
2025-02-09,331.20,331.80,330.20,331.00,0.00,0.00,"20,414",,
2025-02-06,329.40,331.00,329.20,331.00,1.60,0.49,"15,358",,
2025-02-05,330.00,332.00,328.00,329.40,-0.60,-0.18,"38,024",,
2025-02-04,330.80,333.80,328.40,330.00,-0.80,-0.24,"43,308",,
2025-02-03,329.00,331.40,325.20,330.80,2.20,0.67,"68,471",,
2025-02-02,332.60,332.60,328.20,328.60,-1.80,-0.54,"30,673",,
2025-01-30,331.20,332.40,329.00,330.40,-0.20,-0.06,"29,669",,
2025-01-29,332.00,332.80,328.40,330.60,-1.20,-0.36,"42,325",,
2025-01-28,329.00,332.60,329.00,331.80,2.60,0.79,"25,892",,
2025-01-27,330.00,331.20,329.00,329.20,-1.00,-0.30,"19,222",,
2025-01-26,333.80,333.80,328.80,330.20,-2.60,-0.78,"48,202",,
2025-01-23,333.60,333.60,330.80,332.80,0.80,0.24,"32,761",,
2025-01-22,336.80,336.80,330.40,332.00,-4.40,-1.31,"64,762",,
2025-01-21,339.40,339.40,334.40,336.40,-1.00,-0.30,"38,212",,
2025-01-20,334.40,339.80,334.40,337.40,3.60,1.08,"40,260",,
2025-01-19,333.40,334.80,332.40,333.80,0.40,0.12,"13,661",,
2025-01-16,334.40,335.40,333.00,333.40,-1.00,-0.30,"20,787",,
2025-01-15,333.40,339.00,333.40,334.40,0.80,0.24,"42,719",,
2025-01-14,333.40,336.00,333.00,333.60,0.40,0.12,"13,251",,
2025-01-13,333.40,335.20,332.60,333.20,-0.20,-0.06,"22,060",,
2025-01-12,334.40,334.80,332.80,333.40,-1.40,-0.42,"11,090",,
2025-01-09,338.40,338.40,332.00,334.80,-3.60,-1.06,"25,825",,
