0,1,2,3,4,5,6,7,8,9
2025-05-29,25.70,26.55,25.60,26.55,0.95,3.71,"913,639",,
2025-05-28,25.40,25.85,25.40,25.60,0.25,0.99,"391,768",,
2025-05-27,26.10,26.10,25.00,25.35,-0.55,-2.12,"1,223,121",,
2025-05-26,26.35,26.35,25.70,25.90,-0.35,-1.33,"616,134",,
2025-05-25,26.10,26.70,26.05,26.25,0.00,0.00,"880,208",,
2025-05-22,25.95,26.30,25.70,26.25,0.25,0.96,"1,116,291",,
2025-05-21,26.15,26.25,25.90,26.00,-0.20,-0.76,"573,306",,
2025-05-20,26.10,26.40,25.80,26.20,0.05,0.19,"1,157,919",,
2025-05-19,26.90,26.95,26.15,26.15,-0.80,-2.97,"1,469,353",,
2025-05-18,27.65,27.70,26.75,26.95,-0.80,-2.88,"1,081,677",,
2025-05-15,27.65,27.80,27.30,27.75,0.05,0.18,"1,303,924",,
2025-05-14,27.90,27.90,27.30,27.70,-0.20,-0.72,"1,911,684",,
2025-05-13,27.65,27.95,27.40,27.90,0.10,0.36,"1,984,177",,
2025-05-12,27.55,27.85,27.35,27.80,0.30,1.09,"1,400,809",,
2025-05-11,28.10,28.25,27.15,27.50,-0.60,-2.14,"993,888",,
2025-05-08,28.75,28.90,27.90,28.10,-0.65,-2.26,"1,570,726",,
2025-05-07,30.00,30.00,28.40,28.75,-2.20,-7.11,"4,299,622",,
2025-05-06,31.10,31.50,30.80,30.95,-0.25,-0.80,"541,175",,
2025-05-05,30.55,31.40,30.20,31.20,0.65,2.13,"697,714",,
2025-05-04,31.00,31.10,30.50,30.55,-0.45,-1.45,"294,815",,
2025-05-01,31.10,31.15,30.50,31.00,-0.30,-0.96,"510,287",,
2025-04-30,31.50,31.60,31.00,31.30,-0.15,-0.48,"559,392",,
2025-04-29,31.90,31.90,31.15,31.45,-0.25,-0.79,"626,550",,
2025-04-28,30.85,32.65,30.70,31.70,0.85,2.76,"2,277,312",,
2025-04-27,30.85,31.10,30.55,30.85,0.00,0.00,"534,500",,
