0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,11.00,11.20,10.16,10.16,-0.22,-2.12,"2,646,974",,,,,
2025-05-28,10.40,10.54,10.36,10.38,0.08,0.78,"138,547",,,,,
2025-05-27,10.42,10.54,10.20,10.30,-0.16,-1.53,"219,537",,,,,
2025-05-26,10.62,10.80,10.40,10.46,-0.22,-2.06,"156,793",,,,,
2025-05-25,10.60,10.84,10.60,10.68,-0.16,-1.48,"165,019",,,,,
2025-05-22,10.70,11.00,10.62,10.84,0.02,0.18,"329,810",,,,,
2025-05-21,11.04,11.10,10.72,10.82,-0.26,-2.35,"412,304",,,,,
2025-05-20,11.18,11.36,11.08,11.08,-0.20,-1.77,"339,682",,,,,
2025-05-19,11.54,11.60,11.18,11.28,-0.12,-1.05,"312,897",,,,,
2025-05-18,11.08,11.50,11.08,11.40,0.28,2.52,"186,970",,,,,
2025-05-15,11.40,11.40,11.08,11.12,-0.34,-2.97,"316,169",,,,,
2025-05-14,11.46,11.58,11.44,11.46,-0.08,-0.69,"186,187",,,,,
2025-05-13,11.62,11.66,11.46,11.54,-0.06,-0.52,"124,827",,,,,
2025-05-12,11.48,11.70,11.46,11.60,-0.02,-0.17,"281,807",,,,,
2025-05-11,11.74,11.82,11.52,11.62,-0.02,-0.17,"155,864",,,,,
2025-05-08,11.68,11.82,11.58,11.64,-0.06,-0.51,"175,609",,,,,
2025-05-07,11.80,11.80,11.56,11.70,-0.08,-0.68,"154,126",,,,,
2025-05-06,11.68,11.86,11.64,11.78,-0.02,-0.17,"105,723",,,,,
2025-05-05,11.80,11.86,11.68,11.80,0.08,0.68,"89,685",,,,,
2025-05-04,11.84,11.88,11.72,11.72,-0.10,-0.85,"39,324",,,,,
2025-05-01,11.90,11.90,11.72,11.82,0.08,0.68,"138,058",,,,,
2025-04-30,12.08,12.08,11.72,11.74,-0.34,-2.81,"230,141",,,,,
2025-04-29,12.14,12.18,12.00,12.08,-0.04,-0.33,"146,461",,,,,
2025-04-28,12.24,12.24,12.12,12.12,-0.08,-0.66,"136,015",,,,,
2025-04-27,12.24,12.24,12.06,12.20,0.12,0.99,"100,549",,,,,
2025-04-24,11.92,12.16,11.80,12.08,0.30,2.55,"241,494",,,,,
2025-04-23,12.10,12.18,11.78,11.78,-0.22,-1.83,"326,200",,,,,
2025-04-22,12.00,12.06,11.86,12.00,0.00,0.00,"249,005",,,,,
2025-04-21,12.40,12.40,12.00,12.00,-0.22,-1.80,"225,377",,,,,
2025-04-20,12.06,12.46,12.06,12.22,0.16,1.33,"298,608",,,,,
2025-04-17,12.08,12.10,11.82,12.06,0.06,0.50,"317,504",,,,,
2025-04-16,11.76,12.36,11.76,12.00,0.18,1.52,"649,954",,,,,
2025-04-15,12.04,12.10,11.82,11.82,-0.22,-1.83,"265,740",,,,,
2025-04-14,11.80,12.08,11.70,12.04,0.24,2.03,"284,794",,,,,
2025-04-13,11.48,11.92,11.48,11.80,0.32,2.79,"139,080",,,,,
2025-04-10,11.74,11.74,11.24,11.48,0.42,3.80,"293,339",,,,,
2025-04-09,11.20,11.36,10.84,11.06,-0.30,-2.64,"413,307",,,,,
2025-04-08,11.20,11.50,11.16,11.36,0.30,2.71,"320,785",,,,,
2025-04-07,11.00,11.18,10.40,11.06,0.04,0.36,"642,025",,,,,
2025-04-06,11.68,11.90,11.02,11.02,-1.22,-9.97,"573,718",,,,,
2025-04-03,12.56,12.56,12.10,12.24,-0.14,-1.13,"428,548",,,,,
2025-03-27,12.36,12.54,12.28,12.38,0.06,0.49,"457,719",,,,,
2025-03-26,12.02,12.38,11.94,12.32,0.38,3.18,"662,040",,,,,
2025-03-25,12.44,12.54,11.90,11.94,-0.50,-4.02,"488,213",,,,,
2025-03-24,12.56,12.56,12.22,12.44,-0.10,-0.80,"418,971",,,,,
2025-03-23,12.56,12.68,12.30,12.54,0.14,1.13,"395,908",,,,,
2025-03-20,13.30,13.40,12.40,12.40,-0.92,-6.91,"2,459,711",,,,,
2025-03-19,13.40,13.42,13.10,13.32,-0.12,-0.89,"70,403",,,,,
2025-03-18,13.54,13.54,13.16,13.44,-0.10,-0.74,"237,459",,,,,
2025-03-17,13.68,13.96,13.50,13.54,0.02,0.15,"345,375",,,,,
2025-03-16,13.90,14.28,13.46,13.52,0.26,1.96,"703,689",,,,,
