0,1,2,3,4,5,6,7,8,9
2025-05-29,98.60,99.60,97.70,97.70,-0.70,-0.71,"63,417",,
2025-05-28,97.30,98.70,97.30,98.40,1.10,1.13,"40,642",,
2025-05-27,98.00,98.60,96.20,97.30,-0.60,-0.61,"77,391",,
2025-05-26,98.10,99.30,97.10,97.90,-0.50,-0.51,"90,708",,
2025-05-25,98.00,98.80,97.30,98.40,0.40,0.41,"53,333",,
2025-05-22,97.80,98.50,95.80,98.00,0.00,0.00,"88,980",,
2025-05-21,99.90,100.60,98.00,98.00,-1.90,-1.90,"86,782",,
2025-05-20,99.70,100.80,99.00,99.90,0.20,0.20,"69,753",,
2025-05-19,101.00,103.00,99.70,99.70,-0.70,-0.70,"94,310",,
2025-05-18,101.60,101.60,98.60,100.40,-2.40,-2.33,"103,782",,
2025-05-15,104.60,104.60,101.60,102.80,-1.80,-1.72,"124,956",,
2025-05-14,103.00,106.00,102.60,104.60,1.80,1.75,"157,169",,
2025-05-13,103.40,103.60,102.00,102.80,0.20,0.19,"96,141",,
2025-05-12,101.60,103.40,101.40,102.60,1.60,1.58,"93,078",,
2025-05-11,105.20,106.00,100.80,101.00,-4.80,-4.54,"238,878",,
2025-05-08,107.00,107.00,104.80,105.80,-0.20,-0.19,"62,159",,
2025-05-07,107.40,107.40,104.80,106.00,-1.40,-1.30,"106,698",,
2025-05-06,107.20,108.40,106.00,107.40,0.40,0.37,"72,339",,
2025-05-05,107.80,108.60,106.60,107.00,-1.40,-1.29,"106,066",,
2025-05-04,109.80,110.20,107.40,108.40,-0.40,-0.37,"178,836",,
2025-05-01,105.80,110.60,105.40,108.80,2.80,2.64,"391,595",,
2025-04-30,108.40,108.40,103.80,106.00,-1.80,-1.67,"227,395",,
2025-04-29,107.20,108.60,107.00,107.80,0.40,0.37,"99,277",,
2025-04-28,109.80,109.80,107.40,107.40,-2.20,-2.01,"161,606",,
2025-04-27,109.20,110.80,108.60,109.60,0.40,0.37,"187,457",,
2025-04-24,108.40,109.40,108.00,109.20,1.00,0.92,"129,614",,
2025-04-23,110.00,110.00,107.60,108.20,-0.40,-0.37,"249,465",,
2025-04-22,105.40,108.60,105.40,108.60,2.00,1.88,"220,777",,
2025-04-21,109.40,110.60,106.20,106.60,-2.80,-2.56,"270,048",,
2025-04-20,111.00,111.20,108.40,109.40,-0.40,-0.36,"577,808",,
2025-04-17,113.00,114.00,109.60,109.80,-4.00,-3.51,"228,361",,
2025-04-16,114.20,116.40,113.60,113.80,-1.00,-0.87,"134,352",,
2025-04-15,116.20,118.40,114.40,114.80,-1.60,-1.37,"261,358",,
2025-04-14,118.00,118.40,116.00,116.40,-1.60,-1.36,"113,910",,
2025-04-13,116.60,118.40,115.40,118.00,3.40,2.97,"96,147",,
2025-04-10,117.00,117.00,114.60,114.60,4.20,3.80,"106,302",,
2025-04-09,114.40,114.80,110.20,110.40,-4.60,-4.00,"111,133",,
2025-04-08,115.80,118.20,114.00,115.00,0.20,0.17,"115,490",,
2025-04-07,104.00,115.40,103.80,114.80,3.60,3.24,"117,620",,
2025-04-06,111.80,117.00,110.00,111.20,-9.00,-7.49,"159,467",,
2025-04-03,122.00,123.00,120.00,120.20,-2.80,-2.28,"50,799",,
2025-03-27,121.80,123.80,121.80,123.00,0.80,0.65,"47,293",,
2025-03-26,118.60,122.80,118.60,122.20,3.60,3.04,"56,620",,
2025-03-25,119.40,120.80,118.00,118.60,-0.60,-0.50,"37,151",,
2025-03-24,118.80,119.40,117.00,119.20,0.20,0.17,"97,438",,
2025-03-23,120.00,120.80,118.60,119.00,-0.60,-0.50,"31,225",,
2025-03-20,120.00,121.00,118.80,119.60,0.40,0.34,"76,825",,
2025-03-19,122.00,122.20,118.80,119.20,-4.00,-3.25,"184,149",,
2025-03-18,129.20,129.60,121.60,123.20,-6.00,-4.64,"195,013",,
2025-03-17,129.80,131.00,127.00,129.20,-0.20,-0.15,"249,894",,
2025-03-16,125.00,129.60,124.80,129.40,4.40,3.52,"195,833",,
2025-03-13,125.40,126.20,123.60,125.00,-0.40,-0.32,"116,367",,
2025-03-12,122.80,125.80,121.00,125.40,1.60,1.29,"113,512",,
2025-03-11,122.00,124.00,117.00,123.80,1.40,1.14,"222,072",,
2025-03-10,126.00,126.00,121.60,122.40,-3.40,-2.70,"103,402",,
2025-03-09,126.40,126.60,124.00,125.80,-1.20,-0.94,"96,937",,
2025-03-06,122.00,127.00,120.00,127.00,5.80,4.79,"169,699",,
2025-03-05,120.00,122.20,118.00,121.20,1.20,1.00,"67,457",,
