0,1,2,3,4,5,6,7,8,9
2025-05-29,29.45,29.45,28.70,29.10,0.10,0.34,"44,263",,
2025-05-28,28.50,29.20,28.50,29.00,0.50,1.75,"25,843",,
2025-05-27,29.40,29.40,28.30,28.50,-0.60,-2.06,"46,717",,
2025-05-26,29.45,29.60,28.40,29.10,-0.50,-1.69,"54,198",,
2025-05-25,29.65,29.85,29.35,29.60,-0.15,-0.50,"26,195",,
2025-05-22,29.00,30.35,29.00,29.75,0.25,0.85,"118,348",,
2025-05-21,30.25,30.25,29.50,29.50,-0.80,-2.64,"68,048",,
2025-05-20,30.00,30.40,30.00,30.30,0.30,1.00,"71,473",,
2025-05-19,30.30,30.30,29.95,30.00,-0.30,-0.99,"69,156",,
2025-05-18,30.30,30.50,30.05,30.30,-0.35,-1.14,"69,221",,
2025-05-15,30.90,31.00,30.45,30.65,-0.45,-1.45,"54,583",,
2025-05-14,31.15,31.65,30.90,31.10,-0.05,-0.16,"174,750",,
2025-05-13,30.65,31.90,30.55,31.15,0.50,1.63,"277,960",,
2025-05-12,30.00,30.80,30.00,30.65,0.65,2.17,"80,052",,
2025-05-11,30.15,30.60,29.85,30.00,-0.35,-1.15,"79,967",,
2025-05-08,30.80,30.85,30.20,30.35,-0.45,-1.46,"72,212",,
2025-05-07,30.50,31.50,30.15,30.80,0.25,0.82,"277,227",,
2025-05-06,31.35,31.50,30.50,30.55,-0.80,-2.55,"64,387",,
2025-05-05,30.75,31.40,30.50,31.35,0.60,1.95,"59,252",,
2025-05-04,31.50,31.75,30.60,30.75,-0.75,-2.38,"55,516",,
2025-05-01,31.80,31.90,31.35,31.50,-0.40,-1.25,"58,000",,
2025-04-30,32.75,32.75,31.65,31.90,-0.65,-2.00,"94,461",,
2025-04-29,33.10,33.10,32.55,32.55,-0.40,-1.21,"136,705",,
2025-04-28,33.50,33.55,32.85,32.95,-0.50,-1.49,"155,955",,
2025-04-27,32.50,33.80,32.35,33.45,1.25,3.88,"281,100",,
2025-04-24,32.65,32.80,32.00,32.20,-0.10,-0.31,"83,537",,
2025-04-23,31.35,32.90,31.35,32.30,1.25,4.03,"345,047",,
2025-04-22,31.65,31.65,31.05,31.05,-0.65,-2.05,"67,165",,
2025-04-21,32.00,32.15,31.55,31.70,-0.30,-0.94,"51,410",,
2025-04-20,30.60,32.10,30.60,32.00,0.90,2.89,"70,846",,
2025-04-17,31.80,31.80,31.10,31.10,-0.85,-2.66,"55,567",,
2025-04-16,32.50,32.50,31.50,31.95,-0.45,-1.39,"162,340",,
2025-04-15,32.45,33.00,32.35,32.40,-0.05,-0.15,"100,298",,
2025-04-14,31.65,32.70,31.40,32.45,0.90,2.85,"208,980",,
2025-04-13,31.10,31.90,30.45,31.55,0.90,2.94,"128,772",,
2025-04-10,30.50,30.90,30.05,30.65,1.60,5.51,"151,033",,
2025-04-09,29.70,30.45,28.95,29.05,-1.20,-3.97,"102,561",,
2025-04-08,29.75,31.20,29.75,30.25,0.55,1.85,"167,083",,
2025-04-07,28.70,29.80,27.10,29.70,0.00,0.00,"222,852",,
2025-04-06,30.00,30.85,29.70,29.70,-3.30,-10.00,"268,358",,
2025-04-03,33.60,33.60,33.00,33.00,-0.65,-1.93,"41,344",,
2025-03-27,33.55,34.15,33.45,33.65,0.10,0.30,"68,675",,
2025-03-26,32.15,33.80,32.10,33.55,1.45,4.52,"138,863",,
2025-03-25,32.90,32.90,32.10,32.10,-0.60,-1.83,"57,924",,
2025-03-24,33.00,33.25,32.35,32.70,-0.60,-1.80,"67,880",,
2025-03-23,33.25,33.40,33.10,33.30,0.05,0.15,"23,660",,
2025-03-20,33.30,33.60,33.05,33.25,0.00,0.00,"28,284",,
2025-03-19,33.80,33.80,33.00,33.25,-0.55,-1.63,"57,089",,
2025-03-18,34.60,34.60,33.60,33.80,-0.90,-2.59,"72,379",,
2025-03-17,34.80,35.20,34.55,34.70,-0.05,-0.14,"55,442",,
2025-03-16,34.20,34.85,34.10,34.75,0.55,1.61,"77,138",,
2025-03-13,34.10,34.45,33.85,34.20,0.05,0.15,"60,251",,
2025-03-12,34.20,34.70,33.90,34.15,0.00,0.00,"67,181",,
2025-03-11,32.90,34.20,32.25,34.15,0.45,1.34,"90,143",,
2025-03-10,34.40,34.70,33.70,33.70,-0.80,-2.32,"56,261",,
2025-03-09,35.50,35.50,34.00,34.50,-0.80,-2.27,"65,194",,
2025-03-06,35.50,35.50,33.80,35.30,0.20,0.57,"123,626",,
2025-03-05,35.80,35.90,34.90,35.10,-0.80,-2.23,"113,464",,
2025-03-04,36.35,36.45,35.80,35.90,-0.70,-1.91,"52,999",,
2025-03-03,37.00,37.00,35.80,36.60,0.05,0.14,"106,855",,
2025-03-02,37.65,37.65,36.40,36.55,-0.75,-2.01,"51,452",,
2025-02-27,37.55,37.60,37.20,37.30,-0.15,-0.40,"49,225",,
2025-02-26,37.30,37.65,37.05,37.45,0.10,0.27,"87,811",,
2025-02-25,37.50,37.65,37.05,37.35,-0.20,-0.53,"105,463",,
2025-02-24,38.30,38.30,37.45,37.55,-0.75,-1.96,"123,999",,
2025-02-20,38.60,38.60,38.15,38.30,-0.30,-0.78,"99,320",,
2025-02-19,38.50,38.90,38.25,38.60,0.25,0.65,"98,141",,
2025-02-18,38.65,38.90,38.25,38.35,-0.30,-0.78,"68,985",,
2025-02-17,38.75,39.05,38.45,38.65,-0.10,-0.26,"168,938",,
2025-02-16,38.65,39.20,38.65,38.75,0.10,0.26,"74,562",,
2025-02-13,38.65,38.90,38.60,38.65,0.00,0.00,"81,658",,
2025-02-12,39.50,39.80,38.65,38.65,-0.85,-2.15,"145,245",,
2025-02-11,40.10,40.10,39.45,39.50,-0.45,-1.13,"253,998",,
2025-02-10,39.30,39.95,39.15,39.95,0.70,1.78,"322,049",,
2025-02-09,39.40,39.50,39.20,39.25,-0.15,-0.38,"88,146",,
2025-02-06,39.05,39.70,38.95,39.40,0.30,0.77,"319,426",,
2025-02-05,39.00,39.45,38.85,39.10,0.25,0.64,"240,227",,
2025-02-04,38.70,39.15,38.50,38.85,0.15,0.39,"121,693",,
2025-02-03,39.50,39.50,38.65,38.70,-0.80,-2.03,"241,712",,
2025-02-02,39.80,39.85,39.40,39.50,-0.25,-0.63,"128,548",,
2025-01-30,39.75,39.95,39.35,39.75,0.20,0.51,"201,098",,
2025-01-29,40.25,40.25,39.50,39.55,-0.50,-1.25,"103,562",,
2025-01-28,40.30,40.45,39.90,40.05,-0.25,-0.62,"250,983",,
2025-01-27,40.25,40.90,39.80,40.30,0.10,0.25,"695,494",,
2025-01-26,39.50,40.20,39.20,40.20,1.00,2.55,"230,153",,
2025-01-23,39.80,39.90,39.20,39.20,-0.55,-1.38,"163,107",,
2025-01-22,39.65,39.90,39.40,39.75,0.15,0.38,"100,688",,
2025-01-21,39.85,40.00,39.60,39.60,-0.20,-0.50,"170,222",,
2025-01-20,40.05,40.50,39.80,39.80,-0.10,-0.25,"229,645",,
2025-01-19,39.60,40.45,39.60,39.90,0.40,1.01,"416,028",,
2025-01-16,39.35,39.85,39.25,39.50,0.15,0.38,"155,418",,
2025-01-15,39.50,39.70,39.20,39.35,-0.15,-0.38,"100,122",,
2025-01-14,39.95,40.00,39.50,39.50,-0.25,-0.63,"177,889",,
2025-01-13,39.05,40.05,39.05,39.75,0.80,2.05,"659,070",,
2025-01-12,38.25,39.15,38.00,38.95,0.65,1.70,"276,910",,
2025-01-09,38.50,38.80,38.25,38.30,-0.35,-0.91,"107,300",,
2025-01-08,38.75,39.00,38.60,38.65,-0.25,-0.64,"55,245",,
2025-01-07,39.10,39.25,38.50,38.90,-0.10,-0.26,"195,915",,
2025-01-06,38.70,39.10,38.45,39.00,0.30,0.78,"235,083",,
2025-01-05,38.80,38.85,38.40,38.70,0.05,0.13,"89,104",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,38.80,38.85,38.40,38.70,0.05,0.13,"89,104",,
2025-01-02,38.60,39.20,38.55,38.65,0.15,0.39,"242,144",,
2025-01-01,38.50,38.70,38.10,38.50,0.05,0.13,"119,834",,
2024-12-31,37.50,38.50,37.50,38.45,0.85,2.26,"190,924",,
2024-12-30,37.15,37.65,37.00,37.60,0.45,1.21,"93,565",,
2024-12-29,37.25,37.45,37.05,37.15,-0.10,-0.27,"58,897",,
2024-12-26,37.50,37.55,37.10,37.25,-0.25,-0.67,"63,276",,
2024-12-25,37.15,37.55,37.00,37.50,0.20,0.54,"57,108",,
2024-12-24,37.75,37.75,37.15,37.30,-0.30,-0.80,"51,117",,
2024-12-23,38.00,38.00,37.10,37.60,0.00,0.00,"51,816",,
2024-12-22,38.20,38.50,37.50,37.60,-0.30,-0.79,"70,707",,
2024-12-19,38.20,38.20,37.70,37.90,-0.30,-0.79,"82,709",,
2024-12-18,37.90,38.30,37.70,38.20,0.30,0.79,"63,366",,
2024-12-17,38.30,38.35,37.90,37.90,-0.40,-1.04,"127,910",,
2024-12-16,38.60,38.70,38.25,38.30,-0.40,-1.03,"75,983",,
2024-12-15,38.75,39.40,38.70,38.70,-0.05,-0.13,"250,183",,
2024-12-12,38.35,39.50,38.35,38.75,0.35,0.91,"430,479",,
2024-12-11,38.30,38.70,38.10,38.40,0.15,0.39,"108,608",,
2024-12-10,38.50,38.70,38.25,38.25,-0.20,-0.52,"88,506",,
2024-12-09,38.45,38.60,38.25,38.45,0.15,0.39,"73,074",,
2024-12-08,38.25,38.80,38.25,38.30,0.30,0.79,"166,934",,
2024-12-05,38.20,38.60,37.90,38.00,-0.20,-0.52,"127,824",,
2024-12-04,37.90,38.55,37.80,38.20,0.65,1.73,"162,797",,
2024-12-03,37.20,38.05,37.15,37.55,0.30,0.81,"200,299",,
2024-12-02,37.70,37.85,37.20,37.25,-0.45,-1.19,"96,467",,
2024-12-01,37.40,38.10,37.40,37.70,0.30,0.80,"73,571",,
2024-11-28,37.60,37.60,36.90,37.40,-0.20,-0.53,"89,772",,
2024-11-27,37.95,38.10,37.15,37.60,-0.20,-0.53,"104,242",,
2024-11-26,38.30,38.45,37.50,37.80,-0.55,-1.43,"117,364",,
2024-11-25,38.60,38.75,38.20,38.35,-0.35,-0.90,"64,403",,
2024-11-24,39.05,39.05,38.45,38.70,-0.35,-0.90,"122,508",,
2024-11-21,38.50,39.10,38.20,39.05,0.80,2.09,"154,654",,
2024-11-20,38.80,38.80,38.00,38.25,-0.30,-0.78,"116,104",,
2024-11-19,38.30,38.75,38.15,38.55,0.35,0.92,"72,770",,
2024-11-18,38.30,38.50,37.90,38.20,-0.35,-0.91,"106,651",,
2024-11-17,38.65,38.90,38.50,38.55,-0.15,-0.39,"64,812",,
2024-11-14,38.85,39.05,38.50,38.70,-0.25,-0.64,"75,766",,
2024-11-13,39.10,39.10,38.60,38.95,-0.15,-0.38,"84,401",,
2024-11-12,39.45,39.50,39.00,39.10,-0.35,-0.89,"145,619",,
2024-11-11,39.90,39.90,39.30,39.45,-0.90,-2.23,"143,953",,
2024-11-10,40.65,40.65,40.10,40.35,-0.15,-0.37,"120,254",,
2024-11-07,40.30,41.30,40.25,40.50,0.25,0.62,"379,440",,
2024-11-06,39.50,40.25,39.50,40.25,0.70,1.77,"130,342",,
2024-11-05,39.55,39.75,39.30,39.55,0.05,0.13,"88,172",,
2024-11-04,39.65,40.00,39.35,39.50,-0.20,-0.50,"138,530",,
2024-11-03,40.00,40.40,39.65,39.70,-0.30,-0.75,"178,717",,
2024-10-31,40.00,40.40,39.80,40.00,0.00,0.00,"203,002",,
