0,1,2,3,4,5,6,7,8,9
2025-05-29,14.00,14.04,13.84,13.88,-0.06,-0.43,"177,170",,
2025-05-28,14.00,14.18,13.94,13.94,-0.02,-0.14,"109,537",,
2025-05-27,14.14,14.14,13.90,13.96,-0.14,-0.99,"107,988",,
2025-05-26,13.88,14.22,13.88,14.10,0.12,0.86,"258,445",,
2025-05-25,14.20,14.20,13.90,13.98,-0.16,-1.13,"84,012",,
2025-05-22,14.24,14.24,14.04,14.14,-0.16,-1.12,"253,106",,
2025-05-21,14.46,14.48,14.24,14.30,-0.24,-1.65,"172,436",,
2025-05-20,14.56,14.66,14.48,14.54,-0.10,-0.68,"217,385",,
2025-05-19,14.64,14.80,14.54,14.64,0.00,0.00,"220,852",,
2025-05-18,14.70,14.82,14.60,14.64,-0.06,-0.41,"174,151",,
2025-05-15,14.98,14.98,14.70,14.70,-0.28,-1.87,"308,099",,
2025-05-14,14.90,14.98,14.78,14.98,0.08,0.54,"210,682",,
2025-05-13,15.00,15.06,14.82,14.90,-0.04,-0.27,"433,106",,
2025-05-12,14.82,15.30,14.82,14.94,0.12,0.81,"354,455",,
2025-05-11,14.98,15.08,14.80,14.82,-0.16,-1.07,"178,861",,
2025-05-08,15.00,15.18,14.80,14.98,-0.08,-0.53,"686,848",,
2025-05-07,15.52,16.12,14.94,15.06,0.18,1.21,"1,587,331",,
2025-05-06,15.18,15.18,14.88,14.88,-0.22,-1.46,"159,043",,
2025-05-05,14.92,15.14,14.80,15.10,0.10,0.67,"256,016",,
2025-05-04,15.30,15.30,14.90,15.00,-0.06,-0.40,"157,278",,
2025-05-01,15.40,15.40,15.06,15.06,-0.28,-1.83,"227,274",,
2025-04-30,15.66,15.66,15.24,15.34,-0.32,-2.04,"146,150",,
2025-04-29,15.44,15.76,15.40,15.66,0.22,1.42,"227,186",,
2025-04-28,15.60,15.82,15.00,15.44,-0.18,-1.15,"288,955",,
2025-04-27,15.60,15.70,15.54,15.62,0.02,0.13,"128,139",,
2025-04-24,15.46,15.62,15.40,15.60,0.20,1.30,"151,444",,
2025-04-23,15.70,15.88,15.34,15.40,-0.30,-1.91,"214,351",,
2025-04-22,15.50,15.74,15.38,15.70,0.10,0.64,"253,071",,
2025-04-21,15.70,15.76,15.48,15.60,-0.14,-0.89,"140,526",,
2025-04-20,15.34,16.00,15.34,15.74,0.44,2.88,"406,140",,
2025-04-17,15.44,15.50,15.18,15.30,-0.12,-0.78,"241,840",,
2025-04-16,15.50,15.70,15.24,15.42,-0.22,-1.41,"396,080",,
2025-04-15,15.36,15.90,15.34,15.64,0.30,1.96,"643,773",,
2025-04-14,15.42,15.42,15.00,15.34,0.06,0.39,"567,347",,
2025-04-13,15.50,15.56,15.24,15.28,0.06,0.39,"444,510",,
2025-04-10,16.00,16.20,15.20,15.22,-0.02,-0.13,"910,370",,
2025-04-09,15.80,16.00,15.04,15.24,-0.56,-3.54,"199,356",,
2025-04-08,15.76,16.30,15.50,15.80,0.04,0.25,"273,460",,
2025-04-07,14.50,16.06,14.50,15.76,-0.34,-2.11,"658,006",,
2025-04-06,16.52,16.52,15.96,16.10,-0.88,-5.18,"793,889",,
2025-04-03,17.16,17.20,16.92,16.98,-0.30,-1.74,"175,623",,
2025-03-27,17.10,17.30,17.00,17.28,0.10,0.58,"403,463",,
2025-03-26,16.84,17.20,16.80,17.18,0.38,2.26,"307,995",,
2025-03-25,17.00,17.08,16.80,16.80,-0.20,-1.18,"155,757",,
2025-03-24,17.00,17.10,16.84,17.00,0.00,0.00,"152,993",,
2025-03-23,17.20,17.22,16.98,17.00,-0.22,-1.28,"249,172",,
2025-03-20,16.90,17.30,16.80,17.22,0.28,1.65,"544,174",,
2025-03-19,16.96,17.02,16.80,16.94,-0.14,-0.82,"191,898",,
2025-03-18,16.94,17.14,16.90,17.08,0.16,0.95,"495,799",,
2025-03-17,17.00,17.04,16.80,16.92,-0.08,-0.47,"183,201",,
2025-03-16,17.00,17.10,16.74,17.00,0.00,0.00,"205,294",,
2025-03-13,17.18,17.18,16.54,17.00,-0.22,-1.28,"618,728",,
2025-03-12,17.04,17.32,16.94,17.22,0.20,1.18,"285,892",,
2025-03-11,16.70,17.22,16.52,17.02,0.02,0.12,"450,213",,
2025-03-10,17.02,17.16,16.72,17.00,-0.02,-0.12,"276,367",,
2025-03-09,16.80,17.08,16.40,17.02,0.22,1.31,"273,163",,
2025-03-06,16.80,16.96,16.44,16.80,-0.20,-1.18,"198,130",,
2025-03-05,17.10,17.28,16.76,17.00,-0.10,-0.58,"285,331",,
2025-03-04,17.26,17.26,16.68,17.10,0.06,0.35,"358,819",,
2025-03-03,16.80,17.10,16.38,17.04,0.16,0.95,"262,753",,
2025-03-02,17.14,17.30,16.84,16.88,-0.26,-1.52,"241,194",,
2025-02-27,17.12,17.32,17.08,17.14,-0.12,-0.70,"135,471",,
2025-02-26,17.44,17.52,17.10,17.26,-0.16,-0.92,"271,557",,
2025-02-25,17.28,17.42,17.00,17.42,0.02,0.11,"643,790",,
2025-02-24,17.50,17.74,17.32,17.40,-0.36,-2.03,"566,080",,
2025-02-20,18.00,18.00,17.20,17.76,-0.22,-1.22,"1,559,946",,
2025-02-19,18.08,18.14,17.78,17.98,-0.10,-0.55,"2,380,921",,
2025-02-18,17.76,18.16,17.62,18.08,0.32,1.80,"1,877,491",,
2025-02-17,17.54,18.06,17.46,17.76,0.28,1.60,"3,231,569",,
2025-02-16,16.72,17.58,16.64,17.48,0.78,4.67,"1,919,165",,
2025-02-13,16.76,16.76,16.40,16.70,0.16,0.97,"441,950",,
2025-02-12,17.00,17.00,16.52,16.54,-0.48,-2.82,"853,399",,
2025-02-11,17.16,17.20,17.00,17.02,-0.18,-1.05,"346,855",,
2025-02-10,17.14,17.22,16.96,17.20,0.06,0.35,"839,816",,
2025-02-09,17.28,17.36,17.02,17.14,-0.14,-0.81,"1,034,485",,
2025-02-06,18.00,18.00,17.18,17.28,0.48,2.86,"4,896,539",,
2025-02-05,16.94,16.94,16.80,16.80,0.00,0.00,"372,516",,
2025-02-04,16.86,16.94,16.80,16.80,-0.08,-0.47,"317,732",,
2025-02-03,16.80,17.10,16.80,16.88,0.04,0.24,"829,576",,
2025-02-02,16.82,17.00,16.80,16.84,0.00,0.00,"322,179",,
2025-01-30,16.84,17.04,16.80,16.84,0.00,0.00,"347,937",,
2025-01-29,16.86,17.06,16.76,16.84,0.04,0.24,"577,990",,
2025-01-28,16.94,17.00,16.62,16.80,-0.12,-0.71,"1,171,465",,
2025-01-27,16.98,17.20,16.78,16.92,-0.04,-0.24,"1,692,682",,
2025-01-26,16.46,16.96,16.46,16.96,0.54,3.29,"1,196,980",,
2025-01-23,16.22,16.66,16.14,16.42,0.22,1.36,"1,237,682",,
2025-01-22,16.18,16.38,16.16,16.20,0.02,0.12,"345,685",,
2025-01-21,16.22,16.46,16.16,16.18,-0.02,-0.12,"888,819",,
2025-01-20,16.24,16.26,16.10,16.20,0.04,0.25,"615,220",,
2025-01-19,16.16,16.34,16.10,16.16,0.00,0.00,"484,784",,
2025-01-16,15.96,16.26,15.92,16.16,0.08,0.50,"702,650",,
2025-01-15,16.24,16.30,15.98,16.08,-0.20,-1.23,"499,537",,
2025-01-14,16.22,16.44,16.20,16.28,0.02,0.12,"823,766",,
2025-01-13,16.22,16.38,16.18,16.26,0.04,0.25,"333,277",,
2025-01-12,16.30,16.50,16.12,16.22,-0.12,-0.73,"644,917",,
2025-01-09,16.28,16.50,16.16,16.34,0.06,0.37,"781,173",,
2025-01-08,16.30,16.52,16.24,16.28,-0.08,-0.49,"723,731",,
2025-01-07,16.30,16.52,15.90,16.36,0.06,0.37,"1,120,946",,
2025-01-06,16.14,16.54,15.94,16.30,0.16,0.99,"1,317,029",,
2025-01-05,16.10,16.24,15.84,16.14,0.14,0.88,"1,408,981",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,16.10,16.24,15.84,16.14,0.14,0.88,"1,408,981",,
