0,1,2,3,4,5,6,7,8,9
2025-05-29,37.50,37.90,37.00,37.35,0.05,0.13,"249,603",,
2025-05-28,36.50,37.45,36.50,37.30,0.95,2.61,"166,836",,
2025-05-27,37.30,37.45,35.90,36.35,-1.15,-3.07,"495,472",,
2025-05-26,37.70,38.00,36.95,37.50,-0.20,-0.53,"360,894",,
2025-05-25,37.70,38.05,37.35,37.70,0.00,0.00,"156,196",,
2025-05-22,37.75,38.00,37.65,37.70,0.00,0.00,"194,112",,
2025-05-21,38.40,38.50,37.70,37.70,-0.70,-1.82,"368,074",,
2025-05-20,39.00,39.05,38.40,38.40,-0.70,-1.79,"399,430",,
2025-05-19,39.00,39.50,39.00,39.10,-0.35,-0.89,"198,502",,
2025-05-18,39.55,39.80,39.35,39.45,-0.10,-0.25,"136,644",,
2025-05-15,39.95,39.95,39.35,39.55,-0.35,-0.88,"234,300",,
2025-05-14,40.05,40.30,39.85,39.90,-0.10,-0.25,"227,998",,
2025-05-13,40.40,40.40,39.60,40.00,-0.20,-0.50,"445,064",,
2025-05-12,39.30,40.45,39.20,40.20,1.20,3.08,"538,348",,
2025-05-11,39.00,39.35,38.75,39.00,0.30,0.78,"123,260",,
2025-05-08,39.70,39.70,38.70,38.70,-0.80,-2.03,"228,174",,
2025-05-07,39.15,39.55,39.05,39.50,0.30,0.77,"126,863",,
2025-05-06,39.85,40.00,39.20,39.20,-0.50,-1.26,"232,455",,
2025-05-05,39.70,40.00,39.45,39.70,0.05,0.13,"663,267",,
2025-05-04,40.05,40.50,39.65,39.65,-0.45,-1.12,"125,416",,
2025-05-01,40.15,40.25,39.90,40.10,-0.05,-0.12,"232,802",,
2025-04-30,40.45,40.90,40.05,40.15,-0.30,-0.74,"221,118",,
2025-04-29,40.65,40.85,40.40,40.45,-0.15,-0.37,"411,532",,
2025-04-28,40.45,40.75,40.35,40.60,0.15,0.37,"243,765",,
2025-04-27,40.60,40.80,40.35,40.45,-0.15,-0.37,"169,575",,
2025-04-24,40.50,40.65,40.10,40.60,0.15,0.37,"295,083",,
2025-04-23,40.35,40.45,40.00,40.45,0.30,0.75,"228,618",,
2025-04-22,39.90,40.15,39.55,40.15,0.10,0.25,"163,241",,
2025-04-21,40.10,40.40,39.60,40.05,0.00,0.00,"169,163",,
2025-04-20,40.10,40.50,40.05,40.05,-0.05,-0.12,"73,248",,
2025-04-17,40.20,40.65,39.85,40.10,-0.20,-0.50,"354,637",,
2025-04-16,40.50,40.50,39.95,40.30,-0.05,-0.12,"161,349",,
2025-04-15,40.10,40.45,40.00,40.35,0.30,0.75,"331,402",,
2025-04-14,40.55,40.80,40.05,40.05,-0.45,-1.11,"280,188",,
2025-04-13,40.05,40.50,39.90,40.50,0.55,1.38,"208,672",,
2025-04-10,39.55,40.00,39.10,39.95,1.75,4.58,"591,383",,
2025-04-09,38.15,38.55,37.50,38.20,-0.30,-0.78,"579,209",,
2025-04-08,38.60,39.45,38.50,38.50,-0.05,-0.13,"666,972",,
2025-04-07,37.15,38.95,36.10,38.55,0.55,1.45,"911,049",,
2025-04-06,38.40,39.45,37.80,38.00,-3.30,-7.99,"1,386,670",,
2025-04-03,41.50,41.60,41.00,41.30,-0.35,-0.84,"546,781",,
2025-03-27,41.60,41.90,41.35,41.65,0.05,0.12,"481,893",,
2025-03-26,40.95,41.60,40.70,41.60,0.80,1.96,"415,380",,
2025-03-25,40.80,41.25,40.70,40.80,0.00,0.00,"166,099",,
2025-03-24,41.00,41.00,40.40,40.80,0.20,0.49,"145,090",,
2025-03-23,41.10,41.10,40.50,40.60,-0.40,-0.98,"118,830",,
2025-03-20,41.30,41.40,40.65,41.00,-0.30,-0.73,"272,265",,
2025-03-19,41.60,41.60,40.70,41.30,-0.40,-0.96,"263,510",,
2025-03-18,41.85,41.85,41.15,41.70,-0.05,-0.12,"432,973",,
2025-03-17,41.20,42.20,40.65,41.75,0.65,1.58,"957,974",,
2025-03-16,40.50,41.10,40.40,41.10,0.85,2.11,"595,713",,
2025-03-13,40.40,40.80,40.00,40.25,-0.20,-0.49,"379,984",,
2025-03-12,40.00,41.65,39.60,40.45,0.70,1.76,"635,120",,
2025-03-11,39.20,39.75,38.50,39.75,0.05,0.13,"645,027",,
2025-03-10,40.45,40.45,39.70,39.70,-1.10,-2.70,"335,554",,
2025-03-09,40.00,40.80,39.50,40.80,0.15,0.37,"265,638",,
2025-03-06,40.85,40.85,39.55,40.65,-0.25,-0.61,"840,617",,
2025-03-05,41.00,41.00,40.15,40.90,-0.15,-0.37,"537,549",,
2025-03-04,41.30,41.30,40.00,41.05,-0.25,-0.61,"860,454",,
2025-03-03,42.05,42.25,41.30,41.30,-1.50,-3.50,"504,618",,
2025-03-02,42.60,42.90,41.45,42.80,-0.50,-1.15,"772,269",,
2025-02-27,43.35,43.40,42.50,43.30,0.05,0.12,"440,399",,
2025-02-26,42.80,43.55,42.40,43.25,0.40,0.93,"682,490",,
2025-02-25,42.60,42.85,42.10,42.85,0.15,0.35,"364,642",,
2025-02-24,42.75,42.95,42.40,42.70,-0.10,-0.23,"455,682",,
2025-02-20,42.45,42.90,42.30,42.80,0.10,0.23,"183,461",,
2025-02-19,42.90,43.05,42.35,42.70,-0.20,-0.47,"495,407",,
2025-02-18,42.70,43.40,42.70,42.90,0.20,0.47,"289,242",,
2025-02-17,43.05,43.10,42.55,42.70,-0.65,-1.50,"334,141",,
2025-02-16,43.25,43.75,43.20,43.35,-0.25,-0.57,"257,424",,
2025-02-13,43.30,43.65,43.00,43.60,0.30,0.69,"454,181",,
2025-02-12,43.65,43.70,43.10,43.30,-0.60,-1.37,"424,550",,
2025-02-11,43.45,43.90,43.05,43.90,0.45,1.04,"417,882",,
2025-02-10,43.85,44.10,43.45,43.45,-0.40,-0.91,"307,397",,
2025-02-09,44.20,44.60,43.80,43.85,-0.35,-0.79,"532,867",,
2025-02-06,44.15,44.50,43.85,44.20,0.20,0.45,"628,921",,
2025-02-05,43.85,44.40,43.60,44.00,0.15,0.34,"585,452",,
2025-02-04,43.00,43.85,42.95,43.85,0.75,1.74,"577,331",,
2025-02-03,43.55,43.55,42.75,43.10,-0.55,-1.26,"580,787",,
2025-02-02,44.10,44.15,43.50,43.65,-0.45,-1.02,"336,636",,
2025-01-30,43.85,44.10,43.50,44.10,0.25,0.57,"458,954",,
2025-01-29,44.15,44.35,43.45,43.85,-0.15,-0.34,"572,750",,
2025-01-28,42.10,44.60,42.10,44.00,2.00,4.76,"2,766,810",,
2025-01-27,42.45,42.50,42.00,42.00,-0.60,-1.41,"463,772",,
2025-01-26,42.55,42.90,42.30,42.60,0.05,0.12,"467,955",,
2025-01-23,42.85,42.90,42.40,42.55,-0.35,-0.82,"520,514",,
2025-01-22,42.55,42.90,42.15,42.90,0.30,0.70,"879,747",,
2025-01-21,41.80,42.65,41.80,42.60,0.80,1.91,"1,158,436",,
2025-01-20,41.90,42.20,41.50,41.80,-0.10,-0.24,"1,020,997",,
