0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,149.80,159.20,149.80,156.00,6.00,4.00,"305,150",,,,,
2025-05-28,155.00,155.00,147.00,150.00,7.00,4.90,"108,166",,,,,
2025-05-27,153.60,153.80,142.40,143.00,-10.60,-6.90,"88,104",,,,,
2025-05-26,156.00,158.00,153.00,153.60,-1.60,-1.03,"59,090",,,,,
2025-05-25,159.40,159.40,155.00,155.20,-4.20,-2.63,"44,606",,,,,
2025-05-22,159.40,160.00,157.40,159.40,-1.00,-0.62,"46,865",,,,,
2025-05-21,162.80,162.80,159.40,160.40,-2.60,-1.60,"64,357",,,,,
2025-05-20,161.80,164.20,161.20,163.00,1.00,0.62,"55,126",,,,,
2025-05-19,163.00,163.80,161.00,162.00,-2.00,-1.22,"59,159",,,,,
2025-05-18,162.40,165.00,162.40,164.00,1.60,0.99,"24,161",,,,,
2025-05-15,163.00,163.80,161.00,162.40,-1.60,-0.98,"87,194",,,,,
2025-05-14,165.80,166.40,162.00,164.00,-1.60,-0.97,"78,069",,,,,
2025-05-13,165.00,166.00,163.60,165.60,0.80,0.49,"67,875",,,,,
2025-05-12,164.00,166.20,163.00,164.80,0.80,0.49,"50,251",,,,,
2025-05-11,166.00,167.40,163.00,164.00,-2.20,-1.32,"22,635",,,,,
2025-05-08,167.80,167.80,164.20,166.20,-1.60,-0.95,"40,094",,,,,
2025-05-07,166.20,169.00,165.60,167.80,0.80,0.48,"81,675",,,,,
2025-05-06,169.00,172.80,166.20,167.00,5.00,3.09,"311,279",,,,,
2025-05-05,156.20,164.20,156.20,162.00,4.20,2.66,"84,232",,,,,
2025-05-04,160.20,164.60,155.80,157.80,-2.40,-1.50,"60,447",,,,,
2025-05-01,169.40,169.40,160.20,160.20,-9.20,-5.43,"73,086",,,,,
2025-04-30,169.00,172.80,168.20,169.40,1.20,0.71,"81,425",,,,,
2025-04-29,168.80,170.40,167.00,168.20,-0.60,-0.36,"53,668",,,,,
2025-04-28,163.40,173.20,163.00,168.80,5.40,3.30,"167,532",,,,,
2025-04-27,164.00,164.40,163.00,163.40,-0.60,-0.37,"17,658",,,,,
2025-04-24,164.00,165.40,163.20,164.00,-0.20,-0.12,"45,873",,,,,
2025-04-23,165.00,165.60,163.20,164.20,0.00,0.00,"37,553",,,,,
2025-04-22,163.40,166.20,163.40,164.20,-0.60,-0.36,"66,752",,,,,
2025-04-21,163.60,164.80,162.80,164.80,1.60,0.98,"51,496",,,,,
2025-04-20,163.40,166.20,163.00,163.20,-2.00,-1.21,"32,055",,,,,
2025-04-17,163.80,167.00,163.80,165.20,0.20,0.12,"83,952",,,,,
2025-04-16,164.20,166.00,162.20,165.00,0.80,0.49,"80,055",,,,,
2025-04-15,159.00,164.80,157.80,164.20,5.20,3.27,"189,436",,,,,
2025-04-14,152.00,160.00,148.00,159.00,7.00,4.61,"299,153",,,,,
