0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,119.00,120.00,117.40,118.60,1.20,1.02,"195,143",,,,,
2025-05-28,117.00,118.20,116.40,117.40,0.40,0.34,"117,373",,,,,
2025-05-27,119.80,119.80,116.60,117.00,-3.40,-2.82,"60,982",,,,,
2025-05-26,119.60,120.40,117.80,120.40,0.40,0.33,"95,667",,,,,
2025-05-25,118.00,121.00,117.00,120.00,2.00,1.69,"136,605",,,,,
2025-05-22,116.20,118.40,115.00,118.00,1.80,1.55,"83,471",,,,,
2025-05-21,117.80,118.00,116.00,116.20,-0.40,-0.34,"66,984",,,,,
2025-05-20,117.80,118.80,116.60,116.60,-2.20,-1.85,"84,547",,,,,
2025-05-19,119.20,120.60,117.40,118.80,-0.60,-0.50,"69,185",,,,,
2025-05-18,117.20,119.40,117.20,119.40,2.40,2.05,"23,182",,,,,
2025-05-15,119.00,119.40,117.00,117.00,-1.60,-1.35,"86,761",,,,,
2025-05-14,121.60,122.00,118.60,118.60,-2.00,-1.66,"109,475",,,,,
2025-05-13,121.80,121.80,119.80,120.60,0.60,0.50,"102,067",,,,,
2025-05-12,118.80,121.00,118.80,120.00,1.20,1.01,"110,714",,,,,
2025-05-11,120.00,120.00,118.00,118.80,0.20,0.17,"57,477",,,,,
2025-05-08,118.00,118.60,116.00,118.60,1.20,1.02,"70,723",,,,,
2025-05-07,119.80,120.00,117.20,117.40,-2.40,-2.00,"60,172",,,,,
2025-05-06,119.40,120.40,117.80,119.80,1.00,0.84,"107,179",,,,,
2025-05-05,119.40,120.60,118.20,118.80,-1.00,-0.83,"118,771",,,,,
2025-05-04,119.80,121.00,119.20,119.80,-0.80,-0.66,"19,593",,,,,
2025-05-01,122.80,122.80,119.80,120.60,-1.40,-1.15,"69,508",,,,,
2025-04-30,123.00,124.00,121.00,122.00,-1.00,-0.81,"75,613",,,,,
2025-04-29,124.00,125.40,123.00,123.00,-1.00,-0.81,"87,244",,,,,
2025-04-28,123.20,124.40,122.80,124.00,1.00,0.81,"136,547",,,,,
2025-04-27,124.80,124.80,122.60,123.00,-1.20,-0.97,"58,280",,,,,
2025-04-24,125.80,126.00,124.00,124.20,-1.40,-1.11,"67,955",,,,,
2025-04-23,128.00,128.20,124.60,125.60,-2.40,-1.88,"134,403",,,,,
2025-04-22,126.00,128.00,124.60,128.00,2.00,1.59,"73,864",,,,,
2025-04-21,127.80,127.80,125.80,126.00,-1.80,-1.41,"23,030",,,,,
