0,1,2,3,4,5,6,7,8,9
2025-05-29,266.60,269.00,261.80,261.80,-0.20,-0.08,"1,102,321",,
2025-05-28,260.80,267.00,260.60,262.00,2.20,0.85,"306,840",,
2025-05-27,268.00,268.00,259.60,259.80,-7.60,-2.84,"239,457",,
2025-05-26,269.20,270.60,264.40,267.40,-0.60,-0.22,"201,204",,
2025-05-25,272.00,272.00,268.00,268.00,-0.40,-0.15,"66,810",,
2025-05-22,270.60,270.80,268.40,268.40,-2.00,-0.74,"170,030",,
2025-05-21,270.00,272.00,269.80,270.40,1.40,0.52,"216,867",,
2025-05-20,270.00,271.60,269.00,269.00,-2.80,-1.03,"124,328",,
2025-05-19,271.00,273.00,269.60,271.80,-0.20,-0.07,"138,008",,
2025-05-18,270.60,272.00,269.80,272.00,4.00,1.49,"58,737",,
2025-05-15,270.00,270.40,267.60,268.00,-2.00,-0.74,"204,257",,
2025-05-14,274.00,274.00,269.40,270.00,-0.60,-0.22,"157,685",,
2025-05-13,270.80,272.80,270.20,270.60,0.60,0.22,"169,498",,
2025-05-12,270.00,277.00,267.60,270.00,-3.00,-1.10,"262,314",,
2025-05-11,269.60,273.40,267.80,273.00,3.60,1.34,"89,544",,
2025-05-08,276.00,276.20,268.40,269.40,-6.80,-2.46,"239,864",,
2025-05-07,278.40,279.20,275.60,276.20,-2.40,-0.86,"134,504",,
2025-05-06,278.80,284.00,276.80,278.60,-0.20,-0.07,"122,436",,
2025-05-05,282.00,282.00,274.40,278.80,-4.00,-1.41,"223,833",,
2025-05-04,289.00,289.00,281.00,282.80,-6.20,-2.15,"132,564",,
2025-05-01,287.40,289.80,285.40,289.00,2.60,0.91,"274,699",,
2025-04-30,287.40,290.60,286.20,286.40,-0.80,-0.28,"239,143",,
2025-04-29,287.40,288.80,285.60,287.20,0.20,0.07,"163,056",,
2025-04-28,285.00,287.00,283.60,287.00,2.00,0.70,"184,269",,
2025-04-27,285.40,285.40,283.60,285.00,-0.20,-0.07,"43,732",,
2025-04-24,283.60,286.00,283.40,285.20,1.60,0.56,"193,984",,
2025-04-23,282.40,284.00,281.60,283.60,1.20,0.42,"170,960",,
2025-04-22,283.00,283.00,280.00,282.40,-0.60,-0.21,"143,592",,
2025-04-21,282.00,283.00,280.60,283.00,1.00,0.35,"176,495",,
2025-04-20,282.80,284.00,281.80,282.00,-2.00,-0.70,"140,992",,
2025-04-17,280.60,284.00,280.60,284.00,-0.40,-0.14,"206,608",,
2025-04-16,284.00,284.40,280.00,284.40,0.40,0.14,"182,567",,
2025-04-15,283.00,284.60,281.80,284.00,0.80,0.28,"142,969",,
2025-04-14,288.40,288.60,280.40,283.20,-3.80,-1.32,"347,941",,
2025-04-13,288.00,288.20,285.20,287.00,-2.60,-0.90,"253,994",,
2025-04-10,284.00,289.60,280.20,289.60,17.60,6.47,"416,668",,
2025-04-09,280.00,280.00,271.00,272.00,-8.20,-2.93,"199,987",,
2025-04-08,280.00,285.40,277.80,280.20,3.00,1.08,"519,743",,
2025-04-07,264.00,278.60,256.00,277.20,12.80,4.84,"452,667",,
2025-04-06,270.00,271.60,264.00,264.40,-15.60,-5.57,"228,356",,
2025-04-03,271.20,282.40,271.20,280.00,1.40,0.50,"260,516",,
2025-03-27,276.00,279.00,273.40,278.60,2.60,0.94,"137,039",,
2025-03-26,273.00,276.40,271.00,276.00,4.00,1.47,"157,226",,
2025-03-25,273.00,273.00,268.00,272.00,-0.80,-0.29,"108,068",,
2025-03-24,270.40,272.80,268.00,272.80,2.80,1.04,"62,604",,
2025-03-23,271.80,273.40,269.20,270.00,-1.80,-0.66,"36,573",,
2025-03-20,269.60,271.80,268.00,271.80,3.00,1.12,"222,343",,
2025-03-19,274.20,274.20,268.00,268.80,-3.80,-1.39,"145,023",,
2025-03-18,278.20,278.80,270.20,272.60,-5.40,-1.94,"191,142",,
2025-03-17,282.00,283.80,276.00,278.00,-2.00,-0.71,"159,862",,
2025-03-16,271.00,280.60,270.00,280.00,10.00,3.70,"159,662",,
2025-03-13,269.60,270.80,266.60,270.00,2.40,0.90,"268,189",,
2025-03-12,265.00,273.80,264.80,267.60,4.00,1.52,"350,435",,
2025-03-11,262.80,268.00,256.40,263.60,1.00,0.38,"389,526",,
2025-03-10,272.80,273.40,262.60,262.60,-10.20,-3.74,"272,924",,
2025-03-09,276.00,276.00,270.20,272.80,-0.40,-0.15,"112,790",,
2025-03-06,272.00,275.00,268.40,273.20,3.20,1.19,"304,675",,
2025-03-05,273.60,274.00,269.20,270.00,-3.60,-1.32,"234,149",,
2025-03-04,275.60,275.80,272.00,273.60,-1.80,-0.65,"255,885",,
2025-03-03,278.00,279.80,273.60,275.40,-2.60,-0.94,"251,844",,
2025-03-02,281.60,281.60,276.00,278.00,-2.60,-0.93,"87,289",,
2025-02-27,281.60,282.60,279.20,280.60,-1.00,-0.36,"337,649",,
2025-02-26,283.40,284.60,279.00,281.60,-1.60,-0.56,"218,585",,
2025-02-25,286.00,286.80,282.00,283.20,-2.60,-0.91,"162,457",,
2025-02-24,289.60,291.00,285.00,285.80,-3.80,-1.31,"182,803",,
2025-02-20,286.60,291.80,284.20,289.60,3.00,1.05,"226,097",,
2025-02-19,288.80,290.00,284.00,286.60,-2.20,-0.76,"213,159",,
2025-02-18,293.60,294.60,288.20,288.80,-5.20,-1.77,"218,391",,
