0,1,2,3,4,5,6,7,8,9
2025-05-29,59.70,60.70,59.40,60.40,0.90,1.51,"102,126",,
2025-05-28,57.50,60.10,56.80,59.50,2.50,4.39,"201,079",,
2025-05-27,58.80,58.80,57.00,57.00,-2.00,-3.39,"129,992",,
2025-05-26,59.70,60.10,58.30,59.00,-0.80,-1.34,"228,938",,
2025-05-25,60.20,60.50,58.90,59.80,-0.80,-1.32,"271,505",,
2025-05-22,60.40,60.90,59.90,60.60,-0.50,-0.82,"226,779",,
2025-05-21,62.80,62.80,60.80,61.10,-1.10,-1.77,"317,416",,
2025-05-20,62.60,62.60,61.70,62.20,-0.20,-0.32,"191,953",,
2025-05-19,62.10,62.50,61.50,62.40,-0.30,-0.48,"163,236",,
2025-05-18,63.10,63.50,62.40,62.70,-0.60,-0.95,"122,592",,
2025-05-15,64.00,64.00,62.70,63.30,-0.70,-1.09,"215,203",,
2025-05-14,65.30,65.40,63.90,64.00,-1.00,-1.54,"255,554",,
2025-05-13,64.30,65.40,64.00,65.00,1.00,1.56,"320,767",,
2025-05-12,64.20,65.00,63.70,64.00,0.40,0.63,"438,974",,
2025-05-11,64.30,65.20,63.40,63.60,-0.80,-1.24,"356,370",,
2025-05-08,69.00,69.00,64.30,64.40,-6.30,-8.91,"1,205,813",,
2025-05-07,71.20,71.40,70.00,70.70,-0.50,-0.70,"230,634",,
2025-05-06,69.20,71.80,69.10,71.20,2.10,3.04,"638,310",,
2025-05-05,68.60,69.30,67.20,69.10,0.60,0.88,"349,160",,
2025-05-04,68.10,68.80,66.90,68.50,-0.50,-0.72,"202,396",,
2025-05-01,69.60,70.00,67.80,69.00,-0.50,-0.72,"254,519",,
2025-04-30,69.00,69.50,66.90,69.50,0.80,1.16,"503,723",,
2025-04-29,67.20,69.00,66.50,68.70,1.50,2.23,"391,478",,
2025-04-28,64.70,67.90,64.60,67.20,2.50,3.86,"889,481",,
2025-04-27,65.00,65.50,64.60,64.70,-0.20,-0.31,"341,974",,
2025-04-24,64.50,65.10,64.00,64.90,0.20,0.31,"482,580",,
2025-04-23,64.80,64.90,64.00,64.70,0.70,1.09,"167,519",,
2025-04-22,64.60,65.10,63.80,64.00,-0.70,-1.08,"183,207",,
2025-04-21,66.00,66.20,64.60,64.70,-1.20,-1.82,"130,961",,
2025-04-20,65.20,66.20,65.20,65.90,0.80,1.23,"354,696",,
2025-04-17,64.30,65.40,64.10,65.10,0.30,0.46,"395,998",,
2025-04-16,65.20,65.20,64.10,64.80,-0.50,-0.77,"247,131",,
2025-04-15,65.60,65.60,64.80,65.30,0.00,0.00,"329,399",,
2025-04-14,64.30,66.90,64.00,65.30,1.20,1.87,"718,426",,
2025-04-13,63.80,64.60,63.50,64.10,1.40,2.23,"314,711",,
2025-04-10,64.50,64.50,61.50,62.70,4.00,6.81,"515,682",,
2025-04-09,59.00,60.60,58.30,58.70,-1.20,-2.00,"402,585",,
2025-04-08,61.00,62.20,59.00,59.90,-0.30,-0.50,"452,475",,
2025-04-07,57.00,61.20,54.50,60.20,-0.30,-0.50,"781,893",,
2025-04-06,62.10,63.20,60.30,60.50,-6.50,-9.70,"303,680",,
2025-04-03,67.00,67.50,65.40,67.00,-1.50,-2.19,"231,003",,
2025-03-27,68.80,69.00,68.20,68.50,-0.10,-0.15,"334,777",,
2025-03-26,68.00,69.00,67.80,68.60,0.60,0.88,"166,445",,
2025-03-25,68.70,68.80,67.10,68.00,-0.70,-1.02,"255,747",,
2025-03-24,70.00,70.20,67.90,68.70,-1.00,-1.43,"170,448",,
2025-03-23,69.90,70.40,69.20,69.70,-0.20,-0.29,"75,997",,
2025-03-20,69.80,70.20,69.40,69.90,-0.10,-0.14,"300,100",,
2025-03-19,70.60,70.60,69.00,70.00,-0.60,-0.85,"147,979",,
2025-03-18,71.10,71.20,70.30,70.60,-0.40,-0.56,"235,350",,
2025-03-17,71.10,72.20,70.90,71.00,-0.60,-0.84,"300,661",,
2025-03-16,71.70,71.90,70.70,71.60,0.10,0.14,"163,316",,
2025-03-13,71.30,72.20,71.10,71.50,0.70,0.99,"161,086",,
2025-03-12,69.80,71.40,69.60,70.80,1.30,1.87,"105,937",,
2025-03-11,68.80,71.70,67.90,69.50,-0.80,-1.14,"272,936",,
2025-03-10,71.60,71.60,69.30,70.30,-1.30,-1.82,"211,271",,
2025-03-09,72.90,74.20,70.50,71.60,-0.70,-0.97,"155,179",,
2025-03-06,73.50,73.50,70.10,72.30,-1.20,-1.63,"1,133,470",,
2025-03-05,69.10,74.10,68.30,73.50,4.40,6.37,"1,335,491",,
2025-03-04,73.20,73.40,69.00,69.10,-4.30,-5.86,"706,569",,
2025-03-03,75.10,77.80,73.30,73.40,-1.00,-1.34,"419,019",,
2025-03-02,76.80,76.80,74.40,74.40,-2.50,-3.25,"131,669",,
2025-02-27,79.10,79.30,76.90,76.90,-2.50,-3.15,"180,194",,
2025-02-26,79.50,79.80,78.70,79.40,0.10,0.13,"91,392",,
2025-02-25,79.40,79.80,78.50,79.30,-0.10,-0.13,"107,120",,
2025-02-24,79.30,79.90,78.80,79.40,0.40,0.51,"140,944",,
2025-02-20,80.30,80.30,77.10,79.00,-1.50,-1.86,"238,583",,
2025-02-19,81.20,81.60,79.80,80.50,-1.10,-1.35,"176,693",,
