0,1,2,3,4,5,6,7,8,9
2025-05-29,74.40,74.50,72.60,72.60,-0.90,-1.22,"528,823",,
2025-05-28,73.00,75.60,73.00,73.50,1.00,1.38,"331,652",,
2025-05-27,74.20,74.30,72.40,72.50,-1.60,-2.16,"454,282",,
2025-05-26,73.50,74.70,73.40,74.10,0.40,0.54,"281,911",,
2025-05-25,74.60,74.60,73.00,73.70,-0.80,-1.07,"235,560",,
2025-05-22,73.50,74.50,73.10,74.50,1.10,1.50,"289,501",,
2025-05-21,76.10,76.10,73.40,73.40,-2.70,-3.55,"536,998",,
2025-05-20,75.00,76.40,75.00,76.10,0.10,0.13,"686,798",,
2025-05-19,75.70,76.50,75.30,76.00,0.30,0.40,"365,824",,
2025-05-18,76.70,77.20,75.00,75.70,-1.00,-1.30,"398,202",,
2025-05-15,77.70,77.70,76.40,76.70,-0.90,-1.16,"382,258",,
2025-05-14,78.60,78.60,77.20,77.60,-0.60,-0.77,"323,388",,
2025-05-13,78.90,79.00,77.50,78.20,-0.40,-0.51,"469,456",,
2025-05-12,78.30,80.00,78.10,78.60,0.30,0.38,"617,593",,
2025-05-11,76.40,80.00,76.20,78.30,1.90,2.49,"967,985",,
2025-05-08,77.00,77.00,75.20,76.40,0.00,0.00,"515,022",,
2025-05-07,75.70,77.80,75.40,76.40,0.70,0.92,"911,972",,
2025-05-06,77.20,79.00,75.70,75.70,-2.60,-3.32,"964,808",,
2025-05-05,72.20,78.30,71.20,78.30,7.10,9.97,"2,491,861",,
2025-05-04,72.50,72.60,70.80,71.20,-1.10,-1.52,"340,697",,
2025-05-01,73.00,73.00,71.00,72.30,-0.20,-0.28,"292,497",,
2025-04-30,73.90,74.60,72.50,72.50,-1.20,-1.63,"579,164",,
2025-04-29,73.70,74.90,73.20,73.70,-0.10,-0.14,"620,828",,
2025-04-28,74.00,74.00,72.80,73.80,-0.20,-0.27,"426,236",,
2025-04-27,74.00,74.50,73.60,74.00,0.10,0.14,"138,654",,
2025-04-24,74.30,74.30,73.20,73.90,-0.10,-0.14,"285,735",,
2025-04-23,74.10,74.50,73.50,74.00,0.40,0.54,"144,559",,
2025-04-22,72.90,73.80,72.50,73.60,0.20,0.27,"265,998",,
2025-04-21,74.50,74.50,73.40,73.40,-0.90,-1.21,"153,109",,
2025-04-20,73.40,74.80,73.30,74.30,0.80,1.09,"303,761",,
2025-04-17,73.10,73.50,72.50,73.50,0.00,0.00,"247,876",,
2025-04-16,73.70,74.00,72.80,73.50,-0.30,-0.41,"224,601",,
2025-04-15,73.50,73.90,73.10,73.80,0.40,0.54,"437,795",,
2025-04-14,72.90,73.50,71.90,73.40,0.60,0.82,"696,623",,
2025-04-13,71.50,72.80,71.50,72.80,1.90,2.68,"636,204",,
2025-04-10,72.30,72.30,69.90,70.90,2.70,3.96,"897,736",,
2025-04-09,68.90,70.50,68.00,68.20,-1.20,-1.73,"745,347",,
2025-04-08,71.20,72.30,69.40,69.40,-0.70,-1.00,"894,927",,
2025-04-07,67.50,70.20,65.60,70.10,2.00,2.94,"961,721",,
2025-04-06,71.60,72.00,68.10,68.10,-5.90,-7.97,"984,602",,
2025-04-03,74.90,75.20,73.40,74.00,-1.00,-1.33,"382,144",,
2025-03-27,75.80,75.80,74.40,75.00,-0.60,-0.79,"458,616",,
2025-03-26,73.10,75.60,72.60,75.60,2.90,3.99,"664,213",,
2025-03-25,72.90,73.00,71.80,72.70,0.00,0.00,"651,571",,
2025-03-24,72.90,73.60,71.90,72.70,0.00,0.00,"670,288",,
2025-03-23,74.00,74.30,72.70,72.70,-1.70,-2.28,"493,936",,
2025-03-20,74.00,74.40,73.00,74.40,0.80,1.09,"956,754",,
2025-03-19,75.00,75.00,72.70,73.60,-1.20,-1.60,"898,267",,
2025-03-18,77.20,77.30,73.80,74.80,-2.40,-3.11,"938,680",,
2025-03-17,77.60,78.90,76.60,77.20,0.00,0.00,"526,947",,
2025-03-16,76.90,77.70,76.00,77.20,0.50,0.65,"495,468",,
2025-03-13,76.20,77.60,75.50,76.70,0.90,1.19,"1,476,821",,
2025-03-12,76.00,78.90,74.90,75.80,-0.10,-0.13,"2,574,842",,
2025-03-11,72.30,76.00,70.80,75.90,3.10,4.26,"1,085,191",,
2025-03-10,73.30,73.50,71.50,72.80,-0.50,-0.68,"2,440,409",,
2025-03-09,76.70,76.70,72.00,73.30,-2.40,-3.17,"2,263,465",,
2025-03-06,76.00,78.20,75.20,75.70,-7.80,-9.34,"3,540,468",,
2025-03-05,84.00,84.80,82.80,83.50,-0.50,-0.60,"346,451",,
2025-03-04,85.40,85.50,84.00,84.00,-1.30,-1.52,"329,304",,
2025-03-03,84.40,85.40,83.80,85.30,0.90,1.07,"288,016",,
2025-03-02,84.50,85.30,83.60,84.40,-0.20,-0.24,"172,733",,
2025-02-27,85.90,86.70,84.60,84.60,-1.00,-1.17,"471,633",,
2025-02-26,87.90,87.90,85.60,85.60,-2.40,-2.73,"416,825",,
2025-02-25,87.00,88.10,86.00,88.00,1.00,1.15,"626,127",,
2025-02-24,85.40,87.30,85.40,87.00,1.60,1.87,"706,807",,
2025-02-20,84.90,85.50,84.50,85.40,0.50,0.59,"248,569",,
2025-02-19,85.30,86.30,84.30,84.90,-0.10,-0.12,"348,776",,
2025-02-18,84.20,85.50,84.00,85.00,1.20,1.43,"538,838",,
2025-02-17,84.30,85.30,82.00,83.80,-0.70,-0.83,"1,067,509",,
2025-02-16,85.60,86.40,84.40,84.50,-1.10,-1.29,"572,515",,
2025-02-13,86.30,86.50,85.50,85.60,-0.70,-0.81,"414,111",,
2025-02-12,88.10,88.10,85.90,86.30,-1.80,-2.04,"639,032",,
2025-02-11,89.30,89.30,87.80,88.10,-0.90,-1.01,"386,178",,
2025-02-10,88.00,90.00,87.70,89.00,0.70,0.79,"783,819",,
2025-02-09,88.20,88.60,88.00,88.30,0.30,0.34,"250,562",,
2025-02-06,88.10,88.10,87.50,88.00,0.00,0.00,"558,298",,
2025-02-05,88.10,88.90,87.70,88.00,0.00,0.00,"503,670",,
2025-02-04,87.70,88.30,87.70,88.00,0.50,0.57,"560,736",,
2025-02-03,90.00,90.00,87.40,87.50,-2.50,-2.78,"812,326",,
2025-02-02,92.30,92.70,89.80,90.00,-2.10,-2.28,"537,014",,
2025-01-30,90.00,92.30,89.80,92.10,2.10,2.33,"759,307",,
2025-01-29,90.00,91.10,89.30,90.00,0.20,0.22,"524,239",,
2025-01-28,89.40,91.10,88.90,89.80,0.70,0.79,"829,449",,
2025-01-27,88.90,89.60,88.60,89.10,0.10,0.11,"271,258",,
2025-01-26,90.50,90.80,88.90,89.00,-1.00,-1.11,"457,870",,
2025-01-23,89.50,90.00,88.20,90.00,0.50,0.56,"472,761",,
2025-01-22,91.60,91.60,89.30,89.50,-2.00,-2.19,"826,831",,
2025-01-21,92.60,92.60,90.90,91.50,-1.10,-1.19,"349,874",,
2025-01-20,93.20,93.70,92.10,92.60,-0.50,-0.54,"584,705",,
2025-01-19,92.00,93.70,91.70,93.10,1.30,1.42,"298,166",,
2025-01-16,91.00,91.90,90.40,91.80,0.80,0.88,"458,938",,
2025-01-15,88.80,91.40,88.30,91.00,2.60,2.94,"779,998",,
2025-01-14,87.30,89.00,86.50,88.40,1.60,1.84,"630,379",,
