0,1,2,3,4,5,6,7,8,9
2025-05-29,161.00,165.00,159.60,165.00,4.00,2.48,"48,662",,
2025-05-28,158.00,162.80,156.80,161.00,3.00,1.90,"49,390",,
2025-05-27,161.00,161.00,156.20,158.00,-1.20,-0.75,"36,668",,
2025-05-26,164.20,164.20,159.20,159.20,0.00,0.00,"15,633",,
2025-05-25,166.80,166.80,159.20,159.20,-4.60,-2.81,"38,877",,
2025-05-22,168.00,168.00,161.80,163.80,-2.60,-1.56,"63,847",,
2025-05-21,167.00,168.80,162.60,166.40,-1.60,-0.95,"73,468",,
2025-05-20,161.00,170.00,161.00,168.00,3.40,2.07,"153,112",,
2025-05-19,165.40,167.60,163.80,164.60,-0.80,-0.48,"72,364",,
2025-05-18,166.00,168.80,165.00,165.40,-0.80,-0.48,"88,720",,
2025-05-15,168.00,168.00,162.40,166.20,3.80,2.34,"188,080",,
2025-05-14,165.80,167.40,159.00,162.40,-1.40,-0.85,"193,565",,
2025-05-13,158.20,164.80,158.20,163.80,6.60,4.20,"250,909",,
2025-05-12,149.00,158.00,149.00,157.20,8.20,5.50,"399,931",,
2025-05-11,148.00,150.60,144.60,149.00,7.00,4.93,"197,215",,
2025-05-08,145.20,145.20,139.40,142.00,-3.40,-2.34,"109,495",,
2025-05-07,147.20,147.20,144.00,145.40,-1.60,-1.09,"35,022",,
2025-05-06,145.20,147.60,144.80,147.00,1.80,1.24,"27,560",,
2025-05-05,145.20,147.20,142.00,145.20,-1.00,-0.68,"138,982",,
2025-05-04,146.80,148.60,145.40,146.20,-1.20,-0.81,"37,230",,
2025-05-01,149.40,149.40,147.00,147.40,-1.60,-1.07,"49,584",,
2025-04-30,153.00,153.60,148.60,149.00,-4.00,-2.61,"98,002",,
2025-04-29,149.20,153.60,148.60,153.00,4.20,2.82,"183,712",,
2025-04-28,147.80,149.20,147.20,148.80,1.20,0.81,"45,430",,
2025-04-27,148.20,149.00,146.80,147.60,-0.60,-0.40,"25,617",,
2025-04-24,146.80,148.60,146.00,148.20,1.40,0.95,"50,896",,
2025-04-23,146.80,148.00,146.00,146.80,1.00,0.69,"95,582",,
2025-04-22,144.80,145.80,143.60,145.80,0.80,0.55,"66,846",,
2025-04-21,147.00,147.00,144.00,145.00,-2.00,-1.36,"71,426",,
2025-04-20,147.40,148.20,145.80,147.00,-0.40,-0.27,"45,776",,
2025-04-17,145.60,148.20,145.60,147.40,-0.40,-0.27,"65,546",,
2025-04-16,146.80,148.80,146.00,147.80,1.80,1.23,"186,094",,
2025-04-15,150.00,150.00,146.00,146.00,-3.80,-2.54,"294,292",,
2025-04-14,154.00,154.00,149.40,149.80,-3.20,-2.09,"232,309",,
2025-04-13,156.20,156.40,152.00,153.00,-3.20,-2.05,"167,232",,
2025-04-10,154.20,156.20,148.60,156.20,8.60,5.83,"145,024",,
2025-04-09,147.00,150.60,144.80,147.60,-5.00,-3.28,"169,575",,
2025-04-08,144.40,152.60,144.40,152.60,8.80,6.12,"109,011",,
2025-04-07,144.80,149.00,139.20,143.80,-2.40,-1.64,"204,226",,
2025-04-06,148.00,149.00,139.80,146.20,-8.40,-5.43,"87,393",,
2025-04-03,158.00,158.20,154.20,154.60,-5.80,-3.62,"98,506",,
2025-03-27,160.00,162.20,158.00,160.40,0.40,0.25,"39,906",,
2025-03-26,151.20,160.00,151.20,160.00,7.60,4.99,"157,189",,
2025-03-25,152.80,154.00,150.60,152.40,-0.60,-0.39,"52,067",,
2025-03-24,157.20,157.20,151.60,153.00,-5.00,-3.16,"157,963",,
2025-03-23,160.00,161.60,156.40,158.00,-2.00,-1.25,"77,437",,
2025-03-20,161.40,162.40,158.20,160.00,-1.00,-0.62,"152,608",,
2025-03-19,166.20,166.20,160.80,161.00,-5.00,-3.01,"75,093",,
2025-03-18,166.60,169.00,164.20,166.00,-0.80,-0.48,"134,839",,
2025-03-17,168.80,169.00,166.40,166.80,-2.00,-1.18,"142,605",,
2025-03-16,165.40,169.00,165.40,168.80,2.40,1.44,"56,550",,
2025-03-13,165.20,169.20,165.00,166.40,-2.60,-1.54,"79,777",,
2025-03-12,166.00,169.00,164.60,169.00,2.20,1.32,"92,666",,
2025-03-11,163.00,167.00,160.00,166.80,0.00,0.00,"106,895",,
2025-03-10,171.80,171.80,164.60,166.80,-6.00,-3.47,"236,319",,
2025-03-09,168.80,174.80,166.00,172.80,3.00,1.77,"134,953",,
2025-03-06,167.00,170.60,162.40,169.80,2.80,1.68,"133,475",,
2025-03-05,159.40,167.80,158.40,167.00,7.20,4.51,"127,372",,
2025-03-04,158.40,160.80,157.00,159.80,-0.20,-0.13,"182,340",,
2025-03-03,163.20,164.40,156.80,160.00,-2.00,-1.23,"303,090",,
2025-03-02,169.00,169.40,162.00,162.00,-9.00,-5.26,"122,846",,
2025-02-27,172.00,172.40,169.00,171.00,-1.00,-0.58,"66,197",,
2025-02-26,172.80,173.00,171.00,172.00,0.40,0.23,"109,694",,
2025-02-25,173.40,174.80,170.80,171.60,1.80,1.06,"436,648",,
2025-02-24,171.60,171.60,167.00,169.80,-1.80,-1.05,"114,942",,
2025-02-20,169.80,171.60,168.40,171.60,-0.20,-0.12,"62,092",,
2025-02-19,173.00,173.00,169.40,171.80,-1.20,-0.69,"70,948",,
2025-02-18,168.20,173.00,167.60,173.00,4.00,2.37,"111,452",,
2025-02-17,172.00,172.00,168.20,169.00,-3.00,-1.74,"68,251",,
2025-02-16,172.00,175.00,172.00,172.00,1.00,0.58,"137,299",,
2025-02-13,168.80,171.00,167.00,171.00,2.00,1.18,"216,330",,
2025-02-12,169.00,169.00,166.20,169.00,0.80,0.48,"127,828",,
