0,1,2,3,4,5,6,7,8,9
2025-05-29,7.58,7.82,7.51,7.80,0.23,3.04,"4,137,452",,
2025-05-28,7.32,7.64,7.22,7.57,0.26,3.56,"3,219,388",,
2025-05-27,7.35,7.35,7.22,7.31,-0.02,-0.27,"3,567,703",,
2025-05-26,7.60,7.61,7.18,7.33,-0.26,-3.43,"4,445,599",,
2025-05-25,7.75,7.75,7.58,7.59,-0.19,-2.44,"1,178,270",,
2025-05-22,7.98,7.98,7.72,7.78,-0.25,-3.11,"2,105,925",,
2025-05-21,8.08,8.08,7.99,8.03,-0.05,-0.62,"1,467,639",,
2025-05-20,8.13,8.16,7.96,8.08,-0.01,-0.12,"2,869,674",,
2025-05-19,8.07,8.15,8.01,8.09,0.00,0.00,"1,321,983",,
2025-05-18,8.01,8.12,8.01,8.09,0.02,0.25,"1,505,045",,
2025-05-15,8.16,8.16,8.01,8.07,-0.08,-0.98,"1,563,735",,
2025-05-14,8.21,8.24,8.13,8.15,-0.03,-0.37,"2,408,055",,
2025-05-13,8.24,8.26,8.15,8.18,-0.12,-1.45,"2,259,669",,
2025-05-12,8.40,8.55,8.26,8.30,-0.09,-1.07,"4,234,873",,
2025-05-11,8.95,8.95,8.14,8.39,-0.58,-6.47,"10,524,024",,
2025-05-08,8.72,9.07,8.68,8.97,0.26,2.99,"7,791,019",,
2025-05-07,8.30,8.79,8.28,8.71,0.41,4.94,"9,275,521",,
2025-05-06,8.20,8.40,8.15,8.30,0.10,1.22,"2,310,778",,
2025-05-05,8.01,8.25,7.96,8.20,0.10,1.23,"1,906,573",,
2025-05-04,8.35,8.35,8.07,8.10,-0.16,-1.94,"1,651,388",,
2025-05-01,8.45,8.45,8.19,8.26,-0.19,-2.25,"1,666,238",,
2025-04-30,8.50,8.54,8.38,8.45,-0.07,-0.82,"3,095,750",,
2025-04-29,8.45,8.57,8.35,8.52,0.04,0.47,"3,069,486",,
2025-04-28,8.60,8.61,8.47,8.48,-0.11,-1.28,"1,136,600",,
2025-04-27,8.54,8.64,8.45,8.59,0.07,0.82,"2,165,488",,
2025-04-24,8.53,8.69,8.43,8.52,0.00,0.00,"1,853,408",,
2025-04-23,8.48,8.53,8.39,8.52,0.12,1.43,"1,731,107",,
2025-04-22,8.40,8.47,8.22,8.40,-0.07,-0.83,"1,841,251",,
2025-04-21,8.70,8.70,8.44,8.47,-0.25,-2.87,"1,425,441",,
2025-04-20,8.70,8.80,8.66,8.72,0.03,0.35,"875,083",,
2025-04-17,8.75,8.80,8.61,8.69,-0.09,-1.03,"3,557,687",,
2025-04-16,8.78,8.84,8.63,8.78,-0.01,-0.11,"4,209,400",,
2025-04-15,8.86,8.89,8.70,8.79,0.01,0.11,"2,788,503",,
2025-04-14,8.70,8.95,8.63,8.78,0.09,1.04,"8,700,375",,
2025-04-13,8.30,8.77,8.30,8.69,0.43,5.21,"6,745,792",,
2025-04-10,7.95,8.26,7.91,8.26,0.75,9.99,"10,280,188",,
2025-04-09,7.50,7.71,7.45,7.51,-0.24,-3.10,"2,299,741",,
2025-04-08,7.80,7.94,7.66,7.75,0.19,2.51,"3,460,341",,
2025-04-07,7.02,7.66,7.00,7.56,-0.18,-2.33,"6,607,719",,
2025-04-06,7.95,7.95,7.74,7.74,-0.86,-10.00,"5,895,246",,
2025-04-03,8.59,8.76,8.46,8.60,-0.05,-0.58,"2,487,891",,
2025-03-27,8.82,8.85,8.60,8.65,-0.06,-0.69,"1,751,665",,
2025-03-26,8.32,8.82,8.32,8.71,0.39,4.69,"2,342,896",,
2025-03-25,8.58,8.59,8.28,8.32,-0.27,-3.14,"1,509,610",,
2025-03-24,8.67,8.75,8.57,8.59,-0.08,-0.92,"961,704",,
2025-03-23,8.75,8.84,8.61,8.67,-0.08,-0.91,"1,076,875",,
2025-03-20,8.59,8.95,8.54,8.75,0.20,2.34,"5,918,171",,
2025-03-19,8.55,8.59,8.32,8.55,0.02,0.23,"2,278,438",,
2025-03-18,8.82,8.87,8.53,8.53,-0.25,-2.85,"2,895,685",,
2025-03-17,9.30,9.30,8.72,8.78,-0.17,-1.90,"4,383,759",,
2025-03-16,8.50,9.10,8.50,8.95,0.50,5.92,"5,158,745",,
2025-03-13,7.96,8.47,7.94,8.45,0.47,5.89,"6,607,848",,
2025-03-12,7.98,8.32,7.90,7.98,0.00,0.00,"6,978,080",,
2025-03-11,8.14,8.14,7.80,7.98,-0.18,-2.21,"3,592,393",,
2025-03-10,8.60,8.60,8.12,8.16,-0.44,-5.12,"2,104,910",,
