0,1,2,3,4,5,6,7,8,9
2025-05-29,37.90,38.25,37.35,37.95,0.65,1.74,"58,553",,
2025-05-28,37.90,39.80,37.30,37.30,0.80,2.19,"156,395",,
2025-05-27,37.65,37.65,36.50,36.50,-1.15,-3.05,"47,425",,
2025-05-26,38.00,38.20,36.70,37.65,-0.35,-0.92,"41,700",,
2025-05-25,38.80,38.80,38.00,38.00,-0.80,-2.06,"24,830",,
2025-05-22,38.25,38.90,38.10,38.80,0.00,0.00,"27,565",,
2025-05-21,39.40,39.40,38.30,38.80,-0.60,-1.52,"57,715",,
2025-05-20,39.05,39.90,39.05,39.40,0.20,0.51,"35,903",,
2025-05-19,39.90,39.90,39.15,39.20,-0.70,-1.75,"45,221",,
2025-05-18,39.70,39.95,39.70,39.90,0.00,0.00,"13,416",,
2025-05-15,40.85,40.85,39.70,39.90,-0.65,-1.60,"41,999",,
2025-05-14,40.50,40.75,40.10,40.55,0.50,1.25,"49,472",,
2025-05-13,40.90,40.90,40.00,40.05,-0.55,-1.35,"37,932",,
2025-05-12,39.60,40.60,39.50,40.60,1.00,2.53,"95,407",,
2025-05-11,39.65,39.80,39.30,39.60,0.25,0.64,"34,666",,
2025-05-08,39.50,39.75,39.15,39.35,-0.15,-0.38,"30,756",,
2025-05-07,39.55,39.95,39.50,39.50,-0.40,-1.00,"34,176",,
2025-05-06,41.05,41.05,39.60,39.90,-0.70,-1.72,"52,654",,
2025-05-05,40.25,40.65,40.00,40.60,0.45,1.12,"75,891",,
2025-05-04,40.40,40.40,40.00,40.15,-0.35,-0.86,"37,306",,
2025-05-01,40.15,40.80,40.00,40.50,0.40,1.00,"68,564",,
2025-04-30,40.75,40.85,39.85,40.10,-0.60,-1.47,"43,668",,
2025-04-29,40.70,41.15,40.60,40.70,-0.30,-0.73,"38,285",,
2025-04-28,41.30,41.55,40.80,41.00,-0.30,-0.73,"81,443",,
2025-04-27,41.30,41.50,41.00,41.30,0.05,0.12,"37,612",,
2025-04-24,40.20,41.50,40.20,41.25,1.05,2.61,"98,492",,
2025-04-23,40.35,40.70,39.90,40.20,0.00,0.00,"67,647",,
2025-04-22,40.10,40.45,39.65,40.20,0.25,0.63,"49,794",,
2025-04-21,40.60,40.85,39.95,39.95,-0.95,-2.32,"31,351",,
2025-04-20,40.90,41.20,40.75,40.90,0.15,0.37,"30,289",,
2025-04-17,41.00,41.00,40.40,40.75,0.00,0.00,"26,241",,
2025-04-16,40.70,41.05,40.50,40.75,0.05,0.12,"57,579",,
2025-04-15,41.15,41.65,40.70,40.70,-0.40,-0.97,"61,644",,
2025-04-14,41.00,41.35,40.60,41.10,0.10,0.24,"55,166",,
2025-04-13,40.00,41.00,40.00,41.00,1.20,3.02,"89,163",,
2025-04-10,39.95,40.00,39.15,39.80,2.00,5.29,"133,860",,
2025-04-09,38.10,39.00,37.65,37.80,-0.25,-0.66,"90,684",,
2025-04-08,38.50,39.55,38.00,38.05,-0.25,-0.65,"117,705",,
2025-04-07,36.55,38.30,34.70,38.30,1.30,3.51,"187,008",,
2025-04-06,37.80,38.80,37.00,37.00,-3.55,-8.75,"163,623",,
2025-04-03,41.00,41.40,40.40,40.55,-1.30,-3.11,"71,699",,
2025-03-27,41.80,42.10,41.45,41.85,0.05,0.12,"73,822",,
2025-03-26,41.05,41.80,41.00,41.80,0.80,1.95,"116,513",,
2025-03-25,41.60,41.80,40.90,41.00,-1.95,-4.54,"175,921",,
2025-03-24,42.85,43.25,42.60,42.95,0.10,0.23,"45,978",,
2025-03-23,42.90,43.25,42.65,42.85,0.00,0.00,"26,708",,
2025-03-20,42.85,43.20,42.55,42.85,0.15,0.35,"31,940",,
2025-03-19,42.85,42.85,42.25,42.70,-0.30,-0.70,"46,016",,
2025-03-18,43.50,43.55,42.60,43.00,-0.50,-1.15,"58,859",,
2025-03-17,45.15,45.15,43.40,43.50,-0.65,-1.47,"117,427",,
2025-03-16,43.30,44.30,43.05,44.15,1.20,2.79,"78,828",,
2025-03-13,42.80,43.30,42.60,42.95,0.05,0.12,"54,171",,
2025-03-12,42.75,43.50,42.35,42.90,0.15,0.35,"57,890",,
2025-03-11,41.65,42.80,40.60,42.75,0.55,1.30,"101,459",,
2025-03-10,42.95,42.95,41.70,42.20,-0.60,-1.40,"135,000",,
2025-03-09,44.50,44.90,42.80,42.80,-1.70,-3.82,"117,560",,
2025-03-06,44.15,44.50,43.35,44.50,0.60,1.37,"124,117",,
2025-03-05,45.70,45.90,43.20,43.90,-1.80,-3.94,"167,210",,
2025-03-04,47.10,47.10,45.55,45.70,-1.25,-2.66,"108,990",,
2025-03-03,47.05,47.30,46.40,46.95,-0.35,-0.74,"81,062",,
2025-03-02,48.00,48.20,47.00,47.30,-0.90,-1.87,"45,460",,
2025-02-27,48.75,49.35,47.75,48.20,-0.75,-1.53,"116,702",,
2025-02-26,48.70,49.10,48.60,48.95,0.35,0.72,"42,739",,
2025-02-25,48.90,49.10,48.25,48.60,-0.20,-0.41,"73,807",,
2025-02-24,48.65,49.05,48.55,48.80,0.15,0.31,"59,490",,
2025-02-20,48.75,48.95,48.50,48.65,-0.20,-0.41,"49,133",,
2025-02-19,49.60,49.75,48.80,48.85,-0.75,-1.51,"77,409",,
2025-02-18,49.40,49.75,49.30,49.60,0.20,0.40,"36,317",,
2025-02-17,49.70,49.85,49.05,49.40,-0.20,-0.40,"51,756",,
2025-02-16,49.85,50.20,49.60,49.60,-0.25,-0.50,"47,315",,
2025-02-13,49.80,50.10,49.75,49.85,0.05,0.10,"60,871",,
2025-02-12,50.60,50.70,49.70,49.80,-0.80,-1.58,"122,190",,
2025-02-11,51.10,51.30,50.50,50.60,-0.50,-0.98,"130,500",,
2025-02-10,51.30,51.40,51.10,51.10,-0.20,-0.39,"63,482",,
2025-02-09,51.40,51.50,51.20,51.30,-0.10,-0.19,"76,162",,
2025-02-06,51.40,51.70,51.20,51.40,-0.10,-0.19,"104,444",,
2025-02-05,51.50,51.70,51.30,51.50,0.00,0.00,"61,608",,
2025-02-04,51.50,51.50,51.00,51.50,0.30,0.59,"63,378",,
2025-02-03,51.20,51.40,51.00,51.20,-0.40,-0.78,"73,550",,
2025-02-02,51.90,51.90,51.40,51.60,-0.20,-0.39,"73,448",,
2025-01-30,51.60,51.90,51.20,51.80,0.40,0.78,"69,822",,
2025-01-29,51.70,51.90,51.20,51.40,-0.10,-0.19,"104,670",,
2025-01-28,51.60,51.90,51.50,51.50,-0.10,-0.19,"111,099",,
2025-01-27,51.70,52.40,51.50,51.60,-0.30,-0.58,"178,381",,
2025-01-26,52.00,52.30,51.80,51.90,-0.10,-0.19,"168,492",,
2025-01-23,52.40,52.50,51.80,52.00,-0.40,-0.76,"138,693",,
2025-01-22,52.30,52.60,52.00,52.40,0.20,0.38,"157,661",,
2025-01-21,52.20,52.80,52.10,52.20,0.10,0.19,"441,629",,
2025-01-20,51.50,52.20,51.40,52.10,0.60,1.17,"171,517",,
2025-01-19,51.30,51.70,51.20,51.50,0.30,0.59,"70,609",,
2025-01-16,51.60,51.60,51.20,51.20,-0.30,-0.58,"66,530",,
2025-01-15,51.40,51.60,51.30,51.50,0.20,0.39,"76,058",,
2025-01-14,51.80,51.80,51.30,51.30,-0.40,-0.77,"78,787",,
2025-01-13,51.70,51.80,51.20,51.70,0.10,0.19,"114,111",,
2025-01-12,51.60,52.50,51.40,51.60,0.50,0.98,"240,568",,
2025-01-09,51.30,51.60,51.10,51.10,-0.10,-0.20,"43,455",,
2025-01-08,51.50,51.80,51.20,51.20,-0.40,-0.78,"61,740",,
2025-01-07,51.90,52.10,51.30,51.60,-0.30,-0.58,"89,750",,
2025-01-06,51.20,52.20,51.20,51.90,0.40,0.78,"122,792",,
2025-01-05,51.00,51.60,50.50,51.50,0.50,0.98,"77,653",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
