0,1,2,3,4,5,6,7,8,9
2025-05-29,134.80,136.60,133.80,135.20,1.80,1.35,"119,599",,
2025-05-28,132.60,134.80,131.60,133.40,2.40,1.83,"121,428",,
2025-05-27,132.60,132.80,129.20,131.00,-1.40,-1.06,"102,491",,
2025-05-26,134.00,136.60,130.80,132.40,-1.60,-1.19,"178,580",,
2025-05-25,139.00,139.00,132.60,134.00,-5.20,-3.74,"187,086",,
2025-05-22,141.00,142.40,139.00,139.20,-2.80,-1.97,"212,721",,
2025-05-21,142.40,144.60,140.00,142.00,-0.40,-0.28,"188,007",,
2025-05-20,139.40,143.40,138.20,142.40,3.60,2.59,"215,882",,
2025-05-19,140.40,141.20,137.40,138.80,-1.20,-0.86,"104,115",,
2025-05-18,136.80,142.60,135.00,140.00,3.20,2.34,"272,402",,
2025-05-15,137.40,137.60,134.40,136.80,-1.20,-0.87,"121,100",,
2025-05-14,139.60,140.40,137.40,138.00,-1.00,-0.72,"177,366",,
2025-05-13,136.20,139.60,136.00,139.00,3.00,2.21,"248,778",,
2025-05-12,133.20,138.60,133.20,136.00,2.80,2.10,"314,960",,
2025-05-11,132.40,138.00,127.60,133.20,4.20,3.26,"1,247,799",,
2025-05-08,129.00,129.00,129.00,129.00,11.60,9.88,"359,987",,
2025-05-07,120.20,120.20,117.40,117.40,-3.00,-2.49,"78,620",,
2025-05-06,120.00,121.80,119.60,120.40,-4.00,-3.22,"137,072",,
2025-05-05,124.80,125.00,122.60,124.40,0.40,0.32,"158,412",,
2025-05-04,124.20,125.80,123.20,124.00,1.20,0.98,"120,412",,
2025-05-01,123.60,124.20,121.80,122.80,-1.00,-0.81,"98,689",,
2025-04-30,125.80,125.80,123.00,123.80,-1.80,-1.43,"123,264",,
2025-04-29,127.00,127.00,124.80,125.60,-1.00,-0.79,"154,702",,
2025-04-28,125.00,127.40,123.60,126.60,2.20,1.77,"315,577",,
2025-04-27,124.40,125.60,123.80,124.40,0.40,0.32,"73,214",,
2025-04-24,124.00,124.40,123.00,124.00,0.60,0.49,"94,291",,
2025-04-23,125.20,126.20,123.20,123.40,-0.60,-0.48,"109,301",,
2025-04-22,124.20,125.00,123.00,124.00,-0.20,-0.16,"86,084",,
2025-04-21,127.00,127.00,124.00,124.20,-2.00,-1.58,"115,409",,
2025-04-20,124.40,127.00,124.00,126.20,3.00,2.44,"167,962",,
2025-04-17,127.00,127.00,123.20,123.20,-3.80,-2.99,"186,155",,
2025-04-16,122.60,127.60,121.80,127.00,3.80,3.08,"415,791",,
2025-04-15,121.80,125.00,121.60,123.20,1.80,1.48,"320,268",,
2025-04-14,125.00,125.00,121.20,121.40,-1.40,-1.14,"370,671",,
2025-04-13,120.60,124.60,120.60,122.80,2.60,2.16,"174,013",,
2025-04-10,121.00,121.80,118.00,120.20,5.20,4.52,"262,109",,
2025-04-09,122.00,123.00,115.00,115.00,-7.00,-5.74,"495,334",,
2025-04-08,129.60,129.60,122.00,122.00,-4.80,-3.79,"389,513",,
2025-04-07,122.00,128.40,115.00,126.80,0.40,0.32,"179,260",,
2025-04-06,130.00,131.00,126.40,126.40,-10.60,-7.74,"138,113",,
2025-04-03,136.20,138.80,135.20,137.00,-1.00,-0.72,"49,589",,
2025-03-27,138.00,139.60,136.20,138.00,1.20,0.88,"90,354",,
2025-03-26,133.00,140.00,131.80,136.80,4.60,3.48,"219,897",,
2025-03-25,131.80,135.00,130.20,132.20,0.80,0.61,"93,467",,
2025-03-24,130.00,133.00,127.00,131.40,5.00,3.96,"172,053",,
2025-03-23,126.00,127.20,125.40,126.40,1.00,0.80,"27,784",,
2025-03-20,129.00,129.00,125.40,125.40,-2.80,-2.18,"65,503",,
2025-03-19,128.20,129.60,125.40,128.20,0.20,0.16,"90,804",,
