0,1,2,3,4,5,6,7,8,9
2020-12-07,-,-,-,14.76,0.00,0.00,-,,
2020-12-06,-,-,-,14.76,0.00,0.00,-,,
2020-12-03,14.72,15.02,14.50,14.76,0.16,1.10,"1,119,353",,
2020-12-03,-,-,-,-,0.00,0.00,-,,
2020-12-02,15.28,15.36,14.60,14.60,-0.66,-4.33,"995,262",,
2020-12-01,15.30,15.48,15.10,15.26,-0.16,-1.04,"636,823",,
2020-11-30,15.70,15.78,15.40,15.42,-0.28,-1.78,"704,101",,
2020-11-29,15.10,16.10,15.00,15.70,0.68,4.53,"1,458,396",,
2020-11-26,15.06,15.18,14.52,15.02,-0.34,-2.21,"1,057,522",,
2020-11-25,15.60,16.10,15.36,15.36,-0.30,-1.92,"1,043,853",,
2020-11-24,15.62,15.94,15.60,15.66,-0.16,-1.01,"478,039",,
2020-11-23,16.30,16.30,15.68,15.82,-0.28,-1.74,"1,100,372",,
2020-11-22,15.86,16.14,15.24,16.10,0.26,1.64,"1,672,015",,
2020-11-19,16.82,17.38,15.80,15.84,-0.28,-1.74,"4,890,202",,
2020-11-18,14.66,16.12,14.66,16.12,1.46,9.96,"2,094,379",,
2020-11-17,14.62,14.90,14.42,14.66,0.20,1.38,"1,055,682",,
2020-11-16,14.36,14.90,14.16,14.46,0.16,1.12,"1,464,223",,
2020-11-15,14.00,14.38,14.00,14.30,0.12,0.85,"1,228,581",,
2020-11-12,14.28,14.38,14.00,14.18,-0.02,-0.14,"653,071",,
2020-11-11,14.10,14.40,13.82,14.20,0.22,1.57,"1,020,559",,
2020-11-10,13.80,14.50,13.20,13.98,0.30,2.19,"1,829,406",,
2020-11-09,13.36,13.78,13.28,13.68,0.32,2.40,"955,852",,
2020-11-08,13.38,13.54,13.20,13.36,0.12,0.91,"751,832",,
2020-11-05,13.82,13.82,13.06,13.24,-0.58,-4.20,"1,209,920",,
2020-11-04,14.10,14.44,13.80,13.82,-0.18,-1.29,"792,470",,
2020-11-03,14.40,14.94,13.88,14.00,0.22,1.60,"2,091,997",,
2020-11-02,13.52,14.38,13.22,13.78,0.58,4.39,"2,565,329",,
2020-11-01,13.02,13.70,13.00,13.20,0.12,0.92,"968,440",,
2020-10-29,13.60,13.60,12.70,13.08,-0.58,-4.25,"1,112,696",,
2020-10-28,14.20,14.90,13.60,13.66,-0.22,-1.59,"2,198,213",,
2020-10-27,12.70,13.88,12.48,13.88,1.26,9.98,"1,252,589",,
2020-10-26,12.50,13.30,11.90,12.62,-0.08,-0.63,"886,800",,
2020-10-25,14.10,14.16,12.62,12.70,-1.32,-9.42,"965,248",,
2020-10-22,14.44,14.44,13.84,14.02,-0.38,-2.64,"875,410",,
2020-10-21,14.60,14.84,14.40,14.40,-0.20,-1.37,"444,536",,
2020-10-20,14.80,14.80,14.12,14.60,-0.40,-2.67,"823,835",,
2020-10-19,15.46,15.46,14.96,15.00,-0.32,-2.09,"715,698",,
2020-10-18,15.68,15.70,15.30,15.32,-0.28,-1.79,"760,994",,
2020-10-15,15.74,15.74,15.44,15.60,0.00,0.00,"561,503",,
2020-10-14,15.96,15.96,15.56,15.60,-0.28,-1.76,"529,887",,
2020-10-13,15.66,16.30,15.60,15.88,0.28,1.79,"1,489,117",,
2020-10-12,16.10,16.16,15.40,15.60,-0.48,-2.99,"1,380,286",,
2020-10-11,17.02,17.08,15.98,16.08,-0.86,-5.08,"2,707,257",,
2020-10-08,16.82,17.26,16.68,16.94,0.00,0.00,"1,547,779",,
2020-10-07,16.40,17.58,16.08,16.94,0.74,4.57,"3,988,297",,
2020-10-06,16.14,17.00,15.70,16.20,0.28,1.76,"2,912,506",,
2020-10-05,15.70,15.92,14.80,15.92,0.50,3.24,"2,608,529",,
2020-10-04,15.66,16.50,14.84,15.42,-0.22,-1.41,"2,815,689",,
2020-10-01,17.00,18.30,15.56,15.64,-1.64,-9.49,"4,523,435",,
