0,1,2,3,4,5,6,7,8,9
2025-05-29,13.36,13.36,13.14,13.22,0.20,1.54,"151,738",,
2025-05-28,12.90,13.26,12.90,13.02,0.06,0.46,"110,836",,
2025-05-27,13.16,13.18,12.00,12.96,-0.24,-1.82,"121,914",,
2025-05-26,13.12,13.36,13.00,13.20,-0.08,-0.60,"124,509",,
2025-05-25,13.46,13.46,13.10,13.28,-0.16,-1.19,"167,522",,
2025-05-22,13.42,13.50,13.30,13.44,-0.54,-3.86,"235,744",,
2025-05-21,14.10,14.10,13.88,13.98,-0.12,-0.85,"185,015",,
2025-05-20,13.92,14.10,13.76,14.10,0.12,0.86,"186,147",,
2025-05-19,14.06,14.10,13.82,13.98,-0.12,-0.85,"223,743",,
2025-05-18,13.70,14.58,13.70,14.10,0.44,3.22,"471,947",,
2025-05-15,13.80,13.80,13.56,13.66,-0.18,-1.30,"140,746",,
2025-05-14,13.78,13.92,13.76,13.84,0.12,0.87,"133,205",,
2025-05-13,14.04,14.08,13.70,13.72,-0.38,-2.70,"229,085",,
2025-05-12,13.78,14.12,13.78,14.10,0.36,2.62,"175,763",,
2025-05-11,13.76,13.92,13.66,13.74,0.06,0.44,"115,781",,
2025-05-08,13.66,13.76,13.48,13.68,0.02,0.15,"233,654",,
2025-05-07,13.94,13.94,13.58,13.66,-0.26,-1.87,"342,810",,
2025-05-06,14.30,14.30,13.84,13.92,-1.16,-7.69,"862,109",,
2025-05-05,14.84,15.10,14.76,15.08,0.16,1.07,"78,673",,
2025-05-04,15.24,15.36,14.50,14.92,-0.20,-1.32,"145,089",,
2025-05-01,15.30,15.34,15.00,15.12,-0.04,-0.26,"117,953",,
2025-04-30,15.32,15.32,14.96,15.16,-0.08,-0.52,"137,735",,
2025-04-29,15.36,15.46,15.22,15.24,-0.10,-0.65,"118,750",,
2025-04-28,15.58,15.58,15.30,15.34,-0.18,-1.16,"168,278",,
2025-04-27,15.34,15.56,15.26,15.52,0.26,1.70,"155,280",,
2025-04-24,15.22,15.36,15.18,15.26,0.04,0.26,"241,456",,
2025-04-23,15.20,15.30,15.10,15.22,0.16,1.06,"62,438",,
2025-04-22,15.04,15.30,14.96,15.06,-0.04,-0.26,"129,350",,
2025-04-21,15.10,15.20,14.98,15.10,-0.06,-0.40,"112,588",,
2025-04-20,14.96,15.20,14.96,15.16,0.18,1.20,"95,131",,
2025-04-17,15.18,15.18,14.92,14.98,-0.22,-1.45,"172,603",,
2025-04-16,15.18,15.38,15.02,15.20,-0.10,-0.65,"163,395",,
2025-04-15,15.40,15.72,15.22,15.30,-0.12,-0.78,"270,792",,
2025-04-14,14.90,15.66,14.80,15.42,0.46,3.07,"420,478",,
