0,1,2,3,4,5,6,7,8,9
2025-05-29,114.80,116.80,112.40,113.00,-1.80,-1.57,"213,619",,
2025-05-28,112.80,114.80,112.00,114.80,2.00,1.77,"114,179",,
2025-05-27,115.00,115.80,111.60,112.80,-3.00,-2.59,"83,012",,
2025-05-26,116.60,118.40,114.60,115.80,-0.80,-0.69,"71,029",,
2025-05-25,117.00,118.60,116.00,116.60,-2.60,-2.18,"64,973",,
2025-05-22,115.40,120.00,113.20,119.20,4.20,3.65,"167,095",,
2025-05-21,119.80,119.80,115.00,115.00,-5.00,-4.17,"183,615",,
2025-05-20,121.20,121.40,119.40,120.00,-1.20,-0.99,"92,176",,
2025-05-19,124.20,124.20,121.00,121.20,-2.60,-2.10,"44,721",,
2025-05-18,124.00,124.60,123.20,123.80,0.00,0.00,"31,280",,
2025-05-15,124.00,124.00,122.00,123.80,-0.20,-0.16,"55,937",,
2025-05-14,126.00,126.00,124.00,124.00,-1.00,-0.80,"48,797",,
2025-05-13,125.00,125.00,122.20,125.00,1.00,0.81,"86,121",,
2025-05-12,121.00,126.00,121.00,124.00,4.00,3.33,"164,857",,
2025-05-11,123.40,124.00,120.00,120.00,-3.40,-2.76,"76,383",,
2025-05-08,125.40,126.40,122.80,123.40,-1.40,-1.12,"118,958",,
2025-05-07,129.40,129.40,124.60,124.80,-4.00,-3.11,"109,251",,
2025-05-06,127.40,130.40,127.40,128.80,1.40,1.10,"108,483",,
2025-05-05,129.00,129.00,125.40,127.40,-0.60,-0.47,"85,318",,
2025-05-04,131.00,131.60,128.00,128.00,-3.60,-2.74,"65,869",,
2025-05-01,131.00,135.00,130.00,131.60,0.60,0.46,"164,999",,
2025-04-30,133.20,133.40,129.60,131.00,-2.20,-1.65,"105,306",,
2025-04-29,134.00,135.00,133.20,133.20,-0.80,-0.60,"54,926",,
2025-04-28,134.80,134.80,132.80,134.00,0.00,0.00,"56,469",,
2025-04-27,134.40,135.60,132.00,134.00,-0.40,-0.30,"46,261",,
2025-04-24,132.20,134.40,131.40,134.40,2.40,1.82,"108,125",,
2025-04-23,131.00,133.20,130.00,132.00,1.60,1.23,"80,458",,
2025-04-22,131.40,132.20,129.00,130.40,-2.00,-1.51,"52,764",,
2025-04-21,132.40,133.20,132.00,132.40,-1.20,-0.90,"28,170",,
2025-04-20,133.80,135.20,133.00,133.60,-0.20,-0.15,"40,018",,
2025-04-17,135.60,135.60,132.00,133.80,-1.80,-1.33,"91,507",,
2025-04-16,136.00,137.40,134.00,135.60,-1.20,-0.88,"63,079",,
2025-04-15,136.40,139.40,135.00,136.80,0.40,0.29,"134,787",,
2025-04-14,136.40,138.00,134.00,136.40,0.20,0.15,"135,843",,
2025-04-13,135.40,136.80,134.20,136.20,2.40,1.79,"123,603",,
2025-04-10,140.80,140.80,132.60,133.80,4.20,3.24,"223,311",,
2025-04-09,124.00,134.00,123.40,129.60,3.60,2.86,"342,484",,
2025-04-08,126.00,128.80,124.00,126.00,2.60,2.11,"312,354",,
2025-04-07,123.00,125.80,117.00,123.40,-6.60,-5.08,"496,249",,
2025-04-06,135.20,137.00,129.60,130.00,-12.80,-8.96,"119,213",,
2025-04-03,140.00,143.00,138.40,142.80,1.40,0.99,"54,470",,
2025-03-27,138.20,141.60,137.20,141.40,4.00,2.91,"137,994",,
2025-03-26,135.40,137.80,133.20,137.40,1.40,1.03,"218,232",,
2025-03-25,138.40,138.40,133.60,136.00,-3.00,-2.16,"105,912",,
2025-03-24,136.00,140.40,131.20,139.00,3.00,2.21,"230,272",,
2025-03-23,142.40,142.40,136.00,136.00,-6.60,-4.63,"109,996",,
2025-03-20,145.20,146.00,140.40,142.60,-3.20,-2.19,"197,975",,
2025-03-19,147.60,147.60,144.80,145.80,-2.40,-1.62,"55,164",,
2025-03-18,147.00,148.20,143.00,148.20,1.20,0.82,"115,544",,
2025-03-17,150.60,151.40,146.60,147.00,-3.80,-2.52,"207,920",,
2025-03-16,151.20,154.00,150.20,150.80,-0.40,-0.26,"156,011",,
2025-03-13,153.00,153.60,150.20,151.20,-2.80,-1.82,"81,933",,
2025-03-12,152.00,154.00,148.00,154.00,2.00,1.32,"205,242",,
2025-03-11,153.00,154.60,147.20,152.00,-2.00,-1.30,"238,937",,
2025-03-10,154.00,154.00,148.60,154.00,1.60,1.05,"82,244",,
2025-03-09,152.00,154.00,150.60,152.40,0.40,0.26,"70,079",,
2025-03-06,152.00,152.20,147.60,152.00,1.00,0.66,"116,728",,
2025-03-05,151.60,154.40,149.00,151.00,0.00,0.00,"99,358",,
2025-03-04,158.40,158.40,150.80,151.00,-7.00,-4.43,"112,105",,
2025-03-03,163.00,163.00,147.40,158.00,-5.60,-3.42,"183,309",,
2025-03-02,165.00,166.40,161.00,163.60,-3.40,-2.04,"78,004",,
2025-02-27,166.20,169.00,165.60,167.00,0.60,0.36,"146,439",,
2025-02-26,165.60,167.40,163.80,166.40,0.80,0.48,"36,823",,
2025-02-25,167.20,167.20,163.00,165.60,-1.60,-0.96,"62,571",,
2025-02-24,169.40,170.60,165.60,167.20,-2.00,-1.18,"45,182",,
2025-02-20,167.40,169.20,166.00,169.20,1.80,1.08,"36,992",,
2025-02-19,168.20,169.20,166.60,167.40,-1.60,-0.95,"51,640",,
2025-02-18,168.00,170.00,167.40,169.00,1.00,0.60,"36,229",,
2025-02-17,171.40,171.40,167.60,168.00,-3.40,-1.98,"73,764",,
2025-02-16,171.20,174.00,171.20,171.40,-0.20,-0.12,"39,413",,
2025-02-13,174.20,174.40,171.00,171.60,-1.20,-0.69,"60,982",,
2025-02-12,172.60,174.40,172.60,172.80,-0.60,-0.35,"74,032",,
2025-02-11,172.60,175.00,172.60,173.40,0.80,0.46,"47,602",,
2025-02-10,173.40,174.40,172.00,172.60,-0.80,-0.46,"40,734",,
