0,1,2,3,4,5,6,7,8,9
2025-05-29,12.50,12.66,12.40,12.50,0.04,0.32,"112,914",,
2025-05-28,12.34,12.54,12.34,12.46,0.12,0.97,"136,836",,
2025-05-27,12.50,12.54,12.32,12.34,-0.20,-1.59,"121,635",,
2025-05-26,12.76,12.80,12.30,12.54,-0.16,-1.26,"292,135",,
2025-05-25,12.82,12.90,12.68,12.70,-0.12,-0.94,"155,572",,
2025-05-22,12.98,13.10,12.82,12.82,-0.14,-1.08,"350,687",,
2025-05-21,13.14,13.20,12.90,12.96,-0.20,-1.52,"106,875",,
2025-05-20,13.10,13.28,13.10,13.16,-0.02,-0.15,"125,009",,
2025-05-19,13.50,13.50,13.14,13.18,-0.30,-2.23,"129,589",,
2025-05-18,13.42,13.52,13.36,13.48,0.02,0.15,"111,238",,
2025-05-15,13.40,13.48,13.30,13.46,0.00,0.00,"159,556",,
2025-05-14,13.40,13.60,13.30,13.46,0.08,0.60,"290,812",,
2025-05-13,13.34,13.44,13.24,13.38,0.06,0.45,"153,585",,
2025-05-12,12.80,13.40,12.80,13.32,0.44,3.42,"345,085",,
2025-05-11,12.82,13.10,12.82,12.88,0.08,0.63,"269,332",,
2025-05-08,13.30,13.46,12.76,12.80,-0.78,-5.74,"685,927",,
2025-05-07,13.92,14.00,13.58,13.58,-0.44,-3.14,"360,883",,
2025-05-06,14.26,14.26,13.86,14.02,-0.14,-0.99,"299,650",,
2025-05-05,14.26,14.26,14.00,14.16,0.06,0.43,"204,864",,
2025-05-04,14.46,14.50,14.04,14.10,-0.36,-2.49,"142,846",,
2025-05-01,14.50,14.68,14.34,14.46,-0.12,-0.82,"138,011",,
2025-04-30,14.60,14.72,14.34,14.58,-0.02,-0.14,"237,282",,
2025-04-29,14.98,14.98,14.56,14.60,-0.16,-1.08,"139,676",,
2025-04-28,14.88,15.02,14.76,14.76,-0.12,-0.81,"331,709",,
2025-04-27,14.68,15.06,14.66,14.88,0.28,1.92,"299,471",,
2025-04-24,14.42,14.70,14.40,14.60,0.18,1.25,"235,589",,
2025-04-23,14.54,14.66,14.38,14.42,0.00,0.00,"169,569",,
2025-04-22,14.58,14.64,14.36,14.42,-0.18,-1.23,"183,074",,
2025-04-21,14.82,14.86,14.58,14.60,-0.22,-1.48,"125,272",,
2025-04-20,14.74,14.98,14.72,14.82,0.18,1.23,"137,402",,
2025-04-17,14.76,14.96,14.54,14.64,-0.12,-0.81,"209,501",,
2025-04-16,14.90,15.50,14.76,14.76,-0.02,-0.14,"640,969",,
2025-04-15,15.26,15.60,14.78,14.78,-0.48,-3.15,"372,176",,
2025-04-14,14.52,15.60,14.40,15.26,0.86,5.97,"940,810",,
2025-04-13,14.72,14.76,14.40,14.40,0.06,0.42,"254,421",,
2025-04-10,14.50,14.52,14.16,14.34,0.46,3.31,"419,012",,
2025-04-09,14.68,14.74,13.84,13.88,-0.86,-5.83,"397,878",,
2025-04-08,14.68,14.90,14.38,14.74,0.24,1.66,"321,509",,
2025-04-07,13.90,14.72,12.94,14.50,0.50,3.57,"637,497",,
2025-04-06,13.76,14.26,13.66,14.00,-1.06,-7.04,"321,694",,
2025-04-03,15.04,15.36,14.96,15.06,-0.42,-2.71,"250,273",,
2025-03-27,15.12,15.50,15.08,15.48,0.46,3.06,"201,491",,
2025-03-26,14.96,15.14,14.90,15.02,0.30,2.04,"196,617",,
2025-03-25,14.78,15.08,14.56,14.72,0.02,0.14,"267,848",,
2025-03-24,14.50,14.88,14.34,14.70,0.20,1.38,"173,907",,
2025-03-23,14.42,14.50,14.30,14.50,0.08,0.55,"148,172",,
2025-03-20,14.42,14.50,14.32,14.42,0.00,0.00,"114,483",,
2025-03-19,14.48,14.48,14.16,14.42,-0.08,-0.55,"230,250",,
2025-03-18,14.98,15.34,14.40,14.50,-0.02,-0.14,"858,449",,
2025-03-17,14.62,14.82,14.50,14.52,-0.10,-0.68,"189,743",,
2025-03-16,14.68,14.68,14.10,14.62,0.20,1.39,"209,093",,
2025-03-13,13.92,14.42,13.92,14.42,0.50,3.59,"206,400",,
2025-03-12,13.56,13.98,13.52,13.92,0.36,2.65,"276,413",,
2025-03-11,13.26,13.56,12.82,13.56,0.30,2.26,"371,387",,
2025-03-10,13.82,13.92,13.26,13.26,-0.54,-3.91,"403,170",,
2025-03-09,14.28,14.28,13.78,13.80,-0.36,-2.54,"253,762",,
2025-03-06,14.42,14.42,14.04,14.16,-0.16,-1.12,"348,021",,
2025-03-05,14.64,14.74,14.26,14.32,-0.32,-2.19,"204,132",,
2025-03-04,14.90,14.90,14.32,14.64,-0.32,-2.14,"611,938",,
2025-03-03,15.02,15.14,14.78,14.96,-0.06,-0.40,"291,264",,
2025-03-02,15.60,15.60,15.02,15.02,-0.42,-2.72,"105,211",,
2025-02-27,15.56,15.76,15.40,15.44,-0.12,-0.77,"271,854",,
2025-02-26,15.50,15.76,15.42,15.56,-0.02,-0.13,"351,147",,
2025-02-25,15.52,15.74,15.22,15.58,0.00,0.00,"654,223",,
2025-02-24,15.94,16.12,15.50,15.58,-0.38,-2.38,"862,343",,
2025-02-20,16.00,16.70,15.94,15.96,-1.74,-9.83,"2,347,834",,
2025-02-19,17.96,17.96,17.60,17.70,-0.26,-1.45,"217,772",,
2025-02-18,17.96,18.16,17.92,17.96,-0.04,-0.22,"179,288",,
2025-02-17,18.38,18.40,17.96,18.00,-0.38,-2.07,"422,240",,
2025-02-16,18.60,18.64,18.34,18.38,-0.14,-0.76,"238,146",,
2025-02-13,18.28,18.62,18.16,18.52,0.24,1.31,"456,228",,
2025-02-12,18.34,18.52,18.20,18.28,-0.10,-0.54,"288,091",,
2025-02-11,18.40,18.68,18.30,18.38,-0.06,-0.33,"465,024",,
2025-02-10,18.60,18.98,18.38,18.44,0.04,0.22,"708,964",,
2025-02-09,18.60,18.60,18.36,18.40,-0.14,-0.76,"394,296",,
2025-02-06,18.82,18.88,18.52,18.54,-0.28,-1.49,"460,984",,
2025-02-05,19.10,19.10,18.80,18.82,-0.10,-0.53,"663,315",,
2025-02-04,19.06,19.26,18.84,18.92,0.04,0.21,"1,214,603",,
2025-02-03,18.66,19.26,18.52,18.88,0.18,0.96,"1,827,422",,
2025-02-02,18.46,18.92,18.46,18.70,0.24,1.30,"904,298",,
2025-01-30,18.36,18.76,18.36,18.46,0.12,0.65,"561,691",,
2025-01-29,18.42,18.66,18.20,18.34,-0.06,-0.33,"485,183",,
2025-01-28,18.24,18.74,18.24,18.40,0.12,0.66,"539,456",,
2025-01-27,18.64,18.74,18.26,18.28,-0.40,-2.14,"540,637",,
2025-01-26,18.10,19.10,18.10,18.68,0.58,3.20,"1,927,488",,
2025-01-23,18.16,18.36,18.10,18.10,-0.06,-0.33,"310,971",,
2025-01-22,18.38,18.38,18.12,18.16,-0.20,-1.09,"332,035",,
2025-01-21,18.18,18.56,18.16,18.36,0.18,0.99,"664,628",,
2025-01-20,18.16,18.38,18.10,18.18,0.02,0.11,"389,521",,
2025-01-19,18.14,18.22,18.06,18.16,0.02,0.11,"184,623",,
2025-01-16,18.22,18.24,18.10,18.14,-0.06,-0.33,"161,010",,
2025-01-15,18.34,18.36,18.14,18.20,0.00,0.00,"305,974",,
2025-01-14,18.32,18.50,18.20,18.20,-0.04,-0.22,"402,524",,
2025-01-13,18.06,18.36,18.06,18.24,0.22,1.22,"307,177",,
2025-01-12,18.12,18.20,18.02,18.02,-0.04,-0.22,"213,577",,
2025-01-09,18.54,18.54,18.06,18.06,-0.44,-2.38,"370,109",,
2025-01-08,18.82,18.82,18.28,18.50,-0.02,-0.11,"620,942",,
2025-01-07,18.56,18.96,18.18,18.52,0.02,0.11,"854,273",,
2025-01-06,18.22,18.98,18.12,18.50,0.34,1.87,"1,461,043",,
2025-01-05,17.98,18.28,17.92,18.16,0.18,1.00,"650,775",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,17.98,18.28,17.92,18.16,0.18,1.00,"650,775",,
2025-01-02,18.22,18.30,17.80,17.98,-0.14,-0.77,"595,582",,
2025-01-01,17.60,18.42,17.50,18.12,0.58,3.31,"1,606,048",,
2024-12-31,17.90,18.16,17.46,17.54,-0.34,-1.90,"755,830",,
2024-12-30,17.38,18.36,17.38,17.88,0.50,2.88,"1,273,407",,
2024-12-29,16.84,17.52,16.82,17.38,0.52,3.08,"692,688",,
2024-12-26,16.92,17.04,16.82,16.86,-0.14,-0.82,"141,502",,
2024-12-25,16.74,17.22,16.54,17.00,0.50,3.03,"574,729",,
2024-12-24,16.78,16.78,16.48,16.50,-0.14,-0.84,"126,139",,
2024-12-23,16.70,16.80,16.56,16.64,-0.06,-0.36,"198,070",,
2024-12-22,16.72,16.90,16.64,16.70,-0.02,-0.12,"169,817",,
2024-12-19,16.88,16.88,16.64,16.72,-0.18,-1.07,"156,269",,
2024-12-18,16.88,16.94,16.70,16.90,0.10,0.60,"167,052",,
2024-12-17,17.04,17.04,16.80,16.80,-0.20,-1.18,"188,189",,
2024-12-16,17.02,17.10,16.88,17.00,-0.06,-0.35,"264,102",,
2024-12-15,17.16,17.20,17.02,17.06,-0.10,-0.58,"230,649",,
2024-12-12,17.34,17.34,17.10,17.16,-0.14,-0.81,"216,275",,
2024-12-11,17.32,17.48,17.10,17.30,-0.02,-0.12,"327,652",,
2024-12-10,17.46,17.46,17.24,17.32,-0.14,-0.80,"330,572",,
2024-12-09,17.42,17.64,17.32,17.46,0.08,0.46,"334,555",,
2024-12-08,17.32,17.58,17.32,17.38,-0.04,-0.23,"166,723",,
2024-12-05,17.52,17.54,17.32,17.42,0.06,0.35,"167,466",,
2024-12-04,17.50,17.76,17.34,17.36,-0.14,-0.80,"364,071",,
2024-12-03,17.48,18.14,17.24,17.50,0.24,1.39,"1,010,628",,
2024-12-02,17.18,17.36,17.12,17.26,0.10,0.58,"253,127",,
2024-12-01,17.20,17.32,17.10,17.16,0.02,0.12,"163,533",,
2024-11-28,17.12,17.22,17.00,17.14,0.02,0.12,"339,006",,
2024-11-27,17.40,17.40,17.00,17.12,-0.16,-0.93,"177,832",,
2024-11-26,17.60,17.60,17.18,17.28,-0.24,-1.37,"241,020",,
2024-11-25,17.76,17.84,17.40,17.52,-0.20,-1.13,"145,752",,
2024-11-24,17.64,17.98,17.64,17.72,0.06,0.34,"257,117",,
2024-11-21,17.68,18.36,17.50,17.66,0.22,1.26,"970,586",,
2024-11-20,17.32,17.60,17.28,17.44,0.12,0.69,"203,988",,
2024-11-19,17.16,17.80,17.16,17.32,0.18,1.05,"705,587",,
2024-11-18,17.68,17.78,17.10,17.14,-0.54,-3.05,"401,994",,
2024-11-17,16.84,18.18,16.84,17.68,0.74,4.37,"1,054,340",,
2024-11-14,16.90,17.48,16.80,16.94,0.12,0.71,"437,260",,
2024-11-13,17.00,17.00,16.64,16.82,-0.14,-0.83,"234,689",,
2024-11-12,17.06,17.10,16.90,16.96,-0.10,-0.59,"153,670",,
2024-11-11,17.00,17.12,16.86,17.06,-0.08,-0.47,"202,926",,
2024-11-10,17.30,17.42,17.08,17.14,-0.22,-1.27,"294,634",,
2024-11-07,17.48,17.48,17.20,17.36,0.08,0.46,"180,186",,
2024-11-06,17.32,17.50,17.28,17.28,-0.02,-0.12,"1,109,014",,
2024-11-05,17.14,17.70,17.08,17.30,-0.62,-3.46,"460,198",,
2024-11-04,18.16,18.16,17.78,17.92,-0.22,-1.21,"195,409",,
2024-11-03,18.22,18.22,17.92,18.14,0.16,0.89,"249,932",,
2024-10-31,18.16,18.16,17.94,17.98,-0.18,-0.99,"343,438",,
2024-10-30,18.16,18.22,18.04,18.16,0.00,0.00,"198,358",,
2024-10-29,18.60,18.60,18.06,18.16,-0.32,-1.73,"424,050",,
2024-10-28,18.48,18.82,18.36,18.48,0.00,0.00,"601,816",,
2024-10-27,17.94,18.86,17.94,18.48,0.64,3.59,"1,003,327",,
2024-10-24,17.80,18.06,17.80,17.84,-0.12,-0.67,"218,241",,
2024-10-23,18.12,18.12,17.80,17.96,-0.16,-0.88,"314,313",,
2024-10-22,18.30,18.34,17.96,18.12,-0.22,-1.20,"395,164",,
