0,1,2,3,4,5,6,7,8,9
2022-01-13,-,-,-,34.00,0.00,0.00,-,,
2022-01-12,-,-,-,34.00,0.00,0.00,-,,
2022-01-11,34.00,34.35,33.80,34.00,0.05,0.15,"263,305",,
2022-01-11,-,-,-,-,0.00,0.00,-,,
2022-01-10,33.90,34.15,33.50,33.95,-0.05,-0.15,"199,894",,
2022-01-09,33.30,34.10,33.25,34.00,0.65,1.95,"408,295",,
2022-01-06,32.90,33.70,32.90,33.35,0.25,0.76,"268,550",,
2022-01-05,32.85,33.20,32.75,33.10,0.40,1.22,"101,772",,
2022-01-04,32.80,32.85,32.50,32.70,0.05,0.15,"91,593",,
2022-01-03,33.00,33.10,32.50,32.65,-0.20,-0.61,"185,939",,
2022-01-02,32.75,33.20,32.75,32.85,0.10,0.31,"167,907",,
2021-12-30,33.05,33.25,32.70,32.75,-0.35,-1.06,"242,738",,
2021-12-29,33.80,34.05,32.45,33.10,-0.60,-1.78,"325,879",,
2021-12-28,33.55,34.90,33.50,33.70,0.20,0.60,"726,536",,
2021-12-27,34.00,34.00,33.50,33.50,-0.65,-1.90,"358,908",,
2021-12-26,35.25,35.30,34.15,34.15,-0.85,-2.43,"180,070",,
2021-12-23,35.10,35.40,34.85,35.00,-0.05,-0.14,"240,413",,
2021-12-22,35.10,35.50,34.70,35.05,-0.05,-0.14,"475,242",,
2021-12-21,36.15,36.40,34.90,35.10,-0.85,-2.36,"563,769",,
2021-12-20,36.50,36.60,35.90,35.95,-0.55,-1.51,"189,722",,
2021-12-19,37.40,37.80,36.50,36.50,-1.00,-2.67,"180,143",,
2021-12-16,38.55,38.55,37.50,37.50,-0.75,-1.96,"318,539",,
2021-12-15,38.85,39.00,38.20,38.25,-0.60,-1.54,"371,619",,
2021-12-14,39.00,39.55,38.70,38.85,-0.35,-0.89,"593,604",,
2021-12-13,38.60,39.20,38.35,39.20,0.40,1.03,"427,655",,
2021-12-12,39.90,39.95,38.65,38.80,-0.90,-2.27,"439,289",,
2021-12-09,38.90,40.15,38.50,39.70,0.80,2.06,"617,137",,
2021-12-08,39.40,39.45,38.70,38.90,-0.35,-0.89,"257,785",,
2021-12-07,39.60,40.30,38.40,39.25,0.00,0.00,"747,617",,
2021-12-06,39.30,40.95,38.95,39.25,0.60,1.55,"710,918",,
2021-12-05,38.40,39.10,38.05,38.65,0.30,0.78,"471,400",,
2021-12-02,37.90,39.20,37.80,38.35,0.30,0.79,"498,194",,
2021-12-01,37.60,38.20,36.90,38.05,0.15,0.40,"151,166",,
2021-11-30,37.60,38.40,37.00,37.90,0.40,1.07,"500,041",,
2021-11-29,35.70,37.50,35.70,37.50,1.75,4.90,"367,560",,
2021-11-28,34.15,36.45,34.15,35.75,-2.15,-5.67,"477,550",,
2021-11-25,38.25,38.75,37.80,37.90,-0.35,-0.92,"336,309",,
2021-11-24,38.00,38.80,37.90,38.25,0.45,1.19,"246,258",,
2021-11-23,36.90,38.00,36.10,37.80,0.90,2.44,"154,456",,
2021-11-22,39.10,39.60,36.90,36.90,-3.10,-7.75,"289,108",,
2021-11-21,40.55,40.80,39.85,40.00,-1.15,-2.79,"159,467",,
2021-11-18,41.55,41.55,40.30,41.15,-0.40,-0.96,"251,662",,
2021-11-17,42.40,42.40,41.55,41.55,-0.65,-1.54,"99,057",,
2021-11-16,42.30,42.65,41.60,42.20,-0.30,-0.71,"121,697",,
2021-11-15,42.95,43.00,42.30,42.50,-1.00,-2.30,"310,939",,
2021-11-14,43.05,43.50,42.50,43.50,0.10,0.23,"202,015",,
2021-11-11,43.00,43.80,42.55,43.40,-0.30,-0.69,"658,089",,
2021-11-10,42.40,43.70,41.20,43.70,1.30,3.07,"293,089",,
2021-11-09,43.95,43.95,41.95,42.40,-1.45,-3.31,"403,452",,
2021-11-08,45.00,45.00,43.50,43.85,-0.95,-2.12,"558,709",,
2021-11-07,44.10,44.95,44.10,44.80,0.80,1.82,"434,222",,
2021-11-04,43.70,44.70,43.40,44.00,0.70,1.62,"829,672",,
2021-11-03,43.40,43.55,42.50,43.30,0.30,0.70,"488,074",,
2021-11-02,42.90,43.20,42.35,43.00,-0.10,-0.23,"313,485",,
2021-11-01,42.80,43.40,42.50,43.10,0.05,0.12,"203,018",,
2021-10-31,42.00,43.20,42.00,43.05,0.50,1.18,"349,630",,
2021-10-28,41.90,42.80,41.50,42.55,0.45,1.07,"206,061",,
2021-10-27,43.40,43.40,41.70,42.10,-1.35,-3.11,"924,291",,
2021-10-26,43.00,43.95,43.00,43.45,0.20,0.46,"325,919",,
2021-10-25,42.95,44.45,42.80,43.25,0.30,0.70,"502,755",,
2021-10-24,43.90,44.50,42.50,42.95,-0.55,-1.26,"823,293",,
2021-10-21,41.30,44.00,41.20,43.50,2.05,4.95,"1,158,691",,
2021-10-20,41.40,41.55,41.00,41.45,-0.05,-0.12,"160,539",,
2021-10-19,41.70,41.80,40.85,41.50,-0.10,-0.24,"366,691",,
2021-10-18,41.00,41.90,40.75,41.60,0.40,0.97,"860,768",,
2021-10-17,40.95,41.20,40.90,41.20,0.25,0.61,"268,377",,
2021-10-14,40.80,40.95,40.50,40.95,0.15,0.37,"184,099",,
2021-10-13,40.05,41.00,39.95,40.80,0.45,1.12,"362,260",,
2021-10-12,40.20,40.55,40.05,40.35,0.15,0.37,"225,101",,
2021-10-11,40.40,40.60,39.00,40.20,-0.50,-1.23,"290,307",,
2021-10-10,41.80,41.80,39.80,40.70,-0.90,-2.16,"311,152",,
2021-10-07,41.90,42.25,41.10,41.60,-0.20,-0.48,"1,072,813",,
2021-10-06,40.60,42.00,40.60,41.80,1.05,2.58,"836,035",,
2021-10-05,40.30,40.80,40.00,40.75,0.25,0.62,"299,531",,
2021-10-04,40.40,40.60,40.15,40.50,-0.10,-0.25,"112,697",,
2021-10-03,40.60,40.70,40.35,40.60,-0.25,-0.61,"124,222",,
