0,1,2,3,4,5,6,7,8,9
2023-10-25,-,-,-,12.80,0.00,0.00,-,,
2023-10-24,12.70,12.84,12.06,12.80,0.04,0.31,"765,899",,
2023-10-24,-,-,-,-,0.00,0.00,-,,
2023-10-23,13.02,13.22,12.62,12.76,-0.32,-2.45,"531,690",,
2023-10-22,12.62,13.64,12.52,13.08,0.46,3.65,"1,174,389",,
2023-10-19,12.64,13.10,12.62,12.62,-0.08,-0.63,"438,989",,
2023-10-18,13.14,13.14,12.56,12.70,-0.36,-2.76,"460,677",,
2023-10-17,13.10,13.40,13.02,13.06,-0.02,-0.15,"479,838",,
2023-10-16,13.14,13.34,12.98,13.08,0.10,0.77,"573,628",,
2023-10-15,13.00,13.44,12.82,12.98,0.04,0.31,"632,563",,
2023-10-12,12.60,13.28,12.56,12.94,0.42,3.35,"940,925",,
2023-10-11,13.50,13.64,12.50,12.52,-0.98,-7.26,"785,698",,
2023-10-10,14.58,14.58,13.48,13.50,-0.64,-4.53,"1,185,864",,
2023-10-09,14.90,15.16,14.14,14.14,-0.48,-3.28,"827,567",,
2023-10-08,15.30,16.10,14.54,14.62,-0.60,-3.94,"1,641,427",,
2023-10-05,15.86,16.44,15.12,15.22,-0.58,-3.67,"2,227,192",,
2023-10-04,15.58,16.72,15.40,15.80,0.60,3.95,"6,293,296",,
2023-10-03,13.88,15.20,13.76,15.20,1.38,9.99,"2,573,281",,
2023-10-02,13.92,14.08,13.78,13.82,-0.20,-1.43,"198,063",,
2023-10-01,14.16,14.28,14.00,14.02,-0.12,-0.85,"264,777",,
2023-09-28,14.10,14.34,14.04,14.14,0.04,0.28,"249,830",,
2023-09-27,14.20,14.28,14.00,14.10,-0.04,-0.28,"359,990",,
2023-09-26,14.40,14.48,13.80,14.14,-0.16,-1.12,"488,080",,
2023-09-25,14.00,14.80,13.98,14.30,0.30,2.14,"687,767",,
2023-09-21,14.20,14.30,13.96,14.00,-0.10,-0.71,"180,134",,
2023-09-20,13.90,14.28,13.66,14.10,0.30,2.17,"575,584",,
2023-09-19,14.20,14.20,13.72,13.80,-0.16,-1.15,"292,332",,
2023-09-18,14.36,14.50,13.84,13.96,-0.38,-2.65,"414,979",,
2023-09-17,14.62,14.72,14.20,14.34,-0.26,-1.78,"531,558",,
2023-09-14,15.46,15.50,14.50,14.60,-0.80,-5.19,"1,169,030",,
2023-09-13,14.52,15.80,14.44,15.40,0.84,5.77,"2,338,044",,
2023-09-12,14.20,14.90,14.14,14.56,0.14,0.97,"1,062,538",,
2023-09-11,14.50,14.68,14.22,14.42,-0.06,-0.41,"734,380",,
2023-09-10,14.00,14.56,13.90,14.48,0.58,4.17,"1,084,666",,
2023-09-07,14.22,14.76,13.86,13.90,-0.24,-1.70,"1,268,814",,
2023-09-06,13.50,14.66,13.48,14.14,0.66,4.90,"2,467,447",,
2023-09-05,13.10,13.76,13.10,13.48,0.22,1.66,"578,775",,
2023-09-04,13.42,13.52,13.18,13.26,-0.14,-1.04,"360,514",,
2023-09-03,13.48,13.70,13.36,13.40,0.00,0.00,"598,616",,
2023-08-31,13.24,14.10,13.24,13.40,0.34,2.60,"2,282,915",,
2023-08-30,13.08,13.10,12.92,13.06,0.12,0.93,"76,842",,
2023-08-29,13.30,13.34,12.94,12.94,-0.26,-1.97,"123,498",,
2023-08-28,13.12,13.36,13.06,13.20,0.14,1.07,"168,535",,
2023-08-27,13.08,13.16,13.02,13.06,-0.02,-0.15,"68,001",,
2023-08-24,12.98,13.46,12.98,13.08,0.12,0.93,"283,699",,
2023-08-23,12.90,13.10,12.82,12.96,0.12,0.93,"119,282",,
2023-08-22,12.78,12.94,12.74,12.84,0.06,0.47,"143,543",,
2023-08-21,12.90,13.10,12.78,12.78,-0.28,-2.14,"126,291",,
2023-08-20,13.14,13.14,12.94,13.06,-0.06,-0.46,"147,729",,
2023-08-17,13.30,13.42,13.10,13.12,-0.16,-1.20,"153,757",,
2023-08-16,13.28,13.76,13.24,13.28,0.00,0.00,"274,326",,
2023-08-15,13.38,13.46,13.24,13.28,-0.10,-0.75,"93,465",,
2023-08-14,13.38,13.52,13.32,13.38,0.04,0.30,"106,701",,
2023-08-13,13.58,13.58,13.32,13.34,-0.16,-1.19,"137,491",,
2023-08-10,13.66,13.72,13.50,13.50,-0.18,-1.32,"103,685",,
2023-08-09,13.56,13.76,13.38,13.68,0.18,1.33,"261,670",,
2023-08-08,14.00,14.00,13.40,13.50,0.20,1.50,"303,421",,
