0,1,2,3,4,5,6,7,8,9
2025-05-29,13.22,13.38,13.12,13.34,0.12,0.91,"90,475",,
2025-05-28,13.06,13.26,12.96,13.22,0.38,2.96,"43,637",,
2025-05-27,13.28,13.42,12.84,12.84,-0.40,-3.02,"187,295",,
2025-05-26,13.46,13.62,13.12,13.24,-0.34,-2.50,"65,685",,
2025-05-25,13.52,13.70,13.46,13.58,0.00,0.00,"158,783",,
2025-05-22,13.76,13.76,13.50,13.58,-0.12,-0.88,"58,052",,
2025-05-21,13.86,13.86,13.54,13.70,-0.14,-1.01,"94,941",,
2025-05-20,13.88,13.90,13.78,13.84,-0.04,-0.29,"42,208",,
2025-05-19,14.02,14.02,13.82,13.88,-0.14,-1.00,"203,179",,
2025-05-18,13.86,14.08,13.84,14.02,0.12,0.86,"110,481",,
2025-05-15,13.96,13.96,13.80,13.90,-0.08,-0.57,"68,374",,
2025-05-14,13.90,14.10,13.88,13.98,0.12,0.87,"85,773",,
2025-05-13,14.14,14.16,13.84,13.86,-0.24,-1.70,"124,262",,
2025-05-12,13.68,14.14,13.68,14.10,0.44,3.22,"170,761",,
2025-05-11,13.72,13.80,13.60,13.66,0.08,0.59,"83,294",,
2025-05-08,13.60,13.76,13.34,13.58,-0.02,-0.15,"315,689",,
2025-05-07,13.70,13.74,13.60,13.60,-0.10,-0.73,"47,420",,
2025-05-06,13.80,13.88,13.60,13.70,-0.08,-0.58,"89,745",,
2025-05-05,13.78,13.82,13.70,13.78,0.02,0.15,"65,694",,
2025-05-04,13.90,13.94,13.74,13.76,-0.14,-1.01,"61,180",,
2025-05-01,13.94,14.08,13.82,13.90,-0.10,-0.71,"109,858",,
2025-04-30,14.16,14.26,13.84,14.00,-0.20,-1.41,"151,773",,
2025-04-29,14.58,14.58,14.20,14.20,-0.24,-1.66,"75,413",,
2025-04-28,14.44,14.58,14.34,14.44,0.00,0.00,"96,127",,
2025-04-27,14.46,14.52,14.30,14.44,0.06,0.42,"204,342",,
2025-04-24,14.30,14.44,14.20,14.38,0.10,0.70,"157,677",,
2025-04-23,14.30,14.40,14.20,14.28,0.14,0.99,"82,520",,
2025-04-22,14.00,14.30,14.00,14.14,-0.12,-0.84,"63,244",,
2025-04-21,14.36,14.40,14.20,14.26,-0.10,-0.70,"50,073",,
2025-04-20,14.38,14.40,14.24,14.36,0.14,0.98,"76,450",,
2025-04-17,14.22,14.36,14.16,14.22,-0.14,-0.97,"96,737",,
2025-04-16,14.34,14.56,14.30,14.36,0.00,0.00,"113,896",,
2025-04-15,14.70,14.94,14.36,14.36,-0.30,-2.05,"154,868",,
2025-04-14,14.40,14.68,14.30,14.66,0.26,1.81,"296,206",,
2025-04-13,14.16,14.46,14.06,14.40,0.34,2.42,"295,033",,
2025-04-10,14.32,14.32,14.02,14.06,0.26,1.88,"210,958",,
2025-04-09,13.96,14.30,13.60,13.80,-0.10,-0.72,"188,202",,
2025-04-08,13.90,14.16,13.72,13.90,0.24,1.76,"162,647",,
2025-04-07,13.20,13.68,12.50,13.66,0.02,0.15,"268,275",,
2025-04-06,14.22,14.28,13.58,13.64,-1.00,-6.83,"186,246",,
2025-04-03,15.10,15.10,14.56,14.64,-0.44,-2.92,"70,230",,
2025-03-27,14.98,15.18,14.96,15.08,0.18,1.21,"109,431",,
2025-03-26,14.90,15.02,14.80,14.90,0.10,0.68,"70,612",,
2025-03-25,14.28,14.88,14.28,14.80,0.38,2.64,"125,485",,
2025-03-24,14.30,14.44,14.10,14.42,0.08,0.56,"59,555",,
2025-03-23,14.70,14.70,14.34,14.34,-0.32,-2.18,"54,121",,
2025-03-20,14.70,14.80,14.54,14.66,-0.04,-0.27,"39,657",,
2025-03-19,14.64,14.80,14.32,14.70,0.04,0.27,"94,018",,
2025-03-18,14.82,14.94,14.56,14.66,-0.22,-1.48,"139,857",,
2025-03-17,14.98,15.16,14.78,14.88,-0.04,-0.27,"117,126",,
2025-03-16,14.86,15.10,14.82,14.92,0.06,0.40,"112,143",,
2025-03-13,14.78,14.94,14.72,14.86,0.08,0.54,"98,911",,
2025-03-12,14.62,14.88,14.62,14.78,0.18,1.23,"44,160",,
2025-03-11,14.66,14.70,14.34,14.60,-0.10,-0.68,"294,809",,
2025-03-10,14.90,14.90,14.58,14.70,-0.18,-1.21,"110,159",,
2025-03-09,15.16,15.20,14.70,14.88,-0.28,-1.85,"85,460",,
2025-03-06,15.00,15.32,14.80,15.16,0.16,1.07,"101,656",,
2025-03-05,15.38,15.50,14.90,15.00,-0.40,-2.60,"114,180",,
2025-03-04,15.70,15.70,15.22,15.40,-0.22,-1.41,"135,580",,
2025-03-03,15.44,15.62,15.16,15.62,0.00,0.00,"77,289",,
2025-03-02,15.86,15.86,15.44,15.62,-0.14,-0.89,"87,363",,
2025-02-27,15.88,15.96,15.74,15.76,-0.10,-0.63,"89,302",,
2025-02-26,16.02,16.06,15.78,15.86,-0.10,-0.63,"131,351",,
2025-02-25,15.92,16.00,15.72,15.96,0.10,0.63,"124,882",,
2025-02-24,16.02,16.12,15.84,15.86,-0.16,-1.00,"113,485",,
2025-02-20,16.16,16.28,15.90,16.02,-0.14,-0.87,"152,560",,
2025-02-19,16.24,16.38,16.12,16.16,-0.14,-0.86,"156,913",,
2025-02-18,16.42,16.50,16.26,16.30,-0.12,-0.73,"152,371",,
2025-02-17,16.60,16.60,16.34,16.42,-0.20,-1.20,"230,959",,
2025-02-16,16.84,16.96,16.62,16.62,-0.18,-1.07,"197,631",,
2025-02-13,16.68,16.88,16.68,16.80,0.02,0.12,"168,610",,
2025-02-12,16.96,17.06,16.74,16.78,-0.26,-1.53,"155,445",,
2025-02-11,17.02,17.06,16.84,17.04,0.00,0.00,"220,094",,
2025-02-10,17.14,17.22,17.02,17.04,-0.12,-0.70,"123,571",,
2025-02-09,17.24,17.28,17.12,17.16,-0.08,-0.46,"87,004",,
2025-02-06,17.30,17.36,17.22,17.24,-0.06,-0.35,"112,810",,
2025-02-05,17.38,17.46,17.22,17.30,-0.06,-0.35,"170,037",,
2025-02-04,17.30,17.48,17.18,17.36,0.06,0.35,"268,764",,
2025-02-03,17.40,17.44,17.08,17.30,-0.14,-0.80,"336,166",,
2025-02-02,17.10,17.70,17.08,17.44,0.34,1.99,"731,305",,
2025-01-30,16.92,17.24,16.92,17.10,0.16,0.94,"226,945",,
2025-01-29,17.06,17.06,16.92,16.94,-0.12,-0.70,"55,131",,
2025-01-28,17.00,17.12,17.00,17.06,0.06,0.35,"61,287",,
2025-01-27,17.18,17.18,16.98,17.00,-0.08,-0.47,"98,184",,
2025-01-26,16.90,17.30,16.90,17.08,0.14,0.83,"187,909",,
2025-01-23,16.90,17.00,16.86,16.94,0.00,0.00,"60,896",,
2025-01-22,17.10,17.10,16.90,16.94,-0.10,-0.59,"108,366",,
2025-01-21,16.94,17.14,16.90,17.04,0.04,0.24,"110,098",,
2025-01-20,17.00,17.08,16.90,17.00,0.00,0.00,"144,010",,
2025-01-19,16.96,17.10,16.96,17.00,0.04,0.24,"129,057",,
2025-01-16,17.04,17.16,16.96,16.96,-0.08,-0.47,"71,498",,
2025-01-15,17.10,17.22,17.04,17.04,-0.06,-0.35,"120,346",,
2025-01-14,17.10,17.26,17.06,17.10,-0.02,-0.12,"85,260",,
2025-01-13,17.02,17.26,17.02,17.12,-0.02,-0.12,"94,071",,
2025-01-12,17.28,17.28,16.78,17.14,-0.14,-0.81,"54,849",,
2025-01-09,17.16,17.34,17.06,17.28,0.08,0.47,"155,203",,
2025-01-08,17.10,17.34,16.98,17.20,0.14,0.82,"242,331",,
2025-01-07,16.80,17.08,16.72,17.06,0.26,1.55,"176,564",,
2025-01-06,16.78,17.14,16.70,16.80,0.02,0.12,"236,979",,
2025-01-05,16.82,16.90,16.40,16.78,0.00,0.00,"320,088",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
