0,1,2,3,4,5,6,7,8,9
2025-05-29,12.38,12.72,12.38,12.48,0.04,0.32,"157,093",,
2025-05-28,12.38,12.62,12.38,12.44,0.10,0.81,"174,616",,
2025-05-27,12.80,12.80,12.28,12.34,-0.36,-2.83,"143,075",,
2025-05-26,12.96,13.02,12.44,12.70,-0.26,-2.01,"177,918",,
2025-05-25,13.04,13.20,12.92,12.96,-0.20,-1.52,"206,103",,
2025-05-22,12.92,13.28,12.92,13.16,0.16,1.23,"219,299",,
2025-05-21,13.06,13.10,12.88,13.00,-0.10,-0.76,"174,779",,
2025-05-20,13.24,13.28,12.96,13.10,0.02,0.15,"196,438",,
2025-05-19,12.88,13.56,12.78,13.08,0.18,1.40,"889,128",,
2025-05-18,13.28,13.38,12.70,12.90,-0.36,-2.71,"697,151",,
2025-05-15,13.52,13.64,13.26,13.26,-0.34,-2.50,"304,260",,
2025-05-14,13.78,13.86,13.50,13.60,-0.18,-1.31,"290,829",,
2025-05-13,13.94,14.16,13.58,13.78,-0.16,-1.15,"775,489",,
2025-05-12,13.52,14.06,13.52,13.94,0.38,2.80,"335,513",,
2025-05-11,13.50,13.90,13.44,13.56,0.42,3.20,"513,499",,
2025-05-08,13.40,13.70,13.08,13.14,-0.58,-4.23,"550,032",,
2025-05-07,14.12,14.14,13.64,13.72,-0.30,-2.14,"212,455",,
2025-05-06,14.34,14.38,14.00,14.02,-0.24,-1.68,"233,347",,
2025-05-05,14.26,14.46,14.04,14.26,0.00,0.00,"286,838",,
2025-05-04,14.24,14.84,14.24,14.26,0.10,0.71,"466,780",,
2025-05-01,14.18,14.92,14.16,14.16,-0.02,-0.14,"898,300",,
2025-04-30,14.48,14.48,14.00,14.18,-0.30,-2.07,"272,922",,
2025-04-29,14.42,14.64,14.22,14.48,0.00,0.00,"587,385",,
2025-04-28,15.00,15.10,14.26,14.48,-0.58,-3.85,"1,092,613",,
2025-04-27,15.30,15.36,14.94,15.06,0.14,0.94,"517,823",,
2025-04-24,15.00,15.44,14.86,14.92,-0.08,-0.53,"769,356",,
2025-04-23,15.64,15.90,14.90,15.00,-0.52,-3.35,"721,185",,
2025-04-22,16.00,16.18,15.52,15.52,-0.48,-3.00,"608,188",,
2025-04-21,16.58,16.58,15.84,16.00,-0.40,-2.44,"369,537",,
2025-04-20,16.66,16.98,16.16,16.40,0.18,1.11,"1,079,477",,
2025-04-17,15.56,16.22,15.56,16.22,0.54,3.44,"508,424",,
2025-04-16,15.94,16.24,15.60,15.68,-0.26,-1.63,"385,304",,
2025-04-15,16.58,16.88,15.90,15.94,-0.20,-1.24,"1,068,315",,
2025-04-14,14.98,16.14,14.80,16.14,1.46,9.95,"2,181,177",,
2025-04-13,14.38,14.70,14.14,14.68,0.58,4.11,"445,481",,
2025-04-10,14.42,14.42,13.90,14.10,0.64,4.75,"295,805",,
2025-04-09,13.96,14.12,13.40,13.46,-0.56,-3.99,"290,956",,
2025-04-08,14.42,14.70,14.00,14.02,0.00,0.00,"440,204",,
2025-04-07,12.52,14.40,12.42,14.02,0.68,5.10,"1,197,022",,
2025-04-06,14.00,14.80,13.34,13.34,-1.48,-9.99,"475,161",,
2025-04-03,14.40,15.42,14.18,14.82,0.48,3.35,"604,986",,
2025-03-27,13.96,14.80,13.96,14.34,0.48,3.46,"820,137",,
2025-03-26,12.66,13.96,12.66,13.86,1.16,9.13,"747,272",,
2025-03-25,12.60,12.86,12.40,12.70,0.12,0.95,"196,578",,
2025-03-24,12.52,12.64,12.38,12.58,0.08,0.64,"224,882",,
2025-03-23,12.90,13.08,12.48,12.50,-0.40,-3.10,"208,950",,
2025-03-20,12.30,13.08,12.30,12.90,-0.08,-0.62,"493,051",,
2025-03-19,13.80,14.08,12.98,12.98,-1.44,-9.99,"653,437",,
2025-03-18,14.60,14.60,14.10,14.42,-0.18,-1.23,"220,153",,
2025-03-17,14.70,15.10,14.58,14.60,-0.14,-0.95,"137,289",,
2025-03-16,14.52,14.78,14.40,14.74,0.26,1.80,"124,453",,
2025-03-13,14.96,15.00,14.48,14.48,-0.06,-0.41,"149,845",,
2025-03-12,14.40,14.88,14.40,14.54,0.06,0.41,"139,381",,
2025-03-11,13.86,14.58,13.86,14.48,-0.28,-1.90,"223,713",,
2025-03-10,15.10,15.10,14.18,14.76,-0.22,-1.47,"184,912",,
2025-03-09,15.16,15.16,14.40,14.98,-0.16,-1.06,"111,550",,
2025-03-06,15.08,15.14,14.70,15.14,0.10,0.66,"146,701",,
2025-03-05,15.08,15.32,15.00,15.04,-0.02,-0.13,"230,231",,
2025-03-04,15.50,15.68,15.00,15.06,-0.58,-3.71,"351,749",,
2025-03-03,15.98,16.20,15.50,15.64,-0.34,-2.13,"204,305",,
2025-03-02,16.90,17.14,15.98,15.98,-0.88,-5.22,"457,438",,
2025-02-27,16.40,17.28,16.40,16.86,0.42,2.55,"1,011,520",,
2025-02-26,16.22,16.56,16.02,16.44,0.24,1.48,"392,698",,
2025-02-25,16.28,16.74,15.74,16.20,0.00,0.00,"737,590",,
2025-02-24,16.42,16.48,16.10,16.20,-0.12,-0.74,"298,416",,
2025-02-20,16.30,16.44,16.00,16.32,-0.06,-0.37,"321,522",,
2025-02-19,16.64,16.72,16.00,16.38,-0.26,-1.56,"188,469",,
2025-02-18,16.54,16.86,16.54,16.64,0.10,0.60,"271,896",,
2025-02-17,16.70,16.90,16.42,16.54,-0.30,-1.78,"629,179",,
2025-02-16,17.22,17.44,16.82,16.84,-0.38,-2.21,"561,276",,
2025-02-13,17.36,17.78,17.08,17.22,-0.06,-0.35,"752,009",,
2025-02-12,17.92,18.06,17.28,17.28,-0.76,-4.21,"678,329",,
2025-02-11,19.00,19.00,17.64,18.04,0.28,1.58,"3,300,992",,
2025-02-10,17.20,18.00,17.02,17.76,0.56,3.26,"1,173,782",,
2025-02-09,17.20,17.48,17.12,17.20,-0.18,-1.04,"566,012",,
2025-02-06,17.24,17.54,16.92,17.38,0.14,0.81,"1,063,515",,
2025-02-05,16.84,17.68,16.60,17.24,0.38,2.25,"3,180,745",,
2025-02-04,15.80,16.90,15.70,16.86,1.14,7.25,"3,323,157",,
2025-02-03,16.00,16.00,15.62,15.72,-0.28,-1.75,"682,994",,
2025-02-02,14.76,16.06,14.76,16.00,1.26,8.55,"1,800,240",,
