0,1,2,3,4,5,6,7,8,9
2025-05-29,12.16,12.16,11.96,11.98,-0.08,-0.66,"50,010",,
2025-05-28,11.90,12.12,11.90,12.06,0.06,0.50,"39,026",,
2025-05-27,12.12,12.12,11.90,12.00,0.00,0.00,"76,114",,
2025-05-26,11.98,12.10,11.82,12.00,0.04,0.33,"157,775",,
2025-05-25,12.08,12.10,11.96,11.96,-0.12,-0.99,"72,091",,
2025-05-22,12.18,12.24,12.04,12.08,-0.12,-0.98,"110,195",,
2025-05-21,12.26,12.26,12.20,12.20,-0.08,-0.65,"105,256",,
2025-05-20,12.30,12.32,12.26,12.28,-0.02,-0.16,"28,662",,
2025-05-19,12.36,12.38,12.28,12.30,-0.06,-0.49,"90,873",,
2025-05-18,12.22,12.50,12.22,12.36,0.02,0.16,"66,890",,
2025-05-15,12.32,12.36,12.24,12.34,0.02,0.16,"108,926",,
2025-05-14,12.46,12.46,12.30,12.32,0.02,0.16,"37,910",,
2025-05-13,12.46,12.46,12.22,12.30,0.00,0.00,"99,293",,
2025-05-12,12.50,12.50,12.26,12.30,0.08,0.65,"120,418",,
2025-05-11,12.22,12.58,12.22,12.22,0.00,0.00,"57,901",,
2025-05-08,12.32,12.42,12.22,12.22,-0.10,-0.81,"54,270",,
2025-05-07,12.54,12.54,12.32,12.32,-0.22,-1.75,"75,865",,
2025-05-06,12.40,12.58,12.34,12.54,0.10,0.80,"119,739",,
2025-05-05,12.40,12.62,12.34,12.44,0.00,0.00,"48,577",,
2025-05-04,12.52,12.64,12.42,12.44,-0.14,-1.11,"86,632",,
2025-05-01,12.74,12.74,12.50,12.58,0.08,0.64,"82,671",,
2025-04-30,12.66,12.78,12.50,12.50,-0.16,-1.26,"257,067",,
2025-04-29,12.62,12.76,12.62,12.66,0.04,0.32,"55,869",,
2025-04-28,12.78,12.86,12.62,12.62,-0.12,-0.94,"136,866",,
2025-04-27,12.80,12.80,12.62,12.74,0.04,0.31,"162,235",,
2025-04-24,12.62,12.80,12.62,12.70,0.08,0.63,"149,431",,
2025-04-23,12.72,12.90,12.62,12.62,0.00,0.00,"72,376",,
2025-04-22,12.70,12.88,12.62,12.62,-0.08,-0.63,"198,314",,
2025-04-21,12.86,12.92,12.70,12.70,0.02,0.16,"45,547",,
2025-04-20,12.62,12.96,12.62,12.68,0.04,0.32,"54,074",,
2025-04-17,12.72,12.88,12.56,12.64,-0.16,-1.25,"94,697",,
2025-04-16,12.52,12.88,12.52,12.80,0.12,0.95,"77,293",,
2025-04-15,12.80,13.06,12.60,12.68,-0.12,-0.94,"166,518",,
2025-04-14,12.46,12.88,12.46,12.80,0.32,2.56,"123,572",,
2025-04-13,12.40,12.56,12.32,12.48,0.28,2.30,"144,750",,
2025-04-10,12.50,12.54,12.20,12.20,0.10,0.83,"209,407",,
2025-04-09,12.02,12.22,12.00,12.10,-0.06,-0.49,"425,007",,
2025-04-08,12.20,12.44,12.00,12.16,0.08,0.66,"233,206",,
2025-04-07,12.00,12.28,11.60,12.08,0.08,0.67,"457,217",,
2025-04-06,12.00,12.48,12.00,12.00,-1.04,-7.98,"346,414",,
2025-04-03,12.88,13.06,12.68,13.04,0.16,1.24,"100,973",,
2025-03-27,12.68,12.94,12.64,12.88,0.20,1.58,"159,389",,
2025-03-26,12.56,12.80,12.54,12.68,0.14,1.12,"240,997",,
2025-03-25,12.50,12.74,12.50,12.54,0.04,0.32,"127,806",,
2025-03-24,12.54,12.60,12.34,12.50,-0.04,-0.32,"41,901",,
2025-03-23,12.62,12.68,12.50,12.54,-0.06,-0.48,"63,926",,
2025-03-20,12.80,12.80,12.56,12.60,-0.16,-1.25,"33,158",,
2025-03-19,12.48,12.82,12.48,12.76,0.26,2.08,"147,687",,
2025-03-18,12.64,12.64,12.46,12.50,-0.14,-1.11,"195,859",,
2025-03-17,12.66,12.78,12.50,12.64,0.00,0.00,"66,194",,
2025-03-16,12.58,12.72,12.44,12.64,0.06,0.48,"100,138",,
2025-03-13,12.36,12.92,12.30,12.58,0.22,1.78,"115,930",,
2025-03-12,12.28,12.56,12.28,12.36,0.06,0.49,"36,471",,
2025-03-11,12.00,12.38,12.00,12.30,0.20,1.65,"176,367",,
2025-03-10,12.44,12.44,11.96,12.10,-0.42,-3.35,"445,990",,
2025-03-09,12.70,12.70,12.50,12.52,-0.14,-1.11,"64,700",,
2025-03-06,12.60,12.76,12.50,12.66,0.02,0.16,"115,368",,
2025-03-05,12.98,12.98,12.50,12.64,-0.28,-2.17,"104,685",,
2025-03-04,13.00,13.00,12.86,12.92,-0.02,-0.15,"58,541",,
2025-03-03,13.00,13.00,12.82,12.94,-0.06,-0.46,"62,694",,
2025-03-02,12.96,13.02,12.90,13.00,0.06,0.46,"59,248",,
2025-02-27,13.00,13.10,12.90,12.94,-0.04,-0.31,"74,926",,
2025-02-26,13.02,13.20,12.98,12.98,-0.04,-0.31,"81,636",,
2025-02-25,12.92,13.20,12.90,13.02,0.02,0.15,"187,191",,
2025-02-24,13.02,13.10,12.90,13.00,0.00,0.00,"173,156",,
2025-02-20,13.04,13.16,13.00,13.00,-0.18,-1.37,"353,925",,
2025-02-19,13.26,13.30,13.04,13.18,-0.10,-0.75,"295,549",,
2025-02-18,13.28,13.42,13.26,13.28,-0.12,-0.90,"129,476",,
2025-02-17,13.62,13.62,13.28,13.40,-0.16,-1.18,"158,696",,
2025-02-16,13.66,13.70,13.54,13.56,-0.06,-0.44,"85,367",,
2025-02-13,13.54,13.66,13.54,13.62,0.04,0.29,"145,254",,
2025-02-12,13.64,13.66,13.52,13.58,-0.08,-0.59,"151,085",,
2025-02-11,13.82,13.82,13.62,13.66,-0.14,-1.01,"332,306",,
2025-02-10,13.70,13.86,13.64,13.80,0.06,0.44,"211,865",,
2025-02-09,13.80,13.90,13.70,13.74,-0.06,-0.43,"139,111",,
2025-02-06,13.70,13.84,13.66,13.80,0.06,0.44,"318,736",,
2025-02-05,13.88,13.88,13.66,13.74,-0.06,-0.43,"236,590",,
2025-02-04,13.82,13.94,13.70,13.80,-0.04,-0.29,"418,330",,
2025-02-03,13.78,13.92,13.68,13.84,0.06,0.44,"665,366",,
2025-02-02,13.66,14.08,13.66,13.78,0.04,0.29,"655,100",,
2025-01-30,13.52,13.90,13.52,13.74,0.22,1.63,"363,855",,
2025-01-29,13.62,13.64,13.40,13.52,-0.10,-0.73,"117,921",,
2025-01-28,13.60,13.66,13.54,13.62,0.00,0.00,"104,109",,
2025-01-27,13.70,13.70,13.44,13.62,-0.08,-0.58,"125,784",,
2025-01-26,13.78,13.90,13.68,13.70,-0.02,-0.15,"200,785",,
2025-01-23,13.70,13.98,13.66,13.72,0.02,0.15,"320,276",,
2025-01-22,13.80,13.92,13.62,13.70,-0.08,-0.58,"225,488",,
2025-01-21,13.60,13.78,13.58,13.78,0.16,1.17,"258,776",,
2025-01-20,13.58,13.66,13.54,13.62,0.04,0.29,"67,708",,
2025-01-19,13.60,13.66,13.56,13.58,-0.02,-0.15,"62,911",,
2025-01-16,13.78,13.78,13.60,13.60,-0.16,-1.16,"104,471",,
2025-01-15,13.68,13.80,13.62,13.76,0.08,0.58,"121,045",,
2025-01-14,13.70,13.90,13.66,13.68,-0.04,-0.29,"253,047",,
2025-01-13,13.44,13.72,13.40,13.72,0.28,2.08,"150,922",,
2025-01-12,13.54,13.54,13.38,13.44,0.00,0.00,"88,690",,
2025-01-09,13.50,13.60,13.38,13.44,-0.06,-0.44,"161,907",,
2025-01-08,13.54,13.60,13.40,13.50,-0.08,-0.59,"199,034",,
2025-01-07,13.50,13.62,13.30,13.58,0.10,0.74,"181,717",,
2025-01-06,13.46,13.70,13.40,13.48,-0.08,-0.59,"317,261",,
2025-01-05,13.30,13.64,13.28,13.56,0.18,1.35,"330,250",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,13.30,13.64,13.28,13.56,0.18,1.35,"330,250",,
2025-01-02,13.56,13.56,13.28,13.38,-0.18,-1.33,"309,695",,
2025-01-01,13.42,13.56,13.24,13.56,0.16,1.19,"339,964",,
2024-12-31,13.50,13.60,13.38,13.40,-0.08,-0.59,"283,686",,
2024-12-30,13.40,13.58,13.32,13.48,0.16,1.20,"428,796",,
2024-12-29,13.12,13.40,13.00,13.32,0.20,1.52,"257,834",,
2024-12-26,13.08,13.14,13.00,13.12,0.06,0.46,"57,748",,
2024-12-25,12.96,13.08,12.94,13.06,0.12,0.93,"82,003",,
2024-12-24,13.06,13.10,12.90,12.94,-0.12,-0.92,"105,454",,
2024-12-23,12.98,13.06,12.90,13.06,0.06,0.46,"206,448",,
2024-12-22,13.02,13.14,12.96,13.00,0.02,0.15,"100,622",,
2024-12-19,12.90,13.00,12.82,12.98,0.00,0.00,"156,385",,
2024-12-18,12.96,13.00,12.76,12.98,0.06,0.46,"96,099",,
2024-12-17,12.92,12.94,12.74,12.92,0.02,0.16,"126,945",,
2024-12-16,12.78,12.90,12.68,12.90,0.06,0.47,"308,815",,
2024-12-15,12.84,12.90,12.78,12.84,0.00,0.00,"129,010",,
2024-12-12,12.72,12.88,12.72,12.84,0.04,0.31,"102,238",,
2024-12-11,12.78,12.82,12.68,12.80,0.10,0.79,"203,489",,
2024-12-10,12.80,12.90,12.62,12.70,-0.08,-0.63,"181,470",,
2024-12-09,12.72,12.90,12.70,12.78,0.02,0.16,"259,196",,
2024-12-08,12.68,12.80,12.64,12.76,0.08,0.63,"34,094",,
2024-12-05,12.82,12.82,12.62,12.68,-0.02,-0.16,"57,304",,
