0,1,2,3,4,5,6,7,8,9
2025-05-29,15.60,15.72,15.48,15.52,-0.02,-0.13,"275,891",,
2025-05-28,15.40,15.66,15.40,15.54,0.14,0.91,"65,153",,
2025-05-27,15.70,15.76,15.32,15.40,-0.24,-1.53,"114,393",,
2025-05-26,15.80,15.86,15.32,15.64,-0.08,-0.51,"186,762",,
2025-05-25,15.90,15.96,15.72,15.72,-0.24,-1.50,"112,711",,
2025-05-22,16.00,16.12,15.82,15.96,-0.04,-0.25,"152,265",,
2025-05-21,16.12,16.14,15.86,16.00,-0.12,-0.74,"174,844",,
2025-05-20,16.04,16.30,15.92,16.12,0.12,0.75,"226,639",,
2025-05-19,16.20,16.26,15.92,16.00,-0.26,-1.60,"281,453",,
2025-05-18,16.26,16.40,16.14,16.26,0.04,0.25,"106,780",,
2025-05-15,16.70,16.70,16.20,16.22,-0.42,-2.52,"212,292",,
2025-05-14,16.52,16.72,16.46,16.64,0.12,0.73,"189,584",,
2025-05-13,16.90,16.92,16.44,16.52,-0.28,-1.67,"178,687",,
2025-05-12,16.40,16.84,16.40,16.80,0.42,2.56,"410,223",,
2025-05-11,16.44,16.64,16.36,16.38,-0.06,-0.36,"141,141",,
2025-05-08,17.00,17.10,16.36,16.44,-0.60,-3.52,"416,869",,
2025-05-07,17.30,17.40,17.00,17.04,-0.34,-1.96,"315,740",,
2025-05-06,17.56,17.64,17.26,17.38,-0.14,-0.80,"219,585",,
2025-05-05,17.56,17.56,17.14,17.52,0.16,0.92,"222,310",,
2025-05-04,17.54,17.64,17.32,17.36,-0.18,-1.03,"141,516",,
2025-05-01,17.66,17.84,17.46,17.54,-0.10,-0.57,"177,402",,
2025-04-30,17.98,18.08,17.56,17.64,-0.32,-1.78,"236,581",,
2025-04-29,18.22,18.26,17.96,17.96,-0.26,-1.43,"136,681",,
2025-04-28,18.36,18.42,18.08,18.22,-0.14,-0.76,"144,320",,
2025-04-27,17.78,18.48,17.76,18.36,0.58,3.26,"531,199",,
2025-04-24,17.60,17.80,17.40,17.78,0.20,1.14,"137,987",,
2025-04-23,17.54,17.70,17.50,17.58,0.04,0.23,"99,280",,
2025-04-22,17.56,17.60,17.42,17.54,-0.04,-0.23,"87,406",,
2025-04-21,17.72,17.90,17.58,17.58,-0.14,-0.79,"165,768",,
2025-04-20,17.40,17.76,17.40,17.72,0.26,1.49,"139,031",,
2025-04-17,17.52,17.64,17.42,17.46,-0.18,-1.02,"191,077",,
2025-04-16,17.80,17.88,17.50,17.64,-0.18,-1.01,"191,713",,
2025-04-15,17.88,18.16,17.80,17.82,-0.02,-0.11,"315,536",,
2025-04-14,17.34,17.88,17.34,17.84,0.36,2.06,"255,181",,
2025-04-13,17.18,17.58,17.18,17.48,0.38,2.22,"204,162",,
2025-04-10,17.38,17.42,17.04,17.10,0.42,2.52,"335,048",,
2025-04-09,16.98,17.30,16.54,16.68,-0.42,-2.46,"371,854",,
2025-04-08,17.12,17.64,16.92,17.10,0.10,0.59,"875,157",,
2025-04-07,16.70,17.10,16.04,17.00,0.18,1.07,"1,044,510",,
2025-04-06,17.10,17.30,16.78,16.82,-1.16,-6.45,"883,716",,
2025-04-03,17.82,18.20,17.70,17.98,0.18,1.01,"477,742",,
2025-03-27,17.46,17.96,17.16,17.80,0.60,3.49,"499,386",,
2025-03-26,17.12,17.40,16.96,17.20,0.20,1.18,"307,236",,
2025-03-25,17.26,17.26,16.78,17.00,0.00,0.00,"261,304",,
2025-03-24,16.96,17.08,16.76,17.00,0.04,0.24,"99,273",,
2025-03-23,17.04,17.04,16.72,16.96,-0.08,-0.47,"109,139",,
2025-03-20,16.94,17.18,16.88,17.04,0.14,0.83,"164,170",,
2025-03-19,16.82,17.18,16.68,16.90,-0.20,-1.17,"505,268",,
2025-03-18,17.52,17.66,16.94,17.10,-0.46,-2.62,"615,567",,
2025-03-17,18.20,18.30,17.52,17.56,-0.72,-3.94,"1,021,278",,
2025-03-16,17.84,18.30,17.74,18.28,0.58,3.28,"416,511",,
2025-03-13,17.54,17.78,17.40,17.70,0.14,0.80,"432,445",,
2025-03-12,17.26,17.60,17.06,17.56,0.40,2.33,"467,713",,
2025-03-11,17.00,17.18,16.42,17.16,0.12,0.70,"957,393",,
2025-03-10,18.10,18.10,17.04,17.04,-0.78,-4.38,"525,360",,
2025-03-09,18.20,18.36,17.36,17.82,-1.44,-7.48,"635,185",,
2025-03-06,19.60,19.62,18.86,19.26,-0.34,-1.73,"387,331",,
2025-03-05,19.76,19.82,19.30,19.60,-0.36,-1.80,"342,227",,
2025-03-04,19.90,19.98,19.72,19.96,-0.08,-0.40,"152,031",,
2025-03-03,19.82,20.14,19.64,20.04,0.08,0.40,"206,673",,
2025-03-02,20.00,20.02,19.68,19.96,-0.04,-0.20,"219,723",,
2025-02-27,20.42,20.42,19.92,20.00,-0.32,-1.57,"212,275",,
2025-02-26,20.10,20.40,19.90,20.32,0.32,1.60,"386,259",,
2025-02-25,19.94,20.16,19.82,20.00,0.06,0.30,"326,190",,
2025-02-24,20.18,20.18,19.88,19.94,-0.26,-1.29,"209,652",,
2025-02-20,20.30,20.40,20.12,20.20,-0.30,-1.46,"226,385",,
2025-02-19,20.60,20.60,20.40,20.50,-0.10,-0.49,"216,174",,
2025-02-18,20.70,20.86,20.52,20.60,-0.10,-0.48,"300,775",,
2025-02-17,20.68,20.70,20.52,20.70,-0.10,-0.48,"266,849",,
2025-02-16,20.72,21.08,20.56,20.80,0.08,0.39,"335,872",,
2025-02-13,20.98,21.00,20.68,20.72,-0.20,-0.96,"382,323",,
2025-02-12,21.04,21.06,20.76,20.92,-0.12,-0.57,"236,220",,
2025-02-11,21.10,21.16,20.86,21.04,0.02,0.10,"301,298",,
2025-02-10,21.20,21.26,21.02,21.02,-0.18,-0.85,"484,496",,
2025-02-09,21.16,21.30,21.06,21.20,0.14,0.66,"390,610",,
2025-02-06,21.14,21.18,21.00,21.06,-0.16,-0.75,"458,866",,
2025-02-05,21.48,21.54,21.20,21.22,-0.18,-0.84,"495,918",,
2025-02-04,21.08,21.46,21.00,21.40,0.32,1.52,"953,720",,
2025-02-03,21.00,21.40,20.78,21.08,0.06,0.29,"592,669",,
2025-02-02,20.90,21.50,20.88,21.02,0.14,0.67,"1,363,852",,
2025-01-30,20.10,21.42,20.10,20.88,0.88,4.40,"2,533,968",,
