0,1,2,3,4,5,6,7,8,9
2025-05-29,167.00,169.00,164.00,167.00,1.20,0.72,"238,599",,
2025-05-28,162.40,166.60,162.40,165.80,3.40,2.09,"91,227",,
2025-05-27,168.80,169.00,162.40,162.40,-6.40,-3.79,"107,444",,
2025-05-26,167.40,170.00,164.60,168.80,2.40,1.44,"75,567",,
2025-05-25,170.00,170.80,166.40,166.40,-5.40,-3.14,"47,410",,
2025-05-22,171.20,171.80,168.80,171.80,1.20,0.70,"100,299",,
2025-05-21,174.20,175.20,170.60,170.60,-3.60,-2.07,"74,537",,
2025-05-20,177.00,177.80,173.00,174.20,-3.20,-1.80,"97,017",,
2025-05-19,182.00,183.80,175.60,177.40,-3.80,-2.10,"116,504",,
2025-05-18,178.80,182.20,178.80,181.20,2.40,1.34,"96,669",,
2025-05-15,178.60,181.00,177.20,178.80,0.20,0.11,"104,885",,
2025-05-14,184.00,184.00,177.20,178.60,-5.40,-2.93,"155,598",,
2025-05-13,184.00,185.20,181.80,184.00,-0.20,-0.11,"162,116",,
2025-05-12,179.80,186.20,177.00,184.20,6.00,3.37,"259,214",,
2025-05-11,180.80,181.00,176.00,178.20,0.00,0.00,"76,565",,
2025-05-08,182.00,182.80,177.00,178.20,-1.00,-0.56,"283,050",,
2025-05-07,178.80,180.20,176.60,179.20,0.40,0.22,"144,585",,
2025-05-06,171.40,180.80,171.40,178.80,6.20,3.59,"528,874",,
2025-05-05,170.00,172.80,167.00,172.60,1.40,0.82,"174,063",,
2025-05-04,171.20,172.00,169.20,171.20,0.20,0.12,"110,674",,
2025-05-01,167.80,172.60,165.00,171.00,3.00,1.79,"284,578",,
2025-04-30,169.40,169.80,166.00,168.00,-1.00,-0.59,"235,363",,
2025-04-29,168.80,169.80,166.00,169.00,0.20,0.12,"101,332",,
2025-04-28,165.80,168.80,164.20,168.80,3.20,1.93,"177,188",,
2025-04-27,167.80,167.80,165.00,165.60,-2.00,-1.19,"79,243",,
2025-04-24,166.40,167.60,166.00,167.60,0.60,0.36,"151,511",,
2025-04-23,167.00,168.80,166.00,167.00,0.40,0.24,"168,251",,
2025-04-22,166.60,167.60,164.60,166.60,-2.00,-1.19,"98,558",,
2025-04-21,168.60,168.60,166.80,168.60,0.00,0.00,"52,578",,
2025-04-20,169.00,169.40,167.60,168.60,-0.40,-0.24,"44,870",,
2025-04-17,169.00,169.20,166.40,169.00,-1.60,-0.94,"174,339",,
2025-04-16,172.00,172.20,168.20,170.60,-2.80,-1.61,"269,042",,
2025-04-15,171.20,173.80,171.00,173.40,1.40,0.81,"147,234",,
2025-04-14,172.20,174.80,170.00,172.00,-2.80,-1.60,"204,897",,
2025-04-13,170.80,175.00,170.80,174.80,4.20,2.46,"48,616",,
2025-04-10,174.80,174.80,165.20,170.60,10.20,6.36,"139,738",,
2025-04-09,168.40,169.60,160.40,160.40,-8.00,-4.75,"278,441",,
2025-04-08,162.80,169.00,162.80,168.40,5.80,3.57,"149,464",,
2025-04-07,158.00,162.60,150.40,162.60,4.60,2.91,"167,507",,
2025-04-06,158.00,172.00,157.00,158.00,-16.40,-9.40,"180,101",,
2025-04-03,175.00,177.20,172.60,174.40,-2.20,-1.25,"93,614",,
2025-03-27,176.20,179.20,174.20,176.60,1.40,0.80,"223,377",,
2025-03-26,174.00,177.40,171.00,175.20,2.00,1.15,"161,976",,
2025-03-25,171.00,173.20,169.20,173.20,2.80,1.64,"97,261",,
2025-03-24,172.00,172.60,169.20,170.40,-1.60,-0.93,"132,474",,
2025-03-23,171.20,173.00,169.20,172.00,-0.60,-0.35,"75,970",,
2025-03-20,168.00,172.60,167.00,172.60,5.20,3.11,"194,295",,
2025-03-19,171.20,171.20,166.40,167.40,-2.80,-1.65,"102,635",,
2025-03-18,173.60,173.60,169.00,170.20,-3.60,-2.07,"99,079",,
2025-03-17,176.40,177.60,172.80,173.80,-2.20,-1.25,"122,664",,
2025-03-16,172.00,176.00,170.00,176.00,3.40,1.97,"102,850",,
2025-03-13,173.00,173.20,170.80,172.60,0.60,0.35,"73,465",,
2025-03-12,176.60,176.60,169.40,172.00,-5.00,-2.82,"221,136",,
2025-03-11,172.00,177.00,168.80,177.00,4.60,2.67,"317,145",,
2025-03-10,171.40,173.80,168.40,172.40,1.40,0.82,"176,142",,
2025-03-09,166.00,171.00,161.60,171.00,7.80,4.78,"109,714",,
2025-03-06,165.80,166.60,161.40,163.20,-2.60,-1.57,"219,770",,
2025-03-05,167.80,170.60,165.00,165.80,-1.80,-1.07,"120,614",,
2025-03-04,166.00,168.20,164.80,167.60,0.40,0.24,"217,857",,
2025-03-03,167.80,170.00,163.60,167.20,-0.60,-0.36,"316,116",,
2025-03-02,170.00,172.60,166.40,167.80,-2.60,-1.53,"80,156",,
2025-02-27,171.40,172.80,170.40,170.40,-1.00,-0.58,"224,694",,
2025-02-26,173.40,174.00,170.40,171.40,-2.00,-1.15,"135,541",,
2025-02-25,173.60,174.40,170.80,173.40,-0.20,-0.12,"161,774",,
2025-02-24,178.00,178.60,172.60,173.60,-4.40,-2.47,"367,664",,
2025-02-20,178.60,182.00,177.40,178.00,-0.60,-0.34,"265,604",,
2025-02-19,179.00,180.00,177.00,178.60,-1.40,-0.78,"92,080",,
2025-02-18,178.60,180.60,177.20,180.00,1.20,0.67,"176,007",,
2025-02-17,180.00,180.80,176.80,178.80,-2.20,-1.22,"169,776",,
2025-02-16,180.20,182.40,180.00,181.00,1.00,0.56,"95,149",,
2025-02-13,181.80,182.60,179.60,180.00,-1.80,-0.99,"221,219",,
2025-02-12,185.00,185.80,181.20,181.80,-2.60,-1.41,"191,042",,
2025-02-11,185.60,187.80,184.40,184.40,0.00,0.00,"179,203",,
2025-02-10,188.20,189.60,183.60,184.40,-2.00,-1.07,"271,969",,
2025-02-09,187.80,189.20,186.00,186.40,-1.20,-0.64,"199,096",,
2025-02-06,188.20,188.80,186.60,187.60,-0.60,-0.32,"193,254",,
2025-02-05,188.20,190.80,188.00,188.20,-0.80,-0.42,"176,644",,
2025-02-04,190.00,191.20,188.00,189.00,-1.00,-0.53,"201,439",,
