0,1,2,3,4,5,6,7,8,9
2025-05-29,17.18,17.36,17.00,17.24,0.22,1.29,"24,273",,
2025-05-28,16.92,17.18,16.92,17.02,0.04,0.24,"101,384",,
2025-05-27,17.14,17.56,16.82,16.98,-0.42,-2.41,"43,857",,
2025-05-26,17.50,17.50,16.82,17.40,0.06,0.35,"18,754",,
2025-05-25,17.70,17.86,17.34,17.34,-0.36,-2.03,"32,735",,
2025-05-22,17.60,17.98,17.28,17.70,0.22,1.26,"28,060",,
2025-05-21,17.88,17.90,17.40,17.48,-0.46,-2.56,"44,300",,
2025-05-20,17.84,17.98,17.74,17.94,0.02,0.11,"31,330",,
2025-05-19,18.18,18.20,17.80,17.92,-0.26,-1.43,"35,369",,
2025-05-18,18.10,18.38,17.92,18.18,0.10,0.55,"22,784",,
2025-05-15,18.00,18.34,17.72,18.08,0.08,0.44,"77,552",,
2025-05-14,18.34,18.34,17.92,18.00,-0.12,-0.66,"34,501",,
2025-05-13,18.38,18.38,17.88,18.12,0.08,0.44,"31,821",,
2025-05-12,17.90,18.38,17.90,18.04,0.14,0.78,"46,170",,
2025-05-11,18.00,18.00,17.70,17.90,-0.10,-0.56,"39,083",,
2025-05-08,18.50,18.50,17.00,18.00,-0.50,-2.70,"76,373",,
2025-05-07,19.00,19.00,18.30,18.50,-0.54,-2.84,"50,209",,
2025-05-06,19.48,19.48,18.80,19.04,-0.40,-2.06,"49,819",,
2025-05-05,19.44,19.44,19.04,19.44,0.30,1.57,"34,278",,
2025-05-04,19.84,19.84,18.90,19.14,-0.40,-2.05,"52,056",,
2025-05-01,20.48,20.94,19.50,19.54,-0.60,-2.98,"376,895",,
2025-04-30,19.28,21.18,19.28,20.14,0.86,4.46,"661,038",,
2025-04-29,19.50,19.70,19.10,19.28,-0.22,-1.13,"71,861",,
2025-04-28,19.68,19.90,19.46,19.50,-0.02,-0.10,"87,430",,
2025-04-27,18.74,20.36,18.74,19.52,0.78,4.16,"479,432",,
2025-04-24,18.46,18.76,18.46,18.74,0.10,0.54,"57,420",,
2025-04-23,18.80,18.80,18.50,18.64,0.32,1.75,"28,796",,
2025-04-22,18.52,18.90,18.32,18.32,-0.52,-2.76,"16,554",,
2025-04-21,18.98,18.98,18.50,18.84,0.04,0.21,"25,333",,
2025-04-20,18.80,19.06,18.52,18.80,0.40,2.17,"32,503",,
2025-04-17,18.46,18.80,18.34,18.40,-0.20,-1.08,"37,572",,
2025-04-16,18.60,18.78,18.48,18.60,-0.10,-0.53,"53,635",,
2025-04-15,18.98,19.32,18.70,18.70,-0.02,-0.11,"83,125",,
2025-04-14,18.44,18.98,18.22,18.72,0.42,2.30,"62,445",,
2025-04-13,18.00,18.38,17.94,18.30,0.44,2.46,"68,127",,
2025-04-10,17.88,18.20,17.82,17.86,0.38,2.17,"59,621",,
2025-04-09,17.66,17.88,17.44,17.48,-0.18,-1.02,"44,841",,
