0,1,2,3,4,5,6,7,8,9
2025-05-29,35.40,36.60,35.30,35.50,0.05,0.14,"103,898",,
2025-05-28,35.00,35.95,34.95,35.45,0.75,2.16,"80,127",,
2025-05-27,36.15,36.20,34.60,34.70,-1.30,-3.61,"101,361",,
2025-05-26,36.70,37.30,35.15,36.00,-0.30,-0.83,"135,233",,
2025-05-25,36.75,37.45,35.90,36.30,0.40,1.11,"337,391",,
2025-05-22,36.60,38.00,35.90,35.90,0.30,0.84,"646,601",,
2025-05-21,36.55,36.55,35.40,35.60,-1.00,-2.73,"167,887",,
2025-05-20,37.70,37.70,36.30,36.60,-0.95,-2.53,"209,347",,
2025-05-19,38.00,38.00,37.10,37.55,-0.30,-0.79,"59,269",,
2025-05-18,38.65,38.65,37.70,37.85,-0.15,-0.39,"77,351",,
2025-05-15,38.20,38.45,37.70,38.00,-0.15,-0.39,"81,264",,
2025-05-14,39.00,39.15,37.80,38.15,-0.60,-1.55,"235,508",,
2025-05-13,39.70,39.80,38.50,38.75,-0.70,-1.77,"163,537",,
2025-05-12,38.20,39.55,38.20,39.45,1.00,2.60,"81,772",,
2025-05-11,40.80,40.90,38.00,38.45,-1.45,-3.63,"99,796",,
2025-05-08,39.65,40.10,39.25,39.90,0.30,0.76,"72,591",,
2025-05-07,40.05,40.45,39.60,39.60,-0.85,-2.10,"129,745",,
2025-05-06,41.70,42.15,40.45,40.45,-1.25,-3.00,"153,616",,
2025-05-05,40.10,41.90,40.10,41.70,1.25,3.09,"146,391",,
2025-05-04,41.40,41.95,40.45,40.45,-0.90,-2.18,"86,391",,
2025-05-01,42.10,42.60,41.10,41.35,-0.65,-1.55,"112,261",,
2025-04-30,42.20,42.70,41.40,42.00,-0.10,-0.24,"116,583",,
2025-04-29,43.00,43.20,41.85,42.10,-0.90,-2.09,"280,670",,
2025-04-28,43.10,43.90,42.70,43.00,-0.05,-0.12,"331,336",,
2025-04-27,43.00,43.50,42.60,43.05,0.35,0.82,"235,405",,
2025-04-24,43.30,44.85,42.50,42.70,-0.60,-1.39,"434,849",,
2025-04-23,41.50,43.75,41.20,43.30,2.50,6.13,"539,936",,
2025-04-22,40.80,41.30,40.15,40.80,-0.10,-0.24,"66,280",,
2025-04-21,40.90,41.40,40.50,40.90,-0.10,-0.24,"65,444",,
2025-04-20,40.60,41.30,40.60,41.00,0.70,1.74,"68,929",,
2025-04-17,41.50,41.60,40.00,40.30,-1.40,-3.36,"133,961",,
2025-04-16,42.75,43.30,41.70,41.70,-1.05,-2.46,"168,208",,
2025-04-15,42.95,43.85,41.80,42.75,0.85,2.03,"490,613",,
2025-04-14,39.95,42.30,39.55,41.90,2.10,5.28,"350,456",,
2025-04-13,39.40,40.05,39.20,39.80,0.80,2.05,"205,198",,
2025-04-10,39.40,40.40,38.20,39.00,1.50,4.00,"257,715",,
2025-04-09,39.00,39.10,36.50,37.50,-1.20,-3.10,"155,506",,
2025-04-08,37.35,39.40,37.35,38.70,1.60,4.31,"227,388",,
2025-04-07,34.80,38.60,34.40,37.10,-1.10,-2.88,"455,480",,
2025-04-06,38.20,38.95,38.20,38.20,-4.20,-9.91,"204,066",,
2025-04-03,43.20,43.20,41.70,42.40,-1.50,-3.42,"135,315",,
2025-03-27,43.35,44.00,43.00,43.90,0.90,2.09,"76,802",,
2025-03-26,42.50,43.20,42.45,43.00,1.00,2.38,"63,160",,
2025-03-25,42.85,43.35,42.00,42.00,-0.85,-1.98,"36,595",,
2025-03-24,41.95,43.45,41.65,42.85,0.85,2.02,"122,260",,
2025-03-23,43.80,43.80,42.00,42.00,-1.70,-3.89,"87,359",,
2025-03-20,43.40,44.50,42.75,43.70,0.20,0.46,"157,687",,
2025-03-19,44.25,44.25,43.00,43.50,-0.75,-1.69,"34,890",,
2025-03-18,45.40,45.55,43.65,44.25,-1.15,-2.53,"85,025",,
2025-03-17,45.25,47.00,45.15,45.40,0.10,0.22,"156,708",,
2025-03-16,45.30,45.70,44.00,45.30,0.20,0.44,"98,281",,
2025-03-13,44.45,46.40,44.45,45.10,0.15,0.33,"111,323",,
2025-03-12,44.40,45.95,44.05,44.95,0.55,1.24,"113,392",,
2025-03-11,44.00,44.55,41.70,44.40,0.00,0.00,"230,887",,
2025-03-10,46.00,46.00,44.40,44.40,-1.60,-3.48,"73,068",,
2025-03-09,45.65,47.80,45.20,46.00,0.70,1.55,"121,185",,
2025-03-06,47.45,47.45,44.25,45.30,-2.25,-4.73,"217,666",,
2025-03-05,47.00,47.85,46.90,47.55,0.55,1.17,"75,584",,
2025-03-04,48.20,48.20,46.50,47.00,-1.10,-2.29,"109,906",,
2025-03-03,47.40,48.85,46.20,48.10,1.10,2.34,"211,903",,
2025-03-02,48.50,48.80,45.20,47.00,-1.40,-2.89,"246,827",,
2025-02-27,49.95,51.00,48.10,48.40,0.55,1.15,"1,100,630",,
2025-02-26,43.60,47.85,43.10,47.85,4.35,10.00,"706,053",,
2025-02-25,48.50,48.80,43.25,43.50,-4.55,-9.47,"1,100,130",,
2025-02-24,52.00,52.00,48.05,48.05,-3.95,-7.60,"657,098",,
2025-02-20,54.50,54.50,51.40,52.00,-1.80,-3.35,"192,427",,
2025-02-19,54.30,55.00,53.80,53.80,-0.50,-0.92,"117,264",,
2025-02-18,55.60,56.00,54.30,54.30,-1.30,-2.34,"157,589",,
2025-02-17,55.90,56.10,54.00,55.60,0.40,0.72,"354,881",,
2025-02-16,55.00,55.60,54.90,55.20,0.50,0.91,"153,469",,
2025-02-13,54.90,54.90,53.50,54.70,-0.10,-0.18,"386,406",,
2025-02-12,55.90,56.20,54.50,54.80,-0.80,-1.44,"285,369",,
2025-02-11,55.90,57.40,55.40,55.60,-0.40,-0.71,"292,626",,
2025-02-10,57.40,57.60,55.70,56.00,-1.20,-2.10,"178,194",,
2025-02-09,56.50,58.30,56.40,57.20,1.00,1.78,"400,905",,
2025-02-06,54.60,56.50,54.00,56.20,1.80,3.31,"631,206",,
2025-02-05,53.30,55.00,52.30,54.40,1.10,2.06,"602,017",,
2025-02-04,53.30,54.00,52.90,53.30,0.10,0.19,"277,277",,
2025-02-03,54.20,54.40,52.80,53.20,-0.80,-1.48,"421,842",,
2025-02-02,57.00,57.00,54.00,54.00,-2.40,-4.26,"467,776",,
2025-01-30,58.60,58.80,56.20,56.40,-2.10,-3.59,"416,976",,
2025-01-29,59.30,59.60,58.30,58.50,-0.80,-1.35,"245,673",,
2025-01-28,57.40,59.50,56.70,59.30,2.10,3.67,"1,069,273",,
2025-01-27,55.00,57.60,54.90,57.20,2.50,4.57,"1,129,348",,
2025-01-26,53.00,55.00,52.40,54.70,1.70,3.21,"595,523",,
2025-01-23,54.20,55.90,52.70,53.00,-0.50,-0.93,"855,307",,
2025-01-22,52.00,53.60,50.90,53.50,1.70,3.28,"607,669",,
2025-01-21,51.30,52.10,50.70,51.80,0.70,1.37,"509,740",,
2025-01-20,51.10,51.90,50.70,51.10,-0.30,-0.58,"220,959",,
2025-01-19,51.90,52.00,50.90,51.40,0.00,0.00,"108,394",,
2025-01-16,52.10,52.70,51.10,51.40,-0.60,-1.15,"185,751",,
2025-01-15,52.50,52.80,51.70,52.00,-0.30,-0.57,"169,570",,
2025-01-14,53.00,53.30,51.90,52.30,-0.70,-1.32,"296,542",,
2025-01-13,54.40,54.50,52.40,53.00,-0.80,-1.49,"272,823",,
2025-01-12,53.20,54.00,53.20,53.80,-0.10,-0.19,"125,068",,
2025-01-09,54.10,54.50,52.70,53.90,-0.10,-0.19,"371,187",,
2025-01-08,54.60,55.80,53.90,54.00,-0.10,-0.18,"680,003",,
2025-01-07,53.90,54.50,52.30,54.10,1.80,3.44,"749,554",,
2025-01-06,50.00,54.70,49.55,52.30,2.30,4.60,"1,409,111",,
2025-01-05,49.35,50.00,49.35,50.00,0.45,0.91,"233,338",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,49.35,50.00,49.35,50.00,0.45,0.91,"233,338",,
2025-01-02,49.70,50.00,49.20,49.55,-0.15,-0.30,"207,053",,
2025-01-01,49.25,50.10,49.10,49.70,0.20,0.40,"244,545",,
2024-12-31,48.65,49.70,48.60,49.50,0.90,1.85,"224,576",,
2024-12-30,48.50,49.75,48.30,48.60,0.80,1.67,"342,149",,
2024-12-29,47.70,48.80,47.70,47.80,-0.65,-1.34,"179,655",,
2024-12-26,48.20,48.80,47.95,48.45,-0.20,-0.41,"141,952",,
2024-12-25,47.75,48.70,47.65,48.65,0.95,1.99,"146,283",,
2024-12-24,48.95,48.95,47.70,47.70,-0.90,-1.85,"102,316",,
2024-12-23,48.20,48.90,48.20,48.60,0.05,0.10,"46,598",,
2024-12-22,48.20,49.20,48.20,48.55,0.10,0.21,"72,198",,
2024-12-19,48.55,48.55,47.65,48.45,-0.35,-0.72,"70,984",,
2024-12-18,49.45,49.45,48.60,48.80,-0.55,-1.11,"98,163",,
2024-12-17,49.75,49.80,48.80,49.35,-0.60,-1.20,"198,143",,
2024-12-16,48.15,50.50,47.40,49.95,1.75,3.63,"573,613",,
2024-12-15,48.20,48.40,47.45,48.20,0.20,0.42,"138,115",,
2024-12-12,47.55,48.25,47.40,48.00,0.45,0.95,"112,030",,
2024-12-11,47.70,47.75,46.85,47.55,-0.25,-0.52,"150,164",,
2024-12-10,48.45,48.45,47.55,47.80,-0.30,-0.62,"111,593",,
2024-12-09,48.10,48.40,47.85,48.10,0.00,0.00,"99,933",,
2024-12-08,47.70,48.65,47.65,48.10,0.45,0.94,"121,001",,
2024-12-05,49.45,49.95,47.50,47.65,-1.80,-3.64,"526,540",,
2024-12-04,50.30,50.40,49.00,49.45,-0.85,-1.69,"227,017",,
2024-12-03,49.50,50.80,49.30,50.30,0.80,1.62,"280,763",,
2024-12-02,48.80,49.60,48.75,49.50,1.05,2.17,"208,577",,
2024-12-01,47.55,50.20,47.50,48.45,1.00,2.11,"356,308",,
2024-11-28,46.20,47.55,45.95,47.45,0.65,1.39,"168,445",,
2024-11-27,48.00,48.00,46.10,46.80,-0.95,-1.99,"261,096",,
2024-11-26,49.50,49.50,47.05,47.75,-1.70,-3.44,"205,552",,
2024-11-25,49.50,49.60,48.85,49.45,-0.25,-0.50,"122,598",,
2024-11-24,50.70,50.80,49.00,49.70,0.20,0.40,"318,513",,
2024-11-21,51.70,52.00,48.95,49.50,-1.60,-3.13,"933,235",,
2024-11-20,50.50,52.00,50.30,51.10,0.80,1.59,"700,273",,
2024-11-19,48.65,50.80,48.30,50.30,1.40,2.86,"456,967",,
2024-11-18,50.80,51.00,48.90,48.90,-1.60,-3.17,"820,299",,
2024-11-17,50.50,50.90,49.85,50.50,0.00,0.00,"346,514",,
2024-11-14,49.30,51.80,49.20,50.50,0.80,1.61,"693,723",,
2024-11-13,49.80,50.00,49.10,49.70,-0.05,-0.10,"103,036",,
2024-11-12,49.05,50.50,48.75,49.75,0.65,1.32,"389,386",,
2024-11-11,50.40,50.40,49.10,49.10,-0.90,-1.80,"322,490",,
2024-11-10,49.60,50.80,49.50,50.00,0.40,0.81,"295,280",,
2024-11-07,50.40,50.40,49.00,49.60,-0.20,-0.40,"262,232",,
2024-11-06,49.00,51.00,48.75,49.80,1.15,2.36,"467,205",,
2024-11-05,49.20,49.50,48.15,48.65,-0.55,-1.12,"284,411",,
2024-11-04,49.05,49.80,48.10,49.20,0.10,0.20,"312,866",,
2024-11-03,49.15,50.00,48.90,49.10,-0.90,-1.80,"234,257",,
2024-10-31,50.10,50.70,49.00,50.00,-0.10,-0.20,"574,844",,
2024-10-30,50.50,50.50,49.20,50.10,0.40,0.80,"663,592",,
2024-10-29,48.60,50.40,48.15,49.70,1.20,2.47,"971,041",,
2024-10-28,49.45,51.00,47.80,48.50,-0.40,-0.82,"1,288,050",,
2024-10-27,46.70,49.40,46.30,48.90,3.55,7.83,"1,815,107",,
2024-10-24,45.25,47.30,44.80,45.35,0.40,0.89,"1,242,044",,
2024-10-23,45.05,45.40,44.35,44.95,-0.20,-0.44,"227,130",,
2024-10-22,45.15,46.05,44.90,45.15,0.00,0.00,"571,171",,
2024-10-21,44.65,45.40,44.20,45.15,0.65,1.46,"432,358",,
2024-10-20,44.00,46.00,44.00,44.50,0.50,1.14,"831,782",,
2024-10-17,44.60,45.15,43.85,44.00,-0.65,-1.46,"371,226",,
2024-10-16,45.20,46.70,44.00,44.65,-0.35,-0.78,"1,123,693",,
2024-10-15,42.40,45.75,42.00,45.00,3.40,8.17,"1,824,825",,
2024-10-14,42.90,43.00,41.10,41.60,-0.80,-1.89,"363,227",,
2024-10-13,41.60,42.90,40.90,42.40,1.50,3.67,"361,768",,
2024-10-10,40.00,41.35,40.00,40.90,0.90,2.25,"484,941",,
2024-10-09,41.10,41.55,39.05,40.00,-1.00,-2.44,"584,310",,
2024-10-08,40.50,41.85,39.80,41.00,0.25,0.61,"532,073",,
2024-10-07,39.80,41.45,39.55,40.75,0.70,1.75,"406,170",,
2024-10-06,42.60,42.60,39.40,40.05,-1.95,-4.64,"459,811",,
2024-10-03,43.80,45.00,41.65,42.00,-1.55,-3.56,"819,075",,
2024-10-02,44.40,46.00,43.00,43.55,-1.70,-3.76,"882,709",,
2024-10-01,42.40,45.35,42.15,45.25,3.20,7.61,"1,547,606",,
2024-09-30,40.00,43.25,39.50,42.05,2.15,5.39,"1,074,838",,
2024-09-29,39.80,40.20,39.40,39.90,0.10,0.25,"147,894",,
2024-09-26,39.90,40.75,39.75,39.80,-0.50,-1.24,"344,169",,
2024-09-25,40.80,40.80,39.75,40.30,-0.10,-0.25,"344,341",,
2024-09-24,40.70,41.55,40.25,40.40,-0.60,-1.46,"363,488",,
2024-09-22,40.90,41.80,40.90,41.00,0.25,0.61,"128,616",,
2024-09-19,41.50,42.65,40.55,40.75,-0.80,-1.93,"481,420",,
2024-09-18,41.20,42.70,41.15,41.55,0.55,1.34,"386,005",,
2024-09-17,41.20,41.45,40.30,41.00,-0.30,-0.73,"383,956",,
2024-09-16,42.10,42.40,41.30,41.30,-0.70,-1.67,"159,183",,
2024-09-15,41.80,42.75,41.50,42.00,0.10,0.24,"218,815",,
2024-09-12,42.75,43.05,40.80,41.90,-0.45,-1.06,"544,809",,
2024-09-11,44.10,44.15,42.10,42.35,-1.60,-3.64,"704,915",,
2024-09-10,44.50,46.60,43.00,43.95,-0.55,-1.24,"1,596,800",,
2024-09-09,43.00,45.00,42.10,44.50,1.50,3.49,"1,216,237",,
2024-09-08,40.40,43.05,40.30,43.00,2.65,6.57,"985,844",,
2024-09-05,41.10,42.45,40.30,40.35,-0.75,-1.82,"702,855",,
2024-09-04,41.50,41.95,40.05,41.10,-0.55,-1.32,"523,184",,
2024-09-03,40.05,42.00,40.05,41.65,1.65,4.13,"982,176",,
2024-09-02,40.90,41.20,39.65,40.00,-0.20,-0.50,"376,367",,
2024-09-01,41.10,42.60,39.80,40.20,-0.80,-1.95,"755,166",,
2024-08-29,41.50,42.05,40.80,41.00,-0.20,-0.49,"439,106",,
2024-08-28,40.50,42.70,39.15,41.20,0.80,1.98,"1,432,298",,
2024-08-27,41.50,42.05,40.30,40.40,-1.10,-2.65,"706,259",,
2024-08-26,40.50,42.95,40.40,41.50,0.70,1.72,"1,226,000",,
2024-08-25,40.25,42.35,39.30,40.80,0.70,1.75,"1,700,184",,
2024-08-22,37.00,40.35,36.90,40.10,3.30,8.97,"2,450,109",,
2024-08-21,35.90,37.15,35.55,36.80,0.60,1.66,"945,309",,
2024-08-20,35.30,36.80,35.00,36.20,0.90,2.55,"1,515,494",,
2024-08-19,35.40,36.50,34.35,35.30,0.00,0.00,"1,733,063",,
2024-08-18,33.90,35.35,33.10,35.30,3.15,9.80,"2,457,092",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
