0,1,2,3,4,5,6,7,8,9
2025-05-29,6.50,6.56,6.43,6.45,-0.01,-0.15,"181,807",,
2025-05-28,6.42,6.52,6.41,6.46,0.09,1.41,"141,509",,
2025-05-27,6.60,6.64,6.30,6.37,-0.21,-3.19,"161,008",,
2025-05-26,6.81,6.81,6.50,6.58,-0.16,-2.37,"162,747",,
2025-05-25,6.75,6.79,6.66,6.74,-0.01,-0.15,"151,149",,
2025-05-22,6.86,6.92,6.75,6.75,-0.08,-1.17,"295,264",,
2025-05-21,7.00,7.00,6.80,6.83,-0.17,-2.43,"364,628",,
2025-05-20,7.09,7.16,6.88,7.00,-0.08,-1.13,"724,162",,
2025-05-19,7.22,7.24,7.00,7.08,-0.10,-1.39,"403,073",,
2025-05-18,7.25,7.30,7.16,7.18,-0.07,-0.97,"154,488",,
2025-05-15,7.22,7.25,7.13,7.25,0.02,0.28,"330,275",,
2025-05-14,7.14,7.25,7.08,7.23,0.12,1.69,"521,743",,
2025-05-13,7.61,7.65,7.07,7.11,-0.49,-6.45,"962,077",,
2025-05-12,7.42,7.73,7.42,7.60,0.00,0.00,"385,662",,
2025-05-11,7.81,7.85,7.50,7.60,-0.16,-2.06,"270,156",,
2025-05-08,8.50,8.61,7.76,7.76,-0.86,-9.98,"1,039,355",,
2025-05-07,8.71,8.74,8.59,8.62,-0.09,-1.03,"119,622",,
2025-05-06,8.80,8.80,8.65,8.71,-0.04,-0.46,"103,270",,
2025-05-05,8.59,8.83,8.50,8.75,0.24,2.82,"110,170",,
2025-05-04,8.70,8.73,8.50,8.51,-0.19,-2.18,"61,168",,
2025-05-01,8.74,8.75,8.56,8.70,0.02,0.23,"144,602",,
2025-04-30,8.75,8.83,8.50,8.68,-0.05,-0.57,"211,725",,
2025-04-29,8.81,8.86,8.69,8.73,-0.11,-1.24,"429,857",,
2025-04-28,8.99,9.11,8.80,8.84,-0.06,-0.67,"231,934",,
2025-04-27,8.84,8.98,8.84,8.90,0.02,0.23,"174,318",,
2025-04-24,8.95,8.95,8.84,8.88,0.02,0.23,"146,862",,
2025-04-23,8.90,8.99,8.84,8.86,0.01,0.11,"104,684",,
2025-04-22,8.71,8.88,8.60,8.85,0.12,1.37,"184,253",,
2025-04-21,8.83,9.13,8.72,8.73,-0.10,-1.13,"500,004",,
2025-04-20,8.77,8.98,8.77,8.83,0.02,0.23,"107,728",,
2025-04-17,9.12,9.12,8.80,8.81,-0.20,-2.22,"267,268",,
2025-04-16,8.94,9.19,8.86,9.01,0.07,0.78,"833,395",,
