0,1,2,3,4,5,6,7,8,9
2025-05-29,25.80,26.10,25.50,25.70,0.00,0.00,"192,849",,
2025-05-28,24.98,25.75,24.92,25.70,0.72,2.88,"159,168",,
2025-05-27,25.35,25.40,24.90,24.98,-0.47,-1.85,"155,404",,
2025-05-26,25.60,25.70,25.10,25.45,-0.15,-0.59,"92,671",,
2025-05-25,25.45,25.80,25.40,25.60,0.10,0.39,"115,659",,
2025-05-22,25.35,25.80,25.20,25.50,0.10,0.39,"142,836",,
2025-05-21,25.70,25.85,25.35,25.40,-0.50,-1.93,"160,946",,
2025-05-20,25.65,25.90,25.55,25.90,0.15,0.58,"72,135",,
2025-05-19,26.00,26.10,25.60,25.75,-0.25,-0.96,"156,302",,
2025-05-18,25.70,26.10,25.70,26.00,0.25,0.97,"50,055",,
2025-05-15,26.35,26.35,25.55,25.75,-0.35,-1.34,"203,712",,
2025-05-14,26.20,26.35,25.95,26.10,-0.10,-0.38,"91,527",,
2025-05-13,26.25,26.30,25.95,26.20,0.05,0.19,"71,128",,
2025-05-12,26.00,26.30,26.00,26.15,0.20,0.77,"113,675",,
2025-05-11,25.75,26.05,25.75,25.95,0.20,0.78,"81,007",,
2025-05-08,26.10,26.10,25.65,25.75,-0.10,-0.39,"95,489",,
2025-05-07,25.60,26.50,25.35,25.85,0.60,2.38,"379,203",,
2025-05-06,25.60,25.70,25.20,25.25,-0.25,-0.98,"108,529",,
2025-05-05,25.35,25.55,25.20,25.50,0.25,0.99,"42,921",,
2025-05-04,25.95,25.95,25.00,25.25,-0.40,-1.56,"79,206",,
2025-05-01,26.05,26.10,25.50,25.65,-0.25,-0.97,"107,070",,
2025-04-30,26.20,26.30,25.60,25.90,-0.35,-1.33,"138,892",,
2025-04-29,26.55,26.60,26.10,26.25,-0.40,-1.50,"98,221",,
2025-04-28,26.60,26.75,26.25,26.65,0.00,0.00,"116,306",,
2025-04-27,26.20,26.75,26.15,26.65,0.45,1.72,"184,824",,
2025-04-24,26.00,26.25,25.80,26.20,0.25,0.96,"98,043",,
2025-04-23,25.85,26.05,25.75,25.95,0.35,1.37,"80,389",,
2025-04-22,25.55,25.75,25.40,25.60,-0.05,-0.19,"77,822",,
2025-04-21,26.25,26.25,25.65,25.65,-0.40,-1.54,"74,786",,
2025-04-20,25.70,26.05,25.70,26.05,0.40,1.56,"73,254",,
2025-04-17,25.75,25.85,25.40,25.65,-0.10,-0.39,"124,580",,
2025-04-16,25.70,25.95,25.45,25.75,-0.25,-0.96,"135,000",,
2025-04-15,26.00,26.50,25.80,26.00,0.00,0.00,"135,251",,
2025-04-14,25.50,26.00,25.35,26.00,0.55,2.16,"265,408",,
2025-04-13,25.00,25.65,25.00,25.45,0.51,2.04,"241,831",,
2025-04-10,25.00,25.10,24.78,24.94,0.94,3.92,"252,770",,
2025-04-09,24.60,24.88,24.00,24.00,-0.82,-3.30,"336,019",,
2025-04-08,24.80,25.40,24.72,24.82,0.42,1.72,"548,005",,
2025-04-07,24.40,24.82,23.88,24.40,-0.60,-2.40,"698,441",,
2025-04-06,26.00,26.15,25.00,25.00,-2.35,-8.59,"199,817",,
2025-04-03,27.05,27.90,27.05,27.35,0.25,0.92,"162,747",,
2025-03-27,27.20,27.40,26.95,27.10,0.05,0.18,"138,363",,
2025-03-26,27.00,27.50,26.80,27.05,0.25,0.93,"135,646",,
2025-03-25,26.80,27.00,26.20,26.80,0.25,0.94,"88,877",,
2025-03-24,26.15,26.80,26.00,26.55,0.30,1.14,"165,790",,
