0,1,2,3,4,5,6,7,8,9
2025-05-29,14.94,15.14,14.90,14.90,-0.06,-0.40,"90,524",,
2025-05-28,14.96,15.14,14.86,14.96,0.02,0.13,"128,942",,
2025-05-27,14.98,14.98,14.70,14.94,-0.04,-0.27,"139,627",,
2025-05-26,14.84,14.98,14.68,14.98,0.10,0.67,"133,745",,
2025-05-25,14.96,14.98,14.72,14.88,-0.10,-0.67,"225,968",,
2025-05-22,14.74,15.04,14.60,14.98,0.08,0.54,"134,591",,
2025-05-21,14.92,15.00,14.72,14.90,-0.10,-0.67,"53,155",,
2025-05-20,14.98,15.00,14.76,15.00,0.04,0.27,"58,245",,
2025-05-19,14.98,15.00,14.72,14.96,-0.02,-0.13,"142,515",,
2025-05-18,14.98,15.16,14.60,14.98,0.02,0.13,"184,073",,
2025-05-15,14.76,14.98,14.62,14.96,0.16,1.08,"220,721",,
2025-05-14,14.50,14.86,14.32,14.80,0.32,2.21,"127,640",,
2025-05-13,14.52,14.56,14.16,14.48,0.02,0.14,"122,681",,
2025-05-12,14.32,14.60,14.00,14.46,0.16,1.12,"168,727",,
2025-05-11,14.30,14.30,13.94,14.30,0.20,1.42,"108,309",,
2025-05-08,13.70,14.18,13.32,14.10,-0.36,-2.49,"796,858",,
2025-05-07,14.52,14.52,14.16,14.46,-0.10,-0.69,"198,161",,
2025-05-06,14.50,14.78,14.34,14.56,0.14,0.97,"308,913",,
2025-05-05,14.26,14.46,14.08,14.42,0.26,1.84,"155,926",,
2025-05-04,14.18,14.28,14.04,14.16,0.02,0.14,"883,765",,
2025-05-01,14.24,14.30,14.10,14.14,-0.08,-0.56,"239,966",,
2025-04-30,14.08,14.24,13.94,14.22,0.02,0.14,"291,830",,
2025-04-29,14.22,14.26,14.06,14.20,-0.02,-0.14,"378,114",,
2025-04-28,14.26,14.28,13.86,14.22,0.00,0.00,"838,347",,
2025-04-27,14.18,14.30,14.14,14.22,0.00,0.00,"181,029",,
2025-04-24,14.20,14.24,14.14,14.22,0.10,0.71,"204,023",,
2025-04-23,14.30,14.30,14.08,14.12,0.00,0.00,"111,582",,
2025-04-22,14.12,14.24,14.02,14.12,-0.06,-0.42,"212,733",,
2025-04-21,14.12,14.24,14.10,14.18,0.06,0.42,"214,256",,
2025-04-20,14.06,14.26,14.06,14.12,0.00,0.00,"215,034",,
2025-04-17,14.12,14.18,13.98,14.12,-0.06,-0.42,"290,430",,
2025-04-16,14.12,14.26,14.08,14.18,-0.02,-0.14,"181,542",,
2025-04-15,14.50,14.64,14.18,14.20,-0.20,-1.39,"585,932",,
2025-04-14,14.14,14.58,14.12,14.40,0.20,1.41,"433,353",,
2025-04-13,14.28,14.28,14.10,14.20,0.12,0.85,"237,618",,
2025-04-10,14.70,14.70,13.96,14.08,0.24,1.73,"455,640",,
2025-04-09,13.78,14.36,13.64,13.84,-0.16,-1.14,"201,179",,
2025-04-08,14.42,14.68,13.96,14.00,-0.20,-1.41,"235,871",,
2025-04-07,14.00,14.38,13.00,14.20,0.20,1.43,"134,525",,
2025-04-06,14.20,14.46,13.58,14.00,-0.98,-6.54,"304,882",,
2025-04-03,15.00,15.00,14.72,14.98,-0.14,-0.93,"55,394",,
2025-03-27,15.28,15.28,14.80,15.12,0.24,1.61,"137,656",,
2025-03-26,14.90,15.40,14.62,14.88,0.32,2.20,"228,518",,
2025-03-25,14.70,14.70,14.36,14.56,0.02,0.14,"77,252",,
2025-03-24,14.42,14.56,14.30,14.54,0.14,0.97,"45,125",,
2025-03-23,14.62,14.76,14.40,14.40,-0.38,-2.57,"85,195",,
2025-03-20,14.62,14.80,14.50,14.78,0.02,0.14,"97,809",,
2025-03-19,14.68,14.84,14.50,14.76,-0.16,-1.07,"90,178",,
2025-03-18,15.04,15.04,14.70,14.92,-0.02,-0.13,"77,788",,
2025-03-17,15.30,15.30,14.92,14.94,-0.26,-1.71,"127,352",,
2025-03-16,15.40,15.40,14.94,15.20,0.00,0.00,"41,173",,
2025-03-13,15.18,15.30,14.90,15.20,0.04,0.26,"84,703",,
2025-03-12,15.02,15.18,14.84,15.16,0.14,0.93,"69,553",,
2025-03-11,14.50,15.18,14.50,15.02,0.02,0.13,"66,704",,
2025-03-10,15.26,15.40,14.90,15.00,-0.66,-4.21,"161,377",,
2025-03-09,15.52,15.94,15.44,15.66,-0.28,-1.76,"10,146",,
2025-03-06,15.42,15.94,15.16,15.94,0.52,3.37,"54,567",,
2025-03-05,15.72,15.94,15.18,15.42,-0.52,-3.26,"98,309",,
2025-03-04,15.80,15.96,15.64,15.94,0.04,0.25,"87,009",,
2025-03-03,16.18,16.24,15.78,15.90,-0.20,-1.24,"56,605",,
2025-03-02,16.50,16.64,16.00,16.10,-0.50,-3.01,"27,797",,
2025-02-27,16.50,16.70,16.34,16.60,-0.02,-0.12,"76,036",,
2025-02-26,16.80,16.80,16.52,16.62,-0.18,-1.07,"42,241",,
2025-02-25,16.54,16.80,16.42,16.80,0.30,1.82,"111,247",,
2025-02-24,16.90,17.10,16.40,16.50,-0.42,-2.48,"105,083",,
2025-02-20,17.00,17.00,16.70,16.92,-0.18,-1.05,"89,898",,
2025-02-19,16.80,17.10,16.58,17.10,0.30,1.79,"112,433",,
2025-02-18,16.94,17.10,16.80,16.80,-0.14,-0.83,"141,883",,
2025-02-17,17.40,17.40,16.88,16.94,-0.42,-2.42,"190,016",,
2025-02-16,17.42,17.64,17.24,17.36,-0.12,-0.69,"150,031",,
2025-02-13,17.46,17.56,17.32,17.48,0.02,0.11,"134,997",,
2025-02-12,17.82,17.82,17.22,17.46,-0.28,-1.58,"338,111",,
2025-02-11,17.50,17.94,17.36,17.74,0.24,1.37,"433,982",,
2025-02-10,17.68,17.68,17.34,17.50,-0.14,-0.79,"141,960",,
2025-02-09,17.42,17.70,17.40,17.64,0.22,1.26,"252,503",,
2025-02-06,17.46,17.46,17.20,17.42,-0.04,-0.23,"189,168",,
2025-02-05,17.56,17.80,17.30,17.46,0.06,0.34,"506,013",,
2025-02-04,17.46,17.54,17.28,17.40,-0.04,-0.23,"234,780",,
2025-02-03,17.00,17.46,16.92,17.44,0.36,2.11,"401,033",,
2025-02-02,16.84,17.14,16.84,17.08,0.18,1.07,"240,070",,
2025-01-30,16.78,17.02,16.72,16.90,0.18,1.08,"181,223",,
2025-01-29,17.10,17.14,16.70,16.72,-0.28,-1.65,"179,260",,
2025-01-28,16.56,17.06,16.50,17.00,0.42,2.53,"562,864",,
2025-01-27,16.62,16.70,16.50,16.58,-0.08,-0.48,"209,945",,
2025-01-26,16.74,16.84,16.60,16.66,-0.12,-0.72,"125,319",,
2025-01-23,16.90,16.96,16.60,16.78,-0.12,-0.71,"201,604",,
2025-01-22,16.82,16.96,16.66,16.90,0.08,0.48,"254,492",,
2025-01-21,16.64,16.88,16.52,16.82,0.18,1.08,"386,502",,
2025-01-20,16.60,16.74,16.52,16.64,0.00,0.00,"136,789",,
2025-01-19,16.58,16.72,16.42,16.64,0.04,0.24,"167,537",,
2025-01-16,16.60,16.72,16.50,16.60,0.00,0.00,"192,015",,
2025-01-15,16.34,16.82,16.34,16.60,0.04,0.24,"377,773",,
2025-01-14,16.62,16.78,16.48,16.56,0.04,0.24,"269,417",,
2025-01-13,16.42,16.52,16.24,16.52,0.14,0.85,"221,774",,
2025-01-12,16.20,16.38,16.10,16.38,0.10,0.61,"119,439",,
2025-01-09,16.28,16.34,16.08,16.28,0.02,0.12,"197,903",,
2025-01-08,16.24,16.40,16.10,16.26,0.06,0.37,"274,461",,
2025-01-07,16.06,16.32,15.90,16.20,0.06,0.37,"344,601",,
2025-01-06,16.12,16.30,16.02,16.14,0.02,0.12,"340,156",,
2025-01-05,15.84,16.20,15.62,16.12,0.28,1.77,"635,166",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,15.84,16.20,15.62,16.12,0.28,1.77,"635,166",,
2025-01-02,15.90,15.94,15.70,15.84,-0.06,-0.38,"221,639",,
2025-01-01,15.58,15.90,15.44,15.90,0.32,2.05,"388,684",,
2024-12-31,15.48,15.60,15.38,15.58,0.18,1.17,"361,721",,
2024-12-30,15.30,15.48,15.28,15.40,0.14,0.92,"556,983",,
2024-12-29,15.10,15.32,15.00,15.26,0.24,1.60,"148,332",,
2024-12-26,15.20,15.20,14.96,15.02,-0.12,-0.79,"90,072",,
2024-12-25,14.98,15.14,14.96,15.14,0.16,1.07,"89,339",,
2024-12-24,15.24,15.24,14.82,14.98,-0.22,-1.45,"394,200",,
2024-12-23,15.44,15.44,15.04,15.20,-0.28,-1.81,"187,349",,
2024-12-22,15.48,15.58,15.30,15.48,0.00,0.00,"97,621",,
2024-12-19,15.60,15.60,15.32,15.48,-0.14,-0.90,"89,427",,
2024-12-18,15.46,15.64,15.32,15.62,0.10,0.64,"91,566",,
2024-12-17,15.60,15.60,15.34,15.52,-0.08,-0.51,"65,823",,
2024-12-16,15.50,15.60,15.30,15.60,0.12,0.78,"59,753",,
2024-12-15,15.60,15.70,15.44,15.48,-0.20,-1.28,"57,697",,
2024-12-12,15.70,15.70,15.54,15.68,-0.02,-0.13,"82,314",,
2024-12-11,15.54,15.70,15.48,15.70,0.08,0.51,"126,937",,
2024-12-10,15.96,15.98,15.56,15.62,-0.30,-1.88,"179,257",,
2024-12-09,15.90,16.02,15.82,15.92,0.00,0.00,"149,578",,
2024-12-08,15.96,15.96,15.80,15.92,0.06,0.38,"58,394",,
2024-12-05,16.06,16.10,15.78,15.86,-0.16,-1.00,"163,400",,
2024-12-04,15.74,16.06,15.64,16.02,0.28,1.78,"148,998",,
2024-12-03,15.74,15.90,15.66,15.74,-0.02,-0.13,"104,583",,
2024-12-02,15.64,15.80,15.54,15.76,0.16,1.03,"135,128",,
2024-12-01,15.70,15.78,15.52,15.60,-0.10,-0.64,"81,451",,
2024-11-28,15.80,15.80,15.30,15.70,0.02,0.13,"137,282",,
2024-11-27,15.40,15.68,15.08,15.68,0.22,1.42,"289,111",,
2024-11-26,15.34,15.60,15.24,15.46,0.00,0.00,"219,493",,
2024-11-25,15.44,15.48,15.20,15.46,0.02,0.13,"159,907",,
2024-11-24,15.44,15.56,15.34,15.44,0.00,0.00,"142,248",,
2024-11-21,15.30,15.46,15.04,15.44,0.14,0.92,"202,734",,
2024-11-20,15.16,15.30,15.00,15.30,0.14,0.92,"89,634",,
2024-11-19,15.00,15.36,15.00,15.16,0.12,0.80,"131,054",,
2024-11-18,15.50,15.50,15.00,15.04,-0.40,-2.59,"135,080",,
2024-11-17,15.14,15.60,15.00,15.44,0.26,1.71,"276,445",,
2024-11-14,15.18,15.18,14.90,15.18,0.00,0.00,"180,471",,
2024-11-13,15.30,15.30,15.00,15.18,-0.12,-0.78,"117,045",,
2024-11-12,15.44,15.56,15.20,15.30,-0.14,-0.91,"135,934",,
2024-11-11,15.46,15.50,15.20,15.44,-0.02,-0.13,"93,279",,
2024-11-10,15.30,15.48,15.28,15.46,0.02,0.13,"61,699",,
2024-11-07,15.36,15.56,15.26,15.44,-0.12,-0.77,"220,286",,
2024-11-06,15.40,15.68,15.40,15.56,0.04,0.26,"142,640",,
2024-11-05,15.80,15.80,15.50,15.52,-0.26,-1.65,"106,771",,
2024-11-04,15.86,15.86,15.34,15.78,-0.10,-0.63,"193,489",,
2024-11-03,15.94,16.00,15.50,15.88,-0.06,-0.38,"281,841",,
2024-10-31,15.84,15.96,15.64,15.94,0.10,0.63,"191,302",,
2024-10-30,15.70,15.90,15.60,15.84,0.14,0.89,"87,842",,
2024-10-29,16.10,16.10,15.58,15.70,-0.38,-2.36,"517,260",,
2024-10-28,16.32,16.48,16.04,16.08,-0.34,-2.07,"720,625",,
2024-10-27,15.92,16.48,15.92,16.42,0.50,3.14,"569,062",,
