0,1,2,3,4,5,6,7,8,9
2025-05-29,12.84,13.10,12.80,12.84,0.02,0.16,"57,124",,
2025-05-28,12.94,12.94,12.70,12.82,0.16,1.26,"41,316",,
2025-05-27,13.10,13.10,12.66,12.66,-0.34,-2.62,"83,050",,
2025-05-26,12.94,13.16,12.60,13.00,0.10,0.78,"124,562",,
2025-05-25,13.12,13.14,12.90,12.90,-0.22,-1.68,"55,154",,
2025-05-22,12.94,13.34,12.84,13.12,0.16,1.23,"124,056",,
2025-05-21,13.30,13.30,12.96,12.96,-0.34,-2.56,"79,496",,
2025-05-20,13.32,13.38,13.14,13.30,0.10,0.76,"60,894",,
2025-05-19,13.46,13.46,13.12,13.20,-0.26,-1.93,"87,893",,
2025-05-18,13.40,13.50,13.36,13.46,-0.02,-0.15,"40,540",,
2025-05-15,13.78,13.78,13.32,13.48,-0.16,-1.17,"110,952",,
2025-05-14,13.62,13.74,13.62,13.64,0.00,0.00,"31,458",,
2025-05-13,13.84,13.84,13.58,13.64,-0.10,-0.73,"111,209",,
2025-05-12,13.70,13.74,13.54,13.74,0.26,1.93,"98,617",,
2025-05-11,13.64,13.74,13.30,13.48,-0.04,-0.30,"48,994",,
2025-05-08,13.54,14.00,13.40,13.52,-0.16,-1.17,"107,594",,
2025-05-07,14.48,14.48,13.68,13.68,-0.76,-5.26,"140,600",,
2025-05-06,14.92,14.92,14.42,14.44,-0.36,-2.43,"138,360",,
2025-05-05,14.72,14.96,14.70,14.80,0.00,0.00,"93,112",,
2025-05-04,14.72,14.88,14.70,14.80,-0.10,-0.67,"19,923",,
2025-05-01,15.06,15.18,14.78,14.90,-0.10,-0.67,"78,859",,
2025-04-30,14.92,15.16,14.70,15.00,-0.06,-0.40,"146,053",,
2025-04-29,15.18,15.18,14.86,15.06,-0.08,-0.53,"76,550",,
2025-04-28,15.10,15.30,14.92,15.14,0.04,0.26,"97,975",,
2025-04-27,15.04,15.28,14.98,15.10,0.14,0.94,"155,215",,
2025-04-24,14.66,14.96,14.66,14.96,0.20,1.36,"163,363",,
2025-04-23,14.86,15.00,14.68,14.76,0.04,0.27,"78,296",,
2025-04-22,15.06,15.06,14.72,14.72,-0.36,-2.39,"67,086",,
2025-04-21,14.90,15.44,14.88,15.08,0.14,0.94,"244,531",,
2025-04-20,14.88,15.08,14.88,14.94,0.08,0.54,"58,909",,
2025-04-17,14.90,14.94,14.68,14.86,-0.04,-0.27,"77,415",,
2025-04-16,14.98,15.08,14.84,14.90,-0.10,-0.67,"50,572",,
2025-04-15,15.06,15.48,14.90,15.00,-0.14,-0.92,"242,056",,
2025-04-14,14.76,15.26,14.70,15.14,0.38,2.57,"158,514",,
2025-04-13,14.40,14.76,14.40,14.76,0.36,2.50,"101,753",,
2025-04-10,14.38,14.40,13.98,14.40,0.82,6.04,"152,310",,
2025-04-09,13.98,14.22,13.56,13.58,-0.46,-3.28,"97,755",,
2025-04-08,13.98,14.42,13.80,14.04,0.28,2.03,"83,410",,
2025-04-07,13.12,14.06,12.84,13.76,-0.14,-1.01,"238,263",,
2025-04-06,14.88,14.88,13.90,13.90,-1.54,-9.97,"96,625",,
2025-04-03,15.30,15.64,15.24,15.44,-0.30,-1.91,"69,955",,
2025-03-27,15.44,15.74,15.40,15.74,0.30,1.94,"108,178",,
2025-03-26,15.26,15.44,15.16,15.44,0.18,1.18,"60,933",,
2025-03-25,15.40,15.40,14.96,15.26,0.06,0.39,"80,132",,
2025-03-24,15.28,15.40,15.14,15.20,-0.08,-0.52,"70,103",,
2025-03-23,15.20,15.60,15.20,15.28,-0.14,-0.91,"41,181",,
2025-03-20,15.50,15.50,15.20,15.42,-0.08,-0.52,"98,651",,
2025-03-19,15.80,15.80,15.36,15.50,-0.40,-2.52,"88,137",,
2025-03-18,16.16,16.16,15.78,15.90,-0.16,-1.00,"71,837",,
2025-03-17,16.38,16.52,16.06,16.06,-0.26,-1.59,"62,045",,
2025-03-16,16.16,16.38,16.10,16.32,0.18,1.12,"33,563",,
2025-03-13,16.18,16.30,16.08,16.14,0.06,0.37,"86,699",,
2025-03-12,16.22,16.60,16.06,16.08,-0.28,-1.71,"117,179",,
