0,1,2,3,4,5,6,7,8,9
2025-05-29,13.28,13.48,13.28,13.32,0.04,0.30,"143,295",,
2025-05-28,13.46,13.46,13.18,13.28,0.12,0.91,"143,703",,
2025-05-27,13.44,13.44,13.16,13.16,-0.14,-1.05,"89,467",,
2025-05-26,13.70,13.70,13.18,13.30,-0.22,-1.63,"200,898",,
2025-05-25,13.76,13.88,13.52,13.52,-0.24,-1.74,"146,725",,
2025-05-22,13.70,13.96,13.66,13.76,-0.12,-0.86,"204,939",,
2025-05-21,14.04,14.04,13.72,13.88,-0.14,-1.00,"150,716",,
2025-05-20,13.96,14.06,13.92,14.02,0.04,0.29,"181,799",,
2025-05-19,14.18,14.18,13.94,13.98,-0.20,-1.41,"248,541",,
2025-05-18,13.94,14.20,13.80,14.18,0.24,1.72,"203,041",,
2025-05-15,13.82,14.04,13.72,13.94,0.02,0.14,"200,828",,
2025-05-14,13.76,13.94,13.76,13.92,0.18,1.31,"55,427",,
2025-05-13,13.88,13.94,13.74,13.74,-0.14,-1.01,"97,886",,
2025-05-12,13.66,13.90,13.66,13.88,0.18,1.31,"206,935",,
2025-05-11,13.70,13.86,13.58,13.70,-0.06,-0.44,"152,474",,
2025-05-08,13.50,13.88,13.42,13.76,0.16,1.18,"478,606",,
2025-05-07,13.72,13.74,13.52,13.60,-0.10,-0.73,"220,075",,
2025-05-06,13.82,13.92,13.54,13.70,-0.12,-0.87,"194,956",,
2025-05-05,13.80,13.86,13.64,13.82,0.20,1.47,"126,701",,
2025-05-04,14.00,14.00,13.50,13.62,-0.36,-2.58,"144,697",,
2025-05-01,13.90,14.20,13.78,13.98,0.10,0.72,"314,904",,
2025-04-30,14.14,14.20,13.86,13.88,-0.26,-1.84,"194,581",,
2025-04-29,14.40,14.50,14.14,14.14,-0.20,-1.39,"158,248",,
2025-04-28,14.38,14.48,14.20,14.34,-0.06,-0.42,"220,592",,
2025-04-27,14.32,14.50,14.28,14.40,0.14,0.98,"215,828",,
2025-04-24,14.06,14.28,14.00,14.26,0.20,1.42,"290,583",,
2025-04-23,14.18,14.20,13.92,14.06,0.08,0.57,"109,942",,
2025-04-22,13.92,14.08,13.78,13.98,0.04,0.29,"111,901",,
2025-04-21,14.08,14.28,13.90,13.94,-0.14,-0.99,"157,253",,
2025-04-20,14.00,14.16,14.00,14.08,0.18,1.29,"144,484",,
2025-04-17,13.92,14.10,13.80,13.90,-0.16,-1.14,"151,905",,
2025-04-16,14.02,14.22,13.96,14.06,0.06,0.43,"154,428",,
2025-04-15,14.14,14.54,14.00,14.00,0.04,0.29,"498,913",,
2025-04-14,13.50,13.96,13.50,13.96,0.50,3.71,"269,026",,
2025-04-13,13.64,13.68,13.46,13.46,0.12,0.90,"207,714",,
2025-04-10,13.68,13.68,13.20,13.34,0.44,3.41,"247,956",,
2025-04-09,13.04,13.44,12.82,12.90,-0.38,-2.86,"263,434",,
2025-04-08,13.00,13.46,12.82,13.28,0.68,5.40,"422,010",,
2025-04-07,12.50,12.76,11.58,12.60,0.04,0.32,"553,775",,
2025-04-06,12.90,13.16,12.56,12.56,-1.38,-9.90,"298,419",,
2025-04-03,13.92,14.14,13.92,13.94,-0.24,-1.69,"131,709",,
2025-03-27,14.06,14.30,14.04,14.18,0.18,1.29,"164,007",,
2025-03-26,13.90,14.10,13.90,14.00,0.10,0.72,"144,233",,
2025-03-25,13.78,14.04,13.72,13.90,0.16,1.16,"175,868",,
2025-03-24,13.84,13.94,13.70,13.74,0.04,0.29,"70,883",,
2025-03-23,14.00,14.00,13.68,13.70,-0.26,-1.86,"77,081",,
