0,1,2,3,4,5,6,7,8,9
2025-05-29,14.50,15.60,14.50,15.02,0.52,3.59,"170,518",,
2025-05-28,14.68,14.70,14.40,14.50,0.20,1.40,"44,237",,
2025-05-27,14.90,14.90,14.08,14.30,-0.50,-3.38,"46,695",,
2025-05-26,14.86,15.18,14.50,14.80,-0.06,-0.40,"51,864",,
2025-05-25,15.02,15.12,14.66,14.86,-0.28,-1.85,"49,816",,
2025-05-22,15.30,15.62,15.14,15.14,-0.32,-2.07,"26,033",,
2025-05-21,15.90,15.90,15.16,15.46,-0.36,-2.28,"28,166",,
2025-05-20,16.00,16.02,15.76,15.82,-0.06,-0.38,"15,162",,
2025-05-19,16.34,16.34,15.70,15.88,-0.12,-0.75,"15,836",,
2025-05-18,16.30,16.46,16.00,16.00,-0.26,-1.60,"22,374",,
2025-05-15,16.32,16.40,16.12,16.26,-0.04,-0.25,"13,187",,
2025-05-14,16.20,16.56,16.18,16.30,0.06,0.37,"41,822",,
2025-05-13,16.30,16.66,16.12,16.24,-0.06,-0.37,"75,304",,
2025-05-12,15.70,16.36,15.70,16.30,0.44,2.77,"57,341",,
2025-05-11,15.26,15.90,15.26,15.86,0.24,1.54,"60,461",,
2025-05-08,16.16,16.30,15.52,15.62,-0.56,-3.46,"78,844",,
2025-05-07,16.78,16.78,16.00,16.18,-0.50,-3.00,"63,119",,
2025-05-06,17.50,17.52,16.68,16.68,-0.76,-4.36,"94,804",,
2025-05-05,17.46,17.56,17.10,17.44,-0.04,-0.23,"101,440",,
2025-05-04,17.36,17.52,17.00,17.48,0.12,0.69,"87,145",,
2025-05-01,17.10,17.40,16.92,17.36,0.24,1.40,"65,711",,
2025-04-30,17.30,17.38,16.90,17.12,-0.18,-1.04,"60,854",,
2025-04-29,17.50,17.50,17.24,17.30,-0.20,-1.14,"69,888",,
2025-04-28,17.74,17.84,17.10,17.50,-0.20,-1.13,"149,030",,
2025-04-27,17.40,17.80,17.28,17.70,0.40,2.31,"158,609",,
2025-04-24,17.42,17.56,17.22,17.30,0.00,0.00,"171,958",,
2025-04-23,17.10,17.30,16.94,17.30,0.38,2.25,"94,963",,
2025-04-22,16.34,17.12,16.34,16.92,0.12,0.71,"62,068",,
2025-04-21,17.46,17.46,16.80,16.80,-0.46,-2.67,"58,423",,
2025-04-20,16.86,17.50,16.74,17.26,0.40,2.37,"107,289",,
2025-04-17,17.10,17.14,16.70,16.86,-0.30,-1.75,"112,381",,
2025-04-16,17.80,17.80,17.00,17.16,-0.44,-2.50,"94,658",,
2025-04-15,17.16,17.70,17.02,17.60,0.50,2.92,"240,573",,
2025-04-14,17.18,17.34,16.66,17.10,-0.14,-0.81,"138,506",,
2025-04-13,16.80,17.26,16.36,17.24,1.02,6.29,"308,869",,
2025-04-10,16.00,16.86,15.76,16.22,0.82,5.32,"189,007",,
2025-04-09,15.30,15.76,15.00,15.40,0.00,0.00,"90,827",,
2025-04-08,15.44,15.78,15.32,15.40,0.18,1.18,"135,435",,
2025-04-07,13.62,15.30,13.30,15.22,1.02,7.18,"210,741",,
2025-04-06,14.50,14.60,13.92,14.20,-0.90,-5.96,"231,318",,
2025-04-03,15.46,15.60,14.94,15.10,-0.34,-2.20,"40,444",,
2025-03-27,15.18,15.76,15.16,15.44,0.26,1.71,"105,829",,
2025-03-26,15.02,15.26,14.92,15.18,0.26,1.74,"61,860",,
2025-03-25,15.08,15.14,14.90,14.92,-0.02,-0.13,"50,613",,
2025-03-24,14.94,15.18,14.80,14.94,0.02,0.13,"50,216",,
2025-03-23,15.10,15.10,14.70,14.92,-0.06,-0.40,"60,507",,
2025-03-20,14.60,15.18,14.60,14.98,0.38,2.60,"60,601",,
2025-03-19,14.44,14.80,14.10,14.60,-0.26,-1.75,"74,126",,
2025-03-18,14.98,15.14,14.60,14.86,-0.24,-1.59,"69,929",,
2025-03-17,15.36,15.36,14.96,15.10,0.06,0.40,"97,562",,
2025-03-16,14.88,15.28,14.88,15.04,0.18,1.21,"127,883",,
2025-03-13,14.94,15.10,14.74,14.86,-0.10,-0.67,"66,799",,
2025-03-12,14.60,14.98,14.54,14.96,0.36,2.47,"83,778",,
2025-03-11,14.36,14.60,14.00,14.60,0.22,1.53,"100,877",,
2025-03-10,14.76,14.90,14.18,14.38,-0.38,-2.57,"104,668",,
2025-03-09,14.96,15.10,14.66,14.76,-0.16,-1.07,"71,392",,
2025-03-06,15.18,15.18,14.74,14.92,-0.16,-1.06,"53,787",,
