0,1,2,3,4,5,6,7,8,9
2025-05-29,14.60,15.12,14.54,15.06,0.54,3.72,"95,055",,
2025-05-28,14.20,14.56,14.20,14.52,0.32,2.25,"34,513",,
2025-05-27,14.68,14.68,14.18,14.20,-0.34,-2.34,"55,259",,
2025-05-26,14.70,14.84,14.22,14.54,-0.16,-1.09,"86,945",,
2025-05-25,14.96,15.18,14.70,14.70,-0.26,-1.74,"46,299",,
2025-05-22,15.16,15.16,14.92,14.96,-0.08,-0.53,"48,608",,
2025-05-21,15.30,15.40,15.02,15.04,-0.32,-2.08,"51,550",,
2025-05-20,15.48,15.54,15.30,15.36,-0.14,-0.90,"45,988",,
2025-05-19,15.80,15.80,15.46,15.50,-0.30,-1.90,"54,250",,
2025-05-18,15.46,15.98,15.46,15.80,0.24,1.54,"161,324",,
2025-05-15,15.72,15.78,15.42,15.56,-0.16,-1.02,"84,177",,
2025-05-14,15.90,15.94,15.68,15.72,0.10,0.64,"73,608",,
2025-05-13,15.62,15.92,15.48,15.62,0.08,0.51,"147,922",,
2025-05-12,15.40,15.74,15.40,15.54,0.14,0.91,"106,608",,
2025-05-11,15.24,15.54,15.20,15.40,0.16,1.05,"133,896",,
2025-05-08,15.50,16.06,15.24,15.24,0.64,4.38,"601,461",,
2025-05-07,15.00,15.08,14.54,14.60,-0.48,-3.18,"155,952",,
2025-05-06,15.40,15.40,14.94,15.08,-0.22,-1.44,"114,097",,
2025-05-05,15.40,15.40,15.16,15.30,-0.02,-0.13,"33,561",,
2025-05-04,15.32,15.40,15.22,15.32,-0.08,-0.52,"60,973",,
2025-05-01,15.50,15.80,15.38,15.40,-0.08,-0.52,"94,819",,
2025-04-30,15.62,15.74,15.30,15.48,-0.18,-1.15,"100,178",,
2025-04-29,16.00,16.06,15.66,15.66,-0.34,-2.13,"110,083",,
2025-04-28,16.22,16.26,15.68,16.00,-0.14,-0.87,"279,252",,
2025-04-27,16.24,16.40,16.10,16.14,0.14,0.88,"281,505",,
2025-04-24,15.30,16.48,15.30,16.00,0.72,4.71,"967,638",,
2025-04-23,15.38,15.48,15.22,15.28,0.16,1.06,"62,707",,
2025-04-22,15.02,15.40,15.02,15.12,-0.18,-1.18,"48,131",,
2025-04-21,15.58,15.58,15.24,15.30,-0.26,-1.67,"34,454",,
2025-04-20,15.48,15.64,15.40,15.56,0.14,0.91,"61,834",,
2025-04-17,15.54,15.70,15.30,15.42,-0.36,-2.28,"77,857",,
2025-04-16,15.80,16.00,15.54,15.78,-0.06,-0.38,"71,873",,
2025-04-15,15.96,16.08,15.50,15.84,0.08,0.51,"144,780",,
2025-04-14,15.58,15.90,15.32,15.76,0.42,2.74,"235,722",,
2025-04-13,15.20,15.58,15.00,15.34,0.14,0.92,"106,315",,
2025-04-10,15.00,15.34,14.60,15.20,0.98,6.89,"259,749",,
2025-04-09,14.66,14.90,14.18,14.22,-0.36,-2.47,"123,869",,
2025-04-08,14.50,15.00,14.20,14.58,0.54,3.85,"161,743",,
2025-04-07,13.40,14.36,12.98,14.04,-0.04,-0.28,"276,250",,
2025-04-06,15.08,15.08,14.08,14.08,-1.56,-9.97,"296,667",,
2025-04-03,15.44,15.80,15.40,15.64,-0.10,-0.64,"132,518",,
2025-03-27,15.68,15.90,15.54,15.74,0.06,0.38,"74,892",,
2025-03-26,15.16,15.68,15.16,15.68,0.56,3.70,"123,903",,
2025-03-25,15.38,15.38,15.12,15.12,-0.16,-1.05,"54,674",,
2025-03-24,15.26,15.38,15.14,15.28,0.12,0.79,"76,783",,
2025-03-23,15.22,15.38,15.02,15.16,-0.32,-2.07,"79,838",,
2025-03-20,15.22,15.54,15.22,15.48,0.18,1.18,"106,585",,
2025-03-19,15.46,15.48,15.16,15.30,-0.12,-0.78,"137,470",,
2025-03-18,15.82,15.96,15.42,15.42,-0.40,-2.53,"201,144",,
2025-03-17,16.08,16.26,15.74,15.82,-0.26,-1.62,"170,133",,
2025-03-16,16.02,16.30,15.98,16.08,0.12,0.75,"144,196",,
2025-03-13,15.88,16.16,15.88,15.96,0.02,0.13,"132,862",,
2025-03-12,15.56,16.56,15.42,15.94,0.36,2.31,"313,792",,
2025-03-11,15.14,15.58,14.60,15.58,0.08,0.52,"203,587",,
2025-03-10,15.82,15.82,15.10,15.50,-0.32,-2.02,"167,539",,
2025-03-09,15.90,16.10,15.68,15.82,0.04,0.25,"67,280",,
2025-03-06,16.04,16.18,15.60,15.78,-0.38,-2.35,"195,568",,
2025-03-05,16.42,16.66,16.00,16.16,-0.26,-1.58,"114,794",,
2025-03-04,16.90,16.90,16.42,16.42,-0.48,-2.84,"83,446",,
2025-03-03,16.88,17.00,16.66,16.90,0.10,0.60,"77,895",,
2025-03-02,17.08,17.22,16.70,16.80,-0.28,-1.64,"89,604",,
2025-02-27,17.26,17.54,17.08,17.08,-0.28,-1.61,"138,413",,
2025-02-26,17.02,18.00,16.92,17.36,0.34,2.00,"224,057",,
2025-02-25,16.98,17.16,16.80,17.02,0.04,0.24,"189,697",,
2025-02-24,17.28,17.38,16.80,16.98,-0.20,-1.16,"212,959",,
2025-02-20,17.38,17.44,17.00,17.18,-0.18,-1.04,"140,726",,
2025-02-19,18.02,18.02,17.28,17.36,-0.66,-3.66,"278,149",,
2025-02-18,17.58,18.28,17.46,18.02,0.42,2.39,"330,398",,
2025-02-17,18.00,18.00,17.56,17.60,-0.32,-1.79,"127,666",,
2025-02-16,18.16,18.28,17.92,17.92,-0.24,-1.32,"196,432",,
2025-02-13,18.30,18.46,18.00,18.16,0.30,1.68,"354,309",,
2025-02-12,18.54,18.58,17.86,17.86,-0.66,-3.56,"287,425",,
2025-02-11,18.70,18.84,18.44,18.52,-0.18,-0.96,"284,126",,
2025-02-10,18.78,18.92,18.54,18.70,0.00,0.00,"161,595",,
2025-02-09,18.68,19.04,18.56,18.70,0.02,0.11,"279,443",,
2025-02-06,18.90,18.94,18.56,18.68,-0.30,-1.58,"420,511",,
2025-02-05,19.58,19.64,18.52,18.98,-0.32,-1.66,"1,277,741",,
2025-02-04,18.40,19.86,18.22,19.30,0.60,3.21,"2,113,221",,
2025-02-03,17.84,18.98,17.52,18.70,0.82,4.59,"2,529,515",,
2025-02-02,16.64,17.90,16.64,17.88,1.28,7.71,"1,561,936",,
2025-01-30,16.08,16.70,15.98,16.60,0.58,3.62,"793,659",,
2025-01-29,16.06,16.16,15.84,16.02,-0.08,-0.50,"240,565",,
2025-01-28,16.02,16.20,15.98,16.10,0.06,0.37,"173,635",,
2025-01-27,16.30,16.32,16.02,16.04,-0.26,-1.60,"181,232",,
2025-01-26,16.26,16.48,16.16,16.30,-0.02,-0.12,"283,600",,
2025-01-23,16.70,17.20,16.30,16.32,0.20,1.24,"1,278,609",,
2025-01-22,16.54,16.58,16.12,16.12,-0.38,-2.30,"216,434",,
2025-01-21,16.02,16.74,15.92,16.50,0.58,3.64,"446,952",,
2025-01-20,15.80,16.04,15.78,15.92,0.16,1.02,"195,659",,
2025-01-19,15.86,15.94,15.72,15.76,0.00,0.00,"110,224",,
2025-01-16,15.90,15.94,15.74,15.76,-0.14,-0.88,"124,297",,
2025-01-15,15.88,15.98,15.76,15.90,0.00,0.00,"228,632",,
2025-01-14,16.08,16.16,15.88,15.90,-0.06,-0.38,"219,821",,
2025-01-13,15.80,16.06,15.74,15.96,0.24,1.53,"153,886",,
2025-01-12,15.80,15.90,15.72,15.72,-0.08,-0.51,"112,096",,
2025-01-09,15.90,15.90,15.64,15.80,-0.10,-0.63,"88,064",,
2025-01-08,15.94,16.08,15.80,15.90,0.06,0.38,"186,855",,
2025-01-07,15.88,15.98,15.64,15.84,-0.06,-0.38,"157,945",,
2025-01-06,15.98,16.18,15.80,15.90,0.04,0.25,"245,941",,
2025-01-05,15.80,16.00,15.64,15.86,0.10,0.63,"119,673",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,15.80,16.00,15.64,15.86,0.10,0.63,"119,673",,
2025-01-02,15.98,16.14,15.70,15.76,-0.22,-1.38,"190,322",,
2025-01-01,15.60,16.00,15.50,15.98,0.34,2.17,"242,102",,
2024-12-31,15.92,15.98,15.62,15.64,-0.26,-1.64,"221,740",,
2024-12-30,15.30,15.90,15.26,15.90,0.66,4.33,"533,500",,
2024-12-29,14.96,15.36,14.90,15.24,0.34,2.28,"230,318",,
2024-12-26,14.98,15.10,14.88,14.90,-0.08,-0.53,"31,042",,
2024-12-25,14.78,15.00,14.78,14.98,0.20,1.35,"42,348",,
2024-12-24,14.98,14.98,14.76,14.78,-0.08,-0.54,"65,138",,
2024-12-23,15.08,15.08,14.82,14.86,-0.22,-1.46,"38,675",,
2024-12-22,15.00,15.16,14.88,15.08,0.08,0.53,"41,148",,
2024-12-19,15.08,15.10,14.82,15.00,-0.08,-0.53,"23,650",,
2024-12-18,15.04,15.16,14.96,15.08,0.06,0.40,"32,080",,
2024-12-17,15.18,15.30,15.02,15.02,-0.18,-1.18,"54,133",,
2024-12-16,15.20,15.30,15.12,15.20,-0.06,-0.39,"40,289",,
2024-12-15,15.22,15.36,15.14,15.26,0.04,0.26,"61,683",,
2024-12-12,15.20,15.38,15.14,15.22,-0.14,-0.91,"46,897",,
2024-12-11,15.24,15.42,15.08,15.36,0.00,0.00,"186,480",,
2024-12-10,15.38,15.38,15.14,15.36,0.08,0.52,"79,099",,
2024-12-09,15.28,15.44,15.26,15.28,0.00,0.00,"154,010",,
2024-12-08,15.30,15.44,15.26,15.28,-0.10,-0.65,"68,002",,
2024-12-05,15.56,15.66,15.20,15.38,-0.20,-1.28,"219,811",,
2024-12-04,15.26,15.70,15.26,15.58,0.22,1.43,"88,320",,
2024-12-03,15.38,15.52,15.22,15.36,-0.02,-0.13,"153,226",,
2024-12-02,15.40,15.58,15.22,15.38,-0.06,-0.39,"191,245",,
2024-12-01,14.64,15.44,14.64,15.44,0.68,4.61,"101,835",,
2024-11-28,14.68,14.86,14.60,14.76,0.14,0.96,"41,264",,
2024-11-27,14.82,14.84,14.50,14.62,-0.08,-0.54,"82,615",,
2024-11-26,15.08,15.08,14.70,14.70,-0.28,-1.87,"56,754",,
2024-11-25,15.22,15.28,14.90,14.98,-0.38,-2.47,"70,962",,
2024-11-24,15.30,15.46,15.22,15.36,0.16,1.05,"49,169",,
2024-11-21,15.10,15.48,15.08,15.20,0.10,0.66,"130,416",,
2024-11-20,15.04,15.22,14.98,15.10,0.00,0.00,"53,960",,
2024-11-19,14.88,15.28,14.88,15.10,0.12,0.80,"133,666",,
2024-11-18,15.10,15.18,14.80,14.98,-0.12,-0.79,"96,625",,
2024-11-17,14.88,15.24,14.82,15.10,0.36,2.44,"148,382",,
2024-11-14,15.02,15.16,14.74,14.74,-0.26,-1.73,"110,616",,
2024-11-13,15.80,15.90,14.96,15.00,-0.28,-1.83,"294,664",,
2024-11-12,14.94,15.66,14.64,15.28,0.48,3.24,"355,956",,
2024-11-11,14.90,14.92,14.40,14.80,0.08,0.54,"226,834",,
2024-11-10,14.98,14.98,14.62,14.72,-0.08,-0.54,"79,447",,
2024-11-07,14.80,14.92,14.66,14.80,0.00,0.00,"191,960",,
2024-11-06,15.00,15.28,14.74,14.80,0.02,0.14,"240,282",,
2024-11-05,15.24,15.42,14.56,14.78,-0.44,-2.89,"279,449",,
2024-11-04,15.48,15.66,15.16,15.22,-0.26,-1.68,"61,635",,
2024-11-03,15.84,15.84,15.48,15.48,-0.06,-0.39,"34,071",,
2024-10-31,15.82,15.82,15.54,15.54,-0.14,-0.89,"55,503",,
2024-10-30,15.94,15.96,15.64,15.68,-0.16,-1.01,"62,754",,
2024-10-29,16.14,16.14,15.76,15.84,-0.40,-2.46,"125,679",,
2024-10-28,16.22,16.36,16.06,16.24,0.02,0.12,"98,188",,
2024-10-27,15.90,16.26,15.90,16.22,0.52,3.31,"107,081",,
2024-10-24,16.02,16.02,15.48,15.70,-0.16,-1.01,"72,892",,
2024-10-23,16.04,16.36,15.70,15.86,-0.20,-1.25,"130,537",,
2024-10-22,16.18,16.36,16.06,16.06,-0.10,-0.62,"121,713",,
2024-10-21,16.04,16.18,16.00,16.16,0.12,0.75,"98,714",,
2024-10-20,16.14,16.20,15.90,16.04,-0.10,-0.62,"102,481",,
2024-10-17,16.22,16.42,15.80,16.14,0.00,0.00,"223,172",,
2024-10-16,16.42,16.54,16.12,16.14,-0.22,-1.34,"115,266",,
2024-10-15,16.30,16.38,16.16,16.36,0.20,1.24,"86,906",,
2024-10-14,16.40,16.50,16.08,16.16,-0.12,-0.74,"78,807",,
2024-10-13,15.96,16.36,15.96,16.28,0.40,2.52,"115,580",,
2024-10-10,15.66,15.96,15.42,15.88,0.36,2.32,"90,861",,
2024-10-09,15.58,15.60,15.28,15.52,0.02,0.13,"95,562",,
2024-10-08,15.54,15.66,15.32,15.50,-0.04,-0.26,"74,193",,
2024-10-07,15.38,15.78,15.24,15.54,0.10,0.65,"162,619",,
2024-10-06,15.88,16.18,15.44,15.44,-0.48,-3.02,"148,918",,
2024-10-03,16.10,16.40,15.92,15.92,-0.26,-1.61,"121,388",,
2024-10-02,16.74,16.78,16.02,16.18,-0.72,-4.26,"218,256",,
2024-10-01,16.98,16.98,16.64,16.90,0.26,1.56,"172,276",,
2024-09-30,16.88,17.04,16.64,16.64,-0.36,-2.12,"155,519",,
2024-09-29,17.10,17.28,16.84,17.00,0.00,0.00,"193,279",,
2024-09-26,16.68,17.08,16.68,17.00,0.42,2.53,"217,328",,
2024-09-25,16.76,16.90,16.54,16.58,-0.22,-1.31,"151,641",,
2024-09-24,16.94,16.98,16.72,16.80,-0.14,-0.83,"95,397",,
2024-09-22,17.08,17.10,16.90,16.94,-0.14,-0.82,"70,538",,
2024-09-19,17.38,17.38,16.74,17.08,-0.14,-0.81,"339,414",,
2024-09-18,17.22,17.50,17.00,17.22,0.00,0.00,"166,691",,
2024-09-17,17.92,18.04,17.00,17.22,-0.58,-3.26,"266,482",,
2024-09-16,18.66,18.88,17.80,17.80,-0.86,-4.61,"643,581",,
2024-09-15,17.50,19.00,17.50,18.66,1.28,7.36,"1,426,368",,
2024-09-12,16.90,17.46,16.60,17.38,0.68,4.07,"418,149",,
2024-09-11,17.40,17.52,16.70,16.70,-0.72,-4.13,"265,150",,
2024-09-10,17.16,17.48,17.00,17.42,0.34,1.99,"235,175",,
2024-09-09,16.70,17.08,16.66,17.08,0.38,2.28,"232,332",,
2024-09-08,16.66,16.70,16.28,16.70,-0.04,-0.24,"97,577",,
2024-09-05,16.68,16.80,16.52,16.74,0.14,0.84,"113,172",,
2024-09-04,16.60,16.66,16.30,16.60,-0.14,-0.84,"81,081",,
2024-09-03,16.70,16.82,16.54,16.74,0.04,0.24,"107,090",,
2024-09-02,16.86,16.98,16.64,16.70,-0.16,-0.95,"166,434",,
2024-09-01,16.80,17.10,16.80,16.86,0.08,0.48,"88,971",,
2024-08-29,16.68,16.82,16.62,16.78,0.04,0.24,"109,897",,
2024-08-28,16.84,16.92,16.74,16.74,-0.10,-0.59,"150,718",,
2024-08-27,16.78,17.42,16.74,16.84,0.06,0.36,"298,974",,
2024-08-26,17.00,17.00,16.52,16.78,-0.02,-0.12,"84,656",,
2024-08-25,16.80,17.02,16.80,16.80,0.06,0.36,"92,387",,
2024-08-22,16.60,16.82,16.52,16.74,0.24,1.45,"98,796",,
2024-08-21,17.00,17.00,16.42,16.50,-0.36,-2.14,"192,541",,
2024-08-20,16.50,17.26,16.40,16.86,0.36,2.18,"474,905",,
2024-08-19,16.28,16.58,15.98,16.50,0.22,1.35,"250,148",,
2024-08-18,15.78,16.28,15.60,16.28,0.68,4.36,"156,330",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2024-08-15,15.90,15.90,15.58,15.60,0.02,0.13,"87,810",,
2024-08-14,15.26,15.68,15.26,15.58,0.42,2.77,"216,429",,
2024-08-13,15.20,15.40,15.04,15.16,0.18,1.20,"181,792",,
2024-08-12,14.94,15.00,14.76,14.98,0.02,0.13,"38,593",,
2024-08-11,14.74,15.10,14.74,14.96,0.26,1.77,"112,053",,
2024-08-08,14.80,15.00,14.46,14.70,-0.40,-2.65,"142,566",,
2024-08-07,14.80,15.26,14.68,15.10,0.30,2.03,"134,120",,
2024-08-06,14.92,15.10,14.48,14.80,0.46,3.21,"170,933",,
2024-08-05,14.90,15.14,14.14,14.34,-0.60,-4.02,"241,614",,
2024-08-04,15.40,15.40,14.90,14.94,-0.66,-4.23,"193,541",,
2024-08-01,16.66,16.74,15.30,15.60,-1.20,-7.14,"588,491",,
2024-07-31,17.30,17.30,16.68,16.80,-0.44,-2.55,"123,331",,
2024-07-30,16.58,17.24,16.56,17.24,0.64,3.86,"203,766",,
2024-07-29,16.98,16.98,16.60,16.60,-0.30,-1.78,"111,027",,
2024-07-28,17.00,17.10,16.88,16.90,-0.02,-0.12,"55,656",,
2024-07-25,17.02,17.14,16.92,16.92,-0.30,-1.74,"62,365",,
2024-07-24,17.46,17.46,17.02,17.22,-0.08,-0.46,"131,160",,
2024-07-23,17.14,17.66,16.98,17.30,0.18,1.05,"262,771",,
2024-07-22,17.48,17.48,17.10,17.12,-0.24,-1.38,"95,817",,
2024-07-21,17.26,17.58,17.06,17.36,-0.12,-0.69,"198,952",,
2024-07-18,17.22,18.32,17.06,17.48,0.48,2.82,"579,024",,
2024-07-17,16.70,17.24,16.40,17.00,0.30,1.80,"318,447",,
2024-07-16,16.06,16.84,15.94,16.70,0.70,4.38,"494,944",,
2024-07-15,15.74,16.10,15.58,16.00,0.32,2.04,"282,340",,
2024-07-14,15.66,15.88,15.60,15.68,0.06,0.38,"56,511",,
2024-07-11,15.78,15.84,15.60,15.62,-0.08,-0.51,"87,104",,
2024-07-10,15.88,16.00,15.62,15.70,0.00,0.00,"81,235",,
2024-07-09,15.70,15.80,15.56,15.70,0.00,0.00,"71,107",,
2024-07-08,16.10,16.16,15.70,15.70,-0.40,-2.48,"154,545",,
2024-07-07,16.50,16.56,16.06,16.10,0.02,0.12,"176,363",,
2024-07-04,15.28,16.26,15.12,16.08,0.90,5.93,"507,987",,
2024-07-03,15.28,15.48,15.14,15.18,0.00,0.00,"241,532",,
2024-07-02,15.16,15.30,15.00,15.18,0.06,0.40,"169,375",,
2024-07-01,15.24,15.38,15.12,15.12,-0.12,-0.79,"87,211",,
2024-06-30,15.40,15.48,15.22,15.24,-0.16,-1.04,"103,462",,
2024-06-27,15.68,15.68,15.28,15.40,-0.06,-0.39,"74,622",,
2024-06-26,15.60,15.66,15.44,15.46,-0.10,-0.64,"157,413",,
2024-06-25,15.20,15.60,15.20,15.56,0.36,2.37,"165,591",,
2024-06-24,15.28,15.44,15.00,15.20,0.12,0.80,"133,464",,
2024-06-23,15.76,15.76,15.08,15.08,-0.56,-3.58,"72,407",,
2024-06-13,15.60,15.64,15.22,15.64,0.14,0.90,"98,576",,
2024-06-12,15.90,15.90,15.40,15.50,-0.40,-2.52,"167,766",,
2024-06-11,15.86,16.32,15.82,15.90,0.08,0.51,"164,316",,
2024-06-10,15.52,15.94,15.52,15.82,0.22,1.41,"53,844",,
2024-06-09,15.12,15.66,15.12,15.60,0.38,2.50,"70,445",,
2024-06-06,15.30,15.58,15.22,15.22,-0.24,-1.55,"92,140",,
2024-06-05,15.80,15.84,15.42,15.46,-0.52,-3.25,"141,233",,
2024-06-04,16.38,16.38,15.80,15.98,-0.38,-2.32,"144,887",,
2024-06-03,16.00,16.46,15.82,16.36,0.52,3.28,"260,516",,
2024-06-02,15.80,16.00,15.62,15.84,0.04,0.25,"65,904",,
2024-05-30,16.00,16.20,15.66,15.80,-0.28,-1.74,"112,047",,
2024-05-29,15.86,16.16,15.78,16.08,0.22,1.39,"120,871",,
2024-05-28,16.10,16.18,15.74,15.86,-0.24,-1.49,"87,651",,
2024-05-27,16.26,16.30,15.74,16.10,0.02,0.12,"255,073",,
2024-05-26,16.04,16.24,15.90,16.08,0.06,0.37,"50,909",,
2024-05-23,16.08,16.66,16.02,16.02,-0.04,-0.25,"233,470",,
2024-05-22,16.60,16.60,15.90,16.06,-0.38,-2.31,"330,723",,
2024-05-21,16.90,17.16,16.30,16.44,-0.20,-1.20,"436,240",,
2024-05-20,16.70,17.06,16.62,16.64,-0.14,-0.83,"98,907",,
2024-05-19,16.74,17.10,16.44,16.78,0.16,0.96,"178,220",,
2024-05-16,17.38,17.54,16.52,16.62,-0.50,-2.92,"312,200",,
2024-05-15,17.80,17.92,17.12,17.12,-0.68,-3.82,"169,934",,
2024-05-14,17.70,17.98,17.00,17.80,-0.06,-0.34,"475,997",,
2024-05-13,18.04,18.96,17.86,17.86,-1.98,-9.98,"538,947",,
2024-05-12,20.62,20.82,19.06,19.84,-1.06,-5.07,"229,913",,
2024-05-09,22.26,22.26,20.68,20.90,-1.28,-5.77,"508,109",,
2024-05-08,21.28,22.30,21.22,22.18,0.90,4.23,"598,133",,
2024-05-07,21.42,21.64,21.02,21.28,-0.12,-0.56,"256,998",,
2024-05-06,20.46,21.48,20.46,21.40,0.98,4.80,"436,229",,
2024-05-05,21.18,21.18,20.34,20.42,-0.48,-2.30,"117,991",,
2024-05-02,20.48,21.20,20.30,20.90,0.60,2.96,"332,651",,
2024-05-01,19.88,20.38,19.50,20.30,0.52,2.63,"200,617",,
2024-04-30,19.58,19.96,19.46,19.78,0.48,2.49,"138,717",,
2024-04-29,19.54,19.90,19.30,19.30,-0.24,-1.23,"189,567",,
2024-04-28,20.18,20.54,19.50,19.54,-0.86,-4.22,"182,357",,
2024-04-25,20.76,20.76,20.00,20.40,-0.18,-0.87,"142,845",,
2024-04-24,20.70,21.00,19.80,20.58,0.12,0.59,"545,468",,
2024-04-23,21.10,21.44,20.34,20.46,-0.46,-2.20,"831,134",,
2024-04-22,20.00,21.08,19.88,20.92,1.04,5.23,"1,565,815",,
2024-04-21,19.40,19.92,19.32,19.88,0.60,3.11,"727,399",,
2024-04-18,19.14,19.36,18.74,19.28,0.16,0.84,"337,006",,
2024-04-17,19.30,19.62,18.82,19.12,-0.18,-0.93,"399,141",,
2024-04-16,19.60,19.68,19.10,19.30,-0.18,-0.92,"428,422",,
2024-04-15,19.08,19.62,19.06,19.48,0.40,2.10,"630,957",,
2024-04-14,18.70,19.20,18.52,19.08,0.10,0.53,"159,174",,
2024-04-04,19.28,19.28,18.88,18.98,-0.22,-1.15,"96,812",,
2024-04-03,18.50,19.28,18.42,19.20,0.80,4.35,"258,736",,
2024-04-02,19.44,19.44,18.38,18.40,-0.92,-4.76,"328,596",,
2024-04-01,19.12,19.42,18.92,19.32,0.02,0.10,"214,556",,
2024-03-31,19.44,19.60,19.08,19.30,0.02,0.10,"336,578",,
2024-03-28,19.52,19.70,18.82,19.28,0.00,0.00,"706,357",,
2024-03-27,18.74,19.40,18.70,19.28,0.58,3.10,"190,216",,
2024-03-26,19.70,19.70,18.68,18.70,-0.80,-4.10,"387,233",,
2024-03-25,19.04,19.70,19.02,19.50,0.24,1.25,"339,442",,
2024-03-24,19.00,19.72,19.00,19.26,0.28,1.48,"398,814",,
2024-03-21,19.10,19.54,18.50,18.98,-0.52,-2.67,"618,771",,
