0,1,2,3,4,5,6,7,8,9
2025-05-29,9.35,9.47,9.35,9.41,0.10,1.07,"139,851",,
2025-05-28,9.34,9.46,9.31,9.31,-0.02,-0.21,"110,987",,
2025-05-27,9.40,9.48,9.28,9.33,-0.22,-2.30,"147,820",,
2025-05-26,9.55,9.62,9.35,9.55,-0.03,-0.31,"121,435",,
2025-05-25,9.70,9.75,9.55,9.58,-0.05,-0.52,"131,254",,
2025-05-22,9.52,9.97,9.52,9.63,-0.07,-0.72,"427,616",,
2025-05-21,9.90,9.98,9.69,9.70,-0.21,-2.12,"177,218",,
2025-05-20,9.91,10.00,9.70,9.91,0.01,0.10,"273,412",,
2025-05-19,10.10,10.18,9.87,9.90,-0.26,-2.56,"197,383",,
2025-05-18,9.91,10.22,9.91,10.16,-0.02,-0.20,"368,917",,
2025-05-15,10.24,10.24,10.10,10.18,-0.06,-0.59,"122,055",,
2025-05-14,10.48,10.48,10.18,10.24,0.14,1.39,"418,143",,
2025-05-13,10.26,10.34,10.06,10.10,-0.14,-1.37,"111,771",,
2025-05-12,10.04,10.32,10.04,10.24,0.22,2.20,"253,168",,
2025-05-11,10.16,10.16,9.99,10.02,0.05,0.50,"91,439",,
2025-05-08,10.10,10.18,9.96,9.97,-0.13,-1.29,"226,900",,
2025-05-07,10.28,10.32,10.06,10.10,-0.18,-1.75,"137,709",,
2025-05-06,10.42,10.48,10.22,10.28,-0.16,-1.53,"155,303",,
2025-05-05,10.50,10.50,10.12,10.44,0.12,1.16,"243,616",,
2025-05-04,10.56,10.68,10.26,10.32,-0.26,-2.46,"94,835",,
2025-05-01,10.60,10.76,10.46,10.58,0.06,0.57,"215,749",,
2025-04-30,10.60,10.66,10.36,10.52,-0.08,-0.75,"224,899",,
2025-04-29,10.80,11.00,10.46,10.60,-0.12,-1.12,"380,268",,
2025-04-28,10.88,11.26,10.68,10.72,0.00,0.00,"1,307,592",,
2025-04-27,10.54,10.84,10.48,10.72,0.22,2.10,"770,275",,
2025-04-24,10.36,10.62,10.26,10.50,0.18,1.74,"463,941",,
2025-04-23,10.24,10.42,10.14,10.32,0.14,1.38,"272,093",,
2025-04-22,10.14,10.22,10.02,10.18,0.06,0.59,"317,444",,
2025-04-21,10.20,10.62,10.12,10.12,0.00,0.00,"847,603",,
2025-04-20,10.16,10.30,10.10,10.12,0.00,0.00,"272,606",,
2025-04-17,10.50,10.62,9.97,10.12,-0.26,-2.50,"605,769",,
2025-04-16,10.42,10.98,10.38,10.38,-0.04,-0.38,"890,189",,
2025-04-15,10.52,10.84,10.42,10.42,-0.04,-0.38,"200,321",,
2025-04-14,10.30,10.78,10.16,10.46,0.28,2.75,"343,429",,
2025-04-13,9.96,10.28,9.96,10.18,0.24,2.41,"200,290",,
2025-04-10,10.06,10.06,9.78,9.94,0.46,4.85,"219,958",,
2025-04-09,9.72,9.91,9.48,9.48,-0.32,-3.27,"159,736",,
2025-04-08,9.99,10.12,9.75,9.80,0.40,4.26,"322,247",,
2025-04-07,8.78,9.49,8.65,9.40,-0.04,-0.42,"448,070",,
2025-04-06,9.72,10.00,9.44,9.44,-1.04,-9.92,"285,069",,
2025-04-03,10.56,10.62,10.38,10.48,-0.20,-1.87,"91,134",,
2025-03-27,10.46,10.72,10.46,10.68,0.22,2.10,"115,846",,
2025-03-26,10.26,10.54,10.24,10.46,0.24,2.35,"96,481",,
2025-03-25,10.54,10.54,10.20,10.22,-0.16,-1.54,"112,653",,
2025-03-24,10.32,10.44,10.26,10.38,0.06,0.58,"55,346",,
2025-03-23,10.50,10.52,10.32,10.32,-0.20,-1.90,"83,290",,
2025-03-20,10.54,10.62,10.42,10.52,-0.02,-0.19,"126,504",,
2025-03-19,10.56,10.58,10.28,10.54,0.10,0.96,"158,103",,
2025-03-18,11.02,11.04,10.38,10.44,-0.62,-5.61,"513,075",,
2025-03-17,11.10,11.26,10.94,11.06,0.02,0.18,"230,524",,
2025-03-16,10.98,11.12,10.94,11.04,0.10,0.91,"125,739",,
2025-03-13,11.08,11.22,10.90,10.94,-0.14,-1.26,"219,395",,
2025-03-12,11.00,11.20,10.88,11.08,0.10,0.91,"243,558",,
2025-03-11,11.32,11.32,10.60,10.98,-0.42,-3.68,"1,162,513",,
2025-03-10,11.72,11.94,11.40,11.40,-0.44,-3.72,"96,594",,
2025-03-09,12.00,12.10,11.82,11.84,-0.06,-0.50,"36,034",,
2025-03-06,12.10,12.10,11.70,11.90,-0.20,-1.65,"165,977",,
2025-03-05,12.00,12.10,11.84,12.10,0.10,0.83,"191,051",,
2025-03-04,12.28,12.28,11.86,12.00,-0.28,-2.28,"222,120",,
2025-03-03,12.16,12.34,12.02,12.28,0.14,1.15,"104,127",,
2025-03-02,12.66,12.72,12.00,12.14,-0.48,-3.80,"120,586",,
2025-02-27,12.74,12.80,12.60,12.62,-0.10,-0.79,"120,239",,
2025-02-26,12.86,12.86,12.50,12.72,0.12,0.95,"171,636",,
2025-02-25,12.66,12.82,12.48,12.60,-0.06,-0.47,"153,848",,
2025-02-24,12.72,12.78,12.56,12.66,-0.02,-0.16,"172,008",,
2025-02-20,12.82,12.82,12.62,12.68,-0.14,-1.09,"187,818",,
2025-02-19,12.88,12.92,12.70,12.82,-0.06,-0.47,"216,397",,
2025-02-18,12.88,12.94,12.80,12.88,0.02,0.16,"168,456",,
2025-02-17,13.04,13.06,12.86,12.86,-0.20,-1.53,"345,053",,
2025-02-16,13.12,13.22,13.02,13.06,0.02,0.15,"264,426",,
2025-02-13,12.94,13.04,12.90,13.04,0.12,0.93,"306,441",,
2025-02-12,13.08,13.08,12.82,12.92,-0.08,-0.62,"396,747",,
2025-02-11,13.00,13.10,12.94,13.00,-0.04,-0.31,"387,266",,
2025-02-10,13.26,13.30,13.00,13.04,-0.20,-1.51,"377,531",,
2025-02-09,13.24,13.34,13.20,13.24,0.02,0.15,"283,456",,
2025-02-06,13.40,13.48,13.20,13.22,-0.18,-1.34,"353,919",,
2025-02-05,13.30,13.56,13.26,13.40,0.10,0.75,"729,643",,
2025-02-04,13.30,13.34,13.14,13.30,0.02,0.15,"576,367",,
2025-02-03,13.38,13.66,13.20,13.28,-0.08,-0.60,"1,216,192",,
2025-02-02,13.08,13.60,13.04,13.36,0.38,2.93,"1,198,719",,
2025-01-30,12.84,13.20,12.84,12.98,0.08,0.62,"696,867",,
2025-01-29,12.94,12.98,12.82,12.90,-0.04,-0.31,"220,757",,
2025-01-28,12.86,13.06,12.86,12.94,0.02,0.15,"233,066",,
2025-01-27,13.12,13.14,12.80,12.92,-0.18,-1.37,"363,203",,
2025-01-26,12.96,13.18,12.92,13.10,0.20,1.55,"377,928",,
2025-01-23,13.02,13.08,12.76,12.90,-0.06,-0.46,"293,108",,
2025-01-22,13.20,13.22,12.96,12.96,-0.24,-1.82,"615,580",,
2025-01-21,12.84,13.28,12.76,13.20,0.52,4.10,"1,729,501",,
2025-01-20,12.60,12.84,12.60,12.68,0.10,0.79,"429,156",,
2025-01-19,12.60,12.70,12.54,12.58,-0.02,-0.16,"173,460",,
2025-01-16,12.78,12.78,12.60,12.60,-0.10,-0.79,"177,118",,
2025-01-15,12.72,12.76,12.60,12.70,0.00,0.00,"208,924",,
2025-01-14,12.76,12.90,12.68,12.70,0.02,0.16,"382,750",,
2025-01-13,12.60,12.80,12.60,12.68,0.08,0.63,"228,228",,
2025-01-12,12.88,12.90,12.54,12.60,0.10,0.80,"235,051",,
2025-01-09,12.72,12.80,12.50,12.50,-0.22,-1.73,"315,168",,
2025-01-08,12.84,12.94,12.70,12.72,-0.12,-0.93,"327,659",,
2025-01-07,13.00,13.00,12.68,12.84,-0.08,-0.62,"556,971",,
2025-01-06,13.00,13.22,12.92,12.92,-0.08,-0.62,"453,941",,
2025-01-05,12.84,13.10,12.78,13.00,0.10,0.78,"342,419",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,12.84,13.10,12.78,13.00,0.10,0.78,"342,419",,
2025-01-02,12.90,13.00,12.80,12.90,0.02,0.16,"281,604",,
2025-01-01,12.88,12.92,12.70,12.88,0.22,1.74,"248,112",,
2024-12-31,12.80,12.92,12.62,12.66,-0.06,-0.47,"421,072",,
2024-12-30,12.54,13.08,12.54,12.72,0.16,1.27,"727,017",,
2024-12-29,12.10,12.70,12.10,12.56,0.40,3.29,"705,446",,
2024-12-26,12.18,12.36,12.08,12.16,0.06,0.50,"184,091",,
2024-12-25,12.10,12.20,12.10,12.10,0.02,0.17,"102,831",,
2024-12-24,12.22,12.22,12.02,12.08,-0.10,-0.82,"133,147",,
2024-12-23,12.20,12.20,12.02,12.18,0.12,1.00,"197,238",,
2024-12-22,12.04,12.28,12.02,12.06,0.10,0.84,"203,525",,
2024-12-19,12.00,12.16,11.96,11.96,-0.24,-1.97,"218,055",,
2024-12-18,12.20,12.28,12.00,12.20,0.02,0.16,"216,526",,
2024-12-17,12.42,12.44,12.16,12.18,-0.16,-1.30,"166,248",,
2024-12-16,12.54,12.64,12.32,12.34,-0.20,-1.59,"160,396",,
2024-12-15,12.56,12.72,12.44,12.54,-0.06,-0.48,"339,741",,
2024-12-12,12.60,12.74,12.50,12.60,0.02,0.16,"289,271",,
2024-12-11,12.78,12.80,12.58,12.58,-0.18,-1.41,"412,065",,
2024-12-10,12.98,13.00,12.74,12.76,-0.22,-1.69,"380,557",,
2024-12-09,12.86,13.02,12.66,12.98,0.08,0.62,"489,048",,
2024-12-08,12.80,13.04,12.78,12.90,0.12,0.94,"344,001",,
2024-12-05,13.00,13.02,12.70,12.78,-0.14,-1.08,"433,275",,
2024-12-04,13.36,13.36,12.84,12.92,-0.22,-1.67,"588,910",,
2024-12-03,13.20,13.36,13.12,13.14,-0.10,-0.76,"404,459",,
2024-12-02,13.30,13.30,13.06,13.24,-0.04,-0.30,"457,192",,
2024-12-01,13.50,13.50,12.80,13.28,0.20,1.53,"1,016,884",,
2024-11-28,13.66,13.76,13.08,13.08,-0.58,-4.25,"835,790",,
2024-11-27,13.48,13.84,13.44,13.66,0.10,0.74,"164,240",,
2024-11-26,13.92,13.92,13.54,13.56,-0.28,-2.02,"295,178",,
2024-11-25,14.12,14.16,13.74,13.84,-0.28,-1.98,"369,242",,
2024-11-24,13.72,14.36,13.70,14.12,0.46,3.37,"909,630",,
2024-11-21,13.54,13.96,13.52,13.66,0.18,1.34,"607,636",,
2024-11-20,13.62,13.68,13.46,13.48,-0.10,-0.74,"234,696",,
2024-11-19,13.48,13.82,13.48,13.58,0.08,0.59,"270,330",,
2024-11-18,13.96,14.04,13.38,13.50,-0.44,-3.16,"533,217",,
2024-11-17,13.82,14.40,13.78,13.94,0.14,1.01,"860,868",,
2024-11-14,13.96,13.98,13.56,13.80,-0.04,-0.29,"278,267",,
2024-11-13,13.96,13.98,13.72,13.84,-0.12,-0.86,"162,119",,
2024-11-12,13.96,14.00,13.74,13.96,0.16,1.16,"344,724",,
2024-11-11,14.00,14.00,13.62,13.80,-0.12,-0.86,"350,759",,
2024-11-10,14.20,14.36,13.92,13.92,-0.28,-1.97,"197,009",,
2024-11-07,13.98,14.24,13.90,14.20,0.30,2.16,"366,577",,
2024-11-06,14.10,14.20,13.78,13.90,-0.10,-0.71,"435,408",,
2024-11-05,14.58,14.58,13.94,14.00,-0.74,-5.02,"721,519",,
2024-11-04,14.82,14.82,14.44,14.74,-0.08,-0.54,"244,482",,
2024-11-03,14.62,14.82,14.50,14.82,0.16,1.09,"278,126",,
2024-10-31,14.76,14.90,14.60,14.66,-0.22,-1.48,"285,119",,
2024-10-30,14.78,14.92,14.78,14.88,0.12,0.81,"308,824",,
2024-10-29,15.02,15.04,14.74,14.76,-0.28,-1.86,"290,180",,
2024-10-28,14.98,15.36,14.96,15.04,0.06,0.40,"613,989",,
2024-10-27,14.70,15.18,14.70,14.98,0.32,2.18,"577,456",,
2024-10-24,14.68,14.74,14.40,14.66,-0.02,-0.14,"264,890",,
2024-10-23,14.92,14.94,14.48,14.68,-0.18,-1.21,"411,145",,
2024-10-22,14.84,15.14,14.82,14.86,0.00,0.00,"437,632",,
2024-10-21,14.72,14.96,14.70,14.86,0.14,0.95,"394,825",,
2024-10-20,15.00,15.08,14.72,14.72,-0.26,-1.74,"277,886",,
2024-10-17,15.46,15.54,14.90,14.98,-0.46,-2.98,"649,040",,
2024-10-16,15.46,15.70,15.32,15.44,0.04,0.26,"518,249",,
2024-10-15,15.20,15.40,15.18,15.40,0.28,1.85,"379,290",,
2024-10-14,15.18,15.38,15.00,15.12,-0.04,-0.26,"403,466",,
2024-10-13,15.18,15.40,14.96,15.16,0.22,1.47,"269,429",,
2024-10-10,14.44,15.14,14.44,14.94,0.52,3.61,"736,919",,
2024-10-09,14.64,14.98,14.40,14.42,-0.20,-1.37,"652,984",,
2024-10-08,15.02,15.02,14.62,14.62,-0.20,-1.35,"340,757",,
2024-10-07,14.50,15.08,14.44,14.82,0.20,1.37,"575,109",,
2024-10-06,15.18,15.24,14.56,14.62,-0.46,-3.05,"520,626",,
2024-10-03,15.22,15.48,15.06,15.08,-0.14,-0.92,"589,716",,
2024-10-02,16.02,16.02,15.20,15.22,-0.82,-5.11,"1,202,163",,
2024-10-01,16.16,16.28,16.00,16.04,-0.12,-0.74,"568,708",,
2024-09-30,16.18,16.50,15.96,16.16,0.08,0.50,"1,764,360",,
2024-09-29,16.36,16.46,16.04,16.08,-0.26,-1.59,"866,488",,
2024-09-26,16.26,16.70,16.14,16.34,0.08,0.49,"1,528,330",,
2024-09-25,16.14,16.28,16.04,16.26,0.24,1.50,"767,771",,
2024-09-24,16.34,16.40,16.02,16.02,-0.30,-1.84,"676,400",,
2024-09-22,16.34,16.48,16.08,16.32,0.06,0.37,"949,738",,
2024-09-19,16.88,17.02,15.78,16.26,-0.58,-3.44,"2,856,398",,
2024-09-18,17.28,17.40,16.74,16.84,-0.44,-2.55,"859,993",,
2024-09-17,17.52,18.22,17.16,17.28,-0.24,-1.37,"1,152,227",,
2024-09-16,18.00,18.14,17.14,17.52,-0.48,-2.67,"1,370,264",,
2024-09-15,17.76,18.46,17.68,18.00,0.26,1.47,"1,480,368",,
2024-09-12,18.10,18.60,17.62,17.74,-0.26,-1.44,"1,739,655",,
2024-09-11,17.50,19.40,17.18,18.00,0.08,0.45,"6,007,204",,
2024-09-10,16.40,17.92,16.14,17.92,1.62,9.94,"3,891,598",,
2024-09-09,15.70,16.44,15.70,16.30,0.58,3.69,"1,311,562",,
2024-09-08,15.62,15.98,15.50,15.72,-0.04,-0.25,"424,475",,
2024-09-05,15.86,16.60,15.68,15.76,0.08,0.51,"1,659,321",,
2024-09-04,15.66,15.88,15.42,15.68,-0.20,-1.26,"389,156",,
2024-09-03,15.66,16.10,15.66,15.88,0.20,1.28,"613,230",,
2024-09-02,15.68,15.94,15.52,15.68,0.02,0.13,"405,226",,
2024-09-01,15.90,15.90,15.62,15.66,-0.04,-0.25,"205,386",,
2024-08-29,15.88,16.02,15.60,15.70,-0.14,-0.88,"405,907",,
2024-08-28,15.78,16.04,15.70,15.84,0.04,0.25,"250,360",,
2024-08-27,15.72,16.22,15.70,15.80,0.02,0.13,"549,334",,
2024-08-26,16.02,16.08,15.66,15.78,-0.24,-1.50,"261,623",,
2024-08-25,15.78,16.08,15.70,16.02,0.24,1.52,"327,050",,
2024-08-22,15.78,16.00,15.68,15.78,-0.04,-0.25,"348,864",,
2024-08-21,16.00,16.02,15.54,15.82,-0.20,-1.25,"564,348",,
2024-08-20,15.34,16.44,15.30,16.02,0.68,4.43,"1,420,089",,
2024-08-19,15.32,15.44,15.04,15.34,0.02,0.13,"389,039",,
2024-08-18,14.66,15.38,14.66,15.32,0.66,4.50,"429,588",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2024-08-15,14.70,14.70,14.40,14.66,0.28,1.95,"257,095",,
2024-08-14,13.78,14.58,13.78,14.38,0.62,4.51,"663,119",,
2024-08-13,13.66,13.94,13.60,13.76,0.10,0.73,"336,708",,
2024-08-12,13.80,13.90,13.54,13.66,-0.12,-0.87,"194,536",,
2024-08-11,13.54,13.80,13.44,13.78,0.36,2.68,"379,317",,
2024-08-08,13.90,14.00,13.36,13.42,-0.50,-3.59,"326,735",,
2024-08-07,14.38,14.38,13.80,13.92,0.02,0.14,"263,429",,
2024-08-06,13.66,14.12,13.66,13.90,0.50,3.73,"375,422",,
2024-08-05,14.22,14.22,13.12,13.40,-0.90,-6.29,"434,193",,
2024-08-04,14.04,14.96,14.04,14.30,-0.94,-6.17,"444,398",,
2024-08-01,15.88,15.96,15.16,15.24,-0.60,-3.79,"520,670",,
2024-07-31,16.40,16.40,15.84,15.84,-0.46,-2.82,"327,158",,
2024-07-30,16.10,16.44,15.96,16.30,0.22,1.37,"592,129",,
2024-07-29,16.20,16.22,15.96,16.08,-0.12,-0.74,"264,457",,
2024-07-28,16.36,16.36,16.08,16.20,-0.02,-0.12,"256,976",,
2024-07-25,16.58,16.72,16.20,16.22,-0.32,-1.93,"446,934",,
2024-07-24,16.36,16.72,16.30,16.54,0.18,1.10,"450,554",,
2024-07-23,16.60,16.72,16.32,16.36,-0.24,-1.45,"406,890",,
2024-07-22,16.48,16.68,16.36,16.60,0.14,0.85,"440,519",,
2024-07-21,16.60,16.68,16.40,16.46,-0.22,-1.32,"482,558",,
2024-07-18,16.76,17.04,16.64,16.68,-0.04,-0.24,"491,452",,
2024-07-17,16.76,16.88,16.60,16.72,-0.08,-0.48,"474,195",,
2024-07-16,16.68,17.04,16.62,16.80,0.14,0.84,"562,887",,
2024-07-15,16.84,17.04,16.50,16.66,-0.18,-1.07,"783,885",,
2024-07-14,16.48,17.16,16.40,16.84,0.64,3.95,"1,593,525",,
2024-07-11,16.06,16.36,15.80,16.20,0.10,0.62,"942,480",,
2024-07-10,15.52,16.64,15.52,16.10,0.76,4.95,"2,830,266",,
2024-07-09,15.26,15.48,15.20,15.34,0.02,0.13,"289,453",,
2024-07-08,15.24,15.50,15.18,15.32,-0.18,-1.16,"251,741",,
2024-07-07,15.52,15.90,15.40,15.50,-0.08,-0.51,"424,228",,
2024-07-04,15.50,15.74,15.22,15.58,0.18,1.17,"311,181",,
2024-07-03,15.74,15.96,15.40,15.40,-0.40,-2.53,"360,562",,
2024-07-02,15.80,15.94,15.52,15.80,-0.02,-0.13,"385,978",,
2024-07-01,15.96,15.98,15.50,15.82,0.00,0.00,"333,524",,
2024-06-30,15.44,15.88,15.40,15.82,0.38,2.46,"304,683",,
2024-06-27,15.64,15.80,15.38,15.44,-0.12,-0.77,"257,837",,
2024-06-26,15.22,16.00,15.22,15.56,0.40,2.64,"721,549",,
2024-06-25,14.70,15.46,14.70,15.16,0.48,3.27,"420,350",,
2024-06-24,14.78,14.80,14.50,14.68,0.10,0.69,"198,292",,
2024-06-23,14.80,15.20,14.46,14.58,-0.18,-1.22,"357,789",,
2024-06-13,14.64,14.96,14.50,14.76,0.14,0.96,"288,797",,
2024-06-12,14.90,15.00,14.56,14.62,-0.28,-1.88,"200,909",,
2024-06-11,14.52,15.24,14.52,14.90,0.36,2.48,"376,676",,
2024-06-10,14.24,14.68,14.24,14.54,0.28,1.96,"365,124",,
2024-06-09,14.12,14.48,14.00,14.26,0.24,1.71,"278,963",,
