0,1,2,3,4,5,6,7,8,9
2025-05-29,48.80,50.50,46.90,50.50,4.30,9.31,"1,674,927",,
2025-05-28,44.95,46.90,44.95,46.20,1.25,2.78,"560,790",,
2025-05-27,46.00,46.30,44.80,44.95,-0.95,-2.07,"575,198",,
2025-05-26,47.50,48.95,45.50,45.90,-1.55,-3.27,"740,572",,
2025-05-25,49.00,49.00,47.35,47.45,-1.55,-3.16,"396,101",,
2025-05-22,47.50,50.20,47.30,49.00,1.75,3.70,"887,035",,
2025-05-21,48.75,49.60,47.25,47.25,-1.65,-3.37,"447,056",,
2025-05-20,49.25,49.85,48.45,48.90,-0.65,-1.31,"423,869",,
2025-05-19,50.00,50.20,49.20,49.55,-0.30,-0.60,"338,226",,
2025-05-18,50.00,50.80,49.55,49.85,-0.05,-0.10,"891,732",,
2025-05-15,49.90,50.20,49.05,49.90,0.00,0.00,"364,604",,
2025-05-14,49.55,50.20,49.40,49.90,0.45,0.91,"754,060",,
2025-05-13,51.90,51.90,49.20,49.45,-1.95,-3.79,"1,019,261",,
2025-05-12,50.70,52.20,50.70,51.40,0.40,0.78,"425,976",,
2025-05-11,51.00,51.90,50.50,51.00,0.30,0.59,"324,822",,
2025-05-08,51.20,53.70,50.70,50.70,0.00,0.00,"1,464,113",,
2025-05-07,52.60,53.00,50.50,50.70,-1.80,-3.43,"473,602",,
2025-05-06,53.00,54.60,52.10,52.50,-0.60,-1.13,"1,660,844",,
2025-05-05,49.10,53.20,48.65,53.10,4.70,9.71,"2,022,654",,
2025-05-04,48.55,49.05,48.00,48.40,-0.10,-0.21,"246,189",,
2025-05-01,49.25,50.60,48.05,48.50,-0.75,-1.52,"625,930",,
2025-04-30,51.20,51.40,48.80,49.25,-1.95,-3.81,"959,307",,
2025-04-29,51.00,52.50,50.50,51.20,0.20,0.39,"849,577",,
2025-04-28,47.90,51.80,47.40,51.00,2.95,6.14,"2,376,765",,
2025-04-27,44.00,48.10,43.60,48.05,4.30,9.83,"1,936,078",,
2025-04-24,41.95,44.55,41.45,43.75,2.20,5.29,"1,462,264",,
2025-04-23,41.50,42.55,41.10,41.55,0.85,2.09,"509,707",,
2025-04-22,41.00,41.85,40.55,40.70,-1.00,-2.40,"551,688",,
2025-04-21,42.40,42.45,41.30,41.70,-0.65,-1.53,"321,770",,
2025-04-20,41.80,42.65,41.80,42.35,0.55,1.32,"190,618",,
2025-04-17,42.05,42.30,41.75,41.80,-0.80,-1.88,"404,772",,
2025-04-16,43.00,43.20,42.00,42.60,-0.60,-1.39,"369,494",,
2025-04-15,43.70,44.50,42.80,43.20,-0.80,-1.82,"558,179",,
2025-04-14,44.00,44.35,43.55,44.00,0.15,0.34,"485,918",,
2025-04-13,43.65,44.55,43.65,43.85,0.35,0.80,"447,601",,
2025-04-10,45.10,45.10,43.35,43.50,2.40,5.84,"1,143,685",,
2025-04-09,41.40,43.50,40.80,41.10,-0.85,-2.03,"1,107,923",,
2025-04-08,41.00,42.35,40.80,41.95,1.95,4.88,"1,090,861",,
2025-04-07,37.50,40.85,37.30,40.00,-1.40,-3.38,"2,067,433",,
2025-04-06,41.40,42.20,41.40,41.40,-4.60,-10.00,"1,210,848",,
2025-04-03,48.00,48.00,45.60,46.00,-2.20,-4.56,"613,592",,
2025-03-27,48.00,48.60,47.50,48.20,0.20,0.42,"515,161",,
2025-03-26,47.70,48.55,47.70,48.00,0.35,0.73,"367,584",,
2025-03-25,48.50,49.00,47.65,47.65,-0.85,-1.75,"578,383",,
2025-03-24,47.55,49.10,47.55,48.50,-0.45,-0.92,"379,122",,
2025-03-23,48.10,49.20,47.75,48.95,0.60,1.24,"402,282",,
2025-03-20,47.75,49.65,47.50,48.35,1.00,2.11,"2,482,269",,
2025-03-19,48.40,48.40,46.85,47.35,-0.75,-1.56,"809,644",,
2025-03-18,48.05,50.00,47.50,48.10,0.05,0.10,"1,160,473",,
2025-03-17,46.75,49.10,46.30,48.05,1.30,2.78,"1,384,845",,
2025-03-16,48.10,48.50,45.15,46.75,-0.25,-0.53,"1,578,363",,
2025-03-13,46.20,47.80,45.75,47.00,1.00,2.17,"1,690,897",,
2025-03-12,45.10,46.50,44.80,46.00,0.50,1.10,"681,928",,
2025-03-11,45.50,45.75,44.20,45.50,-0.70,-1.52,"925,480",,
2025-03-10,45.10,47.20,44.15,46.20,1.10,2.44,"1,093,198",,
2025-03-09,45.70,46.30,45.00,45.10,-0.25,-0.55,"628,258",,
