0,1,2,3,4,5,6,7,8,9
2021-03-01,-,-,-,14.20,0.00,0.00,-,,
2021-02-28,-,-,-,14.20,0.00,0.00,-,,
2021-02-25,14.16,14.52,14.16,14.20,-0.10,-0.70,"636,038",,
2021-02-25,-,-,-,-,0.00,0.00,-,,
2021-02-24,14.76,14.76,14.24,14.30,-0.46,-3.12,"517,609",,
2021-02-23,14.90,14.92,14.70,14.76,-0.12,-0.81,"518,857",,
2021-02-22,15.10,15.10,14.84,14.88,-0.12,-0.80,"509,094",,
2021-02-21,15.16,15.18,14.96,15.00,-0.10,-0.66,"538,720",,
2021-02-18,15.04,15.18,15.04,15.10,0.10,0.67,"550,396",,
2021-02-17,15.10,15.20,14.92,15.00,0.04,0.27,"802,441",,
2021-02-16,14.92,15.16,14.54,14.96,0.08,0.54,"1,050,327",,
2021-02-15,14.76,14.92,14.70,14.88,0.16,1.09,"740,234",,
2021-02-14,14.50,14.76,14.48,14.72,0.32,2.22,"922,668",,
2021-02-11,14.24,14.48,14.24,14.40,-0.04,-0.28,"674,217",,
2021-02-10,14.80,14.80,14.40,14.44,-0.36,-2.43,"553,123",,
2021-02-09,14.90,15.06,14.70,14.80,-0.04,-0.27,"427,355",,
2021-02-08,14.78,14.86,14.54,14.84,0.34,2.34,"584,444",,
2021-02-07,14.30,14.54,14.08,14.50,0.30,2.11,"526,281",,
2021-02-04,14.00,14.26,13.72,14.20,-0.10,-0.70,"587,185",,
2021-02-03,14.98,14.98,14.20,14.30,-0.70,-4.67,"726,673",,
2021-02-02,15.30,15.30,14.56,15.00,-0.26,-1.70,"958,024",,
2021-02-01,15.64,15.64,15.24,15.26,-0.34,-2.18,"521,750",,
2021-01-31,16.06,16.06,15.50,15.60,-0.54,-3.35,"1,291,499",,
2021-01-28,16.10,16.34,16.06,16.14,0.04,0.25,"988,306",,
2021-01-27,16.42,16.56,16.10,16.10,-0.64,-3.82,"1,760,827",,
2021-01-26,16.90,16.92,16.54,16.74,-0.16,-0.95,"742,251",,
2021-01-25,17.26,17.34,16.84,16.90,-0.38,-2.20,"1,160,709",,
2021-01-24,17.38,17.64,17.24,17.28,-0.06,-0.35,"1,086,618",,
2021-01-21,17.48,18.00,17.20,17.34,-0.08,-0.46,"3,000,889",,
2021-01-20,17.36,17.74,17.30,17.42,0.00,0.00,"603,239",,
2021-01-19,17.30,17.44,17.20,17.42,0.08,0.46,"294,076",,
2021-01-18,17.48,17.80,17.04,17.34,-0.12,-0.69,"661,928",,
2021-01-17,17.52,17.62,17.42,17.46,-0.18,-1.02,"248,124",,
2021-01-14,17.74,17.80,17.60,17.64,-0.10,-0.56,"218,495",,
2021-01-13,17.84,17.96,17.74,17.74,-0.04,-0.22,"388,877",,
