0,1,2,3,4,5,6,7,8,9
2025-05-29,139.00,139.00,136.60,138.60,2.60,1.91,"690,919",,
2025-05-28,133.00,137.80,133.00,136.00,2.80,2.10,"246,209",,
2025-05-27,138.00,139.00,133.20,133.20,-4.40,-3.20,"135,940",,
2025-05-26,139.60,139.60,136.00,137.60,0.40,0.29,"116,324",,
2025-05-25,138.40,139.60,137.00,137.20,-2.20,-1.58,"112,491",,
2025-05-22,140.00,142.00,138.20,139.40,-1.60,-1.13,"197,200",,
2025-05-21,145.60,145.60,141.00,141.00,-4.60,-3.16,"185,156",,
2025-05-20,143.40,145.60,141.60,145.60,2.20,1.53,"202,926",,
2025-05-19,145.80,147.20,143.20,143.40,-3.60,-2.45,"234,452",,
2025-05-18,144.00,147.40,141.80,147.00,3.40,2.37,"225,788",,
2025-05-15,144.60,144.80,141.80,143.60,-1.00,-0.69,"186,782",,
2025-05-14,147.00,147.40,144.60,144.60,-2.40,-1.63,"151,188",,
2025-05-13,146.60,148.00,144.20,147.00,1.00,0.68,"287,730",,
2025-05-12,141.80,147.80,141.80,146.00,5.00,3.55,"517,975",,
2025-05-11,140.80,142.00,138.40,141.00,0.20,0.14,"137,146",,
2025-05-08,143.40,143.40,138.80,140.80,-2.60,-1.81,"223,385",,
2025-05-07,142.00,143.40,140.60,143.40,0.80,0.56,"185,718",,
2025-05-06,147.00,147.20,141.60,142.60,-1.60,-1.11,"250,545",,
2025-05-05,146.00,146.00,142.40,144.20,-1.80,-1.23,"164,871",,
2025-05-04,146.00,147.40,144.20,146.00,0.00,0.00,"111,607",,
2025-05-01,143.00,151.40,142.20,146.00,7.20,5.19,"978,587",,
2025-04-30,138.00,140.00,138.00,138.80,-0.20,-0.14,"302,045",,
2025-04-29,136.80,139.60,136.60,139.00,2.00,1.46,"393,520",,
2025-04-28,136.40,137.00,134.80,137.00,1.20,0.88,"200,547",,
2025-04-27,137.00,137.40,135.60,135.80,-0.80,-0.59,"122,215",,
2025-04-24,137.00,138.20,136.60,136.60,-1.00,-0.73,"280,220",,
2025-04-23,138.80,139.00,136.20,137.60,0.80,0.58,"148,959",,
2025-04-22,136.40,140.00,135.80,136.80,-0.60,-0.44,"206,521",,
2025-04-21,138.00,139.60,137.20,137.40,-0.20,-0.15,"322,471",,
2025-04-20,137.40,138.00,136.40,137.60,0.60,0.44,"52,392",,
2025-04-17,135.20,137.60,135.00,137.00,0.40,0.29,"163,240",,
2025-04-16,137.60,138.00,135.60,136.60,-0.60,-0.44,"125,496",,
2025-04-15,137.00,138.80,136.00,137.20,-0.40,-0.29,"156,361",,
2025-04-14,136.20,138.80,136.20,137.60,-0.20,-0.15,"163,160",,
2025-04-13,136.00,137.80,135.20,137.80,3.00,2.23,"83,585",,
2025-04-10,136.80,137.00,132.40,134.80,8.20,6.48,"267,840",,
2025-04-09,133.20,134.60,126.60,126.60,-5.40,-4.09,"585,110",,
2025-04-08,131.00,134.60,129.20,132.00,1.00,0.76,"376,359",,
2025-04-07,124.00,131.00,119.00,131.00,6.00,4.80,"455,934",,
2025-04-06,125.60,130.20,123.00,125.00,-11.00,-8.09,"522,362",,
2025-04-03,139.00,141.40,135.60,136.00,-6.60,-4.63,"422,169",,
2025-03-27,140.40,142.60,138.20,142.60,3.60,2.59,"387,466",,
2025-03-26,141.20,141.60,136.60,139.00,-2.20,-1.56,"687,284",,
2025-03-25,142.40,143.00,140.00,141.20,-1.80,-1.26,"110,034",,
2025-03-24,141.60,145.40,141.20,143.00,0.80,0.56,"173,082",,
2025-03-23,144.00,144.00,141.80,142.20,-2.00,-1.39,"68,975",,
2025-03-20,141.20,144.60,141.00,144.20,3.00,2.12,"257,749",,
2025-03-19,143.40,144.60,140.60,141.20,-2.60,-1.81,"216,819",,
