0,1,2,3,4,5,6,7,8,9
2025-05-29,19.84,20.26,19.66,19.68,-0.14,-0.71,"545,447",,
2025-05-28,19.66,20.00,19.66,19.82,0.08,0.41,"368,226",,
2025-05-27,20.06,20.20,19.48,19.74,-0.32,-1.60,"317,113",,
2025-05-26,20.18,20.28,19.52,20.06,-0.02,-0.10,"454,411",,
2025-05-25,20.48,20.48,19.96,20.08,-0.22,-1.08,"328,518",,
2025-05-22,20.00,20.70,20.00,20.30,0.06,0.30,"330,811",,
2025-05-21,20.70,20.82,20.20,20.24,-0.48,-2.32,"409,349",,
2025-05-20,20.88,20.92,20.56,20.72,0.04,0.19,"258,612",,
2025-05-19,21.00,21.08,20.50,20.68,-0.42,-1.99,"293,844",,
2025-05-18,20.98,21.28,20.98,21.10,0.00,0.00,"270,665",,
2025-05-15,21.74,21.74,20.88,21.10,-0.64,-2.94,"693,204",,
2025-05-14,21.58,21.80,21.56,21.74,0.12,0.56,"346,838",,
2025-05-13,21.70,21.80,21.44,21.62,0.02,0.09,"273,016",,
2025-05-12,21.46,21.84,21.16,21.60,0.16,0.75,"507,893",,
2025-05-11,21.40,21.72,21.34,21.44,-0.14,-0.65,"296,742",,
2025-05-08,21.90,22.14,21.46,21.58,-0.58,-2.62,"581,562",,
2025-05-07,22.38,22.44,22.02,22.16,-0.26,-1.16,"383,585",,
2025-05-06,23.06,23.20,22.40,22.42,-0.58,-2.52,"710,112",,
2025-05-05,22.12,23.04,22.00,23.00,0.90,4.07,"613,219",,
2025-05-04,22.42,22.68,22.10,22.10,-0.40,-1.78,"250,368",,
2025-05-01,22.52,23.18,22.30,22.50,0.14,0.63,"992,604",,
2025-04-30,22.52,22.66,22.08,22.36,-0.10,-0.45,"438,888",,
2025-04-29,22.82,23.18,22.42,22.46,-0.34,-1.49,"676,426",,
2025-04-28,23.10,23.48,22.70,22.80,-0.24,-1.04,"742,123",,
2025-04-27,22.38,23.46,22.20,23.04,0.76,3.41,"1,316,894",,
2025-04-24,21.98,22.36,21.94,22.28,0.28,1.27,"426,872",,
2025-04-23,22.08,22.20,21.84,22.00,0.30,1.38,"453,671",,
2025-04-22,21.66,21.90,21.36,21.70,0.00,0.00,"433,955",,
2025-04-21,22.36,22.36,21.68,21.70,-0.50,-2.25,"718,012",,
2025-04-20,22.20,22.60,22.10,22.20,0.24,1.09,"385,905",,
2025-04-17,21.86,22.22,21.68,21.96,0.10,0.46,"613,516",,
2025-04-16,22.04,22.32,21.82,21.86,-0.32,-1.44,"559,787",,
2025-04-15,22.52,22.94,22.16,22.18,-0.34,-1.51,"599,743",,
2025-04-14,22.18,22.74,22.06,22.52,0.28,1.26,"682,462",,
2025-04-13,22.46,22.80,22.20,22.24,-0.02,-0.09,"861,022",,
2025-04-10,22.20,22.42,21.70,22.26,1.76,8.59,"1,204,832",,
2025-04-09,20.50,21.48,20.24,20.50,-0.30,-1.44,"1,182,391",,
2025-04-08,20.36,21.14,20.34,20.80,0.82,4.10,"826,669",,
2025-04-07,18.52,20.30,17.88,19.98,0.28,1.42,"1,746,792",,
2025-04-06,19.70,20.72,19.70,19.70,-2.18,-9.96,"883,337",,
2025-04-03,21.90,22.28,21.60,21.88,-0.44,-1.97,"515,394",,
2025-03-27,21.30,22.54,21.26,22.32,1.06,4.99,"889,613",,
2025-03-26,20.92,21.40,20.90,21.26,0.34,1.63,"367,076",,
2025-03-25,21.20,21.34,20.76,20.92,-0.28,-1.32,"622,788",,
2025-03-24,21.30,21.48,21.00,21.20,0.00,0.00,"367,654",,
2025-03-23,21.50,21.86,21.12,21.20,-0.40,-1.85,"946,522",,
2025-03-20,19.60,22.00,19.30,21.60,0.90,4.35,"3,722,684",,
2025-03-19,21.50,21.50,20.70,20.70,-2.30,-10.00,"1,314,155",,
2025-03-18,22.90,23.18,22.48,23.00,0.10,0.44,"711,053",,
2025-03-17,23.70,23.96,22.90,22.90,-0.64,-2.72,"1,018,210",,
2025-03-16,23.16,24.00,23.16,23.54,0.64,2.79,"847,617",,
2025-03-13,22.90,23.16,22.66,22.90,0.10,0.44,"939,790",,
2025-03-12,22.58,23.14,22.36,22.80,0.20,0.88,"851,534",,
2025-03-11,22.20,22.70,21.62,22.60,0.10,0.44,"929,930",,
2025-03-10,23.96,23.96,22.26,22.50,-1.30,-5.46,"1,450,725",,
2025-03-09,25.00,25.15,23.60,23.80,-1.06,-4.26,"1,031,001",,
2025-03-06,24.80,25.05,23.42,24.86,0.10,0.40,"875,594",,
