0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,17.40,17.76,17.40,17.76,0.24,1.37,"298,142",,,,,
2025-05-28,17.56,17.80,17.46,17.52,-0.04,-0.23,"110,089",,,,,
2025-05-27,17.80,17.88,17.26,17.56,-0.32,-1.79,"282,376",,,,,
2025-05-26,18.46,18.46,17.66,17.88,-0.42,-2.30,"157,618",,,,,
2025-05-25,18.66,18.70,18.22,18.30,-0.50,-2.66,"139,389",,,,,
2025-05-22,18.60,18.88,18.54,18.80,0.16,0.86,"90,815",,,,,
2025-05-21,18.80,18.84,18.52,18.64,-0.26,-1.38,"194,659",,,,,
2025-05-20,18.90,18.96,18.78,18.90,-0.04,-0.21,"278,626",,,,,
2025-05-19,19.02,19.04,18.66,18.94,-0.14,-0.73,"575,662",,,,,
2025-05-18,19.00,19.16,18.96,19.08,-0.02,-0.10,"212,956",,,,,
2025-05-15,19.08,19.14,18.88,19.10,0.02,0.10,"302,169",,,,,
2025-05-14,19.00,19.22,18.96,19.08,0.08,0.42,"423,161",,,,,
2025-05-13,18.94,19.14,18.74,19.00,0.14,0.74,"430,178",,,,,
2025-05-12,18.12,19.00,18.10,18.86,0.86,4.78,"568,413",,,,,
2025-05-11,17.00,18.18,17.00,18.00,-0.80,-4.26,"702,759",,,,,
2025-05-08,18.96,19.00,18.74,18.80,-0.16,-0.84,"177,289",,,,,
2025-05-07,19.20,19.20,18.88,18.96,-0.20,-1.04,"320,891",,,,,
2025-05-06,19.08,19.34,19.00,19.16,0.08,0.42,"679,058",,,,,
2025-05-05,19.00,19.30,18.80,19.08,0.14,0.74,"451,507",,,,,
2025-05-04,19.00,19.10,18.88,18.94,0.00,0.00,"272,978",,,,,
2025-05-01,19.16,19.30,18.90,18.94,-0.06,-0.32,"611,572",,,,,
2025-04-30,18.76,19.20,18.66,19.00,0.26,1.39,"2,009,919",,,,,
2025-04-29,18.78,18.96,18.68,18.74,-0.02,-0.11,"250,868",,,,,
2025-04-28,19.06,19.14,18.74,18.76,-0.30,-1.57,"451,554",,,,,
2025-04-27,18.82,19.06,18.82,19.06,0.26,1.38,"563,133",,,,,
2025-04-24,18.72,19.00,18.60,18.80,0.20,1.08,"352,670",,,,,
2025-04-23,18.70,18.90,18.52,18.60,-0.14,-0.75,"214,872",,,,,
2025-04-22,18.40,18.76,18.40,18.74,0.08,0.43,"251,513",,,,,
2025-04-21,18.80,19.06,18.60,18.66,-0.08,-0.43,"813,475",,,,,
2025-04-20,18.70,18.82,18.66,18.74,0.10,0.54,"1,492,949",,,,,
2025-04-17,18.80,18.80,18.52,18.64,-0.18,-0.96,"539,668",,,,,
2025-04-16,19.58,19.58,18.80,18.82,-0.64,-3.29,"517,600",,,,,
2025-04-15,19.86,20.20,19.40,19.46,-0.10,-0.51,"515,861",,,,,
2025-04-14,19.18,19.80,19.12,19.56,0.44,2.30,"496,090",,,,,
2025-04-13,19.10,19.20,18.96,19.12,0.22,1.16,"194,124",,,,,
2025-04-10,19.78,19.78,18.62,18.90,0.64,3.50,"450,362",,,,,
2025-04-09,18.88,19.16,18.24,18.26,-0.62,-3.28,"580,184",,,,,
2025-04-08,18.48,19.00,18.10,18.88,0.58,3.17,"328,530",,,,,
2025-04-07,17.86,18.40,16.84,18.30,0.30,1.67,"659,360",,,,,
2025-04-06,18.80,18.90,17.90,18.00,-1.84,-9.27,"638,234",,,,,
2025-04-03,19.82,20.22,19.76,19.84,-0.38,-1.88,"155,630",,,,,
2025-03-27,19.08,20.30,19.08,20.22,1.22,6.42,"586,605",,,,,
2025-03-26,18.70,19.06,18.70,19.00,0.30,1.60,"124,867",,,,,
2025-03-25,18.86,19.04,18.70,18.70,-0.22,-1.16,"150,403",,,,,
2025-03-24,18.82,19.14,18.82,18.92,0.10,0.53,"67,341",,,,,
2025-03-23,19.14,19.34,18.78,18.82,-0.32,-1.67,"161,532",,,,,
2025-03-20,19.00,19.40,18.84,19.14,0.14,0.74,"273,851",,,,,
2025-03-19,19.40,19.40,18.74,19.00,-0.48,-2.46,"364,045",,,,,
2025-03-18,18.86,19.62,18.60,19.48,0.68,3.62,"732,695",,,,,
2025-03-17,19.24,19.64,18.70,18.80,-0.44,-2.29,"287,654",,,,,
2025-03-16,19.30,19.50,19.02,19.24,-0.10,-0.52,"225,055",,,,,
2025-03-13,18.76,19.44,18.58,19.34,0.62,3.31,"695,309",,,,,
2025-03-12,18.08,18.80,18.08,18.72,0.68,3.77,"431,301",,,,,
2025-03-11,18.00,18.14,17.18,18.04,-0.66,-3.53,"1,217,450",,,,,
2025-03-10,18.76,18.88,18.06,18.70,-0.04,-0.21,"473,484",,,,,
2025-03-09,19.20,19.22,18.66,18.74,-0.08,-0.43,"763,203",,,,,
2025-03-06,19.50,20.08,18.80,18.82,-1.64,-8.02,"1,424,661",,,,,
2025-03-05,22.90,22.90,20.46,20.46,-2.26,-9.95,"1,472,994",,,,,
2025-03-04,23.16,23.16,22.52,22.72,-0.48,-2.07,"276,251",,,,,
2025-03-03,23.10,23.24,22.90,23.20,0.00,0.00,"365,663",,,,,
2025-03-02,23.58,23.88,22.88,23.20,-0.48,-2.03,"370,480",,,,,
2025-02-27,23.30,23.68,23.20,23.68,0.36,1.54,"661,076",,,,,
2025-02-26,22.90,23.36,22.90,23.32,0.42,1.83,"342,992",,,,,
2025-02-25,22.60,23.06,22.60,22.90,0.10,0.44,"357,828",,,,,
2025-02-24,22.98,23.08,22.38,22.80,-0.18,-0.78,"696,272",,,,,
2025-02-20,23.00,23.26,22.96,22.98,-0.14,-0.61,"399,461",,,,,
2025-02-19,23.14,23.36,22.92,23.12,-0.16,-0.69,"495,994",,,,,
2025-02-18,23.22,23.44,23.14,23.28,0.06,0.26,"464,931",,,,,
2025-02-17,23.48,23.58,23.06,23.22,-0.36,-1.53,"776,942",,,,,
2025-02-16,23.46,23.80,23.18,23.58,0.30,1.29,"997,327",,,,,
2025-02-13,22.90,23.52,22.82,23.28,0.56,2.46,"1,815,158",,,,,
2025-02-12,22.82,23.28,22.60,22.72,-0.02,-0.09,"1,312,216",,,,,
2025-02-11,23.24,23.48,22.74,22.74,-0.48,-2.07,"1,127,086",,,,,
2025-02-10,23.26,23.58,22.88,23.22,-0.02,-0.09,"1,306,409",,,,,
2025-02-09,23.62,23.70,23.18,23.24,-0.26,-1.11,"639,525",,,,,
2025-02-06,23.86,23.94,23.30,23.50,-0.36,-1.51,"1,048,569",,,,,
2025-02-05,24.30,24.66,23.80,23.86,-0.44,-1.81,"817,163",,,,,
2025-02-04,24.68,24.80,24.26,24.30,-0.40,-1.62,"1,204,113",,,,,
2025-02-03,25.20,25.20,24.70,24.70,-0.45,-1.79,"952,457",,,,,
2025-02-02,24.68,25.20,24.56,25.15,0.53,2.15,"1,060,078",,,,,
2025-01-30,24.50,24.90,24.40,24.62,0.12,0.49,"1,096,929",,,,,
2025-01-29,24.28,25.20,24.04,24.50,0.26,1.07,"1,680,622",,,,,
2025-01-28,23.76,24.98,23.60,24.24,0.42,1.76,"1,691,308",,,,,
2025-01-27,23.70,24.00,23.50,23.82,0.14,0.59,"1,318,191",,,,,
2025-01-26,22.98,24.66,22.90,23.68,0.88,3.86,"2,241,722",,,,,
2025-01-23,22.44,22.90,22.22,22.80,0.30,1.33,"698,519",,,,,
2025-01-22,22.80,23.10,22.44,22.50,-0.30,-1.32,"1,202,969",,,,,
