0,1,2,3,4,5,6,7,8,9
2025-05-29,29.60,30.00,29.50,30.00,0.40,1.35,"302,466",,
2025-05-28,29.30,29.75,29.30,29.60,0.30,1.02,"270,322",,
2025-05-27,29.60,29.70,29.25,29.30,-0.30,-1.01,"350,330",,
2025-05-26,29.80,29.80,29.40,29.60,-0.25,-0.84,"295,437",,
2025-05-25,29.40,30.40,29.30,29.85,0.45,1.53,"377,364",,
2025-05-22,29.90,30.15,29.35,29.40,-0.95,-3.13,"529,102",,
2025-05-21,30.25,30.50,29.95,30.35,-0.05,-0.16,"206,403",,
2025-05-20,29.85,30.60,29.75,30.40,0.60,2.01,"341,133",,
2025-05-19,30.00,30.30,29.45,29.80,-0.20,-0.67,"458,706",,
2025-05-18,30.45,30.60,30.00,30.00,-0.45,-1.48,"340,455",,
2025-05-15,31.10,31.40,30.45,30.45,-0.65,-2.09,"580,902",,
2025-05-14,31.15,31.20,30.75,31.10,0.00,0.00,"370,415",,
2025-05-13,31.35,31.40,30.75,31.10,-0.15,-0.48,"393,622",,
2025-05-12,31.00,31.50,30.65,31.25,0.75,2.46,"864,164",,
2025-05-11,30.55,30.65,30.10,30.50,-0.05,-0.16,"181,591",,
2025-05-08,31.00,31.00,30.50,30.55,-0.40,-1.29,"239,858",,
2025-05-07,31.30,31.30,30.60,30.95,-0.35,-1.12,"310,312",,
2025-05-06,31.25,31.50,31.00,31.30,0.05,0.16,"838,646",,
2025-05-05,30.00,31.40,29.95,31.25,1.40,4.69,"1,944,988",,
2025-05-04,30.20,30.20,29.45,29.85,-0.15,-0.50,"217,244",,
2025-05-01,30.50,30.50,29.65,30.00,-0.15,-0.50,"411,347",,
2025-04-30,30.15,30.80,29.90,30.15,0.05,0.17,"516,656",,
2025-04-29,30.75,30.80,30.10,30.10,-0.50,-1.63,"450,921",,
2025-04-28,31.10,31.10,30.60,30.60,-0.45,-1.45,"462,295",,
2025-04-27,31.30,31.40,30.80,31.05,-0.05,-0.16,"447,953",,
2025-04-24,30.15,31.45,30.10,31.10,0.95,3.15,"1,331,730",,
2025-04-23,29.60,30.25,29.60,30.15,0.70,2.38,"190,912",,
2025-04-22,29.65,29.90,29.45,29.45,-0.15,-0.51,"229,436",,
2025-04-21,29.90,29.95,29.30,29.60,-0.30,-1.00,"552,546",,
2025-04-20,30.35,30.40,29.85,29.90,-0.20,-0.66,"205,378",,
2025-04-17,30.25,30.70,29.85,30.10,-0.55,-1.79,"582,168",,
2025-04-16,30.80,30.85,30.40,30.65,-0.25,-0.81,"462,842",,
2025-04-15,30.75,31.05,30.50,30.90,0.15,0.49,"367,646",,
2025-04-14,30.60,31.20,30.25,30.75,0.15,0.49,"866,427",,
2025-04-13,30.20,30.80,30.15,30.60,0.50,1.66,"580,536",,
2025-04-10,30.35,30.55,29.60,30.10,1.20,4.15,"831,694",,
2025-04-09,29.50,30.35,28.30,28.90,0.30,1.05,"1,744,769",,
2025-04-08,29.00,29.40,28.35,28.60,-0.10,-0.35,"578,492",,
2025-04-07,27.50,28.85,26.90,28.70,0.95,3.42,"825,858",,
2025-04-06,28.50,28.80,27.50,27.75,-2.15,-7.19,"751,607",,
2025-04-03,30.00,30.45,29.85,29.90,-0.95,-3.08,"659,325",,
2025-03-27,30.60,30.90,30.50,30.85,0.40,1.31,"876,487",,
2025-03-26,30.30,30.75,30.25,30.45,0.25,0.83,"533,974",,
2025-03-25,30.15,30.35,29.60,30.20,0.25,0.83,"1,974,628",,
2025-03-24,29.30,30.15,29.20,29.95,0.70,2.39,"477,240",,
2025-03-23,28.80,29.55,28.50,29.25,0.50,1.74,"253,045",,
2025-03-20,29.50,29.50,28.75,28.75,-0.75,-2.54,"525,946",,
2025-03-19,29.55,29.60,29.00,29.50,0.10,0.34,"534,070",,
2025-03-18,30.30,30.30,29.15,29.40,-0.90,-2.97,"889,655",,
2025-03-17,30.35,30.65,29.80,30.30,0.00,0.00,"811,380",,
2025-03-16,29.35,30.40,29.35,30.30,0.95,3.24,"702,451",,
2025-03-13,29.45,29.55,29.05,29.35,-0.15,-0.51,"763,045",,
2025-03-12,28.05,29.50,28.05,29.50,1.00,3.51,"1,368,997",,
2025-03-11,28.75,28.75,27.80,28.50,-0.15,-0.52,"1,618,502",,
2025-03-10,28.80,28.90,27.95,28.65,0.20,0.70,"1,078,317",,
2025-03-09,28.20,29.10,28.20,28.45,0.40,1.43,"1,188,848",,
2025-03-06,28.00,29.75,27.75,28.05,0.30,1.08,"2,805,276",,
2025-03-05,26.80,28.65,26.80,27.75,1.00,3.74,"6,545,574",,
2025-03-04,26.00,27.20,26.00,26.75,0.75,2.88,"2,212,525",,
2025-03-03,26.05,26.45,25.85,26.00,-0.15,-0.57,"1,682,741",,
2025-03-02,27.00,27.10,26.00,26.15,-0.65,-2.43,"1,539,606",,
2025-02-27,27.60,28.25,26.80,26.80,-0.90,-3.25,"12,751,562",,
2025-02-26,28.40,28.45,27.70,27.70,-0.70,-2.46,"1,005,533",,
2025-02-25,28.55,28.80,28.15,28.40,-0.05,-0.18,"733,238",,
2025-02-24,30.00,30.20,28.40,28.45,-1.45,-4.85,"2,572,910",,
2025-02-20,30.15,30.40,29.90,29.90,-0.40,-1.32,"771,358",,
2025-02-19,30.10,30.30,29.95,30.30,0.10,0.33,"996,012",,
2025-02-18,29.95,30.60,29.85,30.20,0.25,0.83,"885,535",,
2025-02-17,30.15,30.20,29.85,29.95,-0.20,-0.66,"881,667",,
2025-02-16,30.60,30.75,30.15,30.15,-0.45,-1.47,"687,406",,
2025-02-13,30.65,30.80,30.45,30.60,-0.10,-0.33,"551,728",,
2025-02-12,30.85,30.85,30.65,30.70,-0.30,-0.97,"471,453",,
2025-02-11,30.85,31.00,30.70,31.00,0.15,0.49,"320,215",,
2025-02-10,30.85,30.90,30.70,30.85,0.10,0.33,"551,153",,
2025-02-09,30.85,31.05,30.70,30.75,-0.20,-0.65,"551,301",,
2025-02-06,31.15,31.20,30.75,30.95,-0.20,-0.64,"1,220,554",,
2025-02-05,31.35,31.35,31.10,31.15,-0.20,-0.64,"404,087",,
2025-02-04,31.30,31.35,31.15,31.35,0.05,0.16,"269,492",,
2025-02-03,31.35,31.35,31.15,31.30,-0.05,-0.16,"237,779",,
2025-02-02,31.40,31.60,31.30,31.35,-0.05,-0.16,"246,613",,
2025-01-30,31.20,31.45,31.20,31.40,0.15,0.48,"283,469",,
2025-01-29,31.55,31.70,31.20,31.25,-0.30,-0.95,"357,357",,
2025-01-28,31.60,31.65,31.40,31.55,-0.05,-0.16,"298,086",,
2025-01-27,31.80,31.90,31.45,31.60,-0.15,-0.47,"337,932",,
2025-01-26,31.95,32.25,31.65,31.75,-0.20,-0.63,"609,151",,
2025-01-23,31.15,32.05,31.15,31.95,0.80,2.57,"1,243,479",,
2025-01-22,31.10,31.35,31.05,31.15,0.00,0.00,"684,333",,
2025-01-21,31.25,31.40,31.10,31.15,-0.10,-0.32,"584,957",,
2025-01-20,31.25,31.30,31.05,31.25,0.05,0.16,"792,362",,
2025-01-19,31.35,31.40,31.15,31.20,-0.10,-0.32,"665,556",,
2025-01-16,31.15,31.60,31.05,31.30,0.20,0.64,"1,546,848",,
2025-01-15,31.50,31.50,31.00,31.10,-0.35,-1.11,"1,150,057",,
2025-01-14,31.35,31.75,31.25,31.45,0.20,0.64,"779,537",,
2025-01-13,31.70,32.15,31.25,31.25,-0.35,-1.11,"1,096,205",,
2025-01-12,30.80,31.60,30.80,31.60,0.95,3.10,"775,056",,
2025-01-09,30.95,30.95,30.50,30.65,-0.30,-0.97,"614,974",,
2025-01-08,31.15,31.20,30.90,30.95,-0.15,-0.48,"504,431",,
2025-01-07,31.05,31.10,30.75,31.10,0.10,0.32,"525,596",,
2025-01-06,31.55,31.60,31.00,31.00,-0.65,-2.05,"926,505",,
2025-01-05,32.00,32.00,31.40,31.65,-0.35,-1.09,"502,601",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,32.00,32.00,31.40,31.65,-0.35,-1.09,"502,601",,
2025-01-02,32.00,32.10,31.90,32.00,0.00,0.00,"123,493",,
2025-01-01,32.00,32.15,31.95,32.00,-0.10,-0.31,"173,020",,
2024-12-31,32.00,32.15,31.85,32.10,0.10,0.31,"343,354",,
2024-12-30,32.20,32.20,31.80,32.00,-0.15,-0.47,"534,031",,
2024-12-29,32.40,32.45,32.00,32.15,-0.25,-0.77,"203,050",,
2024-12-26,32.20,32.40,31.90,32.40,0.15,0.47,"150,339",,
2024-12-25,32.75,32.75,31.90,32.25,-0.20,-0.62,"113,329",,
2024-12-24,32.20,32.50,32.00,32.45,0.25,0.78,"160,914",,
2024-12-23,32.10,32.20,31.85,32.20,0.05,0.16,"298,376",,
2024-12-22,32.25,32.65,32.05,32.15,-0.05,-0.16,"303,341",,
2024-12-19,32.45,32.50,32.10,32.20,-0.40,-1.23,"446,005",,
2024-12-18,32.90,32.90,32.45,32.60,-0.15,-0.46,"384,720",,
2024-12-17,33.15,33.15,32.75,32.75,-0.45,-1.36,"331,386",,
2024-12-16,33.20,33.25,33.00,33.20,0.00,0.00,"241,813",,
2024-12-15,33.25,33.40,33.10,33.20,0.10,0.30,"163,309",,
2024-12-12,33.50,33.65,33.10,33.10,-0.30,-0.90,"365,186",,
2024-12-11,33.65,34.10,33.40,33.40,-0.25,-0.74,"531,740",,
2024-12-10,33.65,34.00,33.60,33.65,0.00,0.00,"427,597",,
2024-12-09,33.50,33.80,33.50,33.65,0.20,0.60,"719,026",,
2024-12-08,33.40,33.80,33.40,33.45,0.05,0.15,"351,223",,
2024-12-05,33.65,33.65,33.15,33.40,0.10,0.30,"360,640",,
2024-12-04,33.60,33.60,33.15,33.30,-0.20,-0.60,"345,615",,
2024-12-03,33.10,33.50,32.85,33.50,0.20,0.60,"734,774",,
2024-12-02,34.00,34.00,33.15,33.30,-0.80,-2.35,"527,543",,
2024-12-01,33.95,34.40,33.90,34.10,0.15,0.44,"301,425",,
2024-11-28,34.10,34.25,33.80,33.95,-0.15,-0.44,"349,188",,
2024-11-27,34.10,34.35,33.90,34.10,0.00,0.00,"327,149",,
2024-11-26,34.10,34.40,34.05,34.10,0.00,0.00,"293,924",,
2024-11-25,34.75,34.80,34.10,34.10,-0.65,-1.87,"647,799",,
2024-11-24,34.60,34.80,34.60,34.75,0.15,0.43,"133,023",,
2024-11-21,34.85,34.95,34.60,34.60,-0.35,-1.00,"393,740",,
2024-11-20,35.25,35.25,34.90,34.95,-0.30,-0.85,"407,891",,
2024-11-19,35.40,35.40,35.05,35.25,0.35,1.00,"221,536",,
2024-11-18,35.20,35.25,34.75,34.90,-0.30,-0.85,"516,811",,
2024-11-17,35.25,35.40,35.20,35.20,-0.05,-0.14,"116,388",,
2024-11-14,35.60,35.70,35.25,35.25,-0.30,-0.84,"375,041",,
2024-11-13,35.80,35.80,35.55,35.55,-0.40,-1.11,"541,285",,
2024-11-12,35.90,36.00,35.70,35.95,0.10,0.28,"225,639",,
2024-11-11,36.05,36.20,35.80,35.85,-0.20,-0.55,"301,764",,
2024-11-10,36.00,36.30,36.00,36.05,0.15,0.42,"229,081",,
2024-11-07,35.90,36.20,35.90,35.90,0.10,0.28,"291,439",,
2024-11-06,36.00,36.20,35.80,35.80,-0.20,-0.56,"257,951",,
2024-11-05,35.90,36.00,35.50,36.00,0.05,0.14,"318,546",,
2024-11-04,36.00,36.20,35.75,35.95,-0.05,-0.14,"322,310",,
2024-11-03,36.35,36.40,36.00,36.00,-0.35,-0.96,"349,487",,
2024-10-31,36.20,36.50,36.05,36.35,0.15,0.41,"501,115",,
2024-10-30,36.20,36.25,36.05,36.20,0.00,0.00,"177,071",,
2024-10-29,36.40,36.40,36.05,36.20,-0.05,-0.14,"388,296",,
2024-10-28,36.50,36.55,36.25,36.25,-0.25,-0.68,"177,212",,
2024-10-27,36.65,36.75,36.40,36.50,0.15,0.41,"342,993",,
2024-10-24,36.00,36.55,36.00,36.35,0.15,0.41,"396,916",,
2024-10-23,36.00,36.20,35.65,36.20,0.20,0.56,"397,450",,
2024-10-22,36.35,36.35,36.00,36.00,-0.30,-0.83,"280,853",,
2024-10-21,36.35,36.65,36.15,36.30,-0.20,-0.55,"384,830",,
2024-10-20,36.25,36.55,35.95,36.50,0.50,1.39,"295,373",,
2024-10-17,36.05,36.40,36.00,36.00,-0.40,-1.10,"359,533",,
2024-10-16,36.55,36.55,36.25,36.40,-0.15,-0.41,"332,574",,
2024-10-15,36.40,36.55,36.25,36.55,0.25,0.69,"511,337",,
2024-10-14,36.85,36.85,36.30,36.30,-0.45,-1.22,"668,879",,
2024-10-13,36.65,37.05,36.55,36.75,0.05,0.14,"620,905",,
2024-10-10,37.00,37.15,36.65,36.70,-0.30,-0.81,"516,848",,
2024-10-09,36.90,37.05,36.70,37.00,0.10,0.27,"382,838",,
2024-10-08,37.00,37.25,36.85,36.90,0.00,0.00,"817,832",,
2024-10-07,37.40,37.85,36.90,36.90,-0.60,-1.60,"824,930",,
2024-10-06,38.25,38.25,37.40,37.50,-0.85,-2.22,"390,234",,
2024-10-03,38.00,38.35,37.85,38.35,0.20,0.52,"522,196",,
2024-10-02,38.00,38.20,37.80,38.15,-0.05,-0.13,"612,247",,
2024-10-01,38.75,38.75,38.15,38.20,-0.60,-1.55,"399,157",,
2024-09-30,38.20,39.50,38.20,38.80,0.55,1.44,"816,888",,
2024-09-29,38.30,38.35,37.95,38.25,0.00,0.00,"448,267",,
2024-09-26,38.40,38.40,38.00,38.25,-0.15,-0.39,"392,849",,
2024-09-25,39.00,39.20,38.30,38.40,-0.60,-1.54,"784,672",,
2024-09-24,37.70,39.00,37.60,39.00,1.30,3.45,"1,282,049",,
2024-09-22,37.60,37.80,37.55,37.70,0.30,0.80,"200,592",,
2024-09-19,37.55,37.60,37.30,37.40,-0.10,-0.27,"554,685",,
2024-09-18,37.20,37.50,37.20,37.50,0.25,0.67,"217,315",,
2024-09-17,37.50,37.60,37.25,37.25,-0.20,-0.53,"305,133",,
2024-09-16,37.50,37.60,37.20,37.45,-0.05,-0.13,"215,528",,
2024-09-15,37.55,37.80,37.35,37.50,0.30,0.81,"277,162",,
2024-09-12,37.25,37.40,36.95,37.20,0.20,0.54,"179,304",,
2024-09-11,37.55,37.60,36.85,37.00,-0.60,-1.60,"521,950",,
2024-09-10,37.80,37.85,37.40,37.60,-0.05,-0.13,"852,727",,
2024-09-09,37.80,37.85,37.55,37.65,-0.10,-0.26,"666,015",,
2024-09-08,37.35,37.75,37.35,37.75,0.50,1.34,"365,644",,
2024-09-05,37.55,37.60,37.20,37.25,-0.25,-0.67,"474,570",,
2024-09-04,37.75,37.80,37.25,37.50,-0.40,-1.06,"909,296",,
2024-09-03,38.35,38.35,37.90,37.90,-0.20,-0.52,"670,821",,
2024-09-02,38.15,38.40,37.85,38.10,0.00,0.00,"729,239",,
2024-09-01,37.85,38.25,37.85,38.10,0.25,0.66,"333,312",,
2024-08-29,38.15,38.35,37.85,37.85,-0.30,-0.79,"775,968",,
2024-08-28,38.30,38.45,38.05,38.15,-0.15,-0.39,"490,963",,
2024-08-27,38.80,38.95,38.30,38.30,-0.50,-1.29,"488,970",,
2024-08-26,38.60,39.10,38.60,38.80,0.10,0.26,"479,074",,
2024-08-25,39.00,39.40,38.60,38.70,0.10,0.26,"594,839",,
2024-08-22,38.55,38.85,38.40,38.60,0.05,0.13,"378,110",,
2024-08-21,38.20,38.90,38.10,38.55,0.35,0.92,"574,893",,
2024-08-20,38.40,38.50,38.10,38.20,-0.20,-0.52,"548,046",,
2024-08-19,38.30,38.50,38.00,38.40,0.10,0.26,"658,415",,
2024-08-18,38.50,38.55,38.25,38.30,0.00,0.00,"281,638",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
