0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,8.70,8.83,8.66,8.75,-0.01,-0.11,"159,291",,,,,
2025-05-28,8.73,8.83,8.65,8.76,0.15,1.74,"98,930",,,,,
2025-05-27,8.75,8.79,8.61,8.61,-0.17,-1.94,"145,169",,,,,
2025-05-26,8.75,8.78,8.59,8.78,0.03,0.34,"121,353",,,,,
2025-05-25,8.94,8.94,8.50,8.75,-0.08,-0.91,"153,014",,,,,
2025-05-22,8.90,8.95,8.83,8.83,-0.12,-1.34,"90,603",,,,,
2025-05-21,9.06,9.06,8.93,8.95,-0.11,-1.21,"138,035",,,,,
2025-05-20,9.00,9.12,9.00,9.06,0.04,0.44,"77,430",,,,,
2025-05-19,9.10,9.10,9.00,9.02,-0.01,-0.11,"64,637",,,,,
2025-05-18,9.07,9.12,9.03,9.03,-0.15,-1.63,"89,239",,,,,
2025-05-15,9.26,9.28,9.16,9.18,-0.11,-1.18,"46,650",,,,,
2025-05-14,9.16,9.35,9.15,9.29,0.13,1.42,"172,255",,,,,
2025-05-13,9.12,9.18,9.07,9.16,0.04,0.44,"76,364",,,,,
2025-05-12,9.00,9.13,8.99,9.12,0.12,1.33,"374,882",,,,,
2025-05-11,9.24,9.25,8.98,9.00,-0.20,-2.17,"253,781",,,,,
2025-05-08,9.19,9.25,9.16,9.20,0.01,0.11,"110,202",,,,,
2025-05-07,9.31,9.35,9.18,9.19,-0.11,-1.18,"98,496",,,,,
2025-05-06,9.36,9.39,9.25,9.30,-0.06,-0.64,"108,987",,,,,
2025-05-05,9.34,9.42,9.32,9.36,0.02,0.21,"107,906",,,,,
2025-05-04,9.77,9.82,9.32,9.34,-0.43,-4.40,"797,838",,,,,
2025-05-01,9.86,9.88,9.77,9.77,-0.09,-0.91,"143,135",,,,,
2025-04-30,9.95,9.97,9.80,9.86,-0.09,-0.90,"212,143",,,,,
2025-04-29,9.95,9.99,9.93,9.95,0.00,0.00,"327,354",,,,,
2025-04-28,10.00,10.02,9.94,9.95,-0.04,-0.40,"66,237",,,,,
2025-04-27,9.99,10.04,9.95,9.99,0.00,0.00,"237,952",,,,,
2025-04-24,9.97,10.00,9.92,9.99,0.05,0.50,"108,875",,,,,
